《1685-0000》,# カンマ区切りテキスト形式です。
《1685-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1685-0020》,# ・表の区画内での改行は“/”で表記します。
《1685-0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《1685-0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《1685-0050》,# 外部リンク
《1685-0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546782/67 ～ 72
《1685-0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1685g　(GitHub上データを表成型)
《1685-0080》,# 　　　　　　 　http://hosi.org:3000/Note/1685h　(翻刻編集データを表成型 - 未実装)
《1685-0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《1685-0100》,《版元》,出版地○○,出版元□□□,　
《1685-0110》,《前書》,貞観以降用宣明暦既及数百年推歩与天差方今停旧暦頒新暦於天下因改正而刊行焉/貞享元年きのえ祢十二月大卅日せつふん
《1685-0120》,《暦首》,貞享二年きのとのうし乃暦凡三百五十四ケ日
《1685-0130》,《大歳》,大さいうしの方,此方ニむかひて万よし/但木をきらす
《1685-0140》,《大將軍》,大しやうくんとりの方,うしのとしまて/三年ふさかり
《1685-0150》,《大陰》,大おんいの方,此方ニむかひて/さんをせす
《1685-0160》,《歳徳》,　,としとくあきの方/さるとりの間万よし,たつ/,金神,/み
《1685-0170》,《歳刑》,さいけういぬの方,むかひて/たねまかす,土公,春はかま/秋は井,夏はかと/冬はには
《1685-0180》,《歳破》,さいはひつしの方,むかひてわたましせす/ふねのりはしめす,正月小,二月大,三月小
《1685-0190》,《歳煞》,さいせつたつの方,此方より/よめとらす,四月大,五月大,六月小
《1685-0200》,《黄幡》,わうはんうしの方,むかひて/弓はしめよし,七月大,八月小,九月大
《1685-0210》,《豹尾》,へうひひつしの方,むかひて大小へんせす/ちくるいもとめす,十月小,十一月大,十二月小
《1685-0220》,《月序》,正月,小,建,戊寅,星宿値月星宿日曜値朔日
《1685-0230》,《正月》,一日,みつのえいぬ,なる,水,立春正月せつひつしの三刻ニ入/ま日,●
《1685-0240》,《正月》,二日,みつのとのい,おさむ,水,吉事始/八せんのおはり,はかため くらひらき ひめはしめ 弓はしめ万よし
《1685-0250》,《正月》,三日,きのえね,ひらく,金,　,すきそめ 馬のりそめ かくもんはしめ あきなひはしめ万よし
《1685-0260》,《暦日1》,四／,きのとのうし,とつ,金,　,神よし きこ ちいみ  くらたて 井ほり  つめとりよし
《1685-0270》,《暦日2》,五／,ひのえとら,たつ,火,　, つめとりよし
《1685-0280》,《暦日0》,六／,ひのとのう,のそく,,　,神よし  あさまきよし
《1685-0290》,《暦日2》,七／,つちのえたつ,みつ,木,　,五む日 わうまう  みそつくりよし
《1685-0300》,《暦日0》,八／,つちのとのみ,たいら,,　,神よし ちう日 めつもん 地火  入学よし
《1685-0310》,《暦日2》,九／,かのえむま,さたん,土,　,神よし ふく日
《1685-0320》,《暦日0》,十／,かのとのひつし,とる,,　,大みやう  いちたちよし
《1685-0330》,《暦日2》,十一／,みつのえさる,やふる,金,　,神よし 大みやう
《1685-0340》,《暦日0》,十二／,みつのとのとり,あやふ,,　,十し
《1685-0350》,《暦日2》,十三／,きのえいぬ,なる,火,　,●
《1685-0360》,《暦日0》,十四／,きのとのい,おさん,,　,大くわ ちう日
《1685-0370》,《暦日2》,十五／,ひのえね,ひらく,水,　,天火 らうしやく
《1685-0380》,《暦日0》,十六／,ひのとのうし,とつ,,正月中とりの八刻,神よし 大みやう きこ ちいみ  ものたち 木こり  つめとりよし
《1685-0390》,《暦日2》,十七／,つちのえとら,たつ,土,　,天しや よろつよし
《1685-0400》,《暦日0》,十八／,つちのとのう,のそく,,　,神よし 大みやう  みそさけつくり たねまきよし
《1685-0410》,《暦日2》,十九／,かのえたつ,みつ,金,　,ふく日
《1685-0420》,《暦日0》,廿／,かのとのみ,たいら,,　,ちう日 めつもん 地火
《1685-0430》,《暦日2》,廿一／,みつのえむま,さたん,木,　,神よし 大みやう  木こりよし
《1685-0440》,《暦日0》,廿二／,みつのとのひつし,とる,,　, たねまきよし
《1685-0450》,《暦日2》,廿三／,きのえさる,やふる,水,十方くれニ入,神よし 大みやう ふく日
