《1687-0000》,# カンマ区切りテキスト形式です。
《1687-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1687-0020》,# ・表の区画内での改行は“/”で表記します。
《1687-0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《1687-0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《1687-0050》,# 外部リンク
《1687-0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546782/76 ～ 80
《1687-0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1687g　(GitHub上データを表成型)
《1687-0080》,# 　　　　　　 　http://hosi.org:3000/Note/1687h　(翻刻編集データを表成型 - 未実装)
《1687-0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《1687-0100》,《版元》,出版地○○,出版元□□□,　
《1687-0110》,《暦首》,貞享四年ひのとのう乃貞享暦,井宿/値年,凡三百五十五日
《1687-0120》,《大歳》,大さいうの方,此方ニむかひて万よし/但木をきらす
《1687-0130》,《大將軍》,大しやうくんねの方,たつのとしまて/三年ふさかり
《1687-0140》,《大陰》,大おんうしの方,此方ニむかひて/さんをせす
《1687-0150》,《歳徳》,としとくあきの方/いねの間万よし,とらう/,金神,/いぬい
《1687-0160》,《歳刑》,さいけうねの方,むかひて/たねまかす,土公,春はかま/秋は井,夏はかと/冬はには
《1687-0170》,《歳破》,さいはとりの方,むかひてわたましせす/ふねのりはしめす,正月大,二月小,三月小
《1687-0180》,《歳煞》,さいせついぬの方,此方より/よめとらす,四月大,五月小,六月大
《1687-0190》,《黄幡》,わうはんひつしの方,むかひて/弓はしめよし,七月大,八月小,九月大
《1687-0200》,《豹尾》,へうひうしの方,むかひて大小へんせす/ちくるいもとめす,十月大,十一月小,十二月大
《1687-0210》,《月序》,正月,大,建,壬寅,參宿値月箕宿水曜値朔日
《1687-0220》,《正月》,一日,かのえたつ,みつ,金,吉事始,はかため くらひらき ひめはしめ/弓はしめ きそはしめ ふねのりはしめ万よし
《1687-0230》,《正月》,二日,かのとのみ,たいら,金,　,すきそめ 馬のりそめ かくもんはしめ あきなひはしめ万よし
《1687-0240》,《三日》,三日,みつのえむま,さたむ,木,　,神よし 大みやう日
《1687-0250》,《暦日1》,四／,みつのとのひつし,とる,木,　, たねまきよし
《1687-0260》,《暦日2》,五／,きのえさる,やふる,水,十方くれニ入,神よし 大みやう ふく日
《1687-0270》,《暦日0》,六／,きのとのとり,あやふ,,　,十し
《1687-0280》,《暦日2》,七／,ひのえいぬ,なる,土,　,●
《1687-0290》,《暦日0》,八／,ひのとのい,おさん,,　,大みやう 大くわ ちう日
《1687-0300》,《暦日2》,九／,つちのえね,ひらく,火,正月中うの八刻,天火 らうしやく  けんふく 入学よし
《1687-0310》,《暦日0》,十／,つちのとのうし,とつ,,　,きこ ちいみ  井ほり  つめとりよし
《1687-0320》,《暦日2》,十一／,かのえとら,たつ,木,　,ふく日  つめとりよし
《1687-0330》,《暦日0》,十二／,かのとのう,のそく,,　,くゑ日
《1687-0340》,《暦日2》,十三／,みつのえたつ,みつ,水,　,さい下しき 大みやう 五む日
《1687-0350》,《暦日0》,十四／,みつのとのみ,たいら,,天一天上,ちう日 めつもん 地火
《1687-0360》,《暦日2》,十五／,きのえむま,さたん,金,　,神よし ふく日  かといて ふねのりよし
《1687-0370》,《暦日0》,十六／,きのとのひつし,とる,,　,大みやう 五む日
《1687-0380》,《暦日2》,十七／,ひのえさる,やふる,火,　,神よし きしく
《1687-0390》,《暦日0》,十八／,ひのとのとり,あやふ,,　,十し
《1687-0400》,《暦日2》,十九／,つちのえいぬ,なる,木,　,●
《1687-0410》,《暦日0》,廿／,つちのとのい,おさん,,　,神よし 大くわ ちう日
《1687-0420》,《暦日2》,廿一／,かのえね,ひらく,土,　,神よし ふく日 天火 らうしやく
《1687-0430》,《暦日0》,廿二／,かのとのうし,とつ,,　,神よし 五む日 きこ ちいみ  ものたち  つめとりよし
《1687-0440》,《暦日2》,廿三／,みつのえとら,たつ,金,　,大みやう  かといて  つめとりよし
《1687-0450》,《暦日0》,廿四／,みつのとのう,たつ,,二月せつむまの四刻ニ入,天火 らうしやく 金性の人うけニ入
《1687-0460》,《暦日2》,廿五／,きのえたつ,のそく,火,　,●
《1687-0470》,《暦日0》,廿六／,きのとのみ,みつ,,　,十し
《1687-0480》,《暦日2》,廿七／,ひのえむま,たいら,水,　,神よし 大みやう 大くわ 地火
《1687-0490》,《暦日0》,廿八／,ひのとのひつし,さたん,,　,神よし ちいみ
《1687-0500》,《暦日2》,廿九／,つちのえさる,とる,土,　,神よし  たねまきよし
《1687-0510》,《暦日0》,卅／,つちのとのとり,やふる,,　,大みやう
《1687-0520》,《月序》,二月,小,建,癸卯,井宿　牛　金よう
《1687-0530》,《暦日2》,一／,かのえいぬ,あやふ,金,　,大みやう  けんふくよし
《1687-0540》,《暦日0》,二／,かのとのい,なる,,　,神よし 大みやう ちう日 ふく日
《1687-0550》,《暦日2》,三／,みつのえね,おさん,木,八せんのはしめ,神よし めつもん  あさまきよし
《1687-0560》,《暦日0》,四／,みつのとのうし,ひらく,,ま日, つめとりよし
《1687-0570》,《暦日2》,五／,きのえとら,とつ,水,　,きこ  やたて  つめとりよし
《1687-0580》,《暦日0》,六／,きのとのう,たつ,,　,くゑ日 ふく日 天火 らうしやく
《1687-0590》,《暦日2》,七／,ひのえたつ,のそく,土,ま日,●
《1687-0600》,《暦日0》,八／,ひのとのみ,みつ,,　,十し
《1687-0610》,《暦日2》,九／,つちのえむま,たいら,火,春分二月中とりの一刻/ま日/社日,神よし 大くわ 地火
《1687-0620》,《暦日0》,十／,つちのとのひつし,さたん,,　,神よし 大みやう ちいみ  たねかしよし
《1687-0630》,《暦日2》,十一／,かのえさる,とる,木,ひかんニなる,神よし 大みやう
《1687-0640》,《暦日0》,十二／,かのとのとり,やふる,,　,大みやう くゑ日 ふく日
《1687-0650》,《暦日2》,十三／,みつのえいぬ,あやふ,水,ま日, あさまきよし
《1687-0660》,《暦日0》,十四／,みつのとのい,なる,,八せんのおはり,ちう日  たねかしよし
《1687-0670》,《暦日2》,十五／,きのえね,おさん,金,　,きしく めつもん
《1687-0680》,《暦日0》,十六／,きのとのうし,ひらく,,　,ふく日  ものたち  つめとりよし
《1687-0690》,《暦日2》,十七／,ひのえとら,とつ,火,　,きこ  つめとりよし
《1687-0700》,《暦日0》,十八／,ひのとのう,たつ,,　,天火 らうしやく
《1687-0710》,《暦日2》,十九／,つちのえたつ,のそく,木,　,●
《1687-0720》,《暦日0》,廿／,つちのとのみ,みつ,,　,十し
《1687-0730》,《暦日2》,廿一／,かのえむま,たいら,土,　,神よし 大くわ 地火
《1687-0740》,《暦日0》,廿二／,かのとのひつし,さたん,,　,大みやう ちいみ ふく日  くらたて 井ほりよし
《1687-0750》,《暦日2》,廿三／,みつのえさる,とる,金,　,神よし 大みやう  入学よし
《1687-0760》,《暦日0》,廿四／,みつのとのとり,とる,,三月せついの六刻ニ入,神よし 大みやう
《1687-0770》,《暦日2》,廿五／,きのえいぬ,やふる,火,　, くさかりよし
《1687-0780》,《暦日0》,廿六／,きのとのい,あやふ,,　,●
《1687-0790》,《暦日2》,廿七／,ひのえね,なる,水,　,きこ
《1687-0800》,《暦日0》,廿八／,ひのとのうし,おさん,,　,十し
《1687-0810》,《暦日1》,廿九／,つちのえとら,ひらく,土,　,天しや よろつよし
《1687-0820》,《月序》,三月,小,建,甲辰,鬼宿　女　土よう
《1687-0830》,《暦日1》,一／,つちのとのう,とつ,土,　,神よし 大みやう ふく日
《1687-0840》,《暦日2》,二／,かのえたつ,たつ,金,　,くゑ日
《1687-0850》,《暦日0》,三／,かのとのみ,のそく,,　,ちう日
《1687-0860》,《暦日2》,四／,みつのえむま,みつ,木,　,神よし 大みやう 天火 らうしやく
《1687-0870》,《暦日0》,五／,みつのとのひつし,たいら,,　,めつもん 地火
《1687-0880》,《暦日2》,六／,きのえさる,さたん,水,十方くれニ入,大みやう くゑ日
《1687-0890》,《暦日0》,七／,きのとのとり,とる,,　,神よし  くさかりよし
