«1688-0000»,【 カンマ区切りテキスト形式です。】
«1688-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1688-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1688-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1688-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1688-0050»,【 外部リンク　】
«1688-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546782/80 ～ 84】
«1688-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1688h　(翻刻編集終了データを表成型して表示します)】
«1688-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1688ht (翻刻編集中データを表成型して表示します)】
«1688-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1688-0100»,«版元»,出版地○○,出版元□□□,　
«1688-0110»,«暦首»,貞享五年つちのえたつ乃貞享暦,鬼宿|値年,凡三百五十四日
«1688-0120»,«大歳»,大さいたつの方,此方ニむかひて万よし|但木をきらす
«1688-0130»,«大將軍»,大しやうくんねの方,たつのとしまて|三年ふさかり
«1688-0140»,«大陰»,大おんとらの方,此方ニむかひて|さんをせす
«1688-0150»,«歳徳»,としとくあきの方|みむまの間万よし,ねうし|,金神,|さるとり
«1688-0160»,«歳刑»,さいけうたつの方,むかひて|たねまかす,土公,春はかま|秋は井,夏はかと|冬はには
«1688-0170»,«歳破»,さいはいぬの方,むかひてわたましせす|ふねのりはしめす,正月小,二月大,三月小
«1688-0180»,«歳煞»,さいせつひつしの方,此方より|よめとらす,四月小,五月大,六月小
«1688-0190»,«黄幡»,わうはんたつの方,むかひて|弓はしめよし,七月大,八月小,九月大
«1688-0200»,«豹尾»,へうひいぬの方,むかひて大小へんせす|ちくるいもとめす,十月大,十一月大,十二月小
«1688-0210»,«月序»,正月,小,建,甲寅,心宿値月張宿月曜値朔日
«1688-0220»,«正月»,一日,きのとのい,ひらく,火,吉事始,はかため くらひらき ひめはしめ|弓はしめ きそはしめ ふねのりはしめ万よし
«1688-0230»,«正月»,二日,ひのえね,とつ,水,　,すきそめ 馬のりそめ こしのりそめ あきなひはしめ万よし
«1688-0240»,«三日»,三日,ひのとのうし,たつ,水,せつふん,十し
«1688-0250»,«暦日2»,四〳,つちのえとら,たつ,土,立春正月せつたつの二刻ニ入,天しや よろつよし
«1688-0260»,«暦日0»,五〳,つちのとのう,のそく,,　,神よし 大みやう  みそさけつくり たねまきよし
«1688-0270»,«暦日2»,六〳,かのえたつ,みつ,金,　,ふく日
«1688-0280»,«暦日0»,七〳,かのとのみ,たいら,,　,ちう日 めつもん 地火
«1688-0290»,«暦日2»,八〳,みつのえむま,さたん,木,　,神よし 大みやう  木こりよし
«1688-0300»,«暦日0»,九〳,みつのとのひつし,とる,,　, たねまきよし
«1688-0310»,«暦日2»,十〳,きのえさる,やふる,水,十方くれニ入,大みやう ふく日 わうまう
«1688-0320»,«暦日0»,十一〳,きのとのとり,あやふ,,　,十し
«1688-0330»,«暦日2»,十二〳,ひのえいぬ,なる,土,　,●
«1688-0340»,«暦日0»,十三〳,ひのとのい,おさん,,　,大みやう 大くわ ちう日
«1688-0350»,«暦日2»,十四〳,つちのえね,ひらく,火,　,天火 らうしやく  けんふく 入学よし
«1688-0360»,«暦日0»,十五〳,つちのとのうし,とつ,,　,きこ ちいみ  井ほり  つめとりよし
«1688-0370»,«暦日2»,十六〳,かのえとら,たつ,木,　,ふく日  つめとりよし
«1688-0380»,«暦日0»,十七〳,かのとのう,のそく,,　,くゑ日
«1688-0390»,«暦日2»,十八〳,みつのえたつ,みつ,水,　,大みやう 五む日
«1688-0400»,«暦日0»,十九〳,みつのとのみ,たいら,,正月中むまの七刻|天一天上,ちう日 めつもん 地火
«1688-0410»,«暦日2»,廿〳,きのえむま,さたん,金,　,神よし ふく日  かといて ふねのりよし
«1688-0420»,«暦日0»,廿一〳,きのとのひつし,とる,,　,大みやう 五む日
«1688-0430»,«暦日2»,廿二〳,ひのえさる,やふる,火,　,神よし
«1688-0440»,«暦日0»,廿三〳,ひのとのとり,あやふ,,　,十し
«1688-0450»,«暦日2»,廿四〳,つちのえいぬ,なる,木,　,●
«1688-0460»,«暦日0»,廿五〳,つちのとのい,おさん,,　,神よし 大くわ ちう日
«1688-0470»,«暦日2»,廿六〳,かのえね,ひらく,土,　,神よし きしく ふく日 天火 らうしやく
«1688-0480»,«暦日0»,廿七〳,かのとのうし,とつ,,　,神よし 五む日 きこ ちいみ  ものたち  つめとりよし
«1688-0490»,«暦日2»,廿八〳,みつのえとら,たつ,金,　,大みやう  かといて  つめとりよし
«1688-0500»,«暦日0»,廿九〳,みつのとのう,のそく,,　,神よし  あさまきよし
«1688-0510»,«月序»,二月,大,建,乙卯,尾宿　翼　火よう
«1688-0520»,«暦日2»,一〳,きのえたつ,みつ,火,　,大みやう ふく日  かといてよし
«1688-0530»,«暦日0»,二〳,きのとのみ,たいら,,　,神よし 大みやう ちう日 めつもん 地火  けんふくよし
«1688-0540»,«暦日2»,三〳,ひのえむま,さたん,水,　,神よし 大みやう  わたましよし
«1688-0550»,«暦日0»,四〳,ひのとのひつし,とる,,　,神よし  かといてよし
«1688-0560»,«暦日2»,五〳,つちのえさる,とる,土,二月せつとりの四刻ニ入,神よし  たねまきよし
«1688-0570»,«暦日0»,六〳,つちのとのとり,やふる,,　,大みやう
«1688-0580»,«暦日2»,七〳,かのえいぬ,あやふ,金,　,大みやう  けんふくよし
«1688-0590»,«暦日0»,八〳,かのとのい,なる,,　,神よし 大みやう ちう日 ふく日
«1688-0600»,«暦日2»,九〳,みつのえね,おさん,木,八せんのはしめ,神よし めつもん  あさまきよし
«1688-0610»,«暦日0»,十〳,みつのとのうし,ひらく,,ま日, つめとりよし
«1688-0620»,«暦日2»,十一〳,きのえとら,とつ,水,　,きこ  やたて  つめとりよし
«1688-0630»,«暦日0»,十二〳,きのとのう,たつ,,　,くゑ日 ふく日 天火 らうしやく
