«1689-0000»,【 カンマ区切りテキスト形式です。】
«1689-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1689-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1689-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1689-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1689-0050»,【 外部リンク　】
«1689-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546783/3 ～ 6】
«1689-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1689h　(翻刻編集終了データを表成型して表示します)】
«1689-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1689ht (翻刻編集中データを表成型して表示します)】
«1689-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1689-0100»,«版元»,出版地○○,出版元□□□,　
«1689-0110»,«暦首»,元禄二年つちのとのみ乃貞享暦,柳宿|値年,凡三百八十四日
«1689-0120»,«大歳»,大さいみの方,此方ニむかひて万よし|但木をきらす
«1689-0130»,«大將軍»,大しやうくんうの方,ひつしのとしまて|三年ふさかり
«1689-0140»,«大陰»,大おんうの方,此方ニむかひて|さんをせす
«1689-0150»,«歳徳»,としとくあきの方|とらうの間万よし,むまひつし|,金神,|さるとり
«1689-0160»,«歳刑»,さいけうさるの方,むかひて|たねまかす,土公,春はかま|秋は井,夏はかと|冬はには
«1689-0170»,«歳破»,さいはいの方,むかひてわたましせす|ふねのりはしめす,正月大|閏正月小,二月大,三月小
«1689-0180»,«歳煞»,さいせつたつの方,此方より|よめとらす,四月小,五月大,六月小
«1689-0190»,«黄幡»,わうはんうしの方,むかひて|弓はしめよし,七月大,八月小,九月大
«1689-0200»,«豹尾»,へうひひつしの方,むかひて大小へんせす|ちくるいもとめす,十月大,十一月大,十二月小
«1689-0210»,«月序»,正月,大,建,丙寅,胃宿値月婁宿金曜値朔日
«1689-0220»,«正月»,一日,つちのとのみ,さたむ,木,吉事始,はかため くらひらき ひめはしめ|弓はしめ きそはしめ ふねのりはしめ万よし
«1689-0230»,«正月»,二日,かのえむま,とる,土,　,すきそめ 馬のりそめ こしのりそめ あきなひはしめ万よし
«1689-0240»,«三日»,三日,かのとのひつし,やふる,土,　,大みやう日
«1689-0250»,«暦日2»,四〳,みつのえさる,あやふ,金,　,神よし 大みやう
«1689-0260»,«暦日0»,五〳,みつのとのとり,なる,,　,●
«1689-0270»,«暦日2»,六〳,きのえいぬ,おさん,火,　,めつもん  わたましよし
«1689-0280»,«暦日0»,七〳,きのとのい,ひらく,,　,ちう日  いちたちよし
«1689-0290»,«暦日2»,八〳,ひのえね,とつ,水,　,きしく きこ ちいみ
«1689-0300»,«暦日0»,九〳,ひのとのうし,たつ,,　,十し
«1689-0310»,«暦日2»,十〳,つちのえとら,のそく,土,　,ふく日  木こり  つめとりよし
«1689-0320»,«暦日0»,十一〳,つちのとのう,みつ,,　,神よし 大みやう ふく日
«1689-0330»,«暦日2»,十二〳,かのえたつ,たいら,金,　,大くわ 地火  よめとりよし
«1689-0340»,«暦日0»,十三〳,かのとのみ,さたん,,　,ちう日
«1689-0350»,«暦日2»,十四〳,みつのえむま,とる,木,せつふん,大みやう わうまう
«1689-0360»,«暦日0»,十五〳,みつのとのひつし,とる,,立春正月せつひつしの一刻ニ入, たねまきよし
«1689-0370»,«暦日2»,十六〳,きのえさる,やふる,水,十方くれニ入,神よし 大みやう ふく日
«1689-0380»,«暦日0»,十七〳,きのとのとり,あやふ,,　,十し
«1689-0390»,«暦日2»,十八〳,ひのえいぬ,なる,土,　,●
«1689-0400»,«暦日0»,十九〳,ひのとのい,おさん,,　,大みやう 大くわ ちう日
«1689-0410»,«暦日2»,廿〳,つちのえね,ひらく,火,　,天火 らうしやく  けんふく 入学よし
«1689-0420»,«暦日0»,廿一〳,つちのとのうし,とつ,,　,きこ ちいみ わうまう  井ほり  つめとりよし
