«1693-0000»,【 カンマ区切りテキスト形式です。】
«1693-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1693-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1693-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1693-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1693-0050»,【 外部リンク　】
«1693-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546783/20 ～ 24】
«1693-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1693h　(翻刻編集終了データを表成型して表示します)】
«1693-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1693ht (翻刻編集中データを表成型して表示します)】
«1693-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1693-0100»,«版元»,出版地○○,出版元□□□,　
«1693-0110»,«暦首»,元禄六年みつのとのとり乃貞享暦,軫宿|値年,凡三百五十四日
«1693-0120»,«大歳»,大さいとりの方,此方ニむかひて万よし|但木をきらす
«1693-0130»,«大將軍»,大しやうくんむまの方,いぬのとしまて|三年ふさかり
«1693-0140»,«大陰»,大おんひつしの方,此方ニむかひて|さんをせす
«1693-0150»,«歳徳»,としとくあきの方|みむまの間万よし,ねうし|,金神,|さるとり
«1693-0160»,«歳刑»,さいけうとりの方,むかひて|たねまかす,土公,春はかま|秋は井,夏はかと|冬はには
«1693-0170»,«歳破»,さいはうの方,むかひてわたましせす|ふねのりはしめす,正月大,二月大,三月小
«1693-0180»,«歳煞»,さいせつたつの方,此方より|よめとらす,四月大,五月小,六月大
«1693-0190»,«黄幡»,わうはんうしの方,むかひて|弓はしめよし,七月小,八月大,九月小
«1693-0200»,«豹尾»,へうひひつしの方,むかひて大小へんせす|ちくるいもとめす,十月小,十一月大,十二月小
«1693-0210»,«月序»,正月,大,建,甲寅,牛宿値月斗宿木曜値朔日
«1693-0220»,«正月»,一日,きのとのみ,たいら,火,吉事始,はかため くらひらき ひめはしめ|弓はしめ きそはしめ ふねのりはしめ万よし
«1693-0230»,«正月»,二日,ひのえむま,さたむ,水,　,すきそめ 馬のりそめ こしのりそめ あきなひはしめ万よし
«1693-0240»,«三日»,三日,ひのとのひつし,とる,水,　,神よし
«1693-0250»,«暦日2»,四〳,つちのえさる,やふる,土,　,神よし  たねまきよし
«1693-0260»,«暦日0»,五〳,つちのとのとり,あやふ,,　,十し
«1693-0270»,«暦日2»,六〳,かのえいぬ,なる,金,　,●
«1693-0280»,«暦日0»,七〳,かのとのい,おさん,,　,神よし 大みやう 大くわ ちう日
«1693-0290»,«暦日2»,八〳,みつのえね,ひらく,木,八せんのはしめ,神よし 天火 らうしやく
«1693-0300»,«暦日0»,九〳,みつのとのうし,とつ,,ま日,神よし きこ ちいみ  つめとりよし
«1693-0310»,«暦日2»,十〳,きのえとら,たつ,水,　,くゑ日 ふく日
«1693-0320»,«暦日0»,十一〳,きのとのう,のそく,,　,神よし  ものたちよし
«1693-0330»,«暦日2»,十二〳,ひのえたつ,みつ,土,ま日,大みやう
«1693-0340»,«暦日0»,十三〳,ひのとのみ,たいら,,　,ちう日 めつもん 地火
«1693-0350»,«暦日2»,十四〳,つちのえむま,さたん,火,ま日,神よし  ふねのりよし
«1693-0360»,«暦日0»,十五〳,つちのとのひつし,とる,,正月中とりの三刻,神よし 大みやう  かといて たねまきよし
«1693-0370»,«暦日2»,十六〳,かのえさる,やふる,木,　,神よし きしく 大みやう ふく日
«1693-0380»,«暦日0»,十七〳,かのとのとり,あやふ,,　,十し
«1693-0390»,«暦日2»,十八〳,みつのえいぬ,なる,水,ま日,●
«1693-0400»,«暦日0»,十九〳,みつのとのい,おさん,,八せんのおはり,大くわ ちう日  けんふくよし
«1693-0410»,«暦日2»,廿〳,きのえね,ひらく,金,　,ふく日 天火 らうしやく
«1693-0420»,«暦日0»,廿一〳,きのとのうし,とつ,,　,神よし きこ ちいみ  くらたて 井ほり  つめとりよし
«1693-0430»,«暦日2»,廿二〳,ひのえとら,たつ,火,　, つめとりよし
«1693-0440»,«暦日0»,廿三〳,ひのとのう,のそく,,　,神よし  あさまきよし
«1693-0450»,«暦日2»,廿四〳,つちのえたつ,みつ,木,　,五む日  みそつくりよし
«1693-0460»,«暦日0»,廿五〳,つちのとのみ,たいら,,　,神よし ちう日 めつもん 地火  入学よし
«1693-0470»,«暦日2»,廿六〳,かのえむま,さたん,土,　,神よし ふく日
«1693-0480»,«暦日0»,廿七〳,かのとのひつし,とる,,　,大みやう  いちたちよし
«1693-0490»,«暦日2»,廿八〳,みつのえさる,やふる,金,　,神よし 大みやう
«1693-0500»,«暦日0»,廿九〳,みつのとのとり,あやふ,,　,十し
«1693-0510»,«暦日1»,卅〳,きのえいぬ,あやふ,火,二月せついの八刻ニ入, かといてよし
«1693-0520»,«月序»,二月,大,建,乙卯,女宿　女　土よう
«1693-0530»,«暦日1»,一〳,きのとのい,なる,火,　,ちう日 ふく日  みそすつくりよし
«1693-0540»,«暦日2»,二〳,ひのえね,おさん,水,　,めつもん  たねかしよし
«1693-0550»,«暦日0»,三〳,ひのとのうし,ひらく,,　,大みやう  ものたち  つめとりよし
«1693-0560»,«暦日2»,四〳,つちのえとら,とつ,土,　,天しや よろつよし
«1693-0570»,«暦日0»,五〳,つちのとのう,たつ,,　,大みやう くゑ日 天火 らうしやく
«1693-0580»,«暦日2»,六〳,かのえたつ,のそく,金,　,●
«1693-0590»,«暦日0»,七〳,かのとのみ,みつ,,　,十し
«1693-0600»,«暦日2»,八〳,みつのえむま,たいら,木,　,神よし 大みやう 大くわ 地火
