«1694-0000»,【 カンマ区切りテキスト形式です。】
«1694-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1694-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1694-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1694-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1694-0050»,【 外部リンク　】
«1694-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546783/24 ～ 28】
«1694-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1694h　(翻刻編集終了データを表成型して表示します)】
«1694-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1694ht (翻刻編集中データを表成型して表示します)】
«1694-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1694-0100»,«版元»,出版地○○,出版元□□□,　
«1694-0110»,«暦首»,元禄七年きのえいぬ乃貞享暦,角宿|値年,凡三百八十四日
«1694-0120»,«大歳»,大さいいぬの方,此方ニむかひて万よし|但木をきらす
«1694-0130»,«大將軍»,大しやうくんむまの方,いぬのとしまて|三年ふさかり
«1694-0140»,«大陰»,大おんさるの方,此方ニむかひて|さんをせす
«1694-0150»,«歳徳»,としとくあきの方|とらうの間万よし,むまひつし|,金神,|さるとり
«1694-0160»,«歳刑»,さいけうひつしの方,むかひて|たねまかす,土公,春はかま|秋は井,夏はかと|冬はには
«1694-0170»,«歳破»,さいはたつの方,むかひてわたましせす|ふねのりはしめす,正月大,二月大,三月小
«1694-0180»,«歳煞»,さいせつうしの方,此方より|よめとらす,四月大,五月大|閏五月小,六月大
«1694-0190»,«黄幡»,わうはんいぬの方,むかひて|弓はしめよし,七月小,八月大,九月小
«1694-0200»,«豹尾»,へうひたつの方,むかひて大小へんせす|ちくるいもとめす,十月大,十一月小,十二月小
«1694-0210»,«月序»,正月,大,建,丙寅,參宿値月張宿月曜値朔日
«1694-0220»,«正月»,一日,つちのとのい,ひらく,木,吉事始,はかため くらひらき ひめはしめ|弓はしめ きそはしめ ふねのりはしめ万よし
«1694-0230»,«正月»,二日,かのえね,とつ,土,　,すきそめ 馬のりそめ こしのりそめ あきなひはしめ万よし
«1694-0240»,«三日»,三日,かのとのうし,たつ,土,　,十し
«1694-0250»,«暦日2»,四〳,みつのえとら,のそく,金,　,大みやう  けんふく  つめとりよし
«1694-0260»,«暦日0»,五〳,みつのとのう,みつ,,　,神よし  わたましよし
«1694-0270»,«暦日2»,六〳,きのえたつ,たいら,火,　,大みやう 大くわ 地火
«1694-0280»,«暦日0»,七〳,きのとのみ,さたん,,　,大みやう ちう日  いちたちよし
«1694-0290»,«暦日2»,八〳,ひのえむま,とる,水,　,神よし 大みやう  かといてよし
«1694-0300»,«暦日0»,九〳,ひのとのひつし,やふる,,　,くゑ日
«1694-0310»,«暦日2»,十〳,つちのえさる,あやふ,土,せつふん,ふく日 わうまう  みそさけつくりよし
«1694-0320»,«暦日0»,十一〳,つちのとのとり,あやふ,,立春正月せつとりの五刻ニ入,十し
«1694-0330»,«暦日2»,十二〳,かのえいぬ,なる,金,　,●
«1694-0340»,«暦日0»,十三〳,かのとのい,おさん,,　,さい下しき 神よし 大みやう 大くわ ちう日
«1694-0350»,«暦日2»,十四〳,みつのえね,ひらく,木,八せんのはしめ,神よし 天火 らうしやく
«1694-0360»,«暦日0»,十五〳,みつのとのうし,とつ,,ま日,神よし きこ ちいみ  つめとりよし
«1694-0370»,«暦日2»,十六〳,きのえとら,たつ,水,　,くゑ日 ふく日
«1694-0380»,«暦日0»,十七〳,きのとのう,のそく,,　,わうまう  ものたちよし
«1694-0390»,«暦日2»,十八〳,ひのえたつ,みつ,土,ま日,大みやう
«1694-0400»,«暦日0»,十九〳,ひのとのみ,たいら,,　,ちう日 めつもん 地火
«1694-0410»,«暦日2»,廿〳,つちのえむま,さたん,火,ま日,神よし  ふねのりよし
«1694-0420»,«暦日0»,廿一〳,つちのとのひつし,とる,,　,神よし 大みやう  かといて たねまきよし
«1694-0430»,«暦日2»,廿二〳,かのえさる,やふる,木,　,神よし 大みやう ふく日
«1694-0440»,«暦日0»,廿三〳,かのとのとり,あやふ,,　,十し
«1694-0450»,«暦日2»,廿四〳,みつのえいぬ,なる,水,ま日,●
«1694-0460»,«暦日0»,廿五〳,みつのとのい,おさん,,八せんのおはり,大くわ ちう日  けんふくよし
«1694-0470»,«暦日2»,廿六〳,きのえね,ひらく,金,正月中夜ねの二刻,きしく ふく日 天火 らうしやく
«1694-0480»,«暦日0»,廿七〳,きのとのうし,とつ,,　,神よし きこ ちいみ  くらたて 井ほり  つめとりよし
«1694-0490»,«暦日2»,廿八〳,ひのえとら,たつ,火,　, つめとりよし
«1694-0500»,«暦日0»,廿九〳,ひのとのう,のそく,,　,神よし  あさまきよし
«1694-0510»,«暦日1»,卅〳,つちのえたつ,みつ,木,　,五む日  みそつくりよし
«1694-0520»,«月序»,二月,大,建,丁卯,井宿　軫　水よう
«1694-0530»,«暦日1»,一〳,つちのとのみ,たいら,木,　,神よし ちう日 めつもん 地火  入学よし
«1694-0540»,«暦日2»,二〳,かのえむま,さたん,土,　,神よし ふく日
«1694-0550»,«暦日0»,三〳,かのとのひつし,とる,,　,大みやう  いちたちよし
«1694-0560»,«暦日2»,四〳,みつのえさる,やふる,金,　,神よし 大みやう
«1694-0570»,«暦日0»,五〳,みつのとのとり,あやふ,,　,十し
«1694-0580»,«暦日2»,六〳,きのえいぬ,なる,火,　,●
«1694-0590»,«暦日0»,七〳,きのとのい,おさん,,　,大くわ ちう日
«1694-0600»,«暦日2»,八〳,ひのえね,ひらく,水,　,天火 らうしやく
«1694-0610»,«暦日0»,九〳,ひのとのうし,とつ,,　,神よし 大みやう きこ ちいみ  ものたち 木こり  つめとりよし
«1694-0620»,«暦日2»,十〳,つちのえとら,たつ,土,　,天しや よろつよし
«1694-0630»,«暦日0»,十一〳,つちのとのう,のそく,,　,神よし 大みやう  みそさけつくり たねまきよし
«1694-0640»,«暦日2»,十二〳,かのえたつ,のそく,金,二月せつとらの七刻ニ入,●
«1694-0650»,«暦日0»,十三〳,かのとのみ,みつ,,　,十し
«1694-0660»,«暦日2»,十四〳,みつのえむま,たいら,木,　,神よし 大みやう 大くわ 地火
«1694-0670»,«暦日0»,十五〳,みつのとのひつし,さたん,,　,ちいみ
«1694-0680»,«暦日2»,十六〳,きのえさる,とる,水,十方くれニ入,神よし 大みやう  入学よし
«1694-0690»,«暦日0»,十七〳,きのとのとり,やふる,,　,ふく日
«1694-0700»,«暦日2»,十八〳,ひのえいぬ,あやふ,土,　,五む日  あさまきよし
«1694-0710»,«暦日0»,十九〳,ひのとのい,なる,,　,大みやう ちう日
«1694-0720»,«暦日2»,廿〳,つちのえね,おさん,火,　,めつもん  けんふく たねかしよし
«1694-0730»,«暦日0»,廿一〳,つちのとのうし,ひらく,,　, 井ほり  つめとりよし
«1694-0740»,«暦日2»,廿二〳,かのえとら,とつ,木,　,きこ  つめとりよし
«1694-0750»,«暦日0»,廿三〳,かのとのう,たつ,,　,ふく日 天火 らうしやく
«1694-0760»,«暦日2»,廿四〳,みつのえたつ,のそく,水,　,●
«1694-0770»,«暦日0»,廿五〳,みつのとのみ,みつ,,天一天上,十し
«1694-0780»,«暦日2»,廿六〳,きのえむま,たいら,金,　,神よし 大くわ 地火
«1694-0790»,«暦日0»,廿七〳,きのとのひつし,さたん,,春分二月中みの四刻,大みやう 五む日 ちいみ ふく日  ふねのりよし
«1694-0800»,«暦日2»,廿八〳,ひのえさる,とる,火,　,神よし
«1694-0810»,«暦日0»,廿九〳,ひのとのとり,やふる,,ひかんニなる, あさまき たねかしよし
«1694-0820»,«暦日1»,卅〳,つちのえいぬ,あやふ,木,社日, かといてよし
«1694-0830»,«月序»,三月,小,建,戊辰,鬼宿　亢　金よう
«1694-0840»,«暦日1»,一〳,つちのとのい,なる,木,　,神よし ちう日  みそすつくりよし
«1694-0850»,«暦日2»,二〳,かのえね,おさん,土,　,神よし めつもん  よめとり たねかしよし
«1694-0860»,«暦日0»,三〳,かのとのうし,ひらく,,　,五む日 ふく日  ものたち  つめとりよし
«1694-0870»,«暦日2»,四〳,みつのえとら,とつ,金,　,大みやう きこ  やたて くらたて  つめとりよし
«1694-0880»,«暦日0»,五〳,みつのとのう,たつ,,　,天火 らうしやく
«1694-0890»,«暦日2»,六〳,きのえたつ,のそく,火,　,●
«1694-0900»,«暦日0»,七〳,きのとのみ,みつ,,　,十し
«1694-0910»,«暦日2»,八〳,ひのえむま,たいら,水,　,神よし 大みやう 大くわ 地火
«1694-0920»,«暦日0»,九〳,ひのとのひつし,さたん,,　,神よし ちいみ
«1694-0930»,«暦日2»,十〳,つちのえさる,とる,土,　,神よし  たねまきよし
