«1697-0000»,【 カンマ区切りテキスト形式です。】
«1697-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1697-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1697-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1697-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1697-0050»,【 外部リンク　】
«1697-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546783/38 ～ 42】
«1697-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1697h　(翻刻編集終了データを表成型して表示します)】
«1697-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1697ht (翻刻編集中データを表成型して表示します)】
«1697-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1697-0100»,«版元»,出版地○○,出版元□□□,　
«1697-0110»,«暦首»,元禄十年ひのとのうし乃貞享暦,房宿|値年,凡三百八十四日
«1697-0120»,«大歳»,大さいうしの方,此方ニむかひて万よし|但木をきらす
«1697-0130»,«大將軍»,大しやうくんとりの方,うしのとしまて|三年ふさかり
«1697-0140»,«大陰»,大おんいの方,此方ニむかひて|さんをせす
«1697-0150»,«歳徳»,としとくあきの方|いねの間万よし,とらう|,金神,|いぬい
«1697-0160»,«歳刑»,さいけういぬの方,むかひて|たねまかす,土公,春はかま|秋は井,夏はかと|冬はには
«1697-0170»,«歳破»,さいはひつしの方,むかひてわたましせす|ふねのりはしめす,正月小,二月大|閏二月小,三月小
«1697-0180»,«歳煞»,さいせつたつの方,此方より|よめとらす,四月大,五月小,六月大
«1697-0190»,«黄幡»,わうはんうしの方,むかひて|弓はしめよし,七月小,八月大,九月大
«1697-0200»,«豹尾»,へうひひつしの方,むかひて大小へんせす|ちくるいもとめす,十月小,十一月大,十二月大
«1697-0210»,«月序»,正月,小,建,壬寅,角宿値月軫宿水曜値朔日
«1697-0220»,«正月»,一日,みつのとのうし,たつ,木,吉事始|ま日,はかため くらひらき ひめはしめ きそはしめ|ゆとのはしめ こしのりそめ万よし
«1697-0230»,«正月»,二日,きのえとら,のそく,水,　,馬のりそめ ふねのりそめ 弓はしめ|あきなひはしめ すきそめ万よし
«1697-0240»,«三日»,三日,きのとのう,みつ,水,　,神よし
«1697-0250»,«暦日2»,四〳,ひのえたつ,たいら,土,ま日,大みやう 大くわ 地火
«1697-0260»,«暦日0»,五〳,ひのとのみ,さたん,,　,ちう日
«1697-0270»,«暦日2»,六〳,つちのえむま,とる,火,ま日,神よし ふく日  ふねのりよし
«1697-0280»,«暦日0»,七〳,つちのとのひつし,やふる,,　,神よし 大みやう ふく日  かといてよし
«1697-0290»,«暦日2»,八〳,かのえさる,あやふ,木,　,神よし 大みやう  みそさけつくりよし
«1697-0300»,«暦日0»,九〳,かのとのとり,なる,,　,●
«1697-0310»,«暦日2»,十〳,みつのえいぬ,おさん,水,ま日,めつもん  たねまきよし
«1697-0320»,«暦日0»,十一〳,みつのとのい,ひらく,,八せんのおはり,くゑ日 ちう日
«1697-0330»,«暦日2»,十二〳,きのえね,とつ,金,せつふん,天しや よろつよし
«1697-0340»,«暦日0»,十三〳,きのとのうし,とつ,,立春正月せつむまの二刻ニ入,神よし きこ ちいみ  くらたて 井ほり  つめとりよし
«1697-0350»,«暦日2»,十四〳,ひのえとら,たつ,火,　, つめとりよし
«1697-0360»,«暦日0»,十五〳,ひのとのう,のそく,,　,神よし  あさまきよし
«1697-0370»,«暦日2»,十六〳,つちのえたつ,みつ,木,　,五む日  みそつくりよし
«1697-0380»,«暦日0»,十七〳,つちのとのみ,たいら,,　,神よし ちう日 めつもん 地火  入学よし
«1697-0390»,«暦日2»,十八〳,かのえむま,さたん,土,　,神よし ふく日
«1697-0400»,«暦日0»,十九〳,かのとのひつし,とる,,　,大みやう わうまう  いちたちよし
«1697-0410»,«暦日2»,廿〳,みつのえさる,やふる,金,　,神よし 大みやう
«1697-0420»,«暦日0»,廿一〳,みつのとのとり,あやふ,,　,十し
«1697-0430»,«暦日2»,廿二〳,きのえいぬ,なる,火,　,●
«1697-0440»,«暦日0»,廿三〳,きのとのい,おさん,,　,大くわ ちう日
«1697-0450»,«暦日2»,廿四〳,ひのえね,ひらく,水,　,きしく 天火 らうしやく
«1697-0460»,«暦日0»,廿五〳,ひのとのうし,とつ,,　,神よし 大みやう きこ ちいみ  ものたち 木こり  つめとりよし
«1697-0470»,«暦日2»,廿六〳,つちのえとら,たつ,土,　,天しや よろつよし
«1697-0480»,«暦日0»,廿七〳,つちのとのう,のそく,,　,神よし 大みやう  みそさけつくり たねまきよし
«1697-0490»,«暦日2»,廿八〳,かのえたつ,みつ,金,正月中さるの八刻,ふく日
«1697-0500»,«暦日0»,廿九〳,かのとのみ,たいら,,　,ちう日 めつもん 地火
«1697-0510»,«月序»,二月,大,建,癸卯,亢宿　角　木よう
«1697-0520»,«暦日2»,一〳,みつのえむま,さたん,木,　,神よし 大みやう  木こりよし
«1697-0530»,«暦日0»,二〳,みつのとのひつし,とる,,　, たねまきよし
«1697-0540»,«暦日2»,三〳,きのえさる,やふる,水,十方くれニ入,神よし 大みやう ふく日
«1697-0550»,«暦日0»,四〳,きのとのとり,あやふ,,　,十し
«1697-0560»,«暦日2»,五〳,ひのえいぬ,なる,土,　,●
«1697-0570»,«暦日0»,六〳,ひのとのい,おさん,,　,大みやう 大くわ ちう日
«1697-0580»,«暦日2»,七〳,つちのえね,ひらく,火,　,天火 らうしやく  けんふく 入学よし
«1697-0590»,«暦日0»,八〳,つちのとのうし,とつ,,　,きこ ちいみ  井ほり  つめとりよし
«1697-0600»,«暦日2»,九〳,かのえとら,たつ,木,　,さい下しき ふく日  つめとりよし
«1697-0610»,«暦日0»,十〳,かのとのう,のそく,,　,くゑ日
«1697-0620»,«暦日2»,十一〳,みつのえたつ,みつ,水,　,大みやう 五む日
«1697-0630»,«暦日0»,十二〳,みつのとのみ,たいら,,天一天上,ちう日 めつもん 地火
«1697-0640»,«暦日2»,十三〳,きのえむま,さたん,金,　,神よし ふく日  かといて ふねのりよし
«1697-0650»,«暦日0»,十四〳,きのとのひつし,さたん,,二月せついの四刻ニ入,大みやう 五む日 ちいみ ふく日  ふねのりよし
«1697-0660»,«暦日2»,十五〳,ひのえさる,とる,火,　,神よし
«1697-0670»,«暦日0»,十六〳,ひのとのとり,やふる,,　, あさまき たねかしよし
«1697-0680»,«暦日2»,十七〳,つちのえいぬ,あやふ,木,　, かといてよし
«1697-0690»,«暦日0»,十八〳,つちのとのい,なる,,　,神よし ちう日  みそすつくりよし
«1697-0700»,«暦日2»,十九〳,かのえね,おさん,土,　,神よし めつもん  よめとり たねかしよし
«1697-0710»,«暦日0»,廿〳,かのとのうし,ひらく,,　,五む日 ふく日  ものたち  つめとりよし
«1697-0720»,«暦日2»,廿一〳,みつのえとら,とつ,金,　,大みやう きこ  やたて くらたて  つめとりよし
«1697-0730»,«暦日0»,廿二〳,みつのとのう,たつ,,　,天火 らうしやく
«1697-0740»,«暦日2»,廿三〳,きのえたつ,のそく,火,　,●
«1697-0750»,«暦日0»,廿四〳,きのとのみ,みつ,,　,十し
«1697-0760»,«暦日2»,廿五〳,ひのえむま,たいら,水,　,神よし 大みやう 大くわ 地火
«1697-0770»,«暦日0»,廿六〳,ひのとのひつし,さたん,,　,神よし ちいみ
«1697-0780»,«暦日2»,廿七〳,つちのえさる,とる,土,社日,わうまう  たねまきよし
«1697-0790»,«暦日0»,廿八〳,つちのとのとり,やふる,,　,大みやう
«1697-0800»,«暦日2»,廿九〳,かのえいぬ,あやふ,金,　,大みやう  けんふくよし
«1697-0810»,«暦日0»,卅〳,かのとのい,なる,,春分二月中とらの一刻,神よし 大みやう ちう日 ふく日
«1697-0820»,«月序»,閏二月,小,隨節用之,氐　土よう
«1697-0830»,«暦日2»,一〳,みつのえね,おさん,木,八せんのはしめ,神よし めつもん  あさまきよし
«1697-0840»,«暦日0»,二〳,みつのとのうし,ひらく,,ま日|ひかんニなる, つめとりよし
«1697-0850»,«暦日2»,三〳,きのえとら,とつ,水,　,きこ  やたて  つめとりよし
«1697-0860»,«暦日0»,四〳,きのとのう,たつ,,　,くゑ日 ふく日 天火 らうしやく
«1697-0870»,«暦日2»,五〳,ひのえたつ,のそく,土,ま日,●
«1697-0880»,«暦日0»,六〳,ひのとのみ,みつ,,　,十し
«1697-0890»,«暦日2»,七〳,つちのえむま,たいら,火,ま日,神よし 大くわ 地火
«1697-0900»,«暦日0»,八〳,つちのとのひつし,さたん,,　,神よし 大みやう ちいみ  たねかしよし
«1697-0910»,«暦日2»,九〳,かのえさる,とる,木,　,神よし 大みやう
«1697-0920»,«暦日0»,十〳,かのとのとり,やふる,,　,大みやう くゑ日 ふく日
«1697-0930»,«暦日2»,十一〳,みつのえいぬ,あやふ,水,ま日, あさまきよし
«1697-0940»,«暦日0»,十二〳,みつのとのい,なる,,八せんのおはり,ちう日  たねかしよし
«1697-0950»,«暦日2»,十三〳,きのえね,おさん,金,　,めつもん
«1697-0960»,«暦日0»,十四〳,きのとのうし,ひらく,,　,ふく日  ものたち  つめとりよし
«1697-0970»,«暦日2»,十五〳,ひのえとら,ひらく,火,三月せつたつの六刻ニ入,くゑ日 ちいみ
«1697-0980»,«暦日0»,十六〳,ひのとのう,とつ,,　,くゑ日  たねまきよし
«1697-0990»,«暦日2»,十七〳,つちのえたつ,たつ,木,　,五む日 くゑ日 ふく日
«1697-1000»,«暦日0»,十八〳,つちのとのみ,のそく,,　,神よし ちう日 ふく日  かといてよし
«1697-1010»,«暦日2»,十九〳,かのえむま,みつ,土,　,神よし 天火 らうしやく  みそすつくりよし
«1697-1020»,«暦日0»,廿〳,かのとのひつし,たいら,,　,大みやう めつもん 地火
«1697-1030»,«暦日2»,廿一〳,みつのえさる,さたん,金,　,きしく 大みやう くゑ日
«1697-1040»,«暦日0»,廿二〳,みつのとのとり,とる,,　,神よし 大みやう
«1697-1050»,«暦日2»,廿三〳,きのえいぬ,やふる,火,　, くさかりよし
«1697-1060»,«暦日0»,廿四〳,きのとのい,あやふ,,　,●
«1697-1070»,«暦日2»,廿五〳,ひのえね,なる,水,　,きこ
«1697-1080»,«暦日0»,廿六〳,ひのとのうし,おさん,,　,十し
«1697-1090»,«暦日2»,廿七〳,つちのえとら,ひらく,土,とようむまの七刻ニ入,天しや よろつよし
«1697-1100»,«暦日0»,廿八〳,つちのとのう,とつ,,　,神よし 大みやう ふく日
«1697-1110»,«暦日1»,廿九〳,かのえたつ,たつ,金,　,くゑ日
«1697-1120»,«月序»,三月,小,建,甲辰,氐宿　房　日よう
«1697-1130»,«暦日1»,一〳,かのとのみ,のそく,金,三月中ひつしの三刻,ちう日
«1697-1140»,«食記»,日そく五分,　
«1697-1150»,«暦日2»,二〳,みつのえむま,みつ,木,　,神よし 大みやう 天火 らうしやく
«1697-1160»,«暦日0»,三〳,みつのとのひつし,たいら,,　,めつもん 地火
«1697-1170»,«暦日2»,四〳,きのえさる,さたん,水,十方くれニ入,大みやう くゑ日
«1697-1180»,«暦日0»,五〳,きのとのとり,とる,,　,神よし  くさかりよし
«1697-1190»,«暦日2»,六〳,ひのえいぬ,やふる,土,　,五む日 わうまう
«1697-1200»,«暦日0»,七〳,ひのとのい,あやふ,,　,●
