«1698-0000»,【 カンマ区切りテキスト形式です。】
«1698-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1698-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1698-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1698-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1698-0050»,【 外部リンク　】
«1698-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546783/42 ～ 46】
«1698-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1698h　(翻刻編集終了データを表成型して表示します)】
«1698-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1698ht (翻刻編集中データを表成型して表示します)】
«1698-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1698-0100»,«版元»,出版地○○,出版元□□□,　
«1698-0110»,«暦首»,元禄十一年つちのえとら乃貞享暦,心宿|値年,凡三百五十四日
«1698-0120»,«大歳»,大さいとらの方,此方ニむかひて万よし|但木をきらす
«1698-0130»,«大將軍»,大しやうくんねの方,たつのとしまて|三年ふさかり
«1698-0140»,«大陰»,大おんねの方,此方ニむかひて|さんをせす
«1698-0150»,«歳徳»,としとくあきの方|みむまの間万よし,ねうし|,金神,|さるとり
«1698-0160»,«歳刑»,さいけうみの方,むかひて|たねまかす,土公,春はかま|秋は井,夏はかと|冬はには
«1698-0170»,«歳破»,さいはさるの方,むかひてわたましせす|ふねのりはしめす,正月小,二月大,三月小
«1698-0180»,«歳煞»,さいせつうしの方,此方より|よめとらす,四月小,五月大,六月小
«1698-0190»,«黄幡»,わうはんいぬの方,むかひて|弓はしめよし,七月小,八月大,九月大
«1698-0200»,«豹尾»,へうひたつの方,むかひて大小へんせす|ちくるいもとめす,十月小,十一月大,十二月大
«1698-0210»,«月序»,正月,小,建,甲寅,室宿値月觜宿火曜値朔日
«1698-0220»,«正月»,一日,ひのとのうし,とつ,水,吉事始,はかため くらひらき ひめはしめ きそはしめ|ゆとのはしめ こしのりそめ万よし
«1698-0230»,«正月»,二日,つちのえとら,たつ,土,　,天しや よろつよし
«1698-0240»,«正月»,三日,つちのとのう,のそく,土,　,馬のりそめ ふねのりそめ 弓はしめ|あきなひはしめ すきそめ万よし
«1698-0250»,«暦日2»,四〳,かのえたつ,みつ,金,　,きしく ふく日
«1698-0260»,«暦日0»,五〳,かのとのみ,たいら,,　,ちう日 めつもん 地火
«1698-0270»,«暦日2»,六〳,みつのえむま,さたん,木,　,神よし 大みやう  木こりよし
«1698-0280»,«暦日0»,七〳,みつのとのひつし,とる,,　, たねまきよし
«1698-0290»,«暦日2»,八〳,きのえさる,やふる,水,十方くれニ入,神よし 大みやう ふく日
«1698-0300»,«暦日0»,九〳,きのとのとり,あやふ,,正月中いの七刻,十し
«1698-0310»,«暦日2»,十〳,ひのえいぬ,なる,土,　,●
«1698-0320»,«暦日0»,十一〳,ひのとのい,おさん,,　,大みやう 大くわ ちう日
«1698-0330»,«暦日2»,十二〳,つちのえね,ひらく,火,　,天火 らうしやく  けんふく 入学よし
«1698-0340»,«暦日0»,十三〳,つちのとのうし,とつ,,　,きこ ちいみ  井ほり  つめとりよし
«1698-0350»,«暦日2»,十四〳,かのえとら,たつ,木,　,ふく日  つめとりよし
«1698-0360»,«暦日0»,十五〳,かのとのう,のそく,,　,くゑ日
«1698-0370»,«暦日2»,十六〳,みつのえたつ,みつ,水,　,大みやう 五む日
«1698-0380»,«暦日0»,十七〳,みつのとのみ,たいら,,天一天上,ちう日 めつもん 地火
«1698-0390»,«暦日2»,十八〳,きのえむま,さたん,金,　,神よし ふく日  かといて ふねのりよし
«1698-0400»,«暦日0»,十九〳,きのとのひつし,とる,,　,大みやう 五む日
«1698-0410»,«暦日2»,廿〳,ひのえさる,やふる,火,　,神よし
«1698-0420»,«暦日0»,廿一〳,ひのとのとり,あやふ,,　,十し
«1698-0430»,«暦日2»,廿二〳,つちのえいぬ,なる,木,　,●
«1698-0440»,«暦日0»,廿三〳,つちのとのい,おさん,,　,神よし 大くわ ちう日
«1698-0450»,«暦日2»,廿四〳,かのえね,ひらく,土,　,神よし ふく日 天火 らうしやく
«1698-0460»,«暦日0»,廿五〳,かのとのうし,ひらく,,二月せつとらの四刻ニ入,五む日 ふく日  ものたち  つめとりよし
«1698-0470»,«暦日2»,廿六〳,みつのえとら,とつ,金,　,大みやう きこ  やたて くらたて  つめとりよし
«1698-0480»,«暦日0»,廿七〳,みつのとのう,たつ,,　,天火 らうしやく
«1698-0490»,«暦日2»,廿八〳,きのえたつ,のそく,火,　,●
«1698-0500»,«暦日0»,廿九〳,きのとのみ,みつ,,　,十し
«1698-0510»,«月序»,二月,大,建,乙卯,壁宿　參　水よう
«1698-0520»,«暦日2»,一〳,ひのえむま,たいら,水,　,神よし 大みやう 大くわ 地火
«1698-0530»,«暦日0»,二〳,ひのとのひつし,さたん,,　,神よし ちいみ
«1698-0540»,«暦日2»,三〳,つちのえさる,とる,土,　,神よし きしく  たねまきよし
«1698-0550»,«暦日0»,四〳,つちのとのとり,やふる,,　,大みやう
«1698-0560»,«暦日2»,五〳,かのえいぬ,あやふ,金,　,大みやう  けんふくよし
«1698-0570»,«暦日0»,六〳,かのとのい,なる,,　,神よし 大みやう ちう日 ふく日
«1698-0580»,«暦日2»,七〳,みつのえね,おさん,木,八せんのはしめ,神よし めつもん  あさまきよし
«1698-0590»,«暦日0»,八〳,みつのとのうし,ひらく,,ま日, つめとりよし
«1698-0600»,«暦日2»,九〳,きのえとら,とつ,水,　,きこ わうまう  やたて  つめとりよし
«1698-0610»,«暦日0»,十〳,きのとのう,たつ,,　,くゑ日 ふく日 天火 らうしやく
«1698-0620»,«暦日2»,十一〳,ひのえたつ,のそく,土,春分二月中みの初刻|ま日,●
«1698-0630»,«暦日0»,十二〳,ひのとのみ,みつ,,　,十し
«1698-0640»,«暦日2»,十三〳,つちのえむま,たいら,火,ま日|社日|ひかんニなる,神よし 大くわ 地火
«1698-0650»,«暦日0»,十四〳,つちのとのひつし,さたん,,　,神よし 大みやう ちいみ  たねかしよし
«1698-0660»,«暦日2»,十五〳,かのえさる,とる,木,　,神よし 大みやう
«1698-0670»,«暦日0»,十六〳,かのとのとり,やふる,,　,大みやう くゑ日 ふく日
«1698-0680»,«暦日2»,十七〳,みつのえいぬ,あやふ,水,ま日, あさまきよし
«1698-0690»,«暦日0»,十八〳,みつのとのい,なる,,八せんのおはり,ちう日  たねかしよし
«1698-0700»,«暦日2»,十九〳,きのえね,おさん,金,　,めつもん
«1698-0710»,«暦日0»,廿〳,きのとのうし,ひらく,,　,ふく日  ものたち  つめとりよし
«1698-0720»,«暦日2»,廿一〳,ひのえとら,とつ,火,　,きこ  つめとりよし
«1698-0730»,«暦日0»,廿二〳,ひのとのう,たつ,,　,さい下しき 天火 らうしやく
«1698-0740»,«暦日2»,廿三〳,つちのえたつ,のそく,木,　,●
«1698-0750»,«暦日0»,廿四〳,つちのとのみ,みつ,,　,十し
«1698-0760»,«暦日2»,廿五〳,かのえむま,たいら,土,　,神よし 大くわ 地火
«1698-0770»,«暦日0»,廿六〳,かのとのひつし,たいら,,三月せつひつしの六刻ニ入,大みやう めつもん 地火
«1698-0780»,«暦日2»,廿七〳,みつのえさる,さたん,金,　,大みやう くゑ日
«1698-0790»,«暦日0»,廿八〳,みつのとのとり,とる,,　,神よし 大みやう
«1698-0800»,«暦日2»,廿九〳,きのえいぬ,やふる,火,　, くさかりよし
«1698-0810»,«暦日0»,卅〳,きのとのい,あやふ,,　,●
«1698-0820»,«月序»,三月,小,建,丙辰,奎宿　鬼　金よう
«1698-0830»,«暦日2»,一〳,ひのえね,なる,水,　,きしく きこ
«1698-0840»,«暦日0»,二〳,ひのとのうし,おさん,,　,十し
«1698-0850»,«暦日2»,三〳,つちのえとら,ひらく,土,　,天しや よろつよし
«1698-0860»,«暦日0»,四〳,つちのとのう,とつ,,　,神よし 大みやう ふく日
«1698-0870»,«暦日2»,五〳,かのえたつ,たつ,金,　,くゑ日
«1698-0880»,«暦日0»,六〳,かのとのみ,のそく,,　,ちう日
«1698-0890»,«暦日2»,七〳,みつのえむま,みつ,木,　,神よし 大みやう 天火 らうしやく
«1698-0900»,«暦日0»,八〳,みつのとのひつし,たいら,,とようとりの六刻ニ入,めつもん 地火
«1698-0910»,«暦日2»,九〳,きのえさる,さたん,水,十方くれニ入,大みやう くゑ日
«1698-0920»,«暦日0»,十〳,きのとのとり,とる,,　,神よし  くさかりよし
«1698-0930»,«暦日2»,十一〳,ひのえいぬ,やふる,土,三月中いぬの二刻,五む日
«1698-0940»,«暦日0»,十二〳,ひのとのい,あやふ,,　,●
«1698-0950»,«暦日2»,十三〳,つちのえね,なる,火,　,きこ ふく日
«1698-0960»,«暦日0»,十四〳,つちのとのうし,おさん,,　,十し
«1698-0970»,«暦日2»,十五〳,かのえとら,ひらく,木,　,ちいみ  いちたち  つめとりよし
«1698-0980»,«暦日0»,十六〳,かのとのう,とつ,,　,わうまう  わたまし ものたちよし
«1698-0990»,«暦日2»,十七〳,みつのえたつ,たつ,水,　,大みやう 五む日
«1698-1000»,«暦日0»,十八〳,みつのとのみ,のそく,,天一天上,ちう日  けんふくよし
«1698-1010»,«暦日2»,十九〳,きのえむま,みつ,金,　,神よし 天火 らうしやく  ふねのりよし
«1698-1020»,«暦日0»,廿〳,きのとのひつし,たいら,,　,大みやう 五む日 めつもん 地火  ものたちよし
«1698-1030»,«暦日2»,廿一〳,ひのえさる,さたん,火,　,くゑ日
«1698-1040»,«暦日0»,廿二〳,ひのとのとり,とる,,八十八や,神よし  いちたちよし
«1698-1050»,«暦日2»,廿三〳,つちのえいぬ,やふる,木,　,ふく日
«1698-1060»,«暦日0»,廿四〳,つちのとのい,あやふ,,　,●
«1698-1070»,«暦日2»,廿五〳,かのえね,なる,土,　,神よし きこ
«1698-1080»,«暦日0»,廿六〳,かのとのうし,おさん,,　,十し
«1698-1090»,«暦日2»,廿七〳,みつのえとら,おさん,金,立夏四月せつねの八刻ニ入,大みやう ふく日 めつもん  つめとりよし
«1698-1100»,«暦日0»,廿八〳,みつのとのう,ひらく,,　,神よし  かといて さひらきよし
«1698-1110»,«暦日1»,廿九〳,きのえたつ,とつ,火,　,きしく 大みやう
«1698-1120»,«月序»,四月,小,建,丁巳,婁宿　柳　土よう
«1698-1130»,«暦日1»,一〳,きのとのみ,たつ,火,　,●
«1698-1140»,«暦日2»,二〳,ひのえむま,のそく,水,　,大みやう くゑ日 ふく日
«1698-1150»,«暦日0»,三〳,ひのとのひつし,みつ,,　,くゑ日
«1698-1160»,«暦日2»,四〳,つちのえさる,たいら,土,　,神よし ちいみ 大くわ 地火
«1698-1170»,«暦日0»,五〳,つちのとのとり,さたん,,　,十し
«1698-1180»,«暦日2»,六〳,かのえいぬ,とる,金,　,大みやう  やたて くさかりよし
«1698-1190»,«暦日0»,七〳,かのとのい,やふる,,　,神よし 大みやう ちう日  さひらきよし
«1698-1200»,«暦日2»,八〳,みつのえね,あやふ,木,八せんのはしめ,神よし ふく日  くらたてよし
«1698-1210»,«暦日0»,九〳,みつのとのうし,なる,,ま日,きこ  つめとりよし
«1698-1220»,«暦日2»,十〳,きのえとら,おさん,水,　,めつもん  つめとりよし
«1698-1230»,«暦日0»,十一〳,きのとのう,ひらく,,　,神よし  さひらきよし
«1698-1240»,«暦日2»,十二〳,ひのえたつ,とつ,土,ま日,大みやう ふく日
«1698-1250»,«暦日0»,十三〳,ひのとのみ,たつ,,四月中うの四刻,●
«1698-1260»,«暦日2»,十四〳,つちのえむま,のそく,火,ま日,くゑ日
«1698-1270»,«暦日0»,十五〳,つちのとのひつし,みつ,,　,大みやう くゑ日
«1698-1280»,«暦日2»,十六〳,かのえさる,たいら,木,　,神よし 大みやう ちいみ 大くわ 地火
«1698-1290»,«暦日0»,十七〳,かのとのとり,さたん,,　,十し
«1698-1300»,«暦日2»,十八〳,みつのえいぬ,とる,水,ま日,ふく日
«1698-1310»,«暦日0»,十九〳,みつのとのい,やふる,,八せんのおはり,くゑ日 ちう日
«1698-1320»,«暦日2»,廿〳,きのえね,あやふ,金,　
«1698-1330»,«暦日0»,廿一〳,きのとのうし,なる,,　,きこ  かまぬり  つめとりよし
«1698-1340»,«暦日2»,廿二〳,ひのえとら,おさん,火,　,ふく日 めつもん  つめとりよし
«1698-1350»,«暦日0»,廿三〳,ひのとのう,ひらく,,　,さい下しき 神よし  わたましよし
«1698-1360»,«暦日2»,廿四〳,つちのえたつ,とつ,木,　,五む日 くゑ日
«1698-1370»,«暦日0»,廿五〳,つちのとのみ,たつ,,　,●
«1698-1380»,«暦日2»,廿六〳,かのえむま,のそく,土,　,神よし  さひらき みそすつくりよし
«1698-1390»,«暦日0»,廿七〳,かのとのひつし,みつ,,　,大みやう くゑ日
«1698-1400»,«暦日2»,廿八〳,みつのえさる,みつ,金,五月せつむまの一刻ニ入,神よし きしく 大みやう  くさかりよし
«1698-1410»,«暦日0»,廿九〳,みつのとのとり,たいら,,　,神よし 大みやう ふく日 めつもん 地火
«1698-1420»,«月序»,五月,大,建,戊午,胃宿　星　日よう
«1698-1430»,«暦日2»,一〳,きのえいぬ,さたん,火,　, わたまし くらたてよし
«1698-1440»,«暦日0»,二〳,きのとのい,とる,,　,ちう日  むきかり 田うへよし
«1698-1450»,«暦日2»,三〳,ひのえね,やふる,水,　,●
«1698-1460»,«暦日0»,四〳,ひのとのうし,あやふ,,　,神よし 大みやう ふく日  ものたち  つめとりよし
«1698-1470»,«暦日2»,五〳,つちのえとら,なる,土,　,きこ  みそすつくり  つめとりよし
«1698-1480»,«暦日0»,六〳,つちのとのう,おさん,,　,大みやう ちいみ 大くわ
«1698-1490»,«暦日2»,七〳,かのえたつ,ひらく,金,　, けんふく かといてよし
«1698-1500»,«暦日0»,八〳,かのとのみ,とつ,,　,十し
«1698-1510»,«暦日2»,九〳,みつのえむま,たつ,木,入梅,大みやう 下しきうの時
«1698-1520»,«暦日0»,十〳,みつのとのひつし,のそく,,　,ふく日  田うへよし
«1698-1530»,«暦日2»,十一〳,きのえさる,みつ,水,十方くれニ入,神よし 大みやう
«1698-1540»,«暦日0»,十二〳,きのとのとり,たいら,,　,神よし めつもん 地火
«1698-1550»,«暦日2»,十三〳,ひのえいぬ,さたん,土,　,五む日  むきかりよし
«1698-1560»,«暦日0»,十四〳,ひのとのい,とる,,夏至五月中さるの六刻,大みやう ちう日 ふく日 わうまう
«1698-1570»,«暦日2»,十五〳,つちのえね,やふる,火,　,●
«1698-1580»,«暦日0»,十六〳,つちのとのうし,あやふ,,　, 田うへ  つめとりよし
«1698-1590»,«暦日2»,十七〳,かのえとら,なる,木,　,きこ  井ほり  つめとりよし
«1698-1600»,«暦日0»,十八〳,かのとのう,おさん,,　,ちいみ 大くわ  ものたちよし
«1698-1610»,«暦日2»,十九〳,みつのえたつ,ひらく,水,　,大みやう 五む日
«1698-1620»,«暦日0»,廿〳,みつのとのみ,とつ,,天一天上,十し
«1698-1630»,«暦日2»,廿一〳,きのえむま,たつ,金,　,天しや よろつよし
«1698-1640»,«暦日0»,廿二〳,きのとのひつし,のそく,,　,大みやう 五む日  むきかりよし
«1698-1650»,«暦日2»,廿三〳,ひのえさる,みつ,火,　,神よし  入学 いちたちよし
«1698-1660»,«暦日0»,廿四〳,ひのとのとり,たいら,,はんけしやう,神よし ふく日 めつもん 地火
«1698-1670»,«暦日2»,廿五〳,つちのえいぬ,さたん,木,　, かまぬり 田うへよし
«1698-1680»,«暦日0»,廿六〳,つちのとのい,とる,,　,神よし ちう日
«1698-1690»,«暦日2»,廿七〳,かのえね,やふる,土,　,●
«1698-1700»,«暦日0»,廿八〳,かのとのうし,あやふ,,　,神よし 五む日  つめとりよし
«1698-1710»,«暦日2»,廿九〳,みつのえとら,あやふ,金,六月せついの三刻ニ入,大みやう  けんふく  つめとりよし
«1698-1720»,«暦日0»,卅〳,みつのとのう,なる,,　,神よし 天火 らうしやく
«1698-1730»,«月序»,六月,小,建,己未,昴宿　翼　火よう
«1698-1740»,«暦日2»,一〳,きのえたつ,おさん,火,　,大みやう めつもん  わたましよし
«1698-1750»,«暦日0»,二〳,きのとのみ,ひらく,,　,大みやう ちう日
«1698-1760»,«暦日2»,三〳,ひのえむま,とつ,水,　,●
«1698-1770»,«暦日0»,四〳,ひのとのひつし,たつ,,　,くゑ日
«1698-1780»,«暦日2»,五〳,つちのえさる,のそく,土,　,神よし ふく日  たねまきよし
«1698-1790»,«暦日0»,六〳,つちのとのとり,みつ,,　,神よし 大みやう ちいみ ふく日
«1698-1800»,«暦日2»,七〳,かのえいぬ,たいら,金,初伏,大みやう 大くわ 地火
«1698-1810»,«暦日0»,八〳,かのとのい,さたん,,　,大みやう ちう日
«1698-1820»,«暦日2»,九〳,みつのえね,とる,木,八せんのはしめ,きこ 下しきたつの時
