《1699-0000》,# カンマ区切りテキスト形式です。
《1699-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1699-0020》,# ・表の区画内での改行は“/”で表記します。
《1699-0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《1699-0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《1699-0050》,# 外部リンク
《1699-0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546783/47 ～ 51
《1699-0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1699g　(GitHub上データを表成型)
《1699-0080》,# 　　　　　　 　http://hosi.org:3000/Note/1699h　(翻刻編集データを表成型 - 未実装)
《1699-0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《1699-0100》,《版元》,出版地○○,出版元□□□,　
《1699-0110》,《暦首》,元禄十二年つちのとのう乃貞享暦,尾宿/値年,凡三百八十四日
《1699-0120》,《大歳》,大さいうの方,此方ニむかひて万よし/但木をきらす
《1699-0130》,《大將軍》,大しやうくんねの方,たつのとしまて/三年ふさかり
《1699-0140》,《大陰》,大おんうしの方,此方ニむかひて/さんをせす
《1699-0150》,《歳徳》,としとくあきの方/とらうの間万よし,むまひつし/,金神,/さるとり
《1699-0160》,《歳刑》,さいけうねの方,むかひて/たねまかす,土公,春はかま/秋は井,夏はかと/冬はには
《1699-0170》,《歳破》,さいはとりの方,むかひてわたましせす/ふねのりはしめす,正月大,二月小,三月大
《1699-0180》,《歳煞》,さいせついぬの方,此方より/よめとらす,四月小,五月小,六月大
《1699-0190》,《黄幡》,わうはんひつしの方,むかひて/弓はしめよし,七月小,八月小,九月大/閏九月小
《1699-0200》,《豹尾》,へうひうしの方,むかひて大小へんせす/ちくるいもとめす,十月大,十一月大,十二月大
《1699-0210》,《月序》,正月,大,建,丙寅,星宿値月女宿土曜値朔日
《1699-0220》,《正月》,一日,かのとのひつし,やふる,土,吉事始,はかため くらひらき ひめはしめ きそはしめ/ゆとのはしめ こしのりそめ万よし
《1699-0230》,《正月》,二日,みつのえさる,あやふ,金,　,馬のりそめ ふねのりそめ 弓はしめ/あきなひはしめ すきそめ万よし
《1699-0240》,《三日》,三日,みつのとのとり,なる,金,　,●
《1699-0250》,《暦日2》,四／,きのえいぬ,おさん,火,せつふん,めつもん わうまう  わたましよし
《1699-0260》,《暦日0》,五／,きのとのい,おさん,,立春正月せつ夜ねの一刻ニ入,大くわ ちう日
《1699-0270》,《暦日2》,六／,ひのえね,ひらく,水,　,天火 らうしやく
《1699-0280》,《暦日0》,七／,ひのとのうし,とつ,,　,神よし 大みやう きこ ちいみ  ものたち 木こり  つめとりよし
《1699-0290》,《暦日2》,八／,つちのえとら,たつ,土,　,天しや よろつよし
《1699-0300》,《暦日0》,九／,つちのとのう,のそく,,　,神よし 大みやう  みそさけつくり たねまきよし
《1699-0310》,《暦日2》,十／,かのえたつ,みつ,金,　,ふく日
《1699-0320》,《暦日0》,十一／,かのとのみ,たいら,,　,ちう日 めつもん 地火 わうまう
《1699-0330》,《暦日2》,十二／,みつのえむま,さたん,木,　,神よし 大みやう  木こりよし
《1699-0340》,《暦日0》,十三／,みつのとのひつし,とる,,　, たねまきよし
《1699-0350》,《暦日2》,十四／,きのえさる,やふる,水,十方くれニ入,神よし きしく 大みやう ふく日
《1699-0360》,《暦日0》,十五／,きのとのとり,あやふ,,　,十し
《1699-0370》,《暦日2》,十六／,ひのえいぬ,なる,土,　,●
《1699-0380》,《暦日0》,十七／,ひのとのい,おさん,,　,大みやう 大くわ ちう日
《1699-0390》,《暦日2》,十八／,つちのえね,ひらく,火,　,天火 らうしやく  けんふく 入学よし
《1699-0400》,《暦日0》,十九／,つちのとのうし,とつ,,　,きこ ちいみ  井ほり  つめとりよし
