«1700-0000»,【 カンマ区切りテキスト形式です。】
«1700-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1700-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1700-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1700-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1700-0050»,【 外部リンク　】
«1700-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546783/51 ～ 55】
«1700-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1700h　(翻刻編集終了データを表成型して表示します)】
«1700-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1700ht (翻刻編集中データを表成型して表示します)】
«1700-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1700-0100»,«版元»,出版地○○,出版元□□□,　
«1700-0110»,«暦首»,元禄十三年かのえたつ乃貞享暦,箕宿|値年,凡三百五十四日
«1700-0120»,«大歳»,大さいたつの方,此方ニむかひて万よし|但木をきらす
«1700-0130»,«大將軍»,大しやうくんねの方,たつのとしまて|三年ふさかり
«1700-0140»,«大陰»,大おんとらの方,此方ニむかひて|さんをせす
«1700-0150»,«歳徳»,としとくあきの方|さるとりの間万よし,たつ|,金神,|み
«1700-0160»,«歳刑»,さいけうたつの方,むかひて|たねまかす,土公,春はかま|秋は井,夏はかと|冬はには
«1700-0170»,«歳破»,さいはいぬの方,むかひてわたましせす|ふねのりはしめす,正月大,二月小,三月大
«1700-0180»,«歳煞»,さいせつひつしの方,此方より|よめとらす,四月小,五月小,六月大
«1700-0190»,«黄幡»,わうはんたつの方,むかひて|弓はしめよし,七月小,八月小,九月大
«1700-0200»,«豹尾»,へうひいぬの方,むかひて大小へんせす|ちくるいもとめす,十月小,十一月大,十二月大
«1700-0210»,«月序»,正月,大,建,戊寅,牛宿値月亢宿金曜値朔日
«1700-0220»,«正月»,一日,きのとのひつし,とる,金,吉事始,はかため くらひらき ひめはしめ きそはしめ|ゆとのはしめ こしのりそめ万よし
«1700-0230»,«食記»,日そくニ分半,　
«1700-0240»,«正月»,二日,ひのえさる,やふる,火,正月中みの五刻,馬のりそめ ふねのりそめ 弓はしめ|あきなひはしめ すきそめ万よし
«1700-0250»,«三日»,三日,ひのとのとり,あやふ,火,　,十し
«1700-0260»,«暦日2»,四〳,つちのえいぬ,なる,木,　,●
«1700-0270»,«暦日0»,五〳,つちのとのい,おさん,,　,神よし 大くわ ちう日
«1700-0280»,«暦日2»,六〳,かのえね,ひらく,土,　,神よし ふく日 天火 らうしやく
«1700-0290»,«暦日0»,七〳,かのとのうし,とつ,,　,神よし 五む日 きこ ちいみ  ものたち  つめとりよし
«1700-0300»,«暦日2»,八〳,みつのえとら,たつ,金,　,大みやう  かといて  つめとりよし
«1700-0310»,«暦日0»,九〳,みつのとのう,のそく,,　,神よし  あさまきよし
«1700-0320»,«暦日2»,十〳,きのえたつ,みつ,火,　,大みやう ふく日  かといてよし
«1700-0330»,«暦日0»,十一〳,きのとのみ,たいら,,　,神よし 大みやう ちう日 めつもん 地火  けんふくよし
«1700-0340»,«暦日2»,十二〳,ひのえむま,さたん,水,　,神よし 大みやう  わたましよし
«1700-0350»,«暦日0»,十三〳,ひのとのひつし,とる,,　,神よし  かといてよし
«1700-0360»,«暦日2»,十四〳,つちのえさる,やふる,土,　,神よし  たねまきよし
«1700-0370»,«暦日0»,十五〳,つちのとのとり,あやふ,,　,十し
«1700-0380»,«食記»,月帯そく六分半,　
«1700-0390»,«暦日2»,十六〳,かのえいぬ,なる,金,　,●
«1700-0400»,«暦日0»,十七〳,かのとのい,なる,,二月せつさるの二刻ニ入,神よし 大みやう ちう日 ふく日
«1700-0410»,«暦日2»,十八〳,みつのえね,おさん,木,八せんのはしめ,神よし めつもん  あさまきよし
«1700-0420»,«暦日0»,十九〳,みつのとのうし,ひらく,,ま日, つめとりよし
«1700-0430»,«暦日2»,廿〳,きのえとら,とつ,水,　,きこ  やたて  つめとりよし
«1700-0440»,«暦日0»,廿一〳,きのとのう,たつ,,　,くゑ日 ふく日 天火 らうしやく
«1700-0450»,«暦日2»,廿二〳,ひのえたつ,のそく,土,ま日,●
«1700-0460»,«暦日0»,廿三〳,ひのとのみ,みつ,,　,十し
«1700-0470»,«暦日2»,廿四〳,つちのえむま,たいら,火,ま日,神よし 大くわ 地火
«1700-0480»,«暦日0»,廿五〳,つちのとのひつし,さたん,,　,神よし 大みやう ちいみ  たねかしよし
«1700-0490»,«暦日2»,廿六〳,かのえさる,とる,木,　,神よし 大みやう
«1700-0500»,«暦日0»,廿七〳,かのとのとり,やふる,,　,大みやう くゑ日 ふく日
«1700-0510»,«暦日2»,廿八〳,みつのえいぬ,あやふ,水,ま日, あさまきよし
«1700-0520»,«暦日0»,廿九〳,みつのとのい,なる,,八せんのおはり,ちう日  たねかしよし
«1700-0530»,«暦日1»,卅〳,きのえね,おさん,金,　,めつもん わうまう
«1700-0540»,«月序»,二月,小,建,己卯,女宿　房　日よう
«1700-0550»,«暦日1»,一〳,きのとのうし,ひらく,金,　,ふく日  ものたち  つめとりよし
«1700-0560»,«暦日2»,二〳,ひのえとら,とつ,火,春分二月中いぬの七刻,きこ  つめとりよし
«1700-0570»,«暦日0»,三〳,ひのとのう,たつ,,　,天火 らうしやく
«1700-0580»,«暦日2»,四〳,つちのえたつ,のそく,木,社日|ひかんニなる,●
«1700-0590»,«暦日0»,五〳,つちのとのみ,みつ,,　,十し
«1700-0600»,«暦日2»,六〳,かのえむま,たいら,土,　,神よし 大くわ 地火
«1700-0610»,«暦日0»,七〳,かのとのひつし,さたん,,　,大みやう ちいみ ふく日  くらたて 井ほりよし
«1700-0620»,«暦日2»,八〳,みつのえさる,とる,金,　,神よし 大みやう  入学よし
«1700-0630»,«暦日0»,九〳,みつのとのとり,やふる,,　,大みやう  やたてよし
«1700-0640»,«暦日2»,十〳,きのえいぬ,あやふ,火,　, かといてよし
«1700-0650»,«暦日0»,十一〳,きのとのい,なる,,　,ちう日 ふく日  みそすつくりよし
«1700-0660»,«暦日2»,十二〳,ひのえね,おさん,水,　,めつもん  たねかしよし
«1700-0670»,«暦日0»,十三〳,ひのとのうし,ひらく,,　,大みやう  ものたち  つめとりよし
«1700-0680»,«暦日2»,十四〳,つちのえとら,とつ,土,　,天しや よろつよし
«1700-0690»,«暦日0»,十五〳,つちのとのう,たつ,,　,大みやう くゑ日 天火 らうしやく
«1700-0700»,«暦日2»,十六〳,かのえたつ,のそく,金,　,●
«1700-0710»,«暦日0»,十七〳,かのとのみ,みつ,,　,十し
«1700-0720»,«暦日2»,十八〳,みつのえむま,みつ,木,三月せつうしの四刻ニ入,神よし 大みやう 天火 らうしやく
«1700-0730»,«暦日0»,十九〳,みつのとのひつし,たいら,,　,めつもん 地火
«1700-0740»,«暦日2»,廿〳,きのえさる,さたん,水,十方くれニ入,きしく 大みやう くゑ日
«1700-0750»,«暦日0»,廿一〳,きのとのとり,とる,,　,神よし  くさかりよし
«1700-0760»,«暦日2»,廿二〳,ひのえいぬ,やふる,土,　,五む日
«1700-0770»,«暦日0»,廿三〳,ひのとのい,あやふ,,　,●
«1700-0780»,«暦日2»,廿四〳,つちのえね,なる,火,　,きこ ふく日
«1700-0790»,«暦日0»,廿五〳,つちのとのうし,おさん,,　,十し
«1700-0800»,«暦日2»,廿六〳,かのえとら,ひらく,木,　,ちいみ  いちたち  つめとりよし
«1700-0810»,«暦日0»,廿七〳,かのとのう,とつ,,　,神よし  わたまし ものたちよし
«1700-0820»,«暦日2»,廿八〳,みつのえたつ,たつ,水,　,大みやう 五む日
«1700-0830»,«暦日0»,廿九〳,みつのとのみ,のそく,,天一天上,ちう日  けんふくよし
«1700-0840»,«月序»,三月,大,建,庚辰,虛宿　心　月よう
«1700-0850»,«暦日2»,一〳,きのえむま,みつ,金,とよううの五刻ニ入,神よし 天火 らうしやく  ふねのりよし
«1700-0860»,«暦日0»,二〳,きのとのひつし,たいら,,　,大みやう 五む日 めつもん 地火  ものたちよし
«1700-0870»,«暦日2»,三〳,ひのえさる,さたん,火,　,くゑ日
«1700-0880»,«暦日0»,四〳,ひのとのとり,とる,,三月中たつの一刻,神よし  いちたちよし
«1700-0890»,«暦日2»,五〳,つちのえいぬ,やふる,木,　,ふく日
«1700-0900»,«暦日0»,六〳,つちのとのい,あやふ,,　,●
«1700-0910»,«暦日2»,七〳,かのえね,なる,土,　,神よし きこ
«1700-0920»,«暦日0»,八〳,かのとのうし,おさん,,　,十し
«1700-0930»,«暦日2»,九〳,みつのえとら,ひらく,金,　,大みやう ちいみ わうまう  つめとりよし
«1700-0940»,«暦日0»,十〳,みつのとのう,とつ,,　,神よし  けんふく かといてよし
«1700-0950»,«暦日2»,十一〳,きのえたつ,たつ,火,　,大みやう くゑ日
«1700-0960»,«暦日0»,十二〳,きのとのみ,のそく,,　,神よし 大みやう ちう日  ふねのりよし
«1700-0970»,«暦日2»,十三〳,ひのえむま,みつ,水,　,神よし 大みやう 天火 らうしやく
«1700-0980»,«暦日0»,十四〳,ひのとのひつし,たいら,,　,神よし めつもん 地火
«1700-0990»,«暦日2»,十五〳,つちのえさる,さたん,土,八十八や,くゑ日 ふく日
«1700-1000»,«暦日0»,十六〳,つちのとのとり,とる,,　,神よし 大みやう ふく日
«1700-1010»,«暦日2»,十七〳,かのえいぬ,やふる,金,　,大みやう
«1700-1020»,«暦日0»,十八〳,かのとのい,あやふ,,　,●
«1700-1030»,«暦日2»,十九〳,みつのえね,あやふ,木,立夏四月せつむまの六刻ニ入|八せんのはしめ,神よし きしく ふく日  くらたてよし
«1700-1040»,«暦日0»,廿〳,みつのとのうし,なる,,ま日,きこ  つめとりよし
«1700-1050»,«暦日2»,廿一〳,きのえとら,おさん,水,　,めつもん  つめとりよし
«1700-1060»,«暦日0»,廿二〳,きのとのう,ひらく,,　,神よし  さひらきよし
«1700-1070»,«暦日2»,廿三〳,ひのえたつ,とつ,土,ま日,大みやう ふく日
«1700-1080»,«暦日0»,廿四〳,ひのとのみ,たつ,,　,●
«1700-1090»,«暦日2»,廿五〳,つちのえむま,のそく,火,ま日,くゑ日
«1700-1100»,«暦日0»,廿六〳,つちのとのひつし,みつ,,　,大みやう くゑ日 わうまう
«1700-1110»,«暦日2»,廿七〳,かのえさる,たいら,木,　,神よし 大みやう ちいみ 大くわ 地火
«1700-1120»,«暦日0»,廿八〳,かのとのとり,さたん,,　,十し
«1700-1130»,«暦日2»,廿九〳,みつのえいぬ,とる,水,ま日,ふく日
«1700-1140»,«暦日0»,卅〳,みつのとのい,やふる,,八せんのおはり,くゑ日 ちう日
«1700-1150»,«月序»,四月,小,建,辛巳,危宿　箕　水よう
«1700-1160»,«暦日2»,一〳,きのえね,あやふ,金,　
«1700-1170»,«暦日0»,二〳,きのとのうし,なる,,　,きこ  かまぬり  つめとりよし
«1700-1180»,«暦日2»,三〳,ひのえとら,おさん,火,　,ふく日 めつもん  つめとりよし
«1700-1190»,«暦日0»,四〳,ひのとのう,ひらく,,四月中とりの三刻,神よし  わたましよし
«1700-1200»,«暦日2»,五〳,つちのえたつ,とつ,木,　,五む日 くゑ日
«1700-1210»,«暦日0»,六〳,つちのとのみ,たつ,,　,●
«1700-1220»,«暦日2»,七〳,かのえむま,のそく,土,　,神よし  さひらき みそすつくりよし
«1700-1230»,«暦日0»,八〳,かのとのひつし,みつ,,　,大みやう くゑ日
«1700-1240»,«暦日2»,九〳,みつのえさる,たいら,金,　,神よし 大みやう ちいみ 大くわ ふく日 地火
«1700-1250»,«暦日0»,十〳,みつのとのとり,さたん,,　,十し
«1700-1260»,«暦日2»,十一〳,きのえいぬ,とる,火,　, やたて くらたてよし
«1700-1270»,«暦日0»,十二〳,きのとのい,やふる,,　,ちう日
«1700-1280»,«暦日2»,十三〳,ひのえね,あやふ,水,　,ふく日  さひらきよし
«1700-1290»,«暦日0»,十四〳,ひのとのうし,なる,,　,大みやう きこ  ものたち  つめとりよし
«1700-1300»,«暦日2»,十五〳,つちのえとら,おさん,土,　,めつもん  たねまき  つめとりよし
«1700-1310»,«暦日0»,十六〳,つちのとのう,ひらく,,　,神よし 大みやう  入学よし
«1700-1320»,«暦日2»,十七〳,かのえたつ,とつ,金,　,きしく  けんふくよし
«1700-1330»,«暦日0»,十八〳,かのとのみ,たつ,,　,●
«1700-1340»,«暦日2»,十九〳,みつのえむま,たつ,木,五月せつ夜ねの初刻ニ入,大みやう 下しきうの時
«1700-1350»,«暦日0»,廿〳,みつのとのひつし,のそく,,　,ふく日  田うへよし
«1700-1360»,«暦日2»,廿一〳,きのえさる,みつ,水,十方くれニ入,神よし 大みやう
«1700-1370»,«暦日0»,廿二〳,きのとのとり,たいら,,　,神よし めつもん 地火
«1700-1380»,«暦日2»,廿三〳,ひのえいぬ,さたん,土,　,五む日  むきかりよし
«1700-1390»,«暦日0»,廿四〳,ひのとのい,とる,,　,大みやう ちう日 ふく日
«1700-1400»,«暦日2»,廿五〳,つちのえね,やふる,火,　,●
«1700-1410»,«暦日0»,廿六〳,つちのとのうし,あやふ,,　, 田うへ  つめとりよし
«1700-1420»,«暦日2»,廿七〳,かのえとら,なる,木,　,きこ  井ほり  つめとりよし
«1700-1430»,«暦日0»,廿八〳,かのとのう,おさん,,　,ちいみ 大くわ  ものたちよし
«1700-1440»,«暦日1»,廿九〳,みつのえたつ,ひらく,水,入梅,大みやう 五む日
«1700-1450»,«月序»,五月,小,建,壬午,室宿　斗　木よう
«1700-1460»,«暦日1»,一〳,みつのとのみ,とつ,水,天一天上,十し
«1700-1470»,«暦日2»,二〳,きのえむま,たつ,金,　,天しや よろつよし
«1700-1480»,«暦日0»,三〳,きのとのひつし,のそく,,　,大みやう 五む日  むきかりよし
«1700-1490»,«暦日2»,四〳,ひのえさる,みつ,火,　,神よし  入学 いちたちよし
«1700-1500»,«暦日0»,五〳,ひのとのとり,たいら,,　,ふく日 めつもん 地火 わうまう
