«1702-0000»,【 カンマ区切りテキスト形式です。】
«1702-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1702-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1702-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1702-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1702-0050»,【 外部リンク　】
«1702-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546783/61 ～ 65】
«1702-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1702h　(翻刻編集終了データを表成型して表示します)】
«1702-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1702ht (翻刻編集中データを表成型して表示します)】
«1702-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1702-0100»,«版元»,出版地○○,出版元□□□,　
«1702-0110»,«暦首»,元禄十五年みつのえむま乃貞享暦,牛宿|値年,凡三百八十四日
«1702-0120»,«大歳»,大さいむまの方,此方ニむかひて万よし|但木をきらす
«1702-0130»,«大將軍»,大しやうくんうの方,ひつしのとしまて|三年ふさかり
«1702-0140»,«大陰»,大おんたつの方,此方ニむかひて|さんをせす
«1702-0150»,«歳徳»,としとくあきの方|いねの間万よし,とらう|,金神,|いぬい
«1702-0160»,«歳刑»,さいけうむまの方,むかひて|たねまかす,土公,春はかま|秋は井,夏はかと|冬はには
«1702-0170»,«歳破»,さいはねの方,むかひてわたましせす|ふねのりはしめす,正月大,二月小,三月大
«1702-0180»,«歳煞»,さいせつうしの方,此方より|よめとらす,四月大,五月小,六月大
«1702-0190»,«黄幡»,わうはんいぬの方,むかひて|弓はしめよし,七月小,八月大|閏八月小,九月小
«1702-0200»,«豹尾»,へうひたつの方,むかひて大小へんせす|ちくるいもとめす,十月大,十一月小,十二月大
«1702-0210»,«月序»,正月,大,建,壬寅,心宿値月女宿土曜値朔日
«1702-0220»,«正月»,一日,みつのとのひつし,やふる,木,吉事始,はかため くらひらき ひめはしめ きそはしめ|ゆとのはしめ こしのりそめ万よし
«1702-0230»,«正月»,二日,きのえさる,あやふ,水,十方くれニ入,馬のりそめ ふねのりそめ 弓はしめ|あきなひはしめ すきそめ万よし
«1702-0240»,«三日»,三日,きのとのとり,なる,水,　,●
«1702-0250»,«暦日2»,四〳,ひのえいぬ,おさん,土,　,五む日 めつもん
«1702-0260»,«暦日0»,五〳,ひのとのい,ひらく,,　,大みやう ちう日
«1702-0270»,«暦日2»,六〳,つちのえね,とつ,火,　,くゑ日 きこ ちいみ ふく日
«1702-0280»,«暦日0»,七〳,つちのとのうし,たつ,,　,十し
«1702-0290»,«暦日2»,八〳,かのえとら,のそく,木,せつふん,わうまう  井ほり  つめとりよし
«1702-0300»,«暦日0»,九〳,かのとのう,のそく,,立春正月せつさるの七刻ニ入,くゑ日
«1702-0310»,«暦日2»,十〳,みつのえたつ,みつ,水,　,大みやう 五む日
«1702-0320»,«暦日0»,十一〳,みつのとのみ,たいら,,天一天上,ちう日 めつもん 地火
«1702-0330»,«暦日2»,十二〳,きのえむま,さたん,金,　,神よし ふく日  かといて ふねのりよし
«1702-0340»,«暦日0»,十三〳,きのとのひつし,とる,,　,大みやう 五む日
«1702-0350»,«暦日2»,十四〳,ひのえさる,やふる,火,　,神よし きしく
«1702-0360»,«暦日0»,十五〳,ひのとのとり,あやふ,,　,十し
«1702-0370»,«暦日2»,十六〳,つちのえいぬ,なる,木,　,●
«1702-0380»,«暦日0»,十七〳,つちのとのい,おさん,,　,神よし 大くわ ちう日
«1702-0390»,«暦日2»,十八〳,かのえね,ひらく,土,　,神よし ふく日 天火 らうしやく
«1702-0400»,«暦日0»,十九〳,かのとのうし,とつ,,　,神よし 五む日 きこ ちいみ  ものたち  つめとりよし
«1702-0410»,«暦日2»,廿〳,みつのえとら,たつ,金,　,大みやう  かといて  つめとりよし
«1702-0420»,«暦日0»,廿一〳,みつのとのう,のそく,,　,神よし  あさまきよし
«1702-0430»,«暦日2»,廿二〳,きのえたつ,みつ,火,　,大みやう ふく日  かといてよし
«1702-0440»,«暦日0»,廿三〳,きのとのみ,たいら,,　,神よし 大みやう ちう日 めつもん 地火  けんふくよし
«1702-0450»,«暦日2»,廿四〳,ひのえむま,さたん,水,正月中いの三刻,神よし 大みやう  わたましよし
«1702-0460»,«暦日0»,廿五〳,ひのとのひつし,とる,,　,さい下しき 神よし  かといてよし
«1702-0470»,«暦日2»,廿六〳,つちのえさる,やふる,土,　,神よし  たねまきよし
«1702-0480»,«暦日0»,廿七〳,つちのとのとり,あやふ,,　,十し
«1702-0490»,«暦日2»,廿八〳,かのえいぬ,なる,金,　,●
«1702-0500»,«暦日0»,廿九〳,かのとのい,おさん,,　,神よし 大みやう 大くわ ちう日
«1702-0510»,«暦日1»,卅〳,みつのえね,ひらく,木,八せんのはしめ,神よし 天火 らうしやく
«1702-0520»,«月序»,二月,小,建,癸卯,尾宿　危　月よう
«1702-0530»,«暦日1»,一〳,みつのとのうし,とつ,木,ま日,神よし きこ ちいみ  つめとりよし
