«1704-0000»,【 カンマ区切りテキスト形式です。】
«1704-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1704-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1704-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1704-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1704-0050»,【 外部リンク　】
«1704-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546783/70 ～ 74】
«1704-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1704h　(翻刻編集終了データを表成型して表示します)】
«1704-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1704ht (翻刻編集中データを表成型して表示します)】
«1704-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1704-0100»,«版元»,出版地○○,出版元□□□,　
«1704-0110»,«暦首»,元禄十七年きのえさる乃貞享暦,虛宿|値年,凡三百五十五日
«1704-0120»,«大歳»,大さいさるの方,此方ニむかひて万よし|但木をきらす
«1704-0130»,«大將軍»,大しやうくんむまの方,いぬのとしまて|三年ふさかり
«1704-0140»,«大陰»,大おんむまの方,此方ニむかひて|さんをせす
«1704-0150»,«歳徳»,としとくあきの方|とらうの間万よし,むまひつし|,金神,|さるとり
«1704-0160»,«歳刑»,さいけうとらの方,むかひて|たねまかす,土公,春はかま|秋は井,夏はかと|冬はには
«1704-0170»,«歳破»,さいはとらの方,むかひてわたましせす|ふねのりはしめす,正月大,二月小,三月大
«1704-0180»,«歳煞»,さいせつひつしの方,此方より|よめとらす,四月小,五月大,六月大
«1704-0190»,«黄幡»,わうはんたつの方,むかひて|弓はしめよし,七月小,八月大,九月大
«1704-0200»,«豹尾»,へうひいぬの方,むかひて大小へんせす|ちくるいもとめす,十月小,十一月大,十二月小
«1704-0210»,«月序»,正月,大,建,丙寅,角宿値月觜宿火曜値朔日
«1704-0220»,«正月»,一日,かのとのうし,たつ,土,吉事始|せつふん,はかため くらひらき ひめはしめ きそはしめ|ゆとのはしめ こしのりそめ万よし
«1704-0230»,«正月»,二日,みつのえとら,たつ,金,立春正月せつとらの五刻ニ入,馬のりそめ ふねのりそめ 弓はしめ|あきなひはしめ すきそめ万よし
«1704-0240»,«三日»,三日,みつのとのう,のそく,金,　,神よし
«1704-0250»,«暦日2»,四〳,きのえたつ,みつ,火,　,きしく 大みやう ふく日  かといてよし
«1704-0260»,«暦日0»,五〳,きのとのみ,たいら,,　,神よし 大みやう ちう日 めつもん 地火  けんふくよし
«1704-0270»,«暦日2»,六〳,ひのえむま,さたん,水,　,神よし 大みやう  わたましよし
«1704-0280»,«暦日0»,七〳,ひのとのひつし,とる,,　,神よし  かといてよし
«1704-0290»,«暦日2»,八〳,つちのえさる,やふる,土,　,わうまう  たねまきよし
«1704-0300»,«暦日0»,九〳,つちのとのとり,あやふ,,　,十し
«1704-0310»,«暦日2»,十〳,かのえいぬ,なる,金,　,●
«1704-0320»,«暦日0»,十一〳,かのとのい,おさん,,　,神よし 大みやう 大くわ ちう日
«1704-0330»,«暦日2»,十二〳,みつのえね,ひらく,木,八せんのはしめ,神よし 天火 らうしやく
«1704-0340»,«暦日0»,十三〳,みつのとのうし,とつ,,ま日,神よし きこ ちいみ  つめとりよし
«1704-0350»,«暦日2»,十四〳,きのえとら,たつ,水,　,くゑ日 ふく日
«1704-0360»,«暦日0»,十五〳,きのとのう,のそく,,　,神よし  ものたちよし
«1704-0370»,«暦日2»,十六〳,ひのえたつ,みつ,土,ま日,大みやう
«1704-0380»,«暦日0»,十七〳,ひのとのみ,たいら,,正月中みの二刻,ちう日 めつもん 地火
«1704-0390»,«暦日2»,十八〳,つちのえむま,さたん,火,ま日,神よし  ふねのりよし
«1704-0400»,«暦日0»,十九〳,つちのとのひつし,とる,,　,神よし 大みやう  かといて たねまきよし
