«1705-0000»,【 カンマ区切りテキスト形式です。】
«1705-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1705-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1705-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1705-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1705-0050»,【 外部リンク　】
«1705-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546783/74 ～ 78】
«1705-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1705h　(翻刻編集終了データを表成型して表示します)】
«1705-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1705ht (翻刻編集中データを表成型して表示します)】
«1705-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1705-0100»,«版元»,出版地○○,出版元□□□,　
«1705-0110»,«暦首»,宝永二年きのとのとり乃貞享暦,危宿|値年,凡三百八十四日
«1705-0120»,«大歳»,大さいとりの方,此方ニむかひて万よし|但木をきらす
«1705-0130»,«大將軍»,大しやうくんむまの方,いぬのとしまて|三年ふさかり
«1705-0140»,«大陰»,大おんひつしの方,此方ニむかひて|さんをせす
«1705-0150»,«歳徳»,としとくあきの方|さるとりの間万よし,たつ|,金神,|み
«1705-0160»,«歳刑»,さいけうとりの方,むかひて|たねまかす,土公,春はかま|秋は井,夏はかと|冬はには
«1705-0170»,«歳破»,さいはうの方,むかひてわたましせす|ふねのりはしめす,正月大,二月小,三月小
«1705-0180»,«歳煞»,さいせつたつの方,此方より|よめとらす,四月大|閏四月小,五月大,六月小
«1705-0190»,«黄幡»,わうはんうしの方,むかひて|弓はしめよし,七月大,八月大,九月小
«1705-0200»,«豹尾»,へうひひつしの方,むかひて大小へんせす|ちくるいもとめす,十月大,十一月大,十二月小
«1705-0210»,«月序»,正月,大,建,戊寅,室宿値月虛宿日曜値朔日
«1705-0220»,«正月»,一日,ひのえさる,あやふ,火,吉事始,はかため くらひらき ひめはしめ きそはしめ|ゆとのはしめ こしのりそめ万よし
«1705-0230»,«正月»,二日,ひのとのとり,なる,火,　,●
«1705-0240»,«正月»,三日,つちのえいぬ,おさむ,木,　,馬のりそめ ふねのりそめ 弓はしめ|あきなひはしめ すきそめ万よし
«1705-0250»,«暦日1»,四〳,つちのとのい,ひらく,木,　,ちう日 ふく日
«1705-0260»,«暦日2»,五〳,かのえね,とつ,土,　,神よし きこ ちいみ
«1705-0270»,«暦日0»,六〳,かのとのうし,たつ,,　,十し
«1705-0280»,«暦日2»,七〳,みつのえとら,のそく,金,　,大みやう  けんふく  つめとりよし
«1705-0290»,«暦日0»,八〳,みつのとのう,みつ,,　,神よし  わたましよし
«1705-0300»,«暦日2»,九〳,きのえたつ,たいら,火,　,大みやう 大くわ 地火
«1705-0310»,«暦日0»,十〳,きのとのみ,さたん,,　,大みやう ちう日 わうまう  いちたちよし
«1705-0320»,«暦日2»,十一〳,ひのえむま,とる,水,せつふん,神よし 大みやう  かといてよし
«1705-0330»,«暦日0»,十二〳,ひのとのひつし,とる,,立春正月せつみの四刻ニ入,神よし  かといてよし
«1705-0340»,«暦日2»,十三〳,つちのえさる,やふる,土,　,神よし きしく  たねまきよし
«1705-0350»,«暦日0»,十四〳,つちのとのとり,あやふ,,　,十し
«1705-0360»,«暦日2»,十五〳,かのえいぬ,なる,金,　,●
«1705-0370»,«暦日0»,十六〳,かのとのい,おさん,,　,神よし 大みやう 大くわ ちう日
«1705-0380»,«暦日2»,十七〳,みつのえね,ひらく,木,八せんのはしめ,神よし 天火 らうしやく
«1705-0390»,«暦日0»,十八〳,みつのとのうし,とつ,,ま日,きこ ちいみ わうまう  つめとりよし
«1705-0400»,«暦日2»,十九〳,きのえとら,たつ,水,　,くゑ日 ふく日
«1705-0410»,«暦日0»,廿〳,きのとのう,のそく,,　,神よし  ものたちよし
«1705-0420»,«暦日2»,廿一〳,ひのえたつ,みつ,土,ま日,大みやう
«1705-0430»,«暦日0»,廿二〳,ひのとのみ,たいら,,　,ちう日 めつもん 地火
«1705-0440»,«暦日2»,廿三〳,つちのえむま,さたん,火,ま日,神よし  ふねのりよし
«1705-0450»,«暦日0»,廿四〳,つちのとのひつし,とる,,　,神よし 大みやう  かといて たねまきよし
«1705-0460»,«暦日2»,廿五〳,かのえさる,やふる,木,　,神よし 大みやう ふく日
«1705-0470»,«暦日0»,廿六〳,かのとのとり,あやふ,,　,十し
«1705-0480»,«暦日2»,廿七〳,みつのえいぬ,なる,水,正月中さるの一刻|ま日,●
«1705-0490»,«暦日0»,廿八〳,みつのとのい,おさん,,八せんのおはり,大くわ ちう日  けんふくよし
«1705-0500»,«暦日2»,廿九〳,きのえね,ひらく,金,　,ふく日 天火 らうしやく
«1705-0510»,«暦日0»,卅〳,きのとのうし,とつ,,　,神よし きこ ちいみ  くらたて 井ほり  つめとりよし
«1705-0520»,«月序»,二月,小,建,己卯,壁宿　室　火よう
«1705-0530»,«暦日2»,一〳,ひのえとら,たつ,火,　, つめとりよし
«1705-0540»,«暦日0»,二〳,ひのとのう,のそく,,　,神よし  あさまきよし
«1705-0550»,«暦日2»,三〳,つちのえたつ,みつ,木,　,五む日  みそつくりよし
«1705-0560»,«暦日0»,四〳,つちのとのみ,たいら,,　,神よし ちう日 めつもん 地火  入学よし
«1705-0570»,«暦日2»,五〳,かのえむま,さたん,土,　,神よし ふく日
«1705-0580»,«暦日0»,六〳,かのとのひつし,とる,,　,大みやう  いちたちよし
«1705-0590»,«暦日2»,七〳,みつのえさる,やふる,金,　,神よし 大みやう
«1705-0600»,«暦日0»,八〳,みつのとのとり,あやふ,,　,十し
«1705-0610»,«暦日2»,九〳,きのえいぬ,なる,火,　,●
«1705-0620»,«暦日0»,十〳,きのとのい,おさん,,　,大くわ ちう日
«1705-0630»,«暦日2»,十一〳,ひのえね,ひらく,水,　,きしく 天火 らうしやく
«1705-0640»,«暦日0»,十二〳,ひのとのうし,ひらく,,二月せついぬの六刻ニ入,大みやう  ものたち  つめとりよし
«1705-0650»,«暦日2»,十三〳,つちのえとら,とつ,土,　,天しや よろつよし
«1705-0660»,«暦日0»,十四〳,つちのとのう,たつ,,　,大みやう くゑ日 天火 らうしやく
«1705-0670»,«暦日2»,十五〳,かのえたつ,のそく,金,　,●
«1705-0680»,«暦日0»,十六〳,かのとのみ,みつ,,　,十し
«1705-0690»,«暦日2»,十七〳,みつのえむま,たいら,木,　,神よし 大みやう 大くわ 地火
«1705-0700»,«暦日0»,十八〳,みつのとのひつし,さたん,,　,ちいみ
«1705-0710»,«暦日2»,十九〳,きのえさる,とる,水,十方くれニ入,神よし 大みやう  入学よし
«1705-0720»,«暦日0»,廿〳,きのとのとり,やふる,,　,ふく日
«1705-0730»,«暦日2»,廿一〳,ひのえいぬ,あやふ,土,　,さい下しき 五む日  あさまきよし
«1705-0740»,«暦日0»,廿二〳,ひのとのい,なる,,　,大みやう ちう日
«1705-0750»,«暦日2»,廿三〳,つちのえね,おさん,火,社日,めつもん  けんふく たねかしよし
«1705-0760»,«暦日0»,廿四〳,つちのとのうし,ひらく,,　, 井ほり  つめとりよし
«1705-0770»,«暦日2»,廿五〳,かのえとら,とつ,木,　,きこ わうまう  つめとりよし
«1705-0780»,«暦日0»,廿六〳,かのとのう,たつ,,　,ふく日 天火 らうしやく
«1705-0790»,«暦日2»,廿七〳,みつのえたつ,のそく,水,　,●
«1705-0800»,«暦日0»,廿八〳,みつのとのみ,みつ,,春分二月中うしの三刻|天一天上,十し
«1705-0810»,«暦日1»,廿九〳,きのえむま,たいら,金,　,神よし 大くわ 地火
«1705-0820»,«月序»,三月,小,建,庚辰,奎宿　壁　水よう
«1705-0830»,«暦日1»,一〳,きのとのひつし,さたん,金,ひかんニなる,大みやう 五む日 ちいみ ふく日  ふねのりよし
«1705-0840»,«暦日2»,二〳,ひのえさる,とる,火,　,神よし
«1705-0850»,«暦日0»,三〳,ひのとのとり,やふる,,　, あさまき たねかしよし
«1705-0860»,«暦日2»,四〳,つちのえいぬ,あやふ,木,　, かといてよし
«1705-0870»,«暦日0»,五〳,つちのとのい,なる,,　,神よし ちう日  みそすつくりよし
«1705-0880»,«暦日2»,六〳,かのえね,おさん,土,　,神よし めつもん  よめとり たねかしよし
«1705-0890»,«暦日0»,七〳,かのとのうし,ひらく,,　,五む日 ふく日  ものたち  つめとりよし
«1705-0900»,«暦日2»,八〳,みつのえとら,とつ,金,　,大みやう きこ  やたて くらたて  つめとりよし
«1705-0910»,«暦日0»,九〳,みつのとのう,たつ,,　,天火 らうしやく
«1705-0920»,«暦日2»,十〳,きのえたつ,のそく,火,　,●
«1705-0930»,«暦日0»,十一〳,きのとのみ,みつ,,　,十し
«1705-0940»,«暦日2»,十二〳,ひのえむま,たいら,水,　,神よし 大みやう 大くわ 地火
«1705-0950»,«暦日0»,十三〳,ひのとのひつし,さたん,,　,神よし ちいみ
