《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《0050》,# 外部リンク
《0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2535422/13 ～ 18
《0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1706g　(GitHub上データを表成型)
《0080》,# 　　　　　　 　http://hosi.org:3000/Note/1706h　(翻刻編集データを表成型 - 未実装)
《0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《0100》,《版元》,出版地○○,出版元□□□,　
《0110》,《暦首》,宝永三年ひのえいぬ乃貞享暦,室宿/値年,凡三百五十五日
《0120》,《大歳》,大さいいぬの方,此方ニむかひて万よし/但木をきらす
《0130》,《大將軍》,大しやうくんむまの方,いぬのとしまて/三年ふさかり
《0140》,《大陰》,大おんさるの方,此方ニむかひて/さんをせす
《0150》,《歳徳》,　,としとくあきの方/みむまの間万よし,ねうしとら/,金神,/うむまひつし
《0160》,《歳刑》,さいけうひつしの方,むかひて/たねまかす,土公,春はかま/秋は井,夏はかと/冬はには
《0170》,《歳破》,さいはたつの方,むかひてわたましせす/ふねのりはしめす,正月大,二月小,三月小
《0180》,《歳煞》,さいせつうしの方,此方より/よめとらす,四月大,五月小,六月小
《0190》,《黄幡》,わうはんいぬの方,むかひて/弓はしめよし,七月大,八月大,九月小
《0200》,《豹尾》,へうひたつの方,むかひて大小へんせす/ちくるいもとめす,十月大,十一月大,十二月大
《0210》,《月序》,正月,大,建,庚寅,星宿値月氐宿土曜値朔日
《0220》,《正月》,一日,かのえさる,やふる,木,吉事始,はかため くらひらき ひめはしめ きそはしめ/ゆとのはしめ こしのりそめ万よし
《0230》,《正月》,二日,かのとのとり,あやふ,木,　,馬のりそめ ふねのりそめ 弓はしめ/あきなひはしめ すきそめ万よし
《0240》,《三日》,三日,みつのえいぬ,なる,水,ま日,●
《0250》,《暦日1》,四／,みつのとのい,おさん,水,八せんのおはり,大くわ ちう日  けんふくよし
《0260》,《暦日2》,五／,きのえね,ひらく,金,　,ふく日 天火 らうしやく
《0270》,《暦日0》,六／,きのとのうし,とつ,,　,神よし きこ ちいみ  くらたて 井ほり  つめとりよし
《0280》,《暦日2》,七／,ひのえとら,たつ,火,　, つめとりよし
《0290》,《暦日0》,八／,ひのとのう,のそく,,正月中いの初刻,神よし  あさまきよし
《0300》,《暦日2》,九／,つちのえたつ,みつ,木,　,五む日  みそつくりよし
《0310》,《暦日0》,十／,つちのとのみ,たいら,,　,神よし ちう日 めつもん 地火  入学よし
《0320》,《暦日2》,十一／,かのえむま,さたん,土,　,神よし ふく日
《0330》,《暦日0》,十二／,かのとのひつし,とる,,　,大みやう  いちたちよし
《0340》,《暦日2》,十三／,みつのえさる,やふる,金,　,神よし 大みやう
《0350》,《暦日0》,十四／,みつのとのとり,あやふ,,　,十し
《0360》,《暦日2》,十五／,きのえいぬ,なる,火,　,●
《0370》,《暦日0》,十六／,きのとのい,おさん,,　,大くわ ちう日
《0380》,《暦日2》,十七／,ひのえね,ひらく,水,　,天火 らうしやく
《0390》,《暦日0》,十八／,ひのとのうし,とつ,,　,神よし 大みやう きこ ちいみ  ものたち 木こり  つめとりよし
《0400》,《暦日2》,十九／,つちのえとら,たつ,土,　,天しや よろつよし
