«1708-0000»,【 カンマ区切りテキスト形式です。】
«1708-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1708-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1708-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1708-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1708-0050»,【 外部リンク　】
«1708-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546783/88 ～ 92】
«1708-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1708h　(翻刻編集終了データを表成型して表示します)】
«1708-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1708ht (翻刻編集中データを表成型して表示します)】
«1708-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1708-0100»,«版元»,出版地○○,出版元□□□,　
«1708-0110»,«暦首»,宝永五年つちのえね乃貞享暦,奎宿|値年,凡三百八十四日
«1708-0120»,«大歳»,大さいねの方,此方ニむかひて万よし|但木をきらす
«1708-0130»,«大將軍»,大しやうくんとりの方,うしのとしまて|三年ふさかり
«1708-0140»,«大陰»,大おんいぬの方,此方ニむかひて|さんをせす
«1708-0150»,«歳徳»,としとくあきの方|みむまの間万よし,ねうし|,金神,|さるとり
«1708-0160»,«歳刑»,さいけううの方,むかひて|たねまかす,土公,春はかま|秋は井,夏はかと|冬はには
«1708-0170»,«歳破»,さいはむまの方,むかひてわたましせす|ふねのりはしめす,正月大|閏正月小,二月大,三月小
«1708-0180»,«歳煞»,さいせつひつしの方,此方より|よめとらす,四月小,五月大,六月小
«1708-0190»,«黄幡»,わうはんたつの方,むかひて|弓はしめよし,七月小,八月大,九月小
«1708-0200»,«豹尾»,へうひいぬの方,むかひて大小へんせす|ちくるいもとめす,十月大,十一月大,十二月大
«1708-0210»,«月序»,正月,大,建,甲寅,參宿値月危宿月曜値朔日
«1708-0220»,«正月»,一日,つちのとのとり,なる,土,　,●
«1708-0230»,«正月»,二日,かのえいぬ,おさむ,金,吉事始,はかため くらひらき ひめはしめ きそはしめ|ゆとのはしめ こしのりそめ万よし
«1708-0240»,«正月»,三日,かのとのい,ひらく,金,　,馬のりそめ ふねのりそめ 弓はしめ|あきなひはしめ すきそめ万よし
«1708-0250»,«暦日2»,四〳,みつのえね,とつ,木,八せんのはしめ,くゑ日 きこ ちいみ
«1708-0260»,«暦日0»,五〳,みつのとのうし,たつ,,ま日,十し
«1708-0270»,«暦日2»,六〳,きのえとら,のそく,水,　, 木こり  つめとりよし
«1708-0280»,«暦日0»,七〳,きのとのう,みつ,,　,神よし  ものたちよし
«1708-0290»,«暦日2»,八〳,ひのえたつ,たいら,土,ま日,大みやう 大くわ 地火
«1708-0300»,«暦日0»,九〳,ひのとのみ,さたん,,　,ちう日
«1708-0310»,«暦日2»,十〳,つちのえむま,とる,火,ま日,神よし ふく日  ふねのりよし
«1708-0320»,«暦日0»,十一〳,つちのとのひつし,やふる,,　,神よし 大みやう ふく日  かといてよし
«1708-0330»,«暦日2»,十二〳,かのえさる,あやふ,木,　,神よし きしく 大みやう  みそさけつくりよし
«1708-0340»,«暦日0»,十三〳,かのとのとり,なる,,　,●
«1708-0350»,«暦日2»,十四〳,みつのえいぬ,おさん,水,せつふん|ま日,めつもん  たねまきよし
«1708-0360»,«暦日0»,十五〳,みつのとのい,おさん,,立春正月せつとらの二刻ニ入|八せんのおはり,大くわ ちう日  けんふくよし
«1708-0370»,«暦日2»,十六〳,きのえね,ひらく,金,　,ふく日 天火 らうしやく
«1708-0380»,«暦日0»,十七〳,きのとのうし,とつ,,　,神よし きこ ちいみ  くらたて 井ほり  つめとりよし
«1708-0390»,«暦日2»,十八〳,ひのえとら,たつ,火,　, つめとりよし
«1708-0400»,«暦日0»,十九〳,ひのとのう,のそく,,　,神よし  あさまきよし
«1708-0410»,«暦日2»,廿〳,つちのえたつ,みつ,木,　,五む日  みそつくりよし
«1708-0420»,«暦日0»,廿一〳,つちのとのみ,たいら,,　,ちう日 めつもん 地火 わうまう  入学よし
«1708-0430»,«暦日2»,廿二〳,かのえむま,さたん,土,　,神よし ふく日
«1708-0440»,«暦日0»,廿三〳,かのとのひつし,とる,,　,大みやう  いちたちよし
«1708-0450»,«暦日2»,廿四〳,みつのえさる,やふる,金,　,神よし 大みやう
«1708-0460»,«暦日0»,廿五〳,みつのとのとり,あやふ,,　,十し
«1708-0470»,«暦日2»,廿六〳,きのえいぬ,なる,火,　,●
«1708-0480»,«暦日0»,廿七〳,きのとのい,おさん,,　,大くわ ちう日
«1708-0490»,«暦日2»,廿八〳,ひのえね,ひらく,水,　,天火 らうしやく
«1708-0500»,«暦日0»,廿九〳,ひのとのうし,とつ,,　,さい下しき 神よし 大みやう きこ ちいみ  ものたち 木こり  つめとりよし
«1708-0510»,«暦日1»,卅〳,つちのえとら,たつ,土,正月中たつの七刻,天しや よろつよし
«1708-0520»,«月序»,閏正月,小,隨節用之,壁　水よう
«1708-0530»,«暦日1»,一〳,つちのとのう,のそく,土,　,神よし 大みやう  みそさけつくり たねまきよし
«1708-0540»,«暦日2»,二〳,かのえたつ,みつ,金,　,ふく日
«1708-0550»,«暦日0»,三〳,かのとのみ,たいら,,　,ちう日 めつもん 地火
«1708-0560»,«暦日2»,四〳,みつのえむま,さたん,木,　,神よし 大みやう  木こりよし
«1708-0570»,«暦日0»,五〳,みつのとのひつし,とる,,　, たねまきよし
«1708-0580»,«暦日2»,六〳,きのえさる,やふる,水,十方くれニ入,神よし 大みやう ふく日
«1708-0590»,«暦日0»,七〳,きのとのとり,あやふ,,　,十し
«1708-0600»,«暦日2»,八〳,ひのえいぬ,なる,土,　,●
«1708-0610»,«暦日0»,九〳,ひのとのい,おさん,,　,大みやう 大くわ ちう日
«1708-0620»,«暦日2»,十〳,つちのえね,ひらく,火,　,きしく 天火 らうしやく  けんふく 入学よし
«1708-0630»,«暦日0»,十一〳,つちのとのうし,とつ,,　,きこ ちいみ  井ほり  つめとりよし
«1708-0640»,«暦日2»,十二〳,かのえとら,たつ,木,　,ふく日  つめとりよし
«1708-0650»,«暦日0»,十三〳,かのとのう,のそく,,　,くゑ日
«1708-0660»,«暦日2»,十四〳,みつのえたつ,みつ,水,　,大みやう 五む日
«1708-0670»,«暦日0»,十五〳,みつのとのみ,みつ,,二月せつひつしの四刻ニ入|天一天上,十し
«1708-0680»,«暦日2»,十六〳,きのえむま,たいら,金,　,神よし 大くわ 地火
«1708-0690»,«暦日0»,十七〳,きのとのひつし,さたん,,　,大みやう 五む日 ちいみ ふく日  ふねのりよし
«1708-0700»,«暦日2»,十八〳,ひのえさる,とる,火,　,神よし
«1708-0710»,«暦日0»,十九〳,ひのとのとり,やふる,,　, あさまき たねかしよし
«1708-0720»,«暦日2»,廿〳,つちのえいぬ,あやふ,木,　, かといてよし
«1708-0730»,«暦日0»,廿一〳,つちのとのい,なる,,　,神よし ちう日  みそすつくりよし
«1708-0740»,«暦日2»,廿二〳,かのえね,おさん,土,　,神よし めつもん  よめとり たねかしよし
«1708-0750»,«暦日0»,廿三〳,かのとのうし,ひらく,,　,五む日 ふく日  ものたち  つめとりよし
«1708-0760»,«暦日2»,廿四〳,みつのえとら,とつ,金,　,大みやう きこ  やたて くらたて  つめとりよし
«1708-0770»,«暦日0»,廿五〳,みつのとのう,たつ,,　,天火 らうしやく
«1708-0780»,«暦日2»,廿六〳,きのえたつ,のそく,火,　,●
«1708-0790»,«暦日0»,廿七〳,きのとのみ,みつ,,　,十し
«1708-0800»,«暦日2»,廿八〳,ひのえむま,たいら,水,　,大みやう 大くわ 地火 わうまう
«1708-0810»,«暦日0»,廿九〳,ひのとのひつし,さたん,,　,神よし ちいみ
«1708-0820»,«月序»,二月,大,建,乙卯,井宿　奎　木よう
«1708-0830»,«暦日2»,一〳,つちのえさる,とる,土,春分二月中いぬの初刻|社日,神よし  たねまきよし
«1708-0840»,«暦日0»,二〳,つちのとのとり,やふる,,　,大みやう
