《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《0050》,# 外部リンク
《0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546783/92 ～ 96
《0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1709g　(GitHub上データを表成型)
《0080》,# 　　　　　　 　http://hosi.org:3000/Note/1709h　(翻刻編集データを表成型 - 未実装)
《0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《0100》,《版元》,出版地○○,出版元□□□,　
《0110》,《暦首》,宝永六年つちのとのうし乃貞享暦,婁宿/値年,凡三百五十四日
《0120》,《大歳》,大さいうしの方,此方ニむかひて万よし/但木をきらす
《0130》,《大將軍》,大しやうくんとりの方,うしのとしまて/三年ふさかり
《0140》,《大陰》,大おんいの方,此方ニむかひて/さんをせす
《0150》,《歳徳》,　,としとくあきの方/とらうの間万よし,むまひつし/,金神,/さるとり
《0160》,《歳刑》,さいけういぬの方,むかひて/たねまかす,土公,春はかま/秋は井,夏はかと/冬はには
《0170》,《歳破》,さいはひつしの方,むかひてわたましせす/ふねのりはしめす,正月小,二月大,三月大
《0180》,《歳煞》,さいせつたつの方,此方より/よめとらす,四月小,五月小,六月大
《0190》,《黄幡》,わうはんうしの方,むかひて/弓はしめよし,七月小,八月小,九月大
《0200》,《豹尾》,へうひひつしの方,むかひて大小へんせす/ちくるいもとめす,十月小,十一月大,十二月大
《0210》,《月序》,正月,小,建,丙寅,心宿値月房宿日曜値朔日
《0220》,《正月》,一日,みつのとのとり,あやふ,金,吉事始,はかため くらひらき ひめはしめ きそはしめ/ゆとのはしめ こしのりそめ万よし
《0230》,《正月》,二日,きのえいぬ,なる,火,　,●
《0240》,《正月》,三日,きのとのい,おさむ,火,　,馬のりそめ ふねのりそめ 弓はしめ/あきなひはしめ すきそめ万よし
《0250》,《暦日2》,四／,ひのえね,ひらく,水,　,天火 らうしやく
《0260》,《暦日0》,五／,ひのとのうし,とつ,,　,神よし 大みやう きこ ちいみ  ものたち 木こり  つめとりよし
《0270》,《暦日2》,六／,つちのえとら,たつ,土,　,天しや よろつよし
《0280》,《暦日0》,七／,つちのとのう,のそく,,　,神よし 大みやう  みそさけつくり たねまきよし
《0290》,《暦日2》,八／,かのえたつ,みつ,金,　,ふく日
《0300》,《暦日0》,九／,かのとのみ,たいら,,　,ちう日 めつもん 地火
《0310》,《暦日2》,十／,みつのえむま,さたん,木,　,神よし 大みやう  木こりよし
《0320》,《暦日0》,十一／,みつのとのひつし,とる,,正月中ひつしの六刻, たねまきよし
《0330》,《暦日2》,十二／,きのえさる,やふる,水,十方くれニ入,神よし 大みやう ふく日
《0340》,《暦日0》,十三／,きのとのとり,あやふ,,　,十し
《0350》,《暦日2》,十四／,ひのえいぬ,なる,土,　,●
《0360》,《暦日0》,十五／,ひのとのい,おさん,,　,大みやう 大くわ ちう日
《0370》,《暦日2》,十六／,つちのえね,ひらく,火,　,天火 らうしやく  けんふく 入学よし
《0380》,《暦日0》,十七／,つちのとのうし,とつ,,　,きこ ちいみ  井ほり  つめとりよし
《0390》,《暦日2》,十八／,かのえとら,たつ,木,　,さい下しき ふく日  つめとりよし
《0400》,《暦日0》,十九／,かのとのう,のそく,,　,くゑ日
《0410》,《暦日2》,廿／,みつのえたつ,みつ,水,　,きしく 大みやう 五む日
《0420》,《暦日0》,廿一／,みつのとのみ,たいら,,天一天上,ちう日 めつもん 地火
《0430》,《暦日2》,廿二／,きのえむま,さたん,金,　,神よし ふく日  かといて ふねのりよし
《0440》,《暦日0》,廿三／,きのとのひつし,とる,,　,大みやう 五む日
《0450》,《暦日2》,廿四／,ひのえさる,やふる,火,　,神よし
《0460》,《暦日0》,廿五／,ひのとのとり,あやふ,,　,十し
《0470》,《暦日2》,廿六／,つちのえいぬ,あやふ,木,二月せついぬの三刻ニ入, かといてよし
《0480》,《暦日0》,廿七／,つちのとのい,なる,,　,神よし ちう日  みそすつくりよし
《0490》,《暦日2》,廿八／,かのえね,おさん,土,　,神よし めつもん  よめとり たねかしよし
《0500》,《暦日0》,廿九／,かのとのうし,ひらく,,　,五む日 ふく日  ものたち  つめとりよし
《0510》,《月序》,二月,大,建,丁卯,尾宿　心　月よう
《0520》,《暦日2》,一／,みつのえとら,とつ,金,　,大みやう きこ  やたて くらたて  つめとりよし
《0530》,《暦日0》,二／,みつのとのう,たつ,,　,天火 らうしやく
《0540》,《暦日2》,三／,きのえたつ,のそく,火,　,●
《0550》,《暦日0》,四／,きのとのみ,みつ,,　,十し
《0560》,《暦日2》,五／,ひのえむま,たいら,水,　,神よし 大みやう 大くわ 地火
《0570》,《暦日0》,六／,ひのとのひつし,さたん,,　,神よし ちいみ
《0580》,《暦日2》,七／,つちのえさる,とる,土,　,神よし  たねまきよし
《0590》,《暦日0》,八／,つちのとのとり,やふる,,　,大みやう
《0600》,《暦日2》,九／,かのえいぬ,あやふ,金,　,大みやう  けんふくよし
《0610》,《暦日0》,十／,かのとのい,なる,,　,神よし 大みやう ちう日 ふく日
《0620》,《暦日2》,十一／,みつのえね,おさん,木,八せんのはしめ,神よし めつもん  あさまきよし
《0630》,《暦日0》,十二／,みつのとのうし,ひらく,,ま日, つめとりよし
《0640》,《暦日2》,十三／,きのえとら,とつ,水,春分二月中うしの初刻,きこ  やたて  つめとりよし
《0650》,《暦日0》,十四／,きのとのう,たつ,,　,くゑ日 ふく日 天火 らうしやく
《0660》,《暦日2》,十五／,ひのえたつ,のそく,土,ま日/ひかんニなる,●
《0670》,《暦日0》,十六／,ひのとのみ,みつ,,　,十し
《0680》,《暦日2》,十七／,つちのえむま,たいら,火,ま日/社日,神よし 大くわ 地火
《0690》,《暦日0》,十八／,つちのとのひつし,さたん,,　,神よし 大みやう ちいみ  たねかしよし
《0700》,《暦日2》,十九／,かのえさる,とる,木,　,神よし きしく 大みやう
《0710》,《暦日0》,廿／,かのとのとり,やふる,,　,大みやう くゑ日 ふく日
《0720》,《暦日2》,廿一／,みつのえいぬ,あやふ,水,ま日, あさまきよし
《0730》,《暦日0》,廿二／,みつのとのい,なる,,八せんのおはり,ちう日  たねかしよし
《0740》,《暦日2》,廿三／,きのえね,おさん,金,　,めつもん
《0750》,《暦日0》,廿四／,きのとのうし,ひらく,,　,ふく日  ものたち  つめとりよし
《0760》,《暦日2》,廿五／,ひのえとら,とつ,火,　,きこ  つめとりよし
《0770》,《暦日0》,廿六／,ひのとのう,たつ,,　,天火 らうしやく
《0780》,《暦日2》,廿七／,つちのえたつ,のそく,木,　,●
《0790》,《暦日0》,廿八／,つちのとのみ,のそく,,三月せつうの五刻ニ入,神よし ちう日 ふく日  かといてよし
《0800》,《暦日2》,廿九／,かのえむま,みつ,土,　,神よし 天火 らうしやく  みそすつくりよし
《0810》,《暦日0》,卅／,かのとのひつし,たいら,,　,大みやう めつもん 地火
《0820》,《月序》,三月,大,建,戊辰,箕宿　箕　水よう
《0830》,《暦日2》,一／,みつのえさる,さたん,金,　,大みやう くゑ日
《0840》,《暦日0》,二／,みつのとのとり,とる,,　,神よし 大みやう
《0850》,《暦日2》,三／,きのえいぬ,やふる,火,　, くさかりよし
《0860》,《暦日0》,四／,きのとのい,あやふ,,　,●
《0870》,《暦日2》,五／,ひのえね,なる,水,　,きこ
《0880》,《暦日0》,六／,ひのとのうし,おさん,,　,十し
