《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《0050》,# 外部リンク
《0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546783/97 ～ 101
《0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1710g　(GitHub上データを表成型)
《0080》,# 　　　　　　 　http://hosi.org:3000/Note/1710h　(翻刻編集データを表成型 - 未実装)
《0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《0100》,《版元》,出版地○○,出版元□□□,　
《0110》,《暦首》,宝永七年かのえとら乃貞享暦,胃宿/値年,凡三百八十三日
《0120》,《大歳》,大さいとらの方,此方ニむかひて万よし/但木をきらす
《0130》,《大將軍》,大しやうくんねの方,たつのとしまて/三年ふさかり
《0140》,《大陰》,大おんねの方,此方ニむかひて/さんをせす
《0150》,《歳徳》,　,としとくあきの方/さるとりの間万よし,たつ/,金神,/み
《0160》,《歳刑》,さいけうみの方,むかひて/たねまかす,土公,春はかま/秋は井,夏はかと/冬はには
《0170》,《歳破》,さいはさるの方,むかひてわたましせす/ふねのりはしめす,正月小,二月大,三月大
《0180》,《歳煞》,さいせつうしの方,此方より/よめとらす,四月小,五月大,六月小
《0190》,《黄幡》,わうはんいぬの方,むかひて/弓はしめよし,七月大,八月小/閏八月小,九月大
《0200》,《豹尾》,へうひたつの方,むかひて大小へんせす/ちくるいもとめす,十月小,十一月大,十二月小
《0210》,《月序》,正月,小,建,戊寅,胃宿値月井宿木曜値朔日
《0220》,《正月》,一日,ひのとのう,みつ,火,吉事始,はかため くらひらき ひめはしめ きそはしめ/ゆとのはしめ こしのりそめ万よし
《0230》,《正月》,二日,つちのえたつ,たいら,木,　,馬のりそめ ふねのりそめ 弓はしめ/あきなひはしめ すきそめ万よし
《0240》,《三日》,三日,つちのとのみ,さたむ,木,　,ちう日 ふく日
《0250》,《暦日2》,四／,かのえむま,とる,土,　,神よし
《0260》,《暦日0》,五／,かのとのひつし,やふる,,　,大みやう  かといてよし
《0270》,《暦日2》,六／,みつのえさる,あやふ,金,せつふん,大みやう わうまう
《0280》,《暦日0》,七／,みつのとのとり,あやふ,,立春正月せつさるの初刻ニ入,十し
《0290》,《暦日2》,八／,きのえいぬ,なる,火,　,●
《0300》,《暦日0》,九／,きのとのい,おさん,,　,大くわ ちう日
《0310》,《暦日2》,十／,ひのえね,ひらく,水,　,天火 らうしやく
《0320》,《暦日0》,十一／,ひのとのうし,とつ,,　,神よし 大みやう きこ ちいみ  ものたち 木こり  つめとりよし
《0330》,《暦日2》,十二／,つちのえとら,たつ,土,　,天しや よろつよし
《0340》,《暦日0》,十三／,つちのとのう,のそく,,　,大みやう わうまう  みそさけつくり たねまきよし
《0350》,《暦日2》,十四／,かのえたつ,みつ,金,　,ふく日
《0360》,《暦日0》,十五／,かのとのみ,たいら,,　,ちう日 めつもん 地火
《0370》,《暦日2》,十六／,みつのえむま,さたん,木,　,神よし 大みやう  木こりよし
《0380》,《暦日0》,十七／,みつのとのひつし,とる,,　, たねまきよし
《0390》,《暦日2》,十八／,きのえさる,やふる,水,十方くれニ入,神よし 大みやう ふく日
《0400》,《暦日0》,十九／,きのとのとり,あやふ,,　,十し
《0410》,《暦日2》,廿／,ひのえいぬ,なる,土,　,●
