《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《0050》,# 外部リンク
《0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546784/11 ～ 15
《0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1712g　(GitHub上データを表成型)
《0080》,# 　　　　　　 　http://hosi.org:3000/Note/1712h　(翻刻編集データを表成型 - 未実装)
《0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《0100》,《版元》,出版地○○,出版元□□□,　
《0110》,《暦首》,正徳二年みつのえたつ乃貞享暦,畢宿/値年,凡三百五十四日
《0120》,《大歳》,大さいたつの方,此方ニむかひて万よし/但木をきらす
《0130》,《大將軍》,大しやうくんねの方,たつのとしまて/三年ふさかり
《0140》,《大陰》,大おんとらの方,此方ニむかひて/さんをせす
《0150》,《歳徳》,　,としとくあきの方/いねの間万よし,とらう/,金神,/いぬい
《0160》,《歳刑》,さいけうたつの方,むかひて/たねまかす,土公,春はかま/秋は井,夏はかと/冬はには
《0170》,《歳破》,さいはいぬの方,むかひてわたましせす/ふねのりはしめす,正月小,二月大,三月大
《0180》,《歳煞》,さいせつひつしの方,此方より/よめとらす,四月小,五月大,六月小
《0190》,《黄幡》,わうはんたつの方,むかひて/弓はしめよし,七月大,八月大,九月小
《0200》,《豹尾》,へうひいぬの方,むかひて大小へんせす/ちくるいもとめす,十月大,十一月小,十二月小
《0210》,《月序》,正月,小,建,壬寅,室宿値月房宿日曜値朔日
《0220》,《正月》,一日,きのとのとり,あやふ,水,吉事始,はかため くらひらき ひめはしめ きそはしめ/ゆとのはしめ こしのりそめ万よし
《0230》,《正月》,二日,ひのえいぬ,なる,土,　,●
《0240》,《正月》,三日,ひのとのい,おさむ,土,　,馬のりそめ ふねのりそめ 弓はしめ/あきなひはしめ すきそめ万よし
《0250》,《暦日2》,四／,つちのえね,ひらく,火,　,天火 らうしやく  けんふく 入学よし
《0260》,《暦日0》,五／,つちのとのうし,とつ,,　,きこ ちいみ  井ほり  つめとりよし
《0270》,《暦日2》,六／,かのえとら,たつ,木,　,ふく日 わうまう  つめとりよし
《0280》,《暦日0》,七／,かのとのう,のそく,,　,くゑ日
《0290》,《暦日2》,八／,みつのえたつ,みつ,水,　,大みやう 五む日
《0300》,《暦日0》,九／,みつのとのみ,たいら,,天一天上,ちう日 めつもん 地火
《0310》,《暦日2》,十／,きのえむま,さたん,金,　,神よし ふく日  かといて ふねのりよし
《0320》,《暦日0》,十一／,きのとのひつし,とる,,　,大みやう 五む日
《0330》,《暦日2》,十二／,ひのえさる,やふる,火,　,神よし
《0340》,《暦日0》,十三／,ひのとのとり,あやふ,,　,十し
《0350》,《暦日2》,十四／,つちのえいぬ,なる,木,　,●
《0360》,《暦日0》,十五／,つちのとのい,おさん,,正月中たつの三刻,神よし 大くわ ちう日
《0370》,《暦日2》,十六／,かのえね,ひらく,土,　,神よし ふく日 天火 らうしやく
《0380》,《暦日0》,十七／,かのとのうし,とつ,,　,神よし 五む日 きこ ちいみ  ものたち  つめとりよし
《0390》,《暦日2》,十八／,みつのえとら,たつ,金,　,大みやう  かといて  つめとりよし
《0400》,《暦日0》,十九／,みつのとのう,のそく,,　,神よし  あさまきよし
《0410》,《暦日2》,廿／,きのえたつ,みつ,火,　,きしく 大みやう ふく日  かといてよし
《0420》,《暦日0》,廿一／,きのとのみ,たいら,,　,神よし 大みやう ちう日 めつもん 地火  けんふくよし
《0430》,《暦日2》,廿二／,ひのえむま,さたん,水,　,神よし 大みやう  わたましよし
《0440》,《暦日0》,廿三／,ひのとのひつし,とる,,　,神よし  かといてよし
《0450》,《暦日2》,廿四／,つちのえさる,やふる,土,　,神よし  たねまきよし
《0460》,《暦日0》,廿五／,つちのとのとり,あやふ,,　,十し
《0470》,《暦日2》,廿六／,かのえいぬ,なる,金,　,●
《0480》,《暦日0》,廿七／,かのとのい,おさん,,　,神よし 大みやう 大くわ ちう日
《0490》,《暦日2》,廿八／,みつのえね,ひらく,木,八せんのはしめ,神よし 天火 らうしやく
《0500》,《暦日0》,廿九／,みつのとのうし,とつ,,ま日,神よし きこ ちいみ  つめとりよし
《0510》,《月序》,二月,大,建,癸卯,壁宿　心　月よう
《0520》,《暦日2》,一／,きのえとら,とつ,水,二月せつひつしの初刻ニ入,きこ  やたて  つめとりよし
《0530》,《暦日0》,二／,きのとのう,たつ,,　,くゑ日 ふく日 天火 らうしやく
《0540》,《暦日2》,三／,ひのえたつ,のそく,土,ま日,●
《0550》,《暦日0》,四／,ひのとのみ,みつ,,　,十し
《0560》,《暦日2》,五／,つちのえむま,たいら,火,ま日,神よし 大くわ 地火
《0570》,《暦日0》,六／,つちのとのひつし,さたん,,　,神よし 大みやう ちいみ  たねかしよし
《0580》,《暦日2》,七／,かのえさる,とる,木,　,神よし 大みやう
《0590》,《暦日0》,八／,かのとのとり,やふる,,　,大みやう くゑ日 ふく日
《0600》,《暦日2》,九／,みつのえいぬ,あやふ,水,ま日, あさまきよし
《0610》,《暦日0》,十／,みつのとのい,なる,,八せんのおはり,ちう日  たねかしよし
《0620》,《暦日2》,十一／,きのえね,おさん,金,　,めつもん
《0630》,《暦日0》,十二／,きのとのうし,ひらく,,　,ふく日  ものたち  つめとりよし
《0640》,《暦日2》,十三／,ひのえとら,とつ,火,　,きこ  つめとりよし
《0650》,《暦日0》,十四／,ひのとのう,たつ,,　,天火 らうしやく わうまう
《0660》,《暦日2》,十五／,つちのえたつ,のそく,木,社日,●
《0670》,《暦日0》,十六／,つちのとのみ,みつ,,春分二月中とりの五刻,十し
《0680》,《暦日2》,十七／,かのえむま,たいら,土,　,神よし 大くわ 地火
《0690》,《暦日0》,十八／,かのとのひつし,さたん,,ひかんニなる,大みやう ちいみ ふく日  くらたて 井ほりよし
《0700》,《暦日2》,十九／,みつのえさる,とる,金,　,神よし きしく 大みやう  入学よし
《0710》,《暦日0》,廿／,みつのとのとり,やふる,,　,大みやう  やたてよし
《0720》,《暦日2》,廿一／,きのえいぬ,あやふ,火,　, かといてよし
《0730》,《暦日0》,廿二／,きのとのい,なる,,　,ちう日 ふく日  みそすつくりよし
《0740》,《暦日2》,廿三／,ひのえね,おさん,水,　,めつもん  たねかしよし
《0750》,《暦日0》,廿四／,ひのとのうし,ひらく,,　,大みやう  ものたち  つめとりよし
《0760》,《暦日2》,廿五／,つちのえとら,とつ,土,　,天しや よろつよし
《0770》,《暦日0》,廿六／,つちのとのう,たつ,,　,大みやう くゑ日 天火 らうしやく
《0780》,《暦日2》,廿七／,かのえたつ,のそく,金,　,●
《0790》,《暦日0》,廿八／,かのとのみ,みつ,,　,十し
《0800》,《暦日2》,廿九／,みつのえむま,たいら,木,　,神よし 大みやう 大くわ 地火
《0810》,《暦日0》,卅／,みつのとのひつし,さたん,,　,ちいみ
《0820》,《月序》,三月,大,建,甲辰,奎宿　箕　水よう
《0830》,《暦日2》,一／,きのえさる,さたん,水,三月せつ夜ねの二刻ニ入/十方くれニ入,大みやう くゑ日
《0840》,《暦日0》,二／,きのとのとり,とる,,　,神よし  くさかりよし
《0850》,《暦日2》,三／,ひのえいぬ,やふる,土,　,五む日
《0860》,《暦日0》,四／,ひのとのい,あやふ,,　,●
《0870》,《暦日2》,五／,つちのえね,なる,火,　,きこ ふく日
《0880》,《暦日0》,六／,つちのとのうし,おさん,,　,十し
《0890》,《暦日2》,七／,かのえとら,ひらく,木,　,ちいみ  いちたち  つめとりよし
《0900》,《暦日0》,八／,かのとのう,とつ,,　,神よし  わたまし ものたちよし
《0910》,《暦日2》,九／,みつのえたつ,たつ,水,　,大みやう 五む日
《0920》,《暦日0》,十／,みつのとのみ,のそく,,天一天上,ちう日  けんふくよし
《0930》,《暦日2》,十一／,きのえむま,みつ,金,　,神よし 天火 らうしやく  ふねのりよし
《0940》,《暦日0》,十二／,きのとのひつし,たいら,,　,大みやう 五む日 めつもん 地火  ものたちよし
《0950》,《暦日2》,十三／,ひのえさる,さたん,火,　,くゑ日
《0960》,《暦日0》,十四／,ひのとのとり,とる,,とようとらの三刻ニ入,神よし  いちたちよし
《0970》,《暦日2》,十五／,つちのえいぬ,やふる,木,　,ふく日
《0980》,《暦日0》,十六／,つちのとのい,あやふ,,　,●
《0990》,《暦日2》,十七／,かのえね,なる,土,三月中とらの七刻,神よし きしく きこ
《1000》,《暦日0》,十八／,かのとのうし,おさん,,　,十し
《1010》,《暦日2》,十九／,みつのえとら,ひらく,金,　,大みやう ちいみ  つめとりよし
《1020》,《暦日0》,廿／,みつのとのう,とつ,,　,神よし  けんふく かといてよし
《1030》,《暦日2》,廿一／,きのえたつ,たつ,火,　,大みやう くゑ日 わうまう
《1040》,《暦日0》,廿二／,きのとのみ,のそく,,　,神よし 大みやう ちう日  ふねのりよし
《1050》,《暦日2》,廿三／,ひのえむま,みつ,水,　,神よし 大みやう 天火 らうしやく
《1060》,《暦日0》,廿四／,ひのとのひつし,たいら,,　,神よし めつもん 地火
《1070》,《暦日2》,廿五／,つちのえさる,さたん,土,　,くゑ日 ふく日
《1080》,《暦日0》,廿六／,つちのとのとり,とる,,　,神よし 大みやう ふく日
《1090》,《暦日2》,廿七／,かのえいぬ,やふる,金,　,大みやう
《1100》,《暦日0》,廿八／,かのとのい,あやふ,,八十八や,●
《1110》,《暦日2》,廿九／,みつのえね,なる,木,八せんのはしめ,神よし きこ
《1120》,《暦日0》,卅／,みつのとのうし,おさん,,ま日,十し
《1130》,《月序》,四月,小,建,乙巳,婁宿　牛　金よう
《1140》,《暦日2》,一／,きのえとら,ひらく,水,　,ちいみ  やたて  つめとりよし
《1150》,《暦日0》,二／,きのとのう,ひらく,,立夏四月せつみの四刻ニ入,神よし  さひらきよし
《1160》,《暦日2》,三／,ひのえたつ,とつ,土,ま日,大みやう ふく日
《1170》,《暦日0》,四／,ひのとのみ,たつ,,　,●
《1180》,《暦日2》,五／,つちのえむま,のそく,火,ま日,くゑ日
《1190》,《暦日0》,六／,つちのとのひつし,みつ,,　,大みやう くゑ日
《1200》,《暦日2》,七／,かのえさる,たいら,木,　,神よし 大みやう ちいみ 大くわ 地火
《1210》,《暦日0》,八／,かのとのとり,さたん,,　,十し
