《1715-0000》,# カンマ区切りテキスト形式です。
《1715-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1715-0020》,# ・表の区画内での改行は“/”で表記します。
《1715-0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《1715-0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《1715-0050》,# 外部リンク
《1715-0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546784/29 ～ 33
《1715-0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1715g　(GitHub上データを表成型)
《1715-0080》,# 　　　　　　 　http://hosi.org:3000/Note/1715h　(翻刻編集データを表成型 - 未実装)
《1715-0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《1715-0100》,《版元》,出版地○○,出版元□□□,　
《1715-0110》,《暦首》,正徳五年きのとのひつし乃貞享暦,井宿/値年,凡三百五十五日
《1715-0120》,《大歳》,大さいひつしの方,此方ニむかひて万よし/但木をきらす
《1715-0130》,《大將軍》,大しやうくんうの方,ひつしのとしまて/三年ふさかり
《1715-0140》,《大陰》,大おんみの方,此方ニむかひて/さんをせす
《1715-0150》,《歳徳》,としとくあきの方/さるとりの間万よし,たつ/,金神,/み
《1715-0160》,《歳刑》,さいけううしの方,むかひて/たねまかす,土公,春はかま/秋は井,夏はかと/冬はには
《1715-0170》,《歳破》,さいはうしの方,むかひてわたましせす/ふねのりはしめす,正月大,二月小,三月小
《1715-0180》,《歳煞》,さいせついぬの方,此方より/よめとらす,四月大,五月小,六月小
《1715-0190》,《黄幡》,わうはんひつしの方,むかひて/弓はしめよし,七月大,八月大,九月小
《1715-0200》,《豹尾》,へうひうしの方,むかひて大小へんせす/ちくるいもとめす,十月大,十一月大,十二月大
《1715-0210》,《月序》,正月,大,建,戊寅,參宿値月心宿月曜値朔日
《1715-0220》,《正月》,一日,つちのえいぬ,おさむ,木,吉事始/せつふん,はかため くらひらき ひめはしめ きそはしめ/ゆとのはしめ こしのりそめ万よし
《1715-0230》,《正月》,二日,つちのとのい,おさむ,木,立春正月せついぬの四刻ニ入,馬のりそめ ふねのりそめ 弓はしめ/あきなひはしめ すきそめ万よし
《1715-0240》,《三日》,三日,かのえね,ひらく,土,　,神よし ふく日 天火 らうしやく
《1715-0250》,《暦日1》,四／,かのとのうし,とつ,土,　,神よし 五む日 きこ ちいみ  ものたち  つめとりよし
《1715-0260》,《暦日2》,五／,みつのえとら,たつ,金,　,大みやう  かといて  つめとりよし
《1715-0270》,《暦日0》,六／,みつのとのう,のそく,,　,神よし  あさまきよし
《1715-0280》,《暦日2》,七／,きのえたつ,みつ,火,　,大みやう ふく日  かといてよし
《1715-0290》,《暦日0》,八／,きのとのみ,たいら,,　,大みやう ちう日 めつもん 地火 わうまう  けんふくよし
《1715-0300》,《暦日2》,九／,ひのえむま,さたん,水,　,神よし 大みやう  わたましよし
《1715-0310》,《暦日0》,十／,ひのとのひつし,とる,,　,神よし  かといてよし
《1715-0320》,《暦日2》,十一／,つちのえさる,やふる,土,　,神よし  たねまきよし
《1715-0330》,《暦日0》,十二／,つちのとのとり,あやふ,,　,十し
《1715-0340》,《暦日2》,十三／,かのえいぬ,なる,金,　,●
《1715-0350》,《暦日0》,十四／,かのとのい,おさん,,　,神よし 大みやう 大くわ ちう日
《1715-0360》,《暦日2》,十五／,みつのえね,ひらく,木,八せんのはしめ,神よし 天火 らうしやく
《1715-0370》,《暦日0》,十六／,みつのとのうし,とつ,,ま日,神よし きこ ちいみ  つめとりよし
《1715-0380》,《暦日2》,十七／,きのえとら,たつ,水,　,くゑ日 ふく日
《1715-0390》,《暦日0》,十八／,きのとのう,のそく,,正月中うしの一刻,神よし  ものたちよし
《1715-0400》,《暦日2》,十九／,ひのえたつ,みつ,土,ま日,きしく 大みやう
《1715-0410》,《暦日0》,廿／,ひのとのみ,たいら,,　,ちう日 めつもん 地火
《1715-0420》,《暦日2》,廿一／,つちのえむま,さたん,火,ま日,神よし  ふねのりよし
《1715-0430》,《暦日0》,廿二／,つちのとのひつし,とる,,　,神よし 大みやう  かといて たねまきよし
《1715-0440》,《暦日2》,廿三／,かのえさる,やふる,木,　,さい下しき 神よし 大みやう ふく日
《1715-0450》,《暦日0》,廿四／,かのとのとり,あやふ,,　,十し
《1715-0460》,《暦日2》,廿五／,みつのえいぬ,なる,水,ま日,●
《1715-0470》,《暦日0》,廿六／,みつのとのい,おさん,,八せんのおはり,大くわ ちう日  けんふくよし
《1715-0480》,《暦日2》,廿七／,きのえね,ひらく,金,　,ふく日 天火 らうしやく
《1715-0490》,《暦日0》,廿八／,きのとのうし,とつ,,　,神よし きこ ちいみ  くらたて 井ほり  つめとりよし
《1715-0500》,《暦日2》,廿九／,ひのえとら,たつ,火,　, つめとりよし
《1715-0510》,《暦日0》,卅／,ひのとのう,のそく,,　,神よし  あさまきよし
《1715-0520》,《月序》,二月,小,建,己卯,井宿　箕　水よう
《1715-0530》,《暦日2》,一／,つちのえたつ,みつ,木,　,五む日  みそつくりよし
《1715-0540》,《暦日0》,二／,つちのとのみ,たいら,,　,神よし ちう日 めつもん 地火  入学よし
《1715-0550》,《暦日2》,三／,かのえむま,たいら,土,二月せつうの六刻ニ入,神よし 大くわ 地火
《1715-0560》,《暦日0》,四／,かのとのひつし,さたん,,　,大みやう ちいみ ふく日  くらたて 井ほりよし
《1715-0570》,《暦日2》,五／,みつのえさる,とる,金,　,神よし 大みやう  入学よし
《1715-0580》,《暦日0》,六／,みつのとのとり,やふる,,　,大みやう  やたてよし
《1715-0590》,《暦日2》,七／,きのえいぬ,あやふ,火,　, かといてよし
《1715-0600》,《暦日0》,八／,きのとのい,なる,,　,ちう日 ふく日  みそすつくりよし
《1715-0610》,《暦日2》,九／,ひのえね,おさん,水,　,めつもん  たねかしよし
《1715-0620》,《暦日0》,十／,ひのとのうし,ひらく,,　,大みやう  ものたち  つめとりよし
《1715-0630》,《暦日2》,十一／,つちのえとら,とつ,土,　,天しや よろつよし
《1715-0640》,《暦日0》,十二／,つちのとのう,たつ,,　,大みやう くゑ日 天火 らうしやく
《1715-0650》,《暦日2》,十三／,かのえたつ,のそく,金,　,●
《1715-0660》,《暦日0》,十四／,かのとのみ,みつ,,　,十し
《1715-0670》,《暦日2》,十五／,みつのえむま,たいら,木,　,神よし 大みやう 大くわ 地火
《1715-0680》,《暦日0》,十六／,みつのとのひつし,さたん,,　,ちいみ わうまう
《1715-0690》,《暦日2》,十七／,きのえさる,とる,水,十方くれニ入,神よし きしく 大みやう  入学よし
《1715-0700》,《暦日0》,十八／,きのとのとり,やふる,,春分二月中むまの三刻,ふく日
《1715-0710》,《暦日2》,十九／,ひのえいぬ,あやふ,土,　,五む日  あさまきよし
《1715-0720》,《暦日0》,廿／,ひのとのい,なる,,ひかんニなる,大みやう ちう日
《1715-0730》,《暦日2》,廿一／,つちのえね,おさん,火,社日,めつもん  けんふく たねかしよし
《1715-0740》,《暦日0》,廿二／,つちのとのうし,ひらく,,　, 井ほり  つめとりよし
《1715-0750》,《暦日2》,廿三／,かのえとら,とつ,木,　,きこ  つめとりよし
《1715-0760》,《暦日0》,廿四／,かのとのう,たつ,,　,ふく日 天火 らうしやく
《1715-0770》,《暦日2》,廿五／,みつのえたつ,のそく,水,　,●
《1715-0780》,《暦日0》,廿六／,みつのとのみ,みつ,,天一天上,十し
《1715-0790》,《暦日2》,廿七／,きのえむま,たいら,金,　,神よし 大くわ 地火
《1715-0800》,《暦日0》,廿八／,きのとのひつし,さたん,,　,大みやう 五む日 ちいみ ふく日  ふねのりよし
《1715-0810》,《暦日1》,廿九／,ひのえさる,とる,火,　,神よし
《1715-0820》,《月序》,三月,小,建,庚辰,鬼宿　斗　木よう
《1715-0830》,《暦日1》,一／,ひのとのとり,やふる,火,　, あさまき たねかしよし
《1715-0840》,《暦日2》,二／,つちのえいぬ,あやふ,木,　, かといてよし
