《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《0050》,# 外部リンク
《0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546784/39 ～ 44
《0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1717g　(GitHub上データを表成型)
《0080》,# 　　　　　　 　http://hosi.org:3000/Note/1717h　(翻刻編集データを表成型 - 未実装)
《0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《0100》,《版元》,出版地○○,出版元□□□,　
《0110》,《暦首》,享保二年ひのとのとり乃貞享暦,柳宿/値年,凡三百五十四日
《0120》,《大歳》,大さいとりの方,此方ニむかひて万よし/但木をきらす
《0130》,《大將軍》,大しやうくんむまの方,いぬのとしまて/三年ふさかり
《0140》,《大陰》,大おんひつしの方,此方ニむかひて/さんをせす
《0150》,《歳徳》,　,としとくあきの方/いねの間万よし,とらう/,金神,/いぬい
《0160》,《歳刑》,さいけうとりの方,むかひて/たねまかす,土公,春はかま/秋は井,夏はかと/冬はには
《0170》,《歳破》,さいはうの方,むかひてわたましせす/ふねのりはしめす,正月大,二月大,三月小
《0180》,《歳煞》,さいせつたつの方,此方より/よめとらす,四月小,五月大,六月小
《0190》,《黄幡》,わうはんうしの方,むかひて/弓はしめよし,七月小,八月大,九月小
《0200》,《豹尾》,へうひひつしの方,むかひて大小へんせす/ちくるいもとめす,十月大,十一月大,十二月小
《0210》,《月序》,正月,大,建,壬寅,胃宿値月奎宿木曜値朔日
《0220》,《正月》,一日,ひのえたつ,みつ,土,吉事始/ま日,はかため くらひらき ひめはしめ きそはしめ/ゆとのはしめ こしのりそめ万よし
《0230》,《正月》,二日,ひのとのみ,たいら,土,　,馬のりそめ ふねのりそめ 弓はしめ/あきなひはしめ すきそめ万よし
《0240》,《三日》,三日,つちのえむま,さたむ,火,ま日,神よし
《0250》,《暦日1》,四／,つちのとのひつし,とる,火,　,神よし 大みやう  かといて たねまきよし
《0260》,《暦日2》,五／,かのえさる,やふる,木,　,神よし 大みやう ふく日
《0270》,《暦日0》,六／,かのとのとり,あやふ,,　,十し
《0280》,《暦日2》,七／,みつのえいぬ,なる,水,ま日,●
《0290》,《暦日0》,八／,みつのとのい,おさん,,八せんのおはり,大くわ ちう日  けんふくよし
《0300》,《暦日2》,九／,きのえね,ひらく,金,　,きしく ふく日 天火 らうしやく
《0310》,《暦日0》,十／,きのとのうし,とつ,,正月中むまの八刻,神よし きこ ちいみ  くらたて 井ほり  つめとりよし
《0320》,《暦日2》,十一／,ひのえとら,たつ,火,　, つめとりよし
《0330》,《暦日0》,十二／,ひのとのう,のそく,,　,神よし  あさまきよし
《0340》,《暦日2》,十三／,つちのえたつ,みつ,木,　,五む日  みそつくりよし
《0350》,《暦日0》,十四／,つちのとのみ,たいら,,　,神よし ちう日 めつもん 地火  入学よし
《0360》,《暦日2》,十五／,かのえむま,さたん,土,　,神よし ふく日
《0370》,《暦日0》,十六／,かのとのひつし,とる,,　,大みやう  いちたちよし
《0380》,《暦日2》,十七／,みつのえさる,やふる,金,　,神よし 大みやう
《0390》,《暦日0》,十八／,みつのとのとり,あやふ,,　,十し
《0400》,《暦日2》,十九／,きのえいぬ,なる,火,　,●
《0410》,《暦日0》,廿／,きのとのい,おさん,,　,大くわ ちう日
《0420》,《暦日2》,廿一／,ひのえね,ひらく,水,　,天火 らうしやく
《0430》,《暦日0》,廿二／,ひのとのうし,とつ,,　,神よし 大みやう きこ ちいみ  ものたち 木こり  つめとりよし
《0440》,《暦日2》,廿三／,つちのえとら,たつ,土,　,天しや よろつよし
《0450》,《暦日0》,廿四／,つちのとのう,のそく,,　,神よし 大みやう  みそさけつくり たねまきよし
《0460》,《暦日2》,廿五／,かのえたつ,のそく,金,二月せつとりの四刻ニ入,●
《0470》,《暦日0》,廿六／,かのとのみ,みつ,,　,十し
《0480》,《暦日2》,廿七／,みつのえむま,たいら,木,　,神よし 大みやう 大くわ 地火
《0490》,《暦日0》,廿八／,みつのとのひつし,さたん,,　,ちいみ
《0500》,《暦日2》,廿九／,きのえさる,とる,水,十方くれニ入,神よし 大みやう  入学よし
《0510》,《暦日0》,卅／,きのとのとり,やふる,,　,ふく日
《0520》,《月序》,二月,大,建,癸卯,昴宿　胃　土よう
《0530》,《暦日2》,一／,ひのえいぬ,あやふ,土,　,さい下しき 五む日  あさまきよし
《0540》,《暦日0》,二／,ひのとのい,なる,,　,大みやう ちう日
《0550》,《暦日2》,三／,つちのえね,おさん,火,　,めつもん  けんふく たねかしよし
《0560》,《暦日0》,四／,つちのとのうし,ひらく,,　, 井ほり  つめとりよし
《0570》,《暦日2》,五／,かのえとら,とつ,木,　,きこ  つめとりよし
《0580》,《暦日0》,六／,かのとのう,たつ,,　,ふく日 天火 らうしやく
《0590》,《暦日2》,七／,みつのえたつ,のそく,水,　,●
《0600》,《暦日0》,八／,みつのとのみ,みつ,,天一天上,十し
《0610》,《暦日2》,九／,きのえむま,たいら,金,　,神よし 大くわ 地火
《0620》,《暦日0》,十／,きのとのひつし,さたん,,春分二月中夜ねの一刻,大みやう 五む日 ちいみ ふく日  ふねのりよし
《0630》,《暦日2》,十一／,ひのえさる,とる,火,　,神よし
《0640》,《暦日0》,十二／,ひのとのとり,やふる,,ひかんニなる, あさまき たねかしよし
《0650》,《暦日2》,十三／,つちのえいぬ,あやふ,木,社日, かといてよし
《0660》,《暦日0》,十四／,つちのとのい,なる,,　,神よし ちう日  みそすつくりよし
《0670》,《暦日2》,十五／,かのえね,おさん,土,　,神よし めつもん  よめとり たねかしよし
《0680》,《暦日0》,十六／,かのとのうし,ひらく,,　,五む日 ふく日  ものたち  つめとりよし
《0690》,《暦日2》,十七／,みつのえとら,とつ,金,　,大みやう きこ  やたて くらたて  つめとりよし
