《1719-0000》,# カンマ区切りテキスト形式です。
《1719-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1719-0020》,# ・表の区画内での改行は“/”で表記します。
《1719-0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《1719-0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《1719-0050》,# 外部リンク
《1719-0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546784/50 ～ 54
《1719-0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1719g　(GitHub上データを表成型)
《1719-0080》,# 　　　　　　 　http://hosi.org:3000/Note/1719h　(翻刻編集データを表成型 - 未実装)
《1719-0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《1719-0100》,《版元》,出版地○○,出版元□□□,　
《1719-0110》,《暦首》,享保四年つちのとのい乃貞享暦,張宿/値年,凡三百五十四日
《1719-0120》,《大歳》,大さいいの方,此方ニむかひて万よし/但木をきらす
《1719-0130》,《大將軍》,大しやうくんとりの方,うしのとしまて/三年ふさかり
《1719-0140》,《大陰》,大おんとりの方,此方ニむかひて/さんをせす
《1719-0150》,《歳徳》,　,としとくあきの方/とらうの間万よし,むまひつし/,金神,/さるとり
《1719-0160》,《歳刑》,さいけういの方,むかひて/たねまかす,土公,春はかま/秋は井,夏はかと/冬はには
《1719-0170》,《歳破》,さいはみの方,むかひてわたましせす/ふねのりはしめす,正月大,二月大,三月小
《1719-0180》,《歳煞》,さいせついぬの方,此方より/よめとらす,四月大,五月小,六月大
《1719-0190》,《黄幡》,わうはんひつしの方,むかひて/弓はしめよし,七月小,八月小,九月大
《1719-0200》,《豹尾》,へうひうしの方,むかひて大小へんせす/ちくるいもとめす,十月小,十一月大,十二月小
《1719-0210》,《月序》,正月,大,建,丙寅,室宿値月星宿日曜値朔日
《1719-0220》,《正月》,一日,きのえいぬ,なる,火,　,●
《1719-0230》,《食記》,日帯そく三分
《1719-0240》,《正月》,二日,きのとのい,おさむ,火,吉事始,はかため くらひらき ひめはしめ きそはしめ/ゆとのはしめ こしのりそめ万よし
《1719-0250》,《正月》,三日,ひのえね,ひらく,水,正月中ねの六刻,馬のりそめ ふねのりそめ 弓はしめ/あきなひはしめ すきそめ万よし
《1719-0260》,《暦日1》,四／,ひのとのうし,とつ,水,　,神よし 大みやう きこ ちいみ  ものたち 木こり  つめとりよし
《1719-0270》,《暦日2》,五／,つちのえとら,たつ,土,　,天しや よろつよし
《1719-0280》,《暦日0》,六／,つちのとのう,のそく,,　,神よし 大みやう  みそさけつくり たねまきよし
《1719-0290》,《暦日2》,七／,かのえたつ,みつ,金,　,ふく日
《1719-0300》,《暦日0》,八／,かのとのみ,たいら,,　,ちう日 めつもん 地火
《1719-0310》,《暦日2》,九／,みつのえむま,さたん,木,　,神よし 大みやう  木こりよし
《1719-0320》,《暦日0》,十／,みつのとのひつし,とる,,　, たねまきよし
《1719-0330》,《暦日2》,十一／,きのえさる,やふる,水,十方くれニ入,神よし 大みやう ふく日
《1719-0340》,《暦日0》,十二／,きのとのとり,あやふ,,　,十し
《1719-0350》,《暦日2》,十三／,ひのえいぬ,なる,土,　,●
《1719-0360》,《暦日0》,十四／,ひのとのい,おさん,,　,大みやう 大くわ ちう日
《1719-0370》,《暦日2》,十五／,つちのえね,ひらく,火,　,天火 らうしやく  けんふく 入学よし
《1719-0380》,《暦日0》,十六／,つちのとのうし,とつ,,　,きこ ちいみ  つめとりよし
《1719-0390》,《食記》,月帯そく五分
《1719-0400》,《暦日2》,十七／,かのえとら,たつ,木,　,ふく日  つめとりよし
《1719-0410》,《暦日0》,十八／,かのとのう,たつ,,二月せつうの三刻ニ入,ふく日 天火 らうしやく
《1719-0420》,《暦日2》,十九／,みつのえたつ,のそく,水,　,●
《1719-0430》,《暦日0》,廿／,みつのとのみ,みつ,,天一天上,十し
《1719-0440》,《暦日2》,廿一／,きのえむま,たいら,金,　,神よし 大くわ 地火
《1719-0450》,《暦日0》,廿二／,きのとのひつし,さたん,,　,大みやう 五む日 ちいみ ふく日  ふねのりよし
《1719-0460》,《暦日2》,廿三／,ひのえさる,とる,火,　,神よし
