《1720-0000》,# カンマ区切りテキスト形式です。
《1720-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1720-0020》,# ・表の区画内での改行は“/”で表記します。
《1720-0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《1720-0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《1720-0050》,# 外部リンク
《1720-0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546784/54 ～ 58
《1720-0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1720g　(GitHub上データを表成型)
《1720-0080》,# 　　　　　　 　http://hosi.org:3000/Note/1720h　(翻刻編集データを表成型 - 未実装)
《1720-0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《1720-0100》,《版元》,出版地○○,出版元□□□,　
《1720-0110》,《暦首》,享保五年かのえね乃貞享暦,翼宿/値年,凡三百五十五日
《1720-0120》,《大歳》,大さいねの方,此方ニむかひて万よし/但木をきらす
《1720-0130》,《大將軍》,大しやうくんとりの方,うしのとしまて/三年ふさかり
《1720-0140》,《大陰》,大おんいぬの方,此方ニむかひて/さんをせす
《1720-0150》,《歳徳》,　,としとくあきの方/さるとりの間万よし,たつ/,金神,/み
《1720-0160》,《歳刑》,さいけううの方,むかひて/たねまかす,土公,春はかま/秋は井,夏はかと/冬はには
《1720-0170》,《歳破》,さいはむまの方,むかひてわたましせす/ふねのりはしめす,正月大,二月大,三月小
《1720-0180》,《歳煞》,さいせつひつしの方,此方より/よめとらす,四月大,五月大,六月小
《1720-0190》,《黄幡》,わうはんたつの方,むかひて/弓はしめよし,七月大,八月小,九月小
《1720-0200》,《豹尾》,へうひいぬの方,むかひて大小へんせす/ちくるいもとめす,十月大,十一月小,十二月大
《1720-0210》,《月序》,正月,大,建,戊寅,星宿値月奎宿木曜値朔日
《1720-0220》,《正月》,一日,つちのえたつ,みつ,木,吉事始,はかため くらひらき ひめはしめ きそはしめ/ゆとのはしめ こしのりそめ万よし
《1720-0230》,《正月》,二日,つちのとのみ,たいら,木,　,馬のりそめ ふねのりそめ 弓はしめ/あきなひはしめ すきそめ万よし
《1720-0240》,《三日》,三日,かのえむま,さたむ,土,　,神よし ふく日
《1720-0250》,《暦日1》,四／,かのとのひつし,とる,土,　,大みやう  いちたちよし
《1720-0260》,《暦日2》,五／,みつのえさる,やふる,金,　,大みやう わうまう
《1720-0270》,《暦日0》,六／,みつのとのとり,あやふ,,　,十し
《1720-0280》,《暦日2》,七／,きのえいぬ,なる,火,　,●
《1720-0290》,《暦日0》,八／,きのとのい,おさん,,　,大くわ ちう日
《1720-0300》,《暦日2》,九／,ひのえね,ひらく,水,　,きしく 天火 らうしやく
《1720-0310》,《暦日0》,十／,ひのとのうし,とつ,,　,さい下しき 神よし 大みやう きこ ちいみ  ものたち 木こり  つめとりよし
《1720-0320》,《暦日2》,十一／,つちのえとら,たつ,土,　,天しや よろつよし
《1720-0330》,《暦日0》,十二／,つちのとのう,のそく,,　,神よし 大みやう  みそさけつくり たねまきよし
《1720-0340》,《暦日2》,十三／,かのえたつ,みつ,金,　,ふく日
《1720-0350》,《暦日0》,十四／,かのとのみ,たいら,,正月中うの五刻,ちう日 めつもん 地火
《1720-0360》,《暦日2》,十五／,みつのえむま,さたん,木,　,神よし 大みやう  木こりよし
《1720-0370》,《暦日0》,十六／,みつのとのひつし,とる,,　, たねまきよし
《1720-0380》,《暦日2》,十七／,きのえさる,やふる,水,十方くれニ入,神よし 大みやう ふく日
《1720-0390》,《暦日0》,十八／,きのとのとり,あやふ,,　,十し
《1720-0400》,《暦日2》,十九／,ひのえいぬ,なる,土,　,●
《1720-0410》,《暦日0》,廿／,ひのとのい,おさん,,　,大みやう 大くわ ちう日
《1720-0420》,《暦日2》,廿一／,つちのえね,ひらく,火,　,天火 らうしやく  けんふく 入学よし
《1720-0430》,《暦日0》,廿二／,つちのとのうし,とつ,,　,きこ ちいみ  井ほり  つめとりよし
《1720-0440》,《暦日2》,廿三／,かのえとら,たつ,木,　,ふく日  つめとりよし
《1720-0450》,《暦日0》,廿四／,かのとのう,のそく,,　,くゑ日
《1720-0460》,《暦日2》,廿五／,みつのえたつ,みつ,水,　,大みやう 五む日
《1720-0470》,《暦日0》,廿六／,みつのとのみ,たいら,,天一天上,ちう日 めつもん 地火
《1720-0480》,《暦日2》,廿七／,きのえむま,さたん,金,　,神よし ふく日  かといて ふねのりよし
《1720-0490》,《暦日0》,廿八／,きのとのひつし,とる,,　,大みやう 五む日
《1720-0500》,《暦日2》,廿九／,ひのえさる,とる,火,二月せつむまの二刻ニ入,神よし
《1720-0510》,《暦日0》,卅／,ひのとのとり,やふる,,　, あさまき たねかしよし
《1720-0520》,《月序》,二月,大,建,己卯,張宿　胃　土よう
《1720-0530》,《暦日2》,一／,つちのえいぬ,あやふ,木,　, かといてよし
《1720-0540》,《暦日0》,二／,つちのとのい,なる,,　,神よし ちう日  みそすつくりよし
《1720-0550》,《暦日2》,三／,かのえね,おさん,土,　,神よし めつもん  よめとり たねかしよし
《1720-0560》,《暦日0》,四／,かのとのうし,ひらく,,　,五む日 ふく日  ものたち  つめとりよし
《1720-0570》,《暦日2》,五／,みつのえとら,とつ,金,　,大みやう きこ  やたて くらたて  つめとりよし
《1720-0580》,《暦日0》,六／,みつのとのう,たつ,,　,天火 らうしやく
《1720-0590》,《暦日2》,七／,きのえたつ,のそく,火,　,●
《1720-0600》,《暦日0》,八／,きのとのみ,みつ,,　,十し
《1720-0610》,《暦日2》,九／,ひのえむま,たいら,水,　,神よし 大みやう 大くわ 地火
《1720-0620》,《暦日0》,十／,ひのとのひつし,さたん,,　,神よし ちいみ
《1720-0630》,《暦日2》,十一／,つちのえさる,とる,土,社日,神よし  たねまきよし
《1720-0640》,《暦日0》,十二／,つちのとのとり,やふる,,　,大みやう わうまう
《1720-0650》,《暦日2》,十三／,かのえいぬ,あやふ,金,　,大みやう  けんふくよし
《1720-0660》,《暦日0》,十四／,かのとのい,なる,,春分二月中さるの七刻,神よし 大みやう ちう日 ふく日
《1720-0670》,《暦日2》,十五／,みつのえね,おさん,木,八せんのはしめ,神よし めつもん  あさまきよし
