«1721-0000»,【 カンマ区切りテキスト形式です。】
«1721-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1721-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1721-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1721-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1721-0050»,【 外部リンク　】
«1721-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546784/59 ～ 67】
«1721-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1721h　(翻刻編集終了データを表成型して表示します)】
«1721-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1721ht (翻刻編集中データを表成型して表示します)】
«1721-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1721-0100»,«版元»,出版地○○,出版元□□□,　
«1721-0110»,«暦首»,享保六年かのとのうし乃貞享暦,軫宿|値年,凡三百八十四日
«1721-0120»,«大歳»,大さいうしの方,此方ニむかひて万よし|但木をきらす
«1721-0130»,«大將軍»,大しやうくんとりの方,うしのとしまて|三年ふさかり
«1721-0140»,«大陰»,大おんいの方,此方ニむかひて|さんをせす
«1721-0150»,«歳徳»,としとくあきの方|みむまの間万よし,ねうしとら|,金神,|うむまひつし
«1721-0160»,«歳刑»,さいけういぬの方,むかひて|たねまかす,土公,春はかま|秋は井,夏はかと|冬はには
«1721-0170»,«歳破»,さいはひつしの方,むかひてわたましせす|ふねのりはしめす,正月小,二月大,三月小
«1721-0180»,«歳煞»,さいせつたつの方,此方より|よめとらす,四月大,五月大,六月小
«1721-0190»,«黄幡»,わうはんうしの方,むかひて|弓はしめよし,七月大|閏七月小,八月大,九月小
«1721-0200»,«豹尾»,へうひひつしの方,むかひて大小へんせす|ちくるいもとめす,十月大,十一月小,十二月大
«1721-0210»,«月序»,正月,小,建,庚寅,牛宿値月尾宿火曜値朔日
«1721-0220»,«正月»,一日,みつのとのい,ひらく,水,吉事始|八せんのおはり,はかため くらひらき ひめはしめ きそはしめ|ゆとのはしめ こしのりそめ万よし
«1721-0230»,«正月»,二日,きのえね,とつ,金,　,天しや よろつよし
«1721-0240»,«正月»,三日,きのとのうし,たつ,金,　,馬のりそめ ふねのりそめ 弓はしめ|あきなひはしめ すきそめ万よし
«1721-0250»,«暦日2»,四〳,ひのえとら,のそく,火,　, けんふく  つめとりよし
«1721-0260»,«暦日0»,五〳,ひのとのう,みつ,,　,神よし
«1721-0270»,«暦日2»,六〳,つちのえたつ,たいら,木,　,五む日 大くわ ふく日 地火
«1721-0280»,«暦日0»,七〳,つちのとのみ,さたん,,　,ちう日 ふく日 わうまう
«1721-0290»,«暦日2»,八〳,かのえむま,とる,土,せつふん,神よし
«1721-0300»,«暦日0»,九〳,かのとのひつし,とる,,立春正月せつうの七刻ニ入,大みやう  いちたちよし
«1721-0310»,«暦日2»,十〳,みつのえさる,やふる,金,　,神よし 大みやう
«1721-0320»,«暦日0»,十一〳,みつのとのとり,あやふ,,　,十し
«1721-0330»,«暦日2»,十二〳,きのえいぬ,なる,火,　,●
«1721-0340»,«暦日0»,十三〳,きのとのい,おさん,,　,大くわ ちう日
«1721-0350»,«暦日2»,十四〳,ひのえね,ひらく,水,　,天火 らうしやく
«1721-0360»,«暦日0»,十五〳,ひのとのうし,とつ,,　,大みやう きこ ちいみ わうまう  ものたち 木こり  つめとりよし
«1721-0370»,«暦日2»,十六〳,つちのえとら,たつ,土,　,天しや よろつよし
«1721-0380»,«暦日0»,十七〳,つちのとのう,のそく,,　,神よし 大みやう  みそさけつくり たねまきよし
«1721-0390»,«暦日2»,十八〳,かのえたつ,みつ,金,　,きしく ふく日
«1721-0400»,«暦日0»,十九〳,かのとのみ,たいら,,　,ちう日 めつもん 地火
«1721-0410»,«暦日2»,廿〳,みつのえむま,さたん,木,　,神よし 大みやう  木こりよし
«1721-0420»,«暦日0»,廿一〳,みつのとのひつし,とる,,　, たねまきよし
«1721-0430»,«暦日2»,廿二〳,きのえさる,やふる,水,十方くれニ入,神よし 大みやう ふく日
«1721-0440»,«暦日0»,廿三〳,きのとのとり,あやふ,,　,十し
«1721-0450»,«暦日2»,廿四〳,ひのえいぬ,なる,土,正月中むまの四刻,●
«1721-0460»,«暦日0»,廿五〳,ひのとのい,おさん,,　,大みやう 大くわ ちう日
«1721-0470»,«暦日2»,廿六〳,つちのえね,ひらく,火,　,天火 らうしやく  けんふく 入学よし
«1721-0480»,«暦日0»,廿七〳,つちのとのうし,とつ,,　,きこ ちいみ  井ほり  つめとりよし
«1721-0490»,«暦日2»,廿八〳,かのえとら,たつ,木,　,さい下しき ふく日  つめとりよし
«1721-0500»,«暦日0»,廿九〳,かのとのう,のそく,,　,くゑ日
«1721-0510»,«月序»,二月,大,建,辛卯,女宿　箕　水よう
«1721-0520»,«暦日2»,一〳,みつのえたつ,みつ,水,　,大みやう 五む日
«1721-0530»,«暦日0»,二〳,みつのとのみ,たいら,,天一天上,ちう日 めつもん 地火
«1721-0540»,«暦日2»,三〳,きのえむま,さたん,金,　,神よし ふく日  かといて ふねのりよし
«1721-0550»,«暦日0»,四〳,きのとのひつし,とる,,　,大みやう 五む日
«1721-0560»,«暦日2»,五〳,ひのえさる,やふる,火,　,神よし
«1721-0570»,«暦日0»,六〳,ひのとのとり,あやふ,,　,十し
«1721-0580»,«暦日2»,七〳,つちのえいぬ,なる,木,　,●
«1721-0590»,«暦日0»,八〳,つちのとのい,おさん,,　,神よし 大くわ ちう日
«1721-0600»,«暦日2»,九〳,かのえね,ひらく,土,　,神よし ふく日 天火 らうしやく
«1721-0610»,«暦日0»,十〳,かのとのうし,ひらく,,二月せつとりの一刻ニ入,五む日 ふく日  ものたち  つめとりよし
«1721-0620»,«暦日2»,十一〳,みつのえとら,とつ,金,　,大みやう きこ  やたて くらたて  つめとりよし
«1721-0630»,«暦日0»,十二〳,みつのとのう,たつ,,　,天火 らうしやく
«1721-0640»,«暦日2»,十三〳,きのえたつ,のそく,火,　,●
«1721-0650»,«暦日0»,十四〳,きのとのみ,みつ,,　,十し
«1721-0660»,«暦日2»,十五〳,ひのえむま,たいら,水,　,神よし 大みやう 大くわ 地火
