«1723-0000»,【 カンマ区切りテキスト形式です。】
«1723-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1723-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1723-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1723-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1723-0050»,【 外部リンク　】
«1723-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546784/72 ～ 80】
«1723-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1723h　(翻刻編集終了データを表成型して表示します)】
«1723-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1723ht (翻刻編集中データを表成型して表示します)】
«1723-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1723-0100»,«版元»,出版地○○,出版元□□□,　
«1723-0110»,«暦首»,享保八年みつのとのう乃貞享暦,亢宿|値年,凡三百五十五日
«1723-0120»,«大歳»,大さいうの方,此方ニむかひて万よし|但木をきらす
«1723-0130»,«大將軍»,大しやうくんねの方,たつのとしまて|三年ふさかり
«1723-0140»,«大陰»,大おんうしの方,此方ニむかひて|さんをせす
«1723-0150»,«歳徳»,としとくあきの方|みむまの間万よし,ねうし|,金神,|さるとり
«1723-0160»,«歳刑»,さいけうねの方,むかひて|たねまかす,土公,春はかま|秋は井,夏はかと|冬はには
«1723-0170»,«歳破»,さいはとりの方,むかひてわたましせす|ふねのりはしめす,正月大,二月小,三月大
«1723-0180»,«歳煞»,さいせついぬの方,此方より|よめとらす,四月小,五月小,六月大
«1723-0190»,«黄幡»,わうはんひつしの方,むかひて|弓はしめよし,七月大,八月小,九月大
«1723-0200»,«豹尾»,へうひうしの方,むかひて大小へんせす|ちくるいもとめす,十月大,十一月小,十二月大
«1723-0210»,«月序»,正月,大,建,甲寅,心宿値月婁宿金曜値朔日
«1723-0220»,«正月»,一日,かのとのみ,たいら,金,立春正月せつとりの六刻ニ入|吉事始,はかため くらひらき ひめはしめ きそはしめ|ゆとのはしめ こしのりそめ万よし
«1723-0230»,«正月»,二日,みつのえむま,さたむ,木,　,馬のりそめ ふねのりそめ 弓はしめ|あきなひはしめ すきそめ万よし
«1723-0240»,«三日»,三日,みつのとのひつし,とる,木,　
«1723-0250»,«暦日2»,四〳,きのえさる,やふる,水,十方くれニ入,神よし 大みやう ふく日
«1723-0260»,«暦日0»,五〳,きのとのとり,あやふ,,　,十し
«1723-0270»,«暦日2»,六〳,ひのえいぬ,なる,土,　,●
«1723-0280»,«暦日0»,七〳,ひのとのい,おさん,,　,大みやう 大くわ ちう日 わうまう
«1723-0290»,«暦日2»,八〳,つちのえね,ひらく,火,　,きしく 天火 らうしやく  けんふく 入学よし
«1723-0300»,«暦日0»,九〳,つちのとのうし,とつ,,　,きこ ちいみ  井ほり  つめとりよし
«1723-0310»,«暦日2»,十〳,かのえとら,たつ,木,　,ふく日  つめとりよし
«1723-0320»,«暦日0»,十一〳,かのとのう,のそく,,　,くゑ日
«1723-0330»,«暦日2»,十二〳,みつのえたつ,みつ,水,　,さい下しき 大みやう 五む日
«1723-0340»,«暦日0»,十三〳,みつのとのみ,たいら,,天一天上,ちう日 めつもん 地火
«1723-0350»,«暦日2»,十四〳,きのえむま,さたん,金,　,神よし ふく日  かといて ふねのりよし
«1723-0360»,«暦日0»,十五〳,きのとのひつし,とる,,　,大みやう 五む日
«1723-0370»,«暦日2»,十六〳,ひのえさる,やふる,火,正月中夜ねの二刻,神よし
«1723-0380»,«暦日0»,十七〳,ひのとのとり,あやふ,,　,十し
«1723-0390»,«暦日2»,十八〳,つちのえいぬ,なる,木,　,●
«1723-0400»,«暦日0»,十九〳,つちのとのい,おさん,,　,神よし 大くわ ちう日
«1723-0410»,«暦日2»,廿〳,かのえね,ひらく,土,　,神よし ふく日 天火 らうしやく
«1723-0420»,«暦日0»,廿一〳,かのとのうし,とつ,,　,神よし 五む日 きこ ちいみ  ものたち  つめとりよし
«1723-0430»,«暦日2»,廿二〳,みつのえとら,たつ,金,　,大みやう  かといて  つめとりよし
«1723-0440»,«暦日0»,廿三〳,みつのとのう,のそく,,　,神よし  あさまきよし
«1723-0450»,«暦日2»,廿四〳,きのえたつ,みつ,火,　,大みやう ふく日  かといてよし
«1723-0460»,«暦日0»,廿五〳,きのとのみ,たいら,,　,神よし 大みやう ちう日 めつもん 地火  けんふくよし
«1723-0470»,«暦日2»,廿六〳,ひのえむま,さたん,水,　,神よし 大みやう  わたましよし
«1723-0480»,«暦日0»,廿七〳,ひのとのひつし,とる,,　,神よし  かといてよし
«1723-0490»,«暦日2»,廿八〳,つちのえさる,やふる,土,　,神よし  たねまきよし
«1723-0500»,«暦日0»,廿九〳,つちのとのとり,あやふ,,　,十し
«1723-0510»,«暦日1»,卅〳,かのえいぬ,なる,金,　,●
«1723-0520»,«月序»,二月,小,建,乙卯,尾宿　昴　日よう
«1723-0530»,«暦日1»,一〳,かのとのい,おさん,金,　,神よし 大みやう 大くわ ちう日
«1723-0540»,«暦日2»,二〳,みつのえね,おさん,木,二月せつとらの八刻ニ入|八せんのはしめ,神よし めつもん  あさまきよし
«1723-0550»,«暦日0»,三〳,みつのとのうし,ひらく,,ま日, つめとりよし
«1723-0560»,«暦日2»,四〳,きのえとら,とつ,水,　,きこ  やたて  つめとりよし
«1723-0570»,«暦日0»,五〳,きのとのう,たつ,,　,くゑ日 ふく日 天火 らうしやく 金性の人うけニ入
«1723-0580»,«暦日2»,六〳,ひのえたつ,のそく,土,ま日,●
«1723-0590»,«暦日0»,七〳,ひのとのみ,みつ,,　,十し
«1723-0600»,«暦日2»,八〳,つちのえむま,たいら,火,ま日,神よし 大くわ 地火
«1723-0610»,«暦日0»,九〳,つちのとのひつし,さたん,,　,神よし 大みやう ちいみ  たねかしよし
«1723-0620»,«暦日2»,十〳,かのえさる,とる,木,　,神よし 大みやう
«1723-0630»,«暦日0»,十一〳,かのとのとり,やふる,,　,大みやう くゑ日 ふく日
«1723-0640»,«暦日2»,十二〳,みつのえいぬ,あやふ,水,ま日, あさまきよし
«1723-0650»,«暦日0»,十三〳,みつのとのい,なる,,八せんのおはり,ちう日  たねかしよし
«1723-0660»,«暦日2»,十四〳,きのえね,おさん,金,　,めつもん
«1723-0670»,«暦日0»,十五〳,きのとのうし,ひらく,,　,ふく日 わうまう  ものたち  つめとりよし
«1723-0680»,«暦日2»,十六〳,ひのえとら,とつ,火,　,きこ  つめとりよし
«1723-0690»,«暦日0»,十七〳,ひのとのう,たつ,,春分二月中みの五刻,天火 らうしやく
«1723-0700»,«暦日2»,十八〳,つちのえたつ,のそく,木,社日,●
«1723-0710»,«暦日0»,十九〳,つちのとのみ,みつ,,ひかんニなる,十し
«1723-0720»,«暦日2»,廿〳,かのえむま,たいら,土,　,神よし 大くわ 地火
«1723-0730»,«暦日0»,廿一〳,かのとのひつし,さたん,,　,大みやう ちいみ ふく日  くらたて 井ほりよし
«1723-0740»,«暦日2»,廿二〳,みつのえさる,とる,金,　,神よし 大みやう  入学よし
«1723-0750»,«暦日0»,廿三〳,みつのとのとり,やふる,,　,大みやう  やたてよし
«1723-0760»,«暦日2»,廿四〳,きのえいぬ,あやふ,火,　, かといてよし
«1723-0770»,«暦日0»,廿五〳,きのとのい,なる,,　,ちう日 ふく日  みそすつくりよし
«1723-0780»,«暦日2»,廿六〳,ひのえね,おさん,水,　,めつもん  たねかしよし
«1723-0790»,«暦日0»,廿七〳,ひのとのうし,ひらく,,　,大みやう  ものたち  つめとりよし
«1723-0800»,«暦日2»,廿八〳,つちのえとら,とつ,土,　,天しや よろつよし
«1723-0810»,«暦日0»,廿九〳,つちのとのう,たつ,,　,大みやう くゑ日 天火 らうしやく
«1723-0820»,«月序»,三月,大,建,丙辰,箕宿　畢　月よう
«1723-0830»,«暦日2»,一〳,かのえたつ,のそく,金,　,●
«1723-0840»,«暦日0»,二〳,かのとのみ,みつ,,　,十し
«1723-0850»,«暦日2»,三〳,みつのえむま,みつ,木,三月せつさるの一刻ニ入,神よし 大みやう 天火 らうしやく
«1723-0860»,«暦日0»,四〳,みつのとのひつし,たいら,,　,めつもん 地火
«1723-0870»,«暦日2»,五〳,きのえさる,さたん,水,十方くれニ入,きしく 大みやう くゑ日
«1723-0880»,«暦日0»,六〳,きのとのとり,とる,,　,神よし  くさかりよし
«1723-0890»,«暦日2»,七〳,ひのえいぬ,やふる,土,　,五む日
«1723-0900»,«暦日0»,八〳,ひのとのい,あやふ,,　,●
«1723-0910»,«暦日2»,九〳,つちのえね,なる,火,　,きこ ふく日
«1723-0920»,«暦日0»,十〳,つちのとのうし,おさん,,　,十し
«1723-0930»,«暦日2»,十一〳,かのえとら,ひらく,木,　,ちいみ  いちたち  つめとりよし
«1723-0940»,«暦日0»,十二〳,かのとのう,とつ,,　,神よし  わたまし ものたちよし
«1723-0950»,«暦日2»,十三〳,みつのえたつ,たつ,水,　,さい下しき 大みやう 五む日
«1723-0960»,«暦日0»,十四〳,みつのとのみ,のそく,,天一天上,ちう日  けんふくよし
«1723-0970»,«暦日2»,十五〳,きのえむま,みつ,金,とよういぬの二刻ニ入,神よし 天火 らうしやく  ふねのりよし
«1723-0980»,«暦日0»,十六〳,きのとのひつし,たいら,,　,大みやう 五む日 めつもん 地火  ものたちよし
«1723-0990»,«暦日2»,十七〳,ひのえさる,さたん,火,　,くゑ日
«1723-1000»,«暦日0»,十八〳,ひのとのとり,とる,,三月中いぬの七刻,神よし  いちたちよし
«1723-1010»,«暦日2»,十九〳,つちのえいぬ,やふる,木,　,ふく日
«1723-1020»,«暦日0»,廿〳,つちのとのい,あやふ,,　,●
«1723-1030»,«暦日2»,廿一〳,かのえね,なる,土,　,神よし きこ
«1723-1040»,«暦日0»,廿二〳,かのとのうし,おさん,,　,十し
«1723-1050»,«暦日2»,廿三〳,みつのえとら,ひらく,金,　,大みやう ちいみ わうまう  つめとりよし
«1723-1060»,«暦日0»,廿四〳,みつのとのう,とつ,,　,神よし  けんふく かといてよし
«1723-1070»,«暦日2»,廿五〳,きのえたつ,たつ,火,　,大みやう くゑ日
«1723-1080»,«暦日0»,廿六〳,きのとのみ,のそく,,　,神よし 大みやう ちう日  ふねのりよし
«1723-1090»,«暦日2»,廿七〳,ひのえむま,みつ,水,　,神よし 大みやう 天火 らうしやく
«1723-1100»,«暦日0»,廿八〳,ひのとのひつし,たいら,,　,神よし めつもん 地火
«1723-1110»,«暦日2»,廿九〳,つちのえさる,さたん,土,八十八や,くゑ日 ふく日
«1723-1120»,«暦日0»,卅〳,つちのとのとり,とる,,　,神よし 大みやう ふく日
«1723-1130»,«月序»,四月,小,建,丁巳,斗宿　參　水よう
«1723-1140»,«暦日2»,一〳,かのえいぬ,やふる,金,　,大みやう
«1723-1150»,«暦日0»,二〳,かのとのい,あやふ,,　,●
«1723-1160»,«暦日2»,三〳,みつのえね,なる,木,八せんのはしめ,神よし きしく きこ
«1723-1170»,«暦日0»,四〳,みつのとのうし,なる,,立夏四月せつうしの三刻ニ入|ま日,きこ  つめとりよし
«1723-1180»,«暦日2»,五〳,きのえとら,おさん,水,　,めつもん  つめとりよし
«1723-1190»,«暦日0»,六〳,きのとのう,ひらく,,　,神よし  さひらきよし
«1723-1200»,«暦日2»,七〳,ひのえたつ,とつ,土,ま日,大みやう ふく日
«1723-1210»,«暦日0»,八〳,ひのとのみ,たつ,,　,●
«1723-1220»,«暦日2»,九〳,つちのえむま,のそく,火,ま日,くゑ日
«1723-1230»,«暦日0»,十〳,つちのとのひつし,みつ,,　,大みやう くゑ日
«1723-1240»,«暦日2»,十一〳,かのえさる,たいら,木,　,大みやう ちいみ 大くわ 地火 わうまう
«1723-1250»,«暦日0»,十二〳,かのとのとり,さたん,,　,十し
«1723-1260»,«暦日2»,十三〳,みつのえいぬ,とる,水,ま日,ふく日
«1723-1270»,«暦日0»,十四〳,みつのとのい,やふる,,八せんのおはり,くゑ日 ちう日
«1723-1280»,«暦日2»,十五〳,きのえね,あやふ,金,　
«1723-1290»,«暦日0»,十六〳,きのとのうし,なる,,　,きこ  かまぬり  つめとりよし
«1723-1300»,«暦日2»,十七〳,ひのえとら,おさん,火,　,ふく日 めつもん  つめとりよし
«1723-1310»,«暦日0»,十八〳,ひのとのう,ひらく,,　,神よし  わたましよし
«1723-1320»,«暦日2»,十九〳,つちのえたつ,とつ,木,四月中たつの初刻,五む日 くゑ日
«1723-1330»,«暦日0»,廿〳,つちのとのみ,たつ,,　,●
