«1724-0000»,【 カンマ区切りテキスト形式です。】
«1724-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1724-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1724-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1724-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1724-0050»,【 外部リンク　】
«1724-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546784/80 ～ 88】
«1724-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1724h　(翻刻編集終了データを表成型して表示します)】
«1724-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1724ht (翻刻編集中データを表成型して表示します)】
«1724-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1724-0100»,«版元»,出版地○○,出版元□□□,　
«1724-0110»,«暦首»,享保九年きのえたつ乃貞享暦,氐宿|値年,凡三百八十四日
«1724-0120»,«大歳»,大さいたつの方,此方ニむかひて万よし|但木をきらす
«1724-0130»,«大將軍»,大しやうくんねの方,たつのとしまて|三年ふさかり
«1724-0140»,«大陰»,大おんとらの方,此方ニむかひて|さんをせす
«1724-0150»,«歳徳»,としとくあきの方|とらうの間万よし,むまひつし|,金神,|さるとり
«1724-0160»,«歳刑»,さいけうたつの方,むかひて|たねまかす,土公,春はかま|秋は井,夏はかと|冬はには
«1724-0170»,«歳破»,さいはいぬの方,むかひてわたましせす|ふねのりはしめす,正月大,二月小,三月小
«1724-0180»,«歳煞»,さいせつひつしの方,此方より|よめとらす,四月大|閏四月小,五月小,六月大
«1724-0190»,«黄幡»,わうはんたつの方,むかひて|弓はしめよし,七月小,八月大,九月大
«1724-0200»,«豹尾»,へうひいぬの方,むかひて大小へんせす|ちくるいもとめす,十月大,十一月小,十二月大
«1724-0210»,«月序»,正月,大,建,丙寅,胃宿値月箕宿水曜値朔日
«1724-0220»,«正月»,一日,ひのえね,とつ,水,吉事始,はかため くらひらき ひめはしめ きそはしめ|ゆとのはしめ こしのりそめ万よし
«1724-0230»,«正月»,二日,ひのとのうし,たつ,水,　,馬のりそめ ふねのりそめ 弓はしめ|あきなひはしめ すきそめ万よし
«1724-0240»,«三日»,三日,つちのえとら,のそく,土,　,ふく日
«1724-0250»,«暦日1»,四〳,つちのとのう,みつ,土,　,神よし 大みやう ふく日
«1724-0260»,«暦日2»,五〳,かのえたつ,たいら,金,　,大くわ 地火  よめとりよし
«1724-0270»,«暦日0»,六〳,かのとのみ,さたん,,　,ちう日
«1724-0280»,«暦日2»,七〳,みつのえむま,とる,木,　,神よし 大みやう
«1724-0290»,«暦日0»,八〳,みつのとのひつし,やふる,,　, たねまきよし
«1724-0300»,«暦日2»,九〳,きのえさる,あやふ,水,十方くれニ入,神よし 大みやう
«1724-0310»,«暦日0»,十〳,きのとのとり,なる,,　,●
«1724-0320»,«暦日2»,十一〳,ひのえいぬ,おさん,土,せつふん,五む日 めつもん
«1724-0330»,«暦日0»,十二〳,ひのとのい,おさん,,立春正月せつねの五刻ニ入,大みやう 大くわ ちう日
«1724-0340»,«暦日2»,十三〳,つちのえね,ひらく,火,　,天火 らうしやく  けんふく 入学よし
«1724-0350»,«暦日0»,十四〳,つちのとのうし,とつ,,　,きこ ちいみ  井ほり  つめとりよし
«1724-0360»,«暦日2»,十五〳,かのえとら,たつ,木,　,ふく日  つめとりよし
«1724-0370»,«暦日0»,十六〳,かのとのう,のそく,,　,くゑ日
«1724-0380»,«暦日2»,十七〳,みつのえたつ,みつ,水,　,きしく 大みやう 五む日
«1724-0390»,«暦日0»,十八〳,みつのとのみ,たいら,,天一天上,ちう日 めつもん 地火 わうまう
«1724-0400»,«暦日2»,十九〳,きのえむま,さたん,金,　,神よし ふく日  かといて ふねのりよし
«1724-0410»,«暦日0»,廿〳,きのとのひつし,とる,,　,大みやう 五む日
