《1726-0000》,# カンマ区切りテキスト形式です。
《1726-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1726-0020》,# ・表の区画内での改行は“/”で表記します。
《1726-0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《1726-0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《1726-0050》,# 外部リンク
《1726-0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546784/94 ～ 102
《1726-0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1726g　(GitHub上データを表成型)
《1726-0080》,# 　　　　　　 　http://hosi.org:3000/Note/1726h　(翻刻編集データを表成型 - 未実装)
《1726-0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《1726-0100》,《版元》,出版地○○,出版元□□□,　
《1726-0110》,《暦首》,享保十一年ひのえむま乃貞享暦,心宿/値年,凡三百五十四日
《1726-0120》,《大歳》,大さいむまの方,此方ニむかひて万よし/但木をきらす
《1726-0130》,《大將軍》,大しやうくんうの方,ひつしのとしまて/三年ふさかり
《1726-0140》,《大陰》,大おんたつの方,此方ニむかひて/さんをせす
《1726-0150》,《歳徳》,　,としとくあきの方/みむまの間万よし,ねうしとら/,金神,/うむまひつし
《1726-0160》,《歳刑》,さいけうむまの方,むかひて/たねまかす,土公,春はかま/秋は井,夏はかと/冬はには
《1726-0170》,《歳破》,さいはねの方,むかひてわたましせす/ふねのりはしめす,正月大,二月小,三月大
《1726-0180》,《歳煞》,さいせつうしの方,此方より/よめとらす,四月小,五月大,六月小
《1726-0190》,《黄幡》,わうはんいぬの方,むかひて/弓はしめよし,七月小,八月大,九月小
《1726-0200》,《豹尾》,へうひたつの方,むかひて大小へんせす/ちくるいもとめす,十月大,十一月小,十二月大
《1726-0210》,《月序》,正月,大,建,庚寅,室宿値月胃宿土曜値朔日
《1726-0220》,《正月》,一日,きのえむま,とる,金,吉事始,はかため くらひらき ひめはしめ きそはしめ/ゆとのはしめ こしのりそめ万よし
《1726-0230》,《正月》,二日,きのとのひつし,やふる,金,　,馬のりそめ ふねのりそめ 弓はしめ/あきなひはしめ すきそめ万よし
《1726-0240》,《三日》,三日,ひのえさる,あやふ,火,せつふん,わうまう
《1726-0250》,《暦日1》,四／,ひのとのとり,あやふ,火,立春正月せつむまの三刻ニ入,十し
《1726-0260》,《暦日2》,五／,つちのえいぬ,なる,木,　,●
《1726-0270》,《暦日0》,六／,つちのとのい,おさん,,　,神よし 大くわ ちう日
《1726-0280》,《暦日2》,七／,かのえね,ひらく,土,　,神よし きしく ふく日 天火 らうしやく
《1726-0290》,《暦日0》,八／,かのとのうし,とつ,,　,神よし 五む日 きこ ちいみ  ものたち  つめとりよし
《1726-0300》,《暦日2》,九／,みつのえとら,たつ,金,　,大みやう  かといて  つめとりよし
《1726-0310》,《暦日0》,十／,みつのとのう,のそく,,　,わうまう  あさまきよし
《1726-0320》,《暦日2》,十一／,きのえたつ,みつ,火,　,大みやう ふく日  かといてよし
《1726-0330》,《暦日0》,十二／,きのとのみ,たいら,,　,神よし 大みやう ちう日 めつもん 地火  けんふくよし
《1726-0340》,《暦日2》,十三／,ひのえむま,さたん,水,　,神よし 大みやう  わたましよし
《1726-0350》,《暦日0》,十四／,ひのとのひつし,とる,,　,さい下しき 神よし  かといてよし
《1726-0360》,《暦日2》,十五／,つちのえさる,やふる,土,　,神よし  たねまきよし
《1726-0370》,《暦日0》,十六／,つちのとのとり,あやふ,,　,十し
《1726-0380》,《暦日2》,十七／,かのえいぬ,なる,金,　,●
《1726-0390》,《暦日0》,十八／,かのとのい,おさん,,　,神よし 大みやう 大くわ ちう日
《1726-0400》,《暦日2》,十九／,みつのえね,ひらく,木,正月中とりの初刻/八せんのはしめ,神よし 天火 らうしやく
《1726-0410》,《暦日0》,廿／,みつのとのうし,とつ,,ま日,神よし きこ ちいみ  つめとりよし
《1726-0420》,《暦日2》,廿一／,きのえとら,たつ,水,　,くゑ日 ふく日
《1726-0430》,《暦日0》,廿二／,きのとのう,のそく,,　,神よし  ものたちよし
《1726-0440》,《暦日2》,廿三／,ひのえたつ,みつ,土,ま日,大みやう
《1726-0450》,《暦日0》,廿四／,ひのとのみ,たいら,,　,ちう日 めつもん 地火
《1726-0460》,《暦日2》,廿五／,つちのえむま,さたん,火,ま日,神よし  ふねのりよし
《1726-0470》,《暦日0》,廿六／,つちのとのひつし,とる,,　,神よし 大みやう  かといて たねまきよし
《1726-0480》,《暦日2》,廿七／,かのえさる,やふる,木,　,神よし 大みやう ふく日
《1726-0490》,《暦日0》,廿八／,かのとのとり,あやふ,,　,十し
《1726-0500》,《暦日2》,廿九／,みつのえいぬ,なる,水,ま日,●
《1726-0510》,《暦日0》,卅／,みつのとのい,おさん,,八せんのおはり,大くわ ちう日  けんふくよし
《1726-0520》,《月序》,二月,小,建,辛卯,壁宿　畢　月よう
《1726-0530》,《暦日2》,一／,きのえね,ひらく,金,　,ふく日 天火 らうしやく
《1726-0540》,《暦日0》,二／,きのとのうし,とつ,,　,神よし きこ ちいみ  くらたて 井ほり  つめとりよし
《1726-0550》,《暦日2》,三／,ひのえとら,たつ,火,　, つめとりよし
《1726-0560》,《暦日0》,四／,ひのとのう,たつ,,二月せついの五刻ニ入,天火 らうしやく
《1726-0570》,《暦日2》,五／,つちのえたつ,のそく,木,　,●
