«1728-0000»,【 カンマ区切りテキスト形式です。】
«1728-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1728-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1728-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1728-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1728-0050»,【 外部リンク　】
«1728-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546784/111 ～ 115】
«1728-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1728h　(翻刻編集終了データを表成型して表示します)】
«1728-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1728ht (翻刻編集中データを表成型して表示します)】
«1728-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1728-0100»,«版元»,出版地○○,出版元□□□,　
«1728-0110»,«暦首»,享保十三年つちのえさる乃貞享暦,箕宿|値年,凡三百五十四日
«1728-0120»,«大歳»,大さいさるの方,此方ニむかひて万よし|但木をきらす
«1728-0130»,«大將軍»,大しやうくんむまの方,いぬのとしまて|三年ふさかり
«1728-0140»,«大陰»,大おんむまの方,此方ニむかひて|さんをせす
«1728-0150»,«歳徳»,としとくあきの方|みむまの間万よし,ねうし|,金神,|さるとり
«1728-0160»,«歳刑»,さいけうとらの方,むかひて|たねまかす,土公,春はかま|秋は井,夏はかと|冬はには
«1728-0170»,«歳破»,さいはとらの方,むかひてわたましせす|ふねのりはしめす,正月大,二月小,三月大
«1728-0180»,«歳煞»,さいせつひつしの方,此方より|よめとらす,四月大,五月小,六月大
«1728-0190»,«黄幡»,わうはんたつの方,むかひて|弓はしめよし,七月小,八月小,九月大
«1728-0200»,«豹尾»,へうひいぬの方,むかひて大小へんせす|ちくるいもとめす,十月小,十一月大,十二月小
«1728-0210»,«月序»,正月,大,建,甲寅,牛宿値月翼宿火曜値朔日
«1728-0220»,«正月»,一日,みつのえね,ひらく,木,吉事始|八せんのはしめ,はかため くらひらき ひめはしめ きそはしめ|ゆとのはしめ こしのりそめ万よし
«1728-0230»,«正月»,二日,みつのとのうし,とつ,木,ま日,馬のりそめ ふねのりそめ 弓はしめ|あきなひはしめ すきそめ万よし
«1728-0240»,«三日»,三日,きのえとら,たつ,水,　,くゑ日 ふく日
«1728-0250»,«暦日1»,四〳,きのとのう,のそく,水,　,神よし  ものたちよし
«1728-0260»,«暦日2»,五〳,ひのえたつ,みつ,土,ま日,大みやう
«1728-0270»,«暦日0»,六〳,ひのとのみ,たいら,,　,ちう日 めつもん 地火
«1728-0280»,«暦日2»,七〳,つちのえむま,さたん,火,ま日,神よし  ふねのりよし
«1728-0290»,«暦日0»,八〳,つちのとのひつし,とる,,　,神よし 大みやう  かといて たねまきよし
«1728-0300»,«暦日2»,九〳,かのえさる,やふる,木,　,神よし 大みやう ふく日
«1728-0310»,«暦日0»,十〳,かのとのとり,あやふ,,　,十し
«1728-0320»,«暦日2»,十一〳,みつのえいぬ,なる,水,ま日,●
«1728-0330»,«暦日0»,十二〳,みつのとのい,おさん,,正月中とらの七刻|八せんのおはり,大くわ ちう日  けんふくよし
«1728-0340»,«暦日2»,十三〳,きのえね,ひらく,金,　,ふく日 天火 らうしやく
«1728-0350»,«暦日0»,十四〳,きのとのうし,とつ,,　,神よし きこ ちいみ  くらたて 井ほり  つめとりよし
«1728-0360»,«暦日2»,十五〳,ひのえとら,たつ,火,　, つめとりよし
«1728-0370»,«暦日0»,十六〳,ひのとのう,のそく,,　
«1728-0380»,«食記»,月帯そく
«1728-0390»,«暦日2»,十七〳,つちのえたつ,みつ,木,　,五む日  みそつくりよし
«1728-0400»,«暦日0»,十八〳,つちのとのみ,たいら,,　,神よし ちう日 めつもん 地火  入学よし
«1728-0410»,«暦日2»,十九〳,かのえむま,さたん,土,　,神よし ふく日
