《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《0050》,# 外部リンク
《0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546784/115 ～ 124
《0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1729g　(GitHub上データを表成型)
《0080》,# 　　　　　　 　http://hosi.org:3000/Note/1729h　(翻刻編集データを表成型 - 未実装)
《0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《0100》,《版元》,出版地○○,出版元□□□,　
《0110》,《前書》,来酉の年の板行暦の終に年の節と中とは,暦中第一の要所にて,耕作種蒔,或草木鳥獣にいたるまで節季を違ふべからず,然るに暦の下段の内江,入交りて見へわかちがたし,廿四季の名并時剋を別段に挙志るし,暦を開くに早速見へ安からしむ,また昼夜の数は右の暦に記せりといへども,中半より断絶せり,是又民間に志らしめんため,旧例に志たがひ,書入るゝ者也/,　　　,申八月,享保十三年,渋川六蔵源則休　　　　　/猪飼豊次郎源久一　　　/謹推数考定　　
《0120》,《暦首》,享保十四年つちのとのとり乃貞享暦,斗宿/値年,凡三百八十四日
《0130》,《大歳》,大さいとりの方,此方ニむかひて万よし/但木をきらす
《0140》,《大將軍》,大しやうくんむまの方,いぬのとしまて/三年ふさかり
《0150》,《大陰》,大おんひつしの方,此方ニむかひて/さんをせす
《0160》,《歳徳》,　,としとくあきの方/とらうの間万よし,むまひつし/,金神,/さるとり
《0170》,《歳刑》,さいけうとりの方,むかひて/たねまかす,土公,春はかま/秋は井,夏はかと/冬はには
《0180》,《歳破》,さいはうの方,むかひてわたましせす/ふねのりはしめす,正月大,二月小,三月大
《0190》,《歳煞》,さいせつたつの方,此方より/よめとらす,四月大,五月小,六月大
《0200》,《黄幡》,わうはんうしの方,むかひて/弓はしめよし,七月小,八月大,九月小/閏九月大
《0210》,《豹尾》,へうひひつしの方,むかひて大小へんせす/ちくるいもとめす,十月小,十一月大,十二月小
《0220》,《月序》,正月,大,建,丙寅,參宿値月胃宿土曜値朔日
《0230》,《正月》,一日,ひのえむま,とる,水,吉事始,はかため くらひらき ひめはしめ きそはしめ/ゆとのはしめ こしのりそめ万よし
《0240》,《正月》,二日,ひのとのひつし,やふる,水,　,馬のりそめ ふねのりそめ 弓はしめ/あきなひはしめ すきそめ万よし
《0250》,《三日》,三日,つちのえさる,あやふ,土,　,神よし ふく日
《0260》,《暦日1》,四／,つちのとのとり,なる,土,　,●
《0270》,《暦日2》,五／,かのえいぬ,おさん,金,　,大みやう めつもん  たねまきよし
《0280》,《暦日0》,六／,かのとのい,ひらく,,　,大みやう ちう日 わうまう
《0290》,《暦日2》,七／,みつのえね,とつ,木,せつふん/八せんのはしめ,きしく くゑ日 きこ ちいみ
《0300》,《暦日0》,八／,みつのとのうし,とつ,,ま日,神よし きこ ちいみ  つめとりよし
《0310》,《節中》,立春正月せつうの一刻ニ入日の出より日入まて,昼四十二刻余/夜五十七刻余,六より六まて,昼四十七刻余/夜五十二刻余
《0320》,《暦日2》,九／,きのえとら,たつ,水,　,くゑ日 ふく日
《0330》,《暦日0》,十／,きのとのう,のそく,,　,神よし  ものたちよし
《0340》,《暦日2》,十一／,ひのえたつ,みつ,土,ま日,大みやう
《0350》,《暦日0》,十二／,ひのとのみ,たいら,,　,ちう日 めつもん 地火
《0360》,《暦日2》,十三／,つちのえむま,さたん,火,ま日,神よし  ふねのりよし
《0370》,《暦日0》,十四／,つちのとのひつし,とる,,　,大みやう わうまう  かといて たねまきよし
《0380》,《暦日2》,十五／,かのえさる,やふる,木,　,神よし 大みやう ふく日
《0390》,《暦日0》,十六／,かのとのとり,あやふ,,　,十し
《0400》,《食記》,月入帯そく皆既
《0410》,《暦日2》,十七／,みつのえいぬ,なる,水,ま日,●
《0420》,《暦日0》,十八／,みつのとのい,おさん,,八せんのおはり,大くわ ちう日  けんふくよし
《0430》,《暦日2》,十九／,きのえね,ひらく,金,　,ふく日 天火 らうしやく
《0440》,《暦日0》,廿／,きのとのうし,とつ,,　,神よし きこ ちいみ  くらたて 井ほり  つめとりよし
《0450》,《暦日2》,廿一／,ひのえとら,たつ,火,　, つめとりよし
《0460》,《暦日0》,廿二／,ひのとのう,のそく,,　,神よし  あさまきよし
《0470》,《暦日1》,廿三／,つちのえたつ,みつ,木,　,五む日  みそつくりよし
《0480》,《節中》,雨水正月中みの六刻日の出より日入まて,昼四十四刻余/夜五十五刻余,六より六まて,昼四十九刻余/夜五十刻余
《0490》,《暦日1》,廿四／,つちのとのみ,たいら,木,　,神よし ちう日 めつもん 地火  入学よし
《0500》,《暦日2》,廿五／,かのえむま,さたん,土,　,神よし ふく日
《0510》,《暦日0》,廿六／,かのとのひつし,とる,,　,大みやう  いちたちよし
《0520》,《暦日2》,廿七／,みつのえさる,やふる,金,　,神よし 大みやう
《0530》,《暦日0》,廿八／,みつのとのとり,あやふ,,　,十し
《0540》,《暦日2》,廿九／,きのえいぬ,なる,火,　,●
《0550》,《暦日0》,卅／,きのとのい,おさん,,　,大くわ ちう日
《0560》,《月序》,二月,小,建,丁卯,井宿　畢　月よう
《0570》,《暦日2》,一／,ひのえね,ひらく,水,　,天火 らうしやく
《0580》,《暦日0》,二／,ひのとのうし,とつ,,　,神よし 大みやう きこ ちいみ  ものたち 木こり  つめとりよし
《0590》,《暦日2》,三／,つちのえとら,たつ,土,　,天しや よろつよし
《0600》,《暦日0》,四／,つちのとのう,のそく,,　,神よし 大みやう  みそさけつくり たねまきよし
《0610》,《暦日2》,五／,かのえたつ,みつ,金,　,きしく ふく日
《0620》,《暦日0》,六／,かのとのみ,たいら,,　,ちう日 めつもん 地火
《0630》,《暦日2》,七／,みつのえむま,さたん,木,　,神よし 大みやう  木こりよし
《0640》,《暦日0》,八／,みつのとのひつし,さたん,,　,ちいみ
《0650》,《節中》,啓蟄二月せつさるの三刻ニ入日の出より日入まて,昼四十七刻余/夜五十二刻余,六より六まて,昼五十二刻余/夜四十七刻余
《0660》,《暦日2》,九／,きのえさる,とる,水,十方くれニ入,神よし 大みやう  入学よし
《0670》,《暦日0》,十／,きのとのとり,やふる,,　,ふく日
《0680》,《暦日2》,十一／,ひのえいぬ,あやふ,土,　,さい下しき 五む日  あさまきよし
《0690》,《暦日0》,十二／,ひのとのい,なる,,　,大みやう ちう日
《0700》,《暦日2》,十三／,つちのえね,おさん,火,　,めつもん  けんふく たねかしよし
《0710》,《暦日0》,十四／,つちのとのうし,ひらく,,　, 井ほり  つめとりよし
《0720》,《暦日2》,十五／,かのえとら,とつ,木,　,きこ  つめとりよし
《0730》,《暦日0》,十六／,かのとのう,たつ,,　,ふく日 天火 らうしやく
《0740》,《暦日2》,十七／,みつのえたつ,のそく,水,　,●
《0750》,《暦日0》,十八／,みつのとのみ,みつ,,天一天上,十し
《0760》,《暦日2》,十九／,きのえむま,たいら,金,　,神よし 大くわ 地火
《0770》,《暦日0》,廿／,きのとのひつし,さたん,,　,大みやう 五む日 ちいみ ふく日  ふねのりよし
《0780》,《暦日2》,廿一／,ひのえさる,とる,火,　,わうまう
《0790》,《暦日0》,廿二／,ひのとのとり,やふる,,　, あさまき たねかしよし
《0800》,《暦日1》,廿三／,つちのえいぬ,あやふ,木,社日, かといてよし
《0810》,《節中》,春分二月中いぬの八刻日の出より日入まて,昼五十刻/夜五十刻,六より六まて,昼五十五刻/夜四十五刻
《0820》,《暦日1》,廿四／,つちのとのい,なる,木,　,神よし ちう日  みそすつくりよし
