《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《0050》,# 外部リンク
《0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546784/138 ～ 144
《0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1732g　(GitHub上データを表成型)
《0080》,# 　　　　　　 　http://hosi.org:3000/Note/1732h　(翻刻編集データを表成型 - 未実装)
《0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《0100》,《版元》,出版地○○,出版元□□□,　
《0110》,《暦首》,享保十七年みつのえね乃貞享暦,虛宿/値年,凡三百八十四日
《0120》,《大歳》,大さいねの方,此方ニむかひて万よし/但木をきらす
《0130》,《大將軍》,大しやうくんとりの方,うしのとしまて/三年ふさかり
《0140》,《大陰》,大おんいぬの方,此方ニむかひて/さんをせす
《0150》,《歳徳》,　,としとくあきの方/いねの間万よし,とらう/,金神,/いぬい
《0160》,《歳刑》,さいけううの方,むかひて/たねまかす,土公,春はかま/秋は井,夏はかと/冬はには
《0170》,《歳破》,さいはむまの方,むかひてわたましせす/ふねのりはしめす,正月大,二月小,三月大
《0180》,《歳煞》,さいせつひつしの方,此方より/よめとらす,四月小,五月小/閏五月大,六月小
《0190》,《黄幡》,わうはんたつの方,むかひて/弓はしめよし,七月大,八月大,九月大
《0200》,《豹尾》,へうひいぬの方,むかひて大小へんせす/ちくるいもとめす,十月小,十一月大,十二月小
《0210》,《月序》,正月,大,建,壬寅,角宿値月昴宿日曜値朔日
《0220》,《正月》,一日,つちのとのひつし,やふる,火,吉事始,はかため くらひらき ひめはしめ きそはしめ/ゆとのはしめ こしのりそめ万よし
《0230》,《正月》,二日,かのえさる,あやふ,木,　,馬のりそめ ふねのりそめ 弓はしめ/あきなひはしめ すきそめ万よし
《0240》,《三日》,三日,かのとのとり,なる,木,　,●
《0250》,《暦日2》,四／,みつのえいぬ,おさん,水,ま日,めつもん  たねまきよし
《0260》,《暦日0》,五／,みつのとのい,ひらく,,八せんのおはり,くゑ日 ちう日
《0270》,《暦日2》,六／,きのえね,とつ,金,　,天しや よろつよし
《0280》,《暦日0》,七／,きのとのうし,たつ,,　,十し
《0290》,《暦日2》,八／,ひのえとら,のそく,火,　, けんふく  つめとりよし
《0300》,《暦日0》,九／,ひのとのう,みつ,,せつふん,わうまう
《0310》,《暦日1》,十／,つちのえたつ,みつ,木,　,五む日  みそつくりよし
《0320》,《節中》,立春正月せついの六刻ニ入日の出より日入まて,昼四十二刻余/夜五十七刻余,六より六まて,昼四十七刻余/夜五十二刻余
《0330》,《暦日1》,十一／,つちのとのみ,たいら,木,　,神よし ちう日 めつもん 地火  入学よし
《0340》,《暦日2》,十二／,かのえむま,さたん,土,　,神よし ふく日
《0350》,《暦日0》,十三／,かのとのひつし,とる,,　,大みやう  いちたちよし
《0360》,《暦日2》,十四／,みつのえさる,やふる,金,　,神よし 大みやう
《0370》,《暦日0》,十五／,みつのとのとり,あやふ,,　,十し
《0380》,《暦日2》,十六／,きのえいぬ,なる,火,　,●
《0390》,《暦日0》,十七／,きのとのい,おさん,,　,大くわ ちう日
《0400》,《暦日2》,十八／,ひのえね,ひらく,水,　,天火 らうしやく
