«1733-0000»,【 カンマ区切りテキスト形式です。】
«1733-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1733-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1733-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1733-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1733-0050»,【 外部リンク　】
«1733-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546784/144 ～ 150】
«1733-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1733h　(翻刻編集終了データを表成型して表示します)】
«1733-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1733ht (翻刻編集中データを表成型して表示します)】
«1733-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1733-0100»,«版元»,出版地○○,出版元□□□,　
«1733-0110»,«暦首»,享保十八年みつのとのうし乃貞享暦,危宿|値年,凡三百五十五日
«1733-0120»,«大歳»,大さいうしの方,此方ニむかひて万よし|但木をきらす
«1733-0130»,«大將軍»,大しやうくんとりの方,うしのとしまて|三年ふさかり
«1733-0140»,«大陰»,大おんいの方,此方ニむかひて|さんをせす
«1733-0150»,«歳徳»,としとくあきの方|みむまの間万よし,ねうし|,金神,|さるとり
«1733-0160»,«歳刑»,さいけういぬの方,むかひて|たねまかす,土公,春はかま|秋は井,夏はかと|冬はには
«1733-0170»,«歳破»,さいはひつしの方,むかひてわたましせす|ふねのりはしめす,正月大,二月小,三月大
«1733-0180»,«歳煞»,さいせつたつの方,此方より|よめとらす,四月小,五月小,六月大
«1733-0190»,«黄幡»,わうはんうしの方,むかひて|弓はしめよし,七月小,八月大,九月大
«1733-0200»,«豹尾»,へうひひつしの方,むかひて大小へんせす|ちくるいもとめす,十月小,十一月大,十二月大
«1733-0210»,«月序»,正月,大,建,甲寅,室宿値月女宿土曜値朔日
«1733-0220»,«正月»,一日,みつのとのひつし,とる,木,吉事始,はかため くらひらき ひめはしめ きそはしめ|ゆとのはしめ こしのりそめ万よし
«1733-0230»,«正月»,二日,きのえさる,やふる,水,十方くれニ入,馬のりそめ ふねのりそめ 弓はしめ|あきなひはしめ すきそめ万よし
«1733-0240»,«三日»,三日,きのとのとり,あやふ,水,　,十し
«1733-0250»,«暦日2»,四〳,ひのえいぬ,なる,土,　,●
«1733-0260»,«暦日0»,五〳,ひのとのい,おさん,,　,大みやう 大くわ ちう日
«1733-0270»,«暦日2»,六〳,つちのえね,ひらく,火,　,天火 らうしやく  けんふく 入学よし
«1733-0280»,«暦日0»,七〳,つちのとのうし,とつ,,　,きこ ちいみ  井ほり  つめとりよし
«1733-0290»,«節中»,雨水正月中みの二刻日の出より日入まて,昼四十四刻余|夜五十五刻余,六より六まて,昼四十九刻余|夜五十刻余
«1733-0300»,«暦日2»,八〳,かのえとら,たつ,木,　,さい下しき ふく日  つめとりよし
«1733-0310»,«暦日0»,九〳,かのとのう,のそく,,　,くゑ日
«1733-0320»,«暦日2»,十〳,みつのえたつ,みつ,水,　,大みやう 五む日
«1733-0330»,«暦日0»,十一〳,みつのとのみ,たいら,,天一天上,ちう日 めつもん 地火
«1733-0340»,«暦日2»,十二〳,きのえむま,さたん,金,　,神よし ふく日  かといて ふねのりよし
«1733-0350»,«暦日0»,十三〳,きのとのひつし,とる,,　,大みやう 五む日
«1733-0360»,«暦日2»,十四〳,ひのえさる,やふる,火,　,神よし きしく
«1733-0370»,«暦日0»,十五〳,ひのとのとり,あやふ,,　,十し
«1733-0380»,«暦日2»,十六〳,つちのえいぬ,なる,木,　,●
«1733-0390»,«暦日0»,十七〳,つちのとのい,おさん,,　,神よし 大くわ ちう日
«1733-0400»,«暦日2»,十八〳,かのえね,ひらく,土,　,神よし ふく日 天火 らうしやく
«1733-0410»,«暦日0»,十九〳,かのとのうし,とつ,,　,神よし 五む日 きこ ちいみ  ものたち  つめとりよし
«1733-0420»,«暦日2»,廿〳,みつのえとら,たつ,金,　,大みやう  かといて  つめとりよし
«1733-0430»,«暦日0»,廿一〳,みつのとのう,のそく,,　,神よし  あさまきよし
«1733-0440»,«暦日1»,廿二〳,きのえたつ,のそく,火,　,●
«1733-0450»,«節中»,啓蟄二月せつひつしの八刻ニ入日の出より日入まて,昼四十七刻余|夜五十二刻余,六より六まて,昼五十二刻余|夜四十七刻余
«1733-0460»,«暦日1»,廿三〳,きのとのみ,みつ,火,　,十し
«1733-0470»,«暦日2»,廿四〳,ひのえむま,たいら,水,　,神よし 大みやう 大くわ 地火
«1733-0480»,«暦日0»,廿五〳,ひのとのひつし,さたん,,　,神よし ちいみ
«1733-0490»,«暦日2»,廿六〳,つちのえさる,とる,土,　,神よし  たねまきよし
«1733-0500»,«暦日0»,廿七〳,つちのとのとり,やふる,,　,大みやう
«1733-0510»,«暦日2»,廿八〳,かのえいぬ,あやふ,金,　,大みやう  けんふくよし
«1733-0520»,«暦日0»,廿九〳,かのとのい,なる,,　,神よし 大みやう ちう日 ふく日
«1733-0530»,«暦日1»,卅〳,みつのえね,おさん,木,八せんのはしめ,神よし めつもん  あさまきよし
«1733-0540»,«月序»,二月,小,建,乙卯,壁宿　危　月よう
«1733-0550»,«暦日1»,一〳,みつのとのうし,ひらく,木,ま日, つめとりよし
«1733-0560»,«暦日2»,二〳,きのえとら,とつ,水,　,きこ  やたて  つめとりよし
«1733-0570»,«暦日0»,三〳,きのとのう,たつ,,　,くゑ日 ふく日 天火 らうしやく
«1733-0580»,«暦日2»,四〳,ひのえたつ,のそく,土,ま日,●
«1733-0590»,«暦日0»,五〳,ひのとのみ,みつ,,　,十し
«1733-0600»,«暦日2»,六〳,つちのえむま,たいら,火,ま日|社日,神よし 大くわ 地火
«1733-0610»,«暦日0»,七〳,つちのとのひつし,さたん,,　,神よし 大みやう ちいみ  たねかしよし
