«1735-0000»,【 カンマ区切りテキスト形式です。】
«1735-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1735-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1735-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1735-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1735-0050»,【 外部リンク　】
«1735-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546784/156 ～ 160】
«1735-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1735h　(翻刻編集終了データを表成型して表示します)】
«1735-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1735ht (翻刻編集中データを表成型して表示します)】
«1735-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1735-0100»,«版元»,出版地○○,出版元□□□,　
«1735-0110»,«暦首»,享保廿年きのとのう乃貞享暦,壁宿|値年,凡三百八十四日
«1735-0120»,«大歳»,大さいうの方,此方ニむかひて万よし|但木をきらす
«1735-0130»,«大將軍»,大しやうくんねの方,たつのとしまて|三年ふさかり
«1735-0140»,«大陰»,大おんうしの方,此方ニむかひて|さんをせす
«1735-0150»,«歳徳»,としとくあきの方|さるとりの間万よし,たつ|,金神,|み
«1735-0160»,«歳刑»,さいけうねの方,むかひて|たねまかす,土公,春はかま|秋は井,夏はかと|冬はには
«1735-0170»,«歳破»,さいはとりの方,むかひてわたましせす|ふねのりはしめす,正月大,二月小,三月大|閏三月小
«1735-0180»,«歳煞»,さいせついぬの方,此方より|よめとらす,四月大,五月小,六月小
«1735-0190»,«黄幡»,わうはんひつしの方,むかひて|弓はしめよし,七月大,八月小,九月大
«1735-0200»,«豹尾»,へうひうしの方,むかひて大小へんせす|ちくるいもとめす,十月小,十一月大,十二月大
«1735-0210»,«月序»,正月,大,建,戊寅,牛宿値月畢宿月曜値朔日
«1735-0220»,«正月»,一日,みつのえさる,あやふ,金,吉事始,はかため くらひらき ひめはしめ きそはしめ|ゆとのはしめ こしのりそめ万よし
«1735-0230»,«正月»,二日,みつのとのとり,なる,金,　,●
«1735-0240»,«正月»,三日,きのえいぬ,おさむ,火,　,馬のりそめ ふねのりそめ 弓はしめ|あきなひはしめ すきそめ万よし
«1735-0250»,«暦日1»,四〳,きのとのい,ひらく,火,　,ちう日  いちたちよし
«1735-0260»,«暦日2»,五〳,ひのえね,とつ,水,　,きしく きこ ちいみ
«1735-0270»,«暦日0»,六〳,ひのとのうし,たつ,,　,十し
«1735-0280»,«暦日2»,七〳,つちのえとら,のそく,土,　,ふく日  木こり  つめとりよし
«1735-0290»,«暦日0»,八〳,つちのとのう,みつ,,　,神よし 大みやう ふく日
«1735-0300»,«暦日2»,九〳,かのえたつ,たいら,金,　,大くわ 地火  よめとりよし
«1735-0310»,«暦日0»,十〳,かのとのみ,さたん,,　,ちう日
«1735-0320»,«暦日2»,十一〳,みつのえむま,とる,木,　,神よし 大みやう
«1735-0330»,«暦日0»,十二〳,みつのとのひつし,やふる,,せつふん,わうまう  たねまきよし
«1735-0340»,«暦日1»,十三〳,きのえさる,やふる,水,十方くれニ入,神よし 大みやう ふく日
«1735-0350»,«節中»,立春正月せつさるの四刻ニ入日の出より日入まて,昼四十二刻余|夜五十七刻余,六より六まて,昼四十七刻余|夜五十二刻余
«1735-0360»,«暦日1»,十四〳,きのとのとり,あやふ,水,　,十し
«1735-0370»,«暦日2»,十五〳,ひのえいぬ,なる,土,　,●
«1735-0380»,«暦日0»,十六〳,ひのとのい,おさん,,　,大みやう 大くわ ちう日
«1735-0390»,«暦日2»,十七〳,つちのえね,ひらく,火,　,天火 らうしやく  けんふく 入学よし
«1735-0400»,«暦日0»,十八〳,つちのとのうし,とつ,,　,きこ ちいみ  井ほり  つめとりよし
