《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《0050》,# 外部リンク
《0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546784/161 ～ 166
《0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1736g　(GitHub上データを表成型)
《0080》,# 　　　　　　 　http://hosi.org:3000/Note/1736h　(翻刻編集データを表成型 - 未実装)
《0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《0100》,《版元》,出版地○○,出版元□□□,　
《0110》,《暦首》,享保廿一年ひのえたつ乃貞享暦,奎宿/値年,凡三百五十四日
《0120》,《大歳》,大さいたつの方,此方ニむかひて万よし/但木をきらす
《0130》,《大將軍》,大しやうくんねの方,たつのとしまて/三年ふさかり
《0140》,《大陰》,大おんとらの方,此方ニむかひて/さんをせす
《0150》,《歳徳》,　,としとくあきの方/みむまの間万よし,ねうしとら/,金神,/うむまひつし
《0160》,《歳刑》,さいけうたつの方,むかひて/たねまかす,土公,春はかま/秋は井,夏はかと/冬はには
《0170》,《歳破》,さいはいぬの方,むかひてわたましせす/ふねのりはしめす,正月小,二月大,三月大
《0180》,《歳煞》,さいせつひつしの方,此方より/よめとらす,四月小,五月大,六月小
《0190》,《黄幡》,わうはんたつの方,むかひて/弓はしめよし,七月小,八月大,九月小
《0200》,《豹尾》,へうひいぬの方,むかひて大小へんせす/ちくるいもとめす,十月小,十一月大,十二月大
《0210》,《月序》,正月,小,建,庚寅,參宿値月虛宿日曜値朔日
《0220》,《正月》,一日,ひのえさる,やふる,火,吉事始,はかため くらひらき ひめはしめ きそはしめ/ゆとのはしめ こしのりそめ万よし
《0230》,《正月》,二日,ひのとのとり,あやふ,火,　,馬のりそめ ふねのりそめ 弓はしめ/あきなひはしめ すきそめ万よし
《0240》,《三日》,三日,つちのえいぬ,なる,木,　,●
《0250》,《暦日1》,四／,つちのとのい,おさん,木,　,神よし 大くわ ちう日
《0260》,《暦日2》,五／,かのえね,ひらく,土,　,神よし ふく日 天火 らうしやく
《0270》,《暦日0》,六／,かのとのうし,とつ,,　,神よし 五む日 きこ ちいみ  ものたち  つめとりよし
《0280》,《暦日2》,七／,みつのえとら,たつ,金,　,大みやう  かといて  つめとりよし
《0290》,《暦日0》,八／,みつのとのう,のそく,,　,神よし  あさまきよし
《0300》,《暦日2》,九／,きのえたつ,みつ,火,　,大みやう ふく日  かといてよし
《0310》,《暦日0》,十／,きのとのみ,たいら,,　,神よし 大みやう ちう日 めつもん 地火  けんふくよし
《0320》,《節中》,雨水正月中とらの初刻日の出より日入まて,昼四十四刻余/夜五十五刻余,六より六まて,昼四十九刻余/夜五十刻余
《0330》,《暦日2》,十一／,ひのえむま,さたん,水,　,神よし 大みやう  わたましよし
《0340》,《暦日0》,十二／,ひのとのひつし,とる,,　,神よし  かといてよし
《0350》,《暦日2》,十三／,つちのえさる,やふる,土,　,神よし きしく  たねまきよし
《0360》,《暦日0》,十四／,つちのとのとり,あやふ,,　,十し
《0370》,《暦日2》,十五／,かのえいぬ,なる,金,　,●
《0380》,《暦日0》,十六／,かのとのい,おさん,,　,神よし 大みやう 大くわ ちう日
《0390》,《暦日2》,十七／,みつのえね,ひらく,木,八せんのはしめ,神よし 天火 らうしやく
《0400》,《暦日0》,十八／,みつのとのうし,とつ,,ま日,神よし きこ ちいみ  つめとりよし
《0410》,《暦日2》,十九／,きのえとら,たつ,水,　,くゑ日 ふく日
《0420》,《暦日0》,廿／,きのとのう,のそく,,　,神よし  ものたちよし
《0430》,《暦日2》,廿一／,ひのえたつ,みつ,土,ま日,大みやう
《0440》,《暦日0》,廿二／,ひのとのみ,たいら,,　,さい下しき ちう日 めつもん 地火
《0450》,《暦日2》,廿三／,つちのえむま,さたん,火,ま日,神よし  ふねのりよし
《0460》,《暦日0》,廿四／,つちのとのひつし,とる,,　,神よし 大みやう  かといて たねまきよし
《0470》,《暦日1》,廿五／,かのえさる,とる,木,　,神よし 大みやう
《0480》,《節中》,啓蟄二月せつたつの五刻ニ入日の出より日入まて,昼四十七刻余/夜五十二刻余,六より六まて,昼五十二刻余/夜四十七刻余
《0490》,《暦日1》,廿六／,かのとのとり,やふる,木,　,大みやう くゑ日 ふく日
《0500》,《暦日2》,廿七／,みつのえいぬ,あやふ,水,ま日, あさまきよし
《0510》,《暦日0》,廿八／,みつのとのい,なる,,八せんのおはり,ちう日  たねかしよし
《0520》,《暦日1》,廿九／,きのえね,おさん,金,　,めつもん
《0530》,《月序》,二月,大,建,辛卯,井宿　危　月よう
《0540》,《暦日1》,一／,きのとのうし,ひらく,金,　,ふく日  ものたち  つめとりよし
《0550》,《暦日2》,二／,ひのえとら,とつ,火,　,きこ  つめとりよし
《0560》,《暦日0》,三／,ひのとのう,たつ,,　,天火 らうしやく
《0570》,《暦日2》,四／,つちのえたつ,のそく,木,　,●
《0580》,《暦日0》,五／,つちのとのみ,みつ,,　,十し
《0590》,《暦日2》,六／,かのえむま,たいら,土,　,神よし 大くわ 地火
《0600》,《暦日0》,七／,かのとのひつし,さたん,,　,大みやう ちいみ ふく日  くらたて 井ほりよし
《0610》,《暦日2》,八／,みつのえさる,とる,金,　,神よし 大みやう  入学よし
《0620》,《暦日0》,九／,みつのとのとり,やふる,,　,大みやう わうまう  やたてよし
《0630》,《暦日2》,十／,きのえいぬ,あやふ,火,　, かといてよし
《0640》,《暦日0》,十一／,きのとのい,なる,,　,ちう日 ふく日  みそすつくりよし
《0650》,《節中》,春分二月中ひつしの二刻日の出より日入まて,昼五十刻/夜五十刻,六より六まて,昼五十五刻/夜四十五刻
《0660》,《暦日2》,十二／,ひのえね,おさん,水,　,きしく めつもん  たねかしよし
《0670》,《暦日0》,十三／,ひのとのうし,ひらく,,ひかんニなる,大みやう  ものたち  つめとりよし
《0680》,《暦日2》,十四／,つちのえとら,とつ,土,社日,天しや よろつよし
《0690》,《暦日0》,十五／,つちのとのう,たつ,,　,大みやう くゑ日 天火 らうしやく
《0700》,《暦日2》,十六／,かのえたつ,のそく,金,　,●
《0710》,《暦日0》,十七／,かのとのみ,みつ,,　,十し
《0720》,《暦日2》,十八／,みつのえむま,たいら,木,　,神よし 大みやう 大くわ 地火
《0730》,《暦日0》,十九／,みつのとのひつし,さたん,,　,ちいみ
《0740》,《暦日2》,廿／,きのえさる,とる,水,十方くれニ入,神よし 大みやう  入学よし
《0750》,《暦日0》,廿一／,きのとのとり,やふる,,　,ふく日
《0760》,《暦日2》,廿二／,ひのえいぬ,あやふ,土,　,五む日  あさまきよし
《0770》,《暦日0》,廿三／,ひのとのい,なる,,　,大みやう ちう日
《0780》,《暦日2》,廿四／,つちのえね,おさん,火,　,めつもん  けんふく たねかしよし
《0790》,《暦日0》,廿五／,つちのとのうし,ひらく,,　, 井ほり  つめとりよし
《0800》,《暦日1》,廿六／,かのえとら,ひらく,木,　,ちいみ  いちたち  つめとりよし
《0810》,《節中》,清明三月せつとりの七刻ニ入日の出より日入まて,昼五十二刻余/夜四十七刻余,六より六まて,昼五十七刻余/夜四十二刻余
《0820》,《暦日1》,廿七／,かのとのう,とつ,木,　,神よし  わたまし ものたちよし
