«1738-0000»,【 カンマ区切りテキスト形式です。】
«1738-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1738-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1738-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1738-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1738-0050»,【 外部リンク　】
«1738-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546784/175 ～ 180】
«1738-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1738h　(翻刻編集終了データを表成型して表示します)】
«1738-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1738ht (翻刻編集中データを表成型して表示します)】
«1738-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1738-0100»,«版元»,出版地○○,出版元□□□,　
«1738-0110»,«暦首»,元文三年つちのえむま乃貞享暦,胃宿|値年,凡三百五十四日
«1738-0120»,«大歳»,大さいむまの方,此方ニむかひて万よし|但木をきらす
«1738-0130»,«大將軍»,大しやうくんうの方,ひつしのとしまて|三年ふさかり
«1738-0140»,«大陰»,大おんたつの方,此方ニむかひて|さんをせす
«1738-0150»,«歳徳»,としとくあきの方|みむまの間万よし,ねうし|,金神,|さるとり
«1738-0160»,«歳刑»,さいけうむまの方,むかひて|たねまかす,土公,春はかま|秋は井,夏はかと|冬はには
«1738-0170»,«歳破»,さいはねの方,むかひてわたましせす|ふねのりはしめす,正月小,二月大,三月大
«1738-0180»,«歳煞»,さいせつうしの方,此方より|よめとらす,四月小,五月大,六月小
«1738-0190»,«黄幡»,わうはんいぬの方,むかひて|弓はしめよし,七月大,八月小,九月大
«1738-0200»,«豹尾»,へうひたつの方,むかひて大小へんせす|ちくるいもとめす,十月小,十一月大,十二月小
«1738-0210»,«月序»,正月,小,建,甲寅,胃宿値月參宿水曜値朔日
«1738-0220»,«正月»,一日,きのえとら,たつ,水,吉事始,はかため くらひらき ひめはしめ きそはしめ|ゆとのはしめ こしのりそめ万よし
«1738-0230»,«正月»,二日,きのとのう,のそく,水,　,馬のりそめ ふねのりそめ 弓はしめ|あきなひはしめ すきそめ万よし
«1738-0240»,«節中»,雨水正月中ひつしの七刻日の出より日入まて,昼四十四刻余|夜五十五刻余,六より六まて,昼四十九刻余|夜五十刻余
«1738-0250»,«三日»,三日,ひのえたつ,みつ,土,ま日,きしく 大みやう日
«1738-0260»,«暦日1»,四〳,ひのとのみ,たいら,土,　,ちう日 めつもん 地火
«1738-0270»,«暦日2»,五〳,つちのえむま,さたん,火,ま日,神よし  ふねのりよし
«1738-0280»,«暦日0»,六〳,つちのとのひつし,とる,,　,神よし 大みやう  かといて たねまきよし
«1738-0290»,«暦日2»,七〳,かのえさる,やふる,木,　,神よし 大みやう ふく日
«1738-0300»,«暦日0»,八〳,かのとのとり,あやふ,,　,十し
«1738-0310»,«暦日2»,九〳,みつのえいぬ,なる,水,ま日,●
«1738-0320»,«暦日0»,十〳,みつのとのい,おさん,,八せんのおはり,大くわ ちう日  けんふくよし
«1738-0330»,«暦日2»,十一〳,きのえね,ひらく,金,　,ふく日 天火 らうしやく
«1738-0340»,«暦日0»,十二〳,きのとのうし,とつ,,　,神よし きこ ちいみ  くらたて 井ほり  つめとりよし
«1738-0350»,«暦日2»,十三〳,ひのえとら,たつ,火,　, つめとりよし
«1738-0360»,«暦日0»,十四〳,ひのとのう,のそく,,　,神よし  あさまきよし
«1738-0370»,«暦日2»,十五〳,つちのえたつ,みつ,木,　,五む日  みそつくりよし
«1738-0380»,«暦日0»,十六〳,つちのとのみ,たいら,,　,神よし ちう日 めつもん 地火  入学よし
«1738-0390»,«暦日1»,十七〳,かのえむま,たいら,土,　,神よし 大くわ 地火
«1738-0400»,«節中»,啓蟄二月せついぬの三刻ニ入日の出より日入まて,昼四十七刻余|夜五十二刻余,六より六まて,昼五十二刻余|夜四十七刻余
