《1739-0000》,# カンマ区切りテキスト形式です。
《1739-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1739-0020》,# ・表の区画内での改行は“/”で表記します。
《1739-0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《1739-0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《1739-0050》,# 外部リンク
《1739-0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546784/180 ～ 185
《1739-0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1739g　(GitHub上データを表成型)
《1739-0080》,# 　　　　　　 　http://hosi.org:3000/Note/1739h　(翻刻編集データを表成型 - 未実装)
《1739-0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《1739-0100》,《版元》,出版地○○,出版元□□□,　
《1739-0110》,《暦首》,元文四年つちのとのひつし乃貞享暦,昴宿/値年,凡三百五十五日
《1739-0120》,《大歳》,大さいひつしの方,此方ニむかひて万よし/但木をきらす
《1739-0130》,《大將軍》,大しやうくんうの方,ひつしのとしまて/三年ふさかり
《1739-0140》,《大陰》,大おんみの方,此方ニむかひて/さんをせす
《1739-0150》,《歳徳》,としとくあきの方/とらうの間万よし,むまひつし/,金神,/さるとり
《1739-0160》,《歳刑》,さいけううしの方,むかひて/たねまかす,土公,春はかま/秋は井,夏はかと/冬はには
《1739-0170》,《歳破》,さいはうしの方,むかひてわたましせす/ふねのりはしめす,正月大,二月小,三月大
《1739-0180》,《歳煞》,さいせついぬの方,此方より/よめとらす,四月小,五月大,六月大
《1739-0190》,《黄幡》,わうはんひつしの方,むかひて/弓はしめよし,七月小,八月大,九月小
《1739-0200》,《豹尾》,へうひうしの方,むかひて大小へんせす/ちくるいもとめす,十月大,十一月小,十二月大
《1739-0210》,《月序》,正月,大,建,丙寅,角宿値月虛宿日曜値朔日
《1739-0220》,《正月》,一日,つちのえさる,やふる,土,吉事始,はかため くらひらき ひめはしめ きそはしめ/ゆとのはしめ こしのりそめ万よし
《1739-0230》,《正月》,二日,つちのとのとり,あやふ,土,　,馬のりそめ ふねのりそめ 弓はしめ/あきなひはしめ すきそめ万よし
《1739-0240》,《三日》,三日,かのえいぬ,なる,金,　,●
《1739-0250》,《暦日1》,四／,かのとのい,おさん,金,　,大みやう 大くわ ちう日 わうまう
《1739-0260》,《暦日2》,五／,みつのえね,ひらく,木,八せんのはしめ,神よし 天火 らうしやく
《1739-0270》,《暦日0》,六／,みつのとのうし,とつ,,ま日,神よし きこ ちいみ  つめとりよし
《1739-0280》,《暦日2》,七／,きのえとら,たつ,水,　,くゑ日 ふく日
《1739-0290》,《暦日0》,八／,きのとのう,のそく,,　,神よし  ものたちよし
《1739-0300》,《暦日2》,九／,ひのえたつ,みつ,土,ま日,大みやう
《1739-0310》,《暦日0》,十／,ひのとのみ,たいら,,　,ちう日 めつもん 地火
《1739-0320》,《暦日2》,十一／,つちのえむま,さたん,火,ま日,神よし  ふねのりよし
《1739-0330》,《暦日0》,十二／,つちのとのひつし,とる,,　,神よし 大みやう  かといて たねまきよし
《1739-0340》,《暦日1》,十三／,かのえさる,やふる,木,　,さい下しき 神よし きしく 大みやう ふく日
《1739-0350》,《節中》,雨水正月中いぬの六刻日の出より日入まて,昼四十四刻余/夜五十五刻余,六より六まて,昼四十九刻余/夜五十刻余
《1739-0360》,《暦日1》,十四／,かのとのとり,あやふ,木,　,十し
《1739-0370》,《暦日2》,十五／,みつのえいぬ,なる,水,ま日,●
《1739-0380》,《暦日0》,十六／,みつのとのい,おさん,,八せんのおはり,大くわ ちう日  けんふくよし
《1739-0390》,《暦日2》,十七／,きのえね,ひらく,金,　,ふく日 天火 らうしやく
