《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《0050》,# 外部リンク
《0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546784/191 ～ 196
《0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1741g　(GitHub上データを表成型)
《0080》,# 　　　　　　 　http://hosi.org:3000/Note/1741h　(翻刻編集データを表成型 - 未実装)
《0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《0100》,《版元》,出版地○○,出版元□□□,　
《0110》,《暦首》,元文六年かのとのとり乃貞享暦,觜宿/値年,凡三百五十四日
《0120》,《大歳》,大さいとりの方,此方ニむかひて万よし/但木をきらす
《0130》,《大將軍》,大しやうくんむまの方,いぬのとしまて/三年ふさかり
《0140》,《大陰》,大おんひつしの方,此方ニむかひて/さんをせす
《0150》,《歳徳》,　,としとくあきの方/みむまの間万よし,ねうしとら/,金神,/うむまひつし
《0160》,《歳刑》,さいけうとりの方,むかひて/たねまかす,土公,春はかま/秋は井,夏はかと/冬はには
《0170》,《歳破》,さいはうの方,むかひてわたましせす/ふねのりはしめす,正月小,二月大,三月小
《0180》,《歳煞》,さいせつたつの方,此方より/よめとらす,四月小,五月大,六月小
《0190》,《黄幡》,わうはんうしの方,むかひて/弓はしめよし,七月大,八月大,九月小
《0200》,《豹尾》,へうひひつしの方,むかひて大小へんせす/ちくるいもとめす,十月大,十一月大,十二月小
《0210》,《月序》,正月,小,建,庚寅,星宿値月井宿木曜値朔日
《0220》,《正月》,一日,ひのとのう,のそく,火,吉事始,はかため くらひらき ひめはしめ きそはしめ/ゆとのはしめ こしのりそめ万よし
《0230》,《正月》,二日,つちのえたつ,みつ,木,　,馬のりそめ ふねのりそめ 弓はしめ/あきなひはしめ すきそめ万よし
《0240》,《三日》,三日,つちのとのみ,たいら,木,　,神よし ちう日 めつもん 地火
《0250》,《暦日2》,四／,かのえむま,さたん,土,　,神よし ふく日
《0260》,《暦日0》,五／,かのとのひつし,とる,,　,大みやう  いちたちよし
《0270》,《節中》,雨水正月中たつの四刻日の出より日入まて,昼四十四刻余/夜五十五刻余,六より六まて,昼四十九刻余/夜五十刻余
《0280》,《暦日2》,六／,みつのえさる,やふる,金,　,神よし 大みやう
《0290》,《暦日0》,七／,みつのとのとり,あやふ,,　,十し
《0300》,《暦日2》,八／,きのえいぬ,なる,火,　,●
《0310》,《暦日0》,九／,きのとのい,おさん,,　,大くわ ちう日
《0320》,《暦日2》,十／,ひのえね,ひらく,水,　,天火 らうしやく
《0330》,《暦日0》,十一／,ひのとのうし,とつ,,　,神よし 大みやう きこ ちいみ  ものたち 木こり  つめとりよし
《0340》,《暦日2》,十二／,つちのえとら,たつ,土,　,天しや よろつよし
《0350》,《暦日0》,十三／,つちのとのう,のそく,,　,神よし 大みやう  みそさけつくり たねまきよし
《0360》,《暦日2》,十四／,かのえたつ,みつ,金,　,ふく日
《0370》,《暦日0》,十五／,かのとのみ,たいら,,　,ちう日 めつもん 地火
《0380》,《暦日2》,十六／,みつのえむま,さたん,木,　,神よし 大みやう  木こりよし
《0390》,《暦日0》,十七／,みつのとのひつし,とる,,　, たねまきよし
《0400》,《暦日2》,十八／,きのえさる,やふる,水,十方くれニ入,神よし 大みやう ふく日
《0410》,《暦日0》,十九／,きのとのとり,あやふ,,　,十し
《0420》,《暦日1》,廿／,ひのえいぬ,あやふ,土,　,さい下しき 五む日  あさまきよし
《0430》,《節中》,啓蟄二月せつひつしの一刻ニ入日の出より日入まて,昼四十七刻余/夜五十二刻余,六より六まて,昼五十二刻余/夜四十七刻余
《0440》,《暦日1》,廿一／,ひのとのい,なる,土,　,大みやう ちう日
《0450》,《暦日2》,廿二／,つちのえね,おさん,火,　,めつもん  けんふく たねかしよし
《0460》,《暦日0》,廿三／,つちのとのうし,ひらく,,　, 井ほり  つめとりよし
《0470》,《暦日2》,廿四／,かのえとら,とつ,木,　,きこ  つめとりよし
《0480》,《暦日0》,廿五／,かのとのう,たつ,,　,ふく日 天火 らうしやく
《0490》,《暦日2》,廿六／,みつのえたつ,のそく,水,　,●
《0500》,《暦日0》,廿七／,みつのとのみ,みつ,,天一天上,十し
《0510》,《暦日2》,廿八／,きのえむま,たいら,金,　,神よし 大くわ 地火
《0520》,《暦日0》,廿九／,きのとのひつし,さたん,,　,大みやう 五む日 ちいみ ふく日  ふねのりよし
《0530》,《月序》,二月,大,建,辛卯,張宿　鬼　金よう
《0540》,《暦日2》,一／,ひのえさる,とる,火,　,神よし きしく
《0550》,《暦日0》,二／,ひのとのとり,やふる,,　, あさまき たねかしよし
《0560》,《暦日2》,三／,つちのえいぬ,あやふ,木,社日, かといてよし
《0570》,《暦日0》,四／,つちのとのい,なる,,　,ちう日 わうまう  みそすつくりよし
《0580》,《暦日2》,五／,かのえね,おさん,土,　,神よし めつもん  よめとり たねかしよし
《0590》,《暦日0》,六／,かのとのうし,ひらく,,　,五む日 ふく日  ものたち  つめとりよし
