《1742-0000》,# カンマ区切りテキスト形式です。
《1742-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1742-0020》,# ・表の区画内での改行は“/”で表記します。
《1742-0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《1742-0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《1742-0050》,# 外部リンク
《1742-0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546784/196 ～ 204
《1742-0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1742g　(GitHub上データを表成型)
《1742-0080》,# 　　　　　　 　http://hosi.org:3000/Note/1742h　(翻刻編集データを表成型 - 未実装)
《1742-0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《1742-0100》,《版元》,出版地○○,出版元□□□,　
《1742-0110》,《暦首》,寛保二年みつのえいぬ乃貞享暦,參宿/値年,凡三百五十五日
《1742-0120》,《大歳》,大さいいぬの方,此方ニむかひて万よし/但木をきらす
《1742-0130》,《大將軍》,大しやうくんむまの方,いぬのとしまて/三年ふさかり
《1742-0140》,《大陰》,大おんさるの方,此方ニむかひて/さんをせす
《1742-0150》,《歳徳》,　,としとくあきの方/いねの間万よし,とらう/,金神,/いぬい
《1742-0160》,《歳刑》,さいけうひつしの方,むかひて/たねまかす,土公,春はかま/秋は井,夏はかと/冬はには
《1742-0170》,《歳破》,さいはたつの方,むかひてわたましせす/ふねのりはしめす,正月大,二月小,三月大
《1742-0180》,《歳煞》,さいせつうしの方,此方より/よめとらす,四月小,五月小,六月大
《1742-0190》,《黄幡》,わうはんいぬの方,むかひて/弓はしめよし,七月小,八月大,九月小
《1742-0200》,《豹尾》,へうひたつの方,むかひて大小へんせす/ちくるいもとめす,十月大,十一月大,十二月大
《1742-0210》,《月序》,正月,大,建,壬寅,牛宿値月危宿月曜値朔日
《1742-0220》,《正月》,一日,かのとのとり,あやふ,木,吉事始,はかため くらひらき ひめはしめ きそはしめ/ゆとのはしめ こしのりそめ万よし
《1742-0230》,《節中》,立春正月せつたつの六刻ニ入日の出より日入まて,昼四十二刻余/夜五十七刻余,六より六まて,昼四十七刻余/夜五十二刻余
《1742-0240》,《正月》,二日,みつのえいぬ,なる,水,ま日,●
《1742-0250》,《正月》,三日,みつのとのい,おさむ,水,八せんのおはり,馬のりそめ ふねのりそめ 弓はしめ/あきなひはしめ すきそめ万よし
《1742-0260》,《暦日2》,四／,きのえね,ひらく,金,　,ふく日 天火 らうしやく
《1742-0270》,《暦日0》,五／,きのとのうし,とつ,,　,神よし きこ ちいみ  くらたて 井ほり  つめとりよし
《1742-0280》,《暦日2》,六／,ひのえとら,たつ,火,　, つめとりよし
《1742-0290》,《暦日0》,七／,ひのとのう,のそく,,　,わうまう  あさまきよし
《1742-0300》,《暦日2》,八／,つちのえたつ,みつ,木,　,五む日  みそつくりよし
《1742-0310》,《暦日0》,九／,つちのとのみ,たいら,,　,神よし ちう日 めつもん 地火  入学よし
《1742-0320》,《暦日2》,十／,かのえむま,さたん,土,　,神よし ふく日
《1742-0330》,《暦日0》,十一／,かのとのひつし,とる,,　,大みやう  いちたちよし
《1742-0340》,《暦日2》,十二／,みつのえさる,やふる,金,　,神よし きしく 大みやう
《1742-0350》,《暦日0》,十三／,みつのとのとり,あやふ,,　,十し
《1742-0360》,《暦日2》,十四／,きのえいぬ,なる,火,　,●
《1742-0370》,《暦日0》,十五／,きのとのい,おさん,,　,大くわ ちう日
《1742-0380》,《暦日1》,十六／,ひのえね,ひらく,水,　,天火 らうしやく
《1742-0390》,《節中》,雨水正月中ひつしの三刻日の出より日入まて,昼四十四刻余/夜五十五刻余,六より六まて,昼四十九刻余/夜五十刻余
