《1743-0000》,# カンマ区切りテキスト形式です。
《1743-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1743-0020》,# ・表の区画内での改行は“/”で表記します。
《1743-0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《1743-0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《1743-0050》,# 外部リンク
《1743-0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546784/205 ～ 210
《1743-0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1743g　(GitHub上データを表成型)
《1743-0080》,# 　　　　　　 　http://hosi.org:3000/Note/1743h　(翻刻編集データを表成型 - 未実装)
《1743-0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《1743-0100》,《版元》,出版地○○,出版元□□□,　
《1743-0110》,《暦首》,寛保三年みつのとのい乃貞享暦,井宿/値年,凡三百八十四日
《1743-0120》,《大歳》,大さいいの方,此方ニむかひて万よし/但木をきらす
《1743-0130》,《大將軍》,大しやうくんとりの方,うしのとしまて/三年ふさかり
《1743-0140》,《大陰》,大おんとりの方,此方ニむかひて/さんをせす
《1743-0150》,《歳徳》,　,としとくあきの方/みむまの間万よし,ねうし/,金神,/さるとり
《1743-0160》,《歳刑》,さいけういの方,むかひて/たねまかす,土公,春はかま/秋は井,夏はかと/冬はには
《1743-0170》,《歳破》,さいはみの方,むかひてわたましせす/ふねのりはしめす,正月小,二月大,三月小
《1743-0180》,《歳煞》,さいせついぬの方,此方より/よめとらす,四月大/閏四月小,五月小,六月大
《1743-0190》,《黄幡》,わうはんひつしの方,むかひて/弓はしめよし,七月小,八月小,九月大
《1743-0200》,《豹尾》,へうひうしの方,むかひて大小へんせす/ちくるいもとめす,十月大,十一月大,十二月大
《1743-0210》,《月序》,正月,小,建,甲寅,參宿値月氐宿土曜値朔日
《1743-0220》,《正月》,一日,ひのえたつ,たいら,土,吉事始/ま日,はかため くらひらき ひめはしめ きそはしめ/ゆとのはしめ こしのりそめ万よし
《1743-0230》,《正月》,二日,ひのとのみ,さたむ,土,　,馬のりそめ ふねのりそめ 弓はしめ/あきなひはしめ すきそめ万よし
《1743-0240》,《三日》,三日,つちのえむま,とる,火,ま日,神よし ふく日
《1743-0250》,《暦日1》,四／,つちのとのひつし,やふる,火,　,神よし 大みやう ふく日  かといてよし
《1743-0260》,《暦日2》,五／,かのえさる,あやふ,木,　,神よし 大みやう  みそさけつくりよし
《1743-0270》,《暦日0》,六／,かのとのとり,なる,,　,●
《1743-0280》,《暦日2》,七／,みつのえいぬ,おさん,水,ま日,めつもん  たねまきよし
《1743-0290》,《暦日0》,八／,みつのとのい,ひらく,,八せんのおはり,くゑ日 ちう日
《1743-0300》,《暦日2》,九／,きのえね,とつ,金,　,天しや よろつよし
《1743-0310》,《暦日0》,十／,きのとのうし,たつ,,せつふん,十し
《1743-0320》,《暦日1》,十一／,ひのえとら,たつ,火,　, つめとりよし
《1743-0330》,《節中》,立春正月せつひつしの六刻ニ入日の出より日入まて,昼四十二刻余/夜五十七刻余,六より六まて,昼四十七刻余/夜五十二刻余
《1743-0340》,《暦日1》,十二／,ひのとのう,のそく,火,　,神よし  あさまきよし
《1743-0350》,《暦日2》,十三／,つちのえたつ,みつ,木,　,五む日  みそつくりよし
《1743-0360》,《暦日0》,十四／,つちのとのみ,たいら,,　,神よし ちう日 めつもん 地火  入学よし
《1743-0370》,《暦日2》,十五／,かのえむま,さたん,土,　,神よし ふく日
《1743-0380》,《暦日0》,十六／,かのとのひつし,とる,,　,大みやう  いちたちよし
《1743-0390》,《暦日2》,十七／,みつのえさる,やふる,金,　,大みやう わうまう
《1743-0400》,《暦日0》,十八／,みつのとのとり,あやふ,,　,十し
《1743-0410》,《暦日2》,十九／,きのえいぬ,なる,火,　,●
《1743-0420》,《暦日0》,廿／,きのとのい,おさん,,　,大くわ ちう日
《1743-0430》,《暦日2》,廿一／,ひのえね,ひらく,水,　,きしく 天火 らうしやく
《1743-0440》,《暦日0》,廿二／,ひのとのうし,とつ,,　,神よし 大みやう きこ ちいみ  ものたち 木こり  つめとりよし
《1743-0450》,《暦日2》,廿三／,つちのえとら,たつ,土,　,天しや よろつよし
