《1744-0000》,# カンマ区切りテキスト形式です。
《1744-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1744-0020》,# ・表の区画内での改行は“/”で表記します。
《1744-0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《1744-0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《1744-0050》,# 外部リンク
《1744-0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2535427/44 ～ 50
《1744-0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1744g　(GitHub上データを表成型)
《1744-0080》,# 　　　　　　 　http://hosi.org:3000/Note/1744h　(翻刻編集データを表成型 - 未実装)
《1744-0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《1744-0100》,《版元》,出版地○○,出版元□□□,　
《1744-0110》,《暦首》,寛保四年きのえね乃貞享暦,鬼宿/値年,凡三百五十三日
《1744-0120》,《大歳》,大さいねの方,此方ニむかひて万よし/但木をきらす
《1744-0130》,《大將軍》,大しやうくんとりの方,うしのとしまて/三年ふさかり
《1744-0140》,《大陰》,大おんいぬの方,此方ニむかひて/さんをせす
《1744-0150》,《歳徳》,　,としとくあきの方/とらうの間万よし,むまひつし/,金神,/さるとり
《1744-0160》,《歳刑》,さいけううの方,むかひて/たねまかす,土公,春はかま/秋は井,夏はかと/冬はには
《1744-0170》,《歳破》,さいはむまの方,むかひてわたましせす/ふねのりはしめす,正月小,二月大,三月小
《1744-0180》,《歳煞》,さいせつひつしの方,此方より/よめとらす,四月大,五月小,六月小
《1744-0190》,《黄幡》,わうはんたつの方,むかひて/弓はしめよし,七月大,八月小,九月小
《1744-0200》,《豹尾》,へうひいぬの方,むかひて大小へんせす/ちくるいもとめす,十月大,十一月大,十二月小
《1744-0210》,《月序》,正月,小,建,丙寅,心宿値月鬼宿金曜値朔日
《1744-0220》,《正月》,一日,かのえたつ,みつ,金,吉事始,はかため くらひらき ひめはしめ きそはしめ/ゆとのはしめ こしのりそめ万よし
《1744-0230》,《正月》,二日,かのとのみ,たいら,金,　,馬のりそめ ふねのりそめ 弓はしめ/あきなひはしめ すきそめ万よし
《1744-0240》,《三日》,三日,みつのえむま,さたむ,木,　,神よし 大みやう日
《1744-0250》,《暦日1》,四／,みつのとのひつし,とる,木,　, たねまきよし
《1744-0260》,《暦日2》,五／,きのえさる,やふる,水,十方くれニ入,神よし 大みやう ふく日
《1744-0270》,《暦日0》,六／,きのとのとり,あやふ,,　,十し
《1744-0280》,《暦日1》,七／,ひのえいぬ,なる,土,　,●
《1744-0290》,《節中》,雨水正月中翌うしの二刻日の出より日入まて,昼四十四刻余/夜五十五刻余,六より六まて,昼四十九刻余/夜五十刻余
《1744-0300》,《暦日1》,八／,ひのとのい,おさん,土,　,大みやう 大くわ ちう日
《1744-0310》,《暦日2》,九／,つちのえね,ひらく,火,　,天火 らうしやく  けんふく 入学よし
《1744-0320》,《暦日0》,十／,つちのとのうし,とつ,,　,きこ ちいみ  井ほり  つめとりよし
《1744-0330》,《暦日2》,十一／,かのえとら,たつ,木,　,ふく日  つめとりよし
《1744-0340》,《暦日0》,十二／,かのとのう,のそく,,　,くゑ日
《1744-0350》,《暦日2》,十三／,みつのえたつ,みつ,水,　,大みやう 五む日
《1744-0360》,《暦日0》,十四／,みつのとのみ,たいら,,天一天上,ちう日 めつもん 地火
《1744-0370》,《暦日2》,十五／,きのえむま,さたん,金,　,神よし ふく日  かといて ふねのりよし
《1744-0380》,《暦日0》,十六／,きのとのひつし,とる,,　,大みやう 五む日
《1744-0390》,《暦日2》,十七／,ひのえさる,やふる,火,　,神よし
《1744-0400》,《暦日0》,十八／,ひのとのとり,あやふ,,　,十し
《1744-0410》,《暦日2》,十九／,つちのえいぬ,なる,木,　,●
《1744-0420》,《暦日0》,廿／,つちのとのい,おさん,,　,神よし 大くわ ちう日
《1744-0430》,《暦日2》,廿一／,かのえね,ひらく,土,　,神よし ふく日 天火 らうしやく
《1744-0440》,《暦日0》,廿二／,かのとのうし,とつ,,　,神よし 五む日 きこ ちいみ  ものたち  つめとりよし
《1744-0450》,《暦日1》,廿三／,みつのえとら,とつ,金,　,大みやう きこ  やたて くらたて  つめとりよし
《1744-0460》,《節中》,啓蟄二月せつ翌うの七刻ニ入日の出より日入まて,昼四十七刻余/夜五十二刻余,六より六まて,昼五十二刻余/夜四十七刻余
《1744-0470》,《暦日1》,廿四／,みつのとのう,たつ,金,　,天火 らうしやく
《1744-0480》,《暦日2》,廿五／,きのえたつ,のそく,火,　,●
《1744-0490》,《暦日0》,廿六／,きのとのみ,みつ,,　,十し
《1744-0500》,《暦日2》,廿七／,ひのえむま,たいら,水,　,神よし 大みやう 大くわ 地火
《1744-0510》,《暦日0》,廿八／,ひのとのひつし,さたん,,　,神よし ちいみ
《1744-0520》,《暦日1》,廿九／,つちのえさる,とる,土,　,神よし きしく  たねまきよし
《1744-0530》,《月序》,二月,大,建,丁卯,尾宿　柳　土よう
《1744-0540》,《暦日1》,一／,つちのとのとり,やふる,土,　,大みやう
《1744-0550》,《暦日2》,二／,かのえいぬ,あやふ,金,　,大みやう  けんふくよし
《1744-0560》,《暦日0》,三／,かのとのい,なる,,　,神よし 大みやう ちう日 ふく日
《1744-0570》,《暦日2》,四／,みつのえね,おさん,木,八せんのはしめ,神よし めつもん  あさまきよし
《1744-0580》,《暦日0》,五／,みつのとのうし,ひらく,,ま日, つめとりよし
《1744-0590》,《暦日2》,六／,きのえとら,とつ,水,　,きこ  やたて  つめとりよし
《1744-0600》,《暦日0》,七／,きのとのう,たつ,,　,くゑ日 ふく日 天火 らうしやく わうまう
《1744-0610》,《暦日2》,八／,ひのえたつ,のそく,土,ま日,●
《1744-0620》,《暦日0》,九／,ひのとのみ,みつ,,　,十し
《1744-0630》,《節中》,春分二月中むまの四刻日の出より日入まて,昼五十刻/夜五十刻,六より六まて,昼五十五刻/夜四十五刻
《1744-0640》,《暦日2》,十／,つちのえむま,たいら,火,ま日/社日,神よし 大くわ 地火
《1744-0650》,《暦日0》,十一／,つちのとのひつし,さたん,,ひかんニなる,神よし 大みやう ちいみ  たねかしよし
《1744-0660》,《暦日2》,十二／,かのえさる,とる,木,　,神よし 大みやう
《1744-0670》,《暦日0》,十三／,かのとのとり,やふる,,　,大みやう くゑ日 ふく日
《1744-0680》,《暦日2》,十四／,みつのえいぬ,あやふ,水,ま日, あさまきよし
《1744-0690》,《暦日0》,十五／,みつのとのい,なる,,八せんのおはり,ちう日  たねかしよし
《1744-0700》,《暦日2》,十六／,きのえね,おさん,金,　,めつもん
《1744-0710》,《暦日0》,十七／,きのとのうし,ひらく,,　,ふく日  ものたち  つめとりよし
《1744-0720》,《暦日2》,十八／,ひのえとら,とつ,火,　,きこ  つめとりよし
《1744-0730》,《暦日0》,十九／,ひのとのう,たつ,,　,天火 らうしやく
《1744-0740》,《暦日2》,廿／,つちのえたつ,のそく,木,　,●
《1744-0750》,《暦日0》,廿一／,つちのとのみ,みつ,,　,十し
《1744-0760》,《暦日2》,廿二／,かのえむま,たいら,土,　,神よし 大くわ 地火
《1744-0770》,《暦日0》,廿三／,かのとのひつし,さたん,,　,大みやう ちいみ ふく日  くらたて 井ほりよし
《1744-0780》,《暦日1》,廿四／,みつのえさる,さたん,金,　,大みやう くゑ日
