«1745-0000»,【 カンマ区切りテキスト形式です。】
«1745-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1745-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1745-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1745-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1745-0050»,【 外部リンク　】
«1745-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546784/214 ～ 219】
«1745-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1745h　(翻刻編集終了データを表成型して表示します)】
«1745-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1745ht (翻刻編集中データを表成型して表示します)】
«1745-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1745-0100»,«版元»,出版地○○,出版元□□□,　
«1745-0110»,«暦首»,延享二年きのとのうし乃貞享暦,柳宿|値年,凡三百八十四日
«1745-0120»,«大歳»,大さいうしの方,此方ニむかひて万よし|但木をきらす
«1745-0130»,«大將軍»,大しやうくんとりの方,うしのとしまて|三年ふさかり
«1745-0140»,«大陰»,大おんいの方,此方ニむかひて|さんをせす
«1745-0150»,«歳徳»,としとくあきの方|さるとりの間万よし,たつ|,金神,|み
«1745-0160»,«歳刑»,さいけういぬの方,むかひて|たねまかす,土公,春はかま|秋は井,夏はかと|冬はには
«1745-0170»,«歳破»,さいはひつしの方,むかひてわたましせす|ふねのりはしめす,正月大,二月大,三月大
«1745-0180»,«歳煞»,さいせつたつの方,此方より|よめとらす,四月小,五月大,六月小
«1745-0190»,«黄幡»,わうはんうしの方,むかひて|弓はしめよし,七月小,八月大,九月小
«1745-0200»,«豹尾»,へうひひつしの方,むかひて大小へんせす|ちくるいもとめす,十月小,十一月大,十二月大|閏十二月小
«1745-0210»,«月序»,正月,大,建,戊寅,胃宿値月危宿月曜値朔日
«1745-0220»,«正月»,一日,みつのとのとり,なる,金,　,●
«1745-0230»,«正月»,二日,きのえいぬ,おさむ,火,吉事始,はかため くらひらき ひめはしめ きそはしめ|ゆとのはしめ こしのりそめ万よし
«1745-0240»,«正月»,三日,きのとのい,ひらく,火,　,馬のりそめ ふねのりそめ 弓はしめ|あきなひはしめ すきそめ万よし
«1745-0250»,«暦日1»,四〳,ひのえね,とつ,水,せつふん,きこ ちいみ
«1745-0260»,«節中»,立春正月せつ翌うしの四刻ニ入日の出より日入まて,昼四十二刻余|夜五十七刻余,六より六まて,昼四十七刻余|夜五十二刻余
«1745-0270»,«暦日1»,五〳,ひのとのうし,とつ,水,　,神よし 大みやう きこ ちいみ  ものたち 木こり  つめとりよし
«1745-0280»,«暦日2»,六〳,つちのえとら,たつ,土,　,天しや よろつよし
«1745-0290»,«暦日0»,七〳,つちのとのう,のそく,,　,神よし 大みやう  みそさけつくり たねまきよし
«1745-0300»,«暦日2»,八〳,かのえたつ,みつ,金,　,ふく日
«1745-0310»,«暦日0»,九〳,かのとのみ,たいら,,　,ちう日 めつもん 地火
«1745-0320»,«暦日2»,十〳,みつのえむま,さたん,木,　,神よし 大みやう  木こりよし
«1745-0330»,«暦日0»,十一〳,みつのとのひつし,とる,,　,わうまう  たねまきよし
«1745-0340»,«暦日2»,十二〳,きのえさる,やふる,水,十方くれニ入,神よし きしく 大みやう ふく日
«1745-0350»,«暦日0»,十三〳,きのとのとり,あやふ,,　,十し
«1745-0360»,«暦日2»,十四〳,ひのえいぬ,なる,土,　,●
«1745-0370»,«暦日0»,十五〳,ひのとのい,おさん,,　,大みやう 大くわ ちう日
«1745-0380»,«暦日2»,十六〳,つちのえね,ひらく,火,　,天火 らうしやく  けんふく 入学よし
«1745-0390»,«暦日0»,十七〳,つちのとのうし,とつ,,　,きこ ちいみ  井ほり  つめとりよし
«1745-0400»,«暦日2»,十八〳,かのえとら,たつ,木,　,さい下しき ふく日  つめとりよし
«1745-0410»,«暦日0»,十九〳,かのとのう,のそく,,　,くゑ日
«1745-0420»,«暦日1»,廿〳,みつのえたつ,みつ,水,　,大みやう 五む日
«1745-0430»,«節中»,雨水正月中たつの一刻日の出より日入まて,昼四十四刻余|夜五十五刻余,六より六まて,昼四十九刻余|夜五十刻余
«1745-0440»,«暦日1»,廿一〳,みつのとのみ,たいら,水,天一天上,ちう日 めつもん 地火
«1745-0450»,«暦日2»,廿二〳,きのえむま,さたん,金,　,神よし ふく日  かといて ふねのりよし
«1745-0460»,«暦日0»,廿三〳,きのとのひつし,とる,,　,大みやう 五む日
«1745-0470»,«暦日2»,廿四〳,ひのえさる,やふる,火,　,神よし
«1745-0480»,«暦日0»,廿五〳,ひのとのとり,あやふ,,　,十し
«1745-0490»,«暦日2»,廿六〳,つちのえいぬ,なる,木,　,●
«1745-0500»,«暦日0»,廿七〳,つちのとのい,おさん,,　,神よし 大くわ ちう日
«1745-0510»,«暦日2»,廿八〳,かのえね,ひらく,土,　,神よし ふく日 天火 らうしやく
«1745-0520»,«暦日0»,廿九〳,かのとのうし,とつ,,　,神よし 五む日 きこ ちいみ  ものたち  つめとりよし
«1745-0530»,«暦日1»,卅〳,みつのえとら,たつ,金,　,大みやう  かといて  つめとりよし
«1745-0540»,«月序»,二月,大,建,己卯,昴宿　壁　水よう
«1745-0550»,«暦日1»,一〳,みつのとのう,のそく,金,　,神よし  あさまきよし
«1745-0560»,«暦日2»,二〳,きのえたつ,みつ,火,　,大みやう ふく日  かといてよし
«1745-0570»,«暦日0»,三〳,きのとのみ,たいら,,　,神よし 大みやう ちう日 めつもん 地火  けんふくよし
«1745-0580»,«暦日2»,四〳,ひのえむま,さたん,水,　,神よし 大みやう  わたましよし
«1745-0590»,«暦日0»,五〳,ひのとのひつし,さたん,,　,神よし ちいみ
«1745-0600»,«節中»,啓蟄二月せつむまの六刻ニ入日の出より日入まて,昼四十七刻余|夜五十二刻余,六より六まて,昼五十二刻余|夜四十七刻余
«1745-0610»,«暦日2»,六〳,つちのえさる,とる,土,　,神よし  たねまきよし
«1745-0620»,«暦日0»,七〳,つちのとのとり,やふる,,　,大みやう
«1745-0630»,«暦日2»,八〳,かのえいぬ,あやふ,金,　,大みやう  けんふくよし
«1745-0640»,«暦日0»,九〳,かのとのい,なる,,　,神よし 大みやう ちう日 ふく日
