«1746-0000»,【 カンマ区切りテキスト形式です。】
«1746-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1746-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1746-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1746-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1746-0050»,【 外部リンク　】
«1746-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546785/2 ～ 7】
«1746-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1746h　(翻刻編集終了データを表成型して表示します)】
«1746-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1746ht (翻刻編集中データを表成型して表示します)】
«1746-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1746-0100»,«版元»,出版地○○,出版元□□□,　
«1746-0110»,«暦首»,延享三年ひのえとら乃貞享暦,星宿|値年,凡三百五十五日
«1746-0120»,«大歳»,大さいとらの方,此方ニむかひて万よし|但木をきらす
«1746-0130»,«大將軍»,大しやうくんねの方,たつのとしまて|三年ふさかり
«1746-0140»,«大陰»,大おんねの方,此方ニむかひて|さんをせす
«1746-0150»,«歳徳»,としとくあきの方|みむまの間万よし,ねうしとら|,金神,|うむまひつし
«1746-0160»,«歳刑»,さいけうみの方,むかひて|たねまかす,土公,春はかま|秋は井,夏はかと|冬はには
«1746-0170»,«歳破»,さいはさるの方,むかひてわたましせす|ふねのりはしめす,正月大,二月大,三月小
«1746-0180»,«歳煞»,さいせつうしの方,此方より|よめとらす,四月大,五月小,六月大
«1746-0190»,«黄幡»,わうはんいぬの方,むかひて|弓はしめよし,七月小,八月大,九月小
«1746-0200»,«豹尾»,へうひたつの方,むかひて大小へんせす|ちくるいもとめす,十月小,十一月大,十二月大
«1746-0210»,«月序»,正月,大,建,庚寅,角宿値月房宿日曜値朔日
«1746-0220»,«正月»,一日,ひのとのとり,あやふ,火,吉事始,はかため くらひらき ひめはしめ きそはしめ|ゆとのはしめ こしのりそめ万よし
«1746-0230»,«節中»,雨水正月中ひつしの初刻日の出より日入まて,昼四十四刻余|夜五十五刻余,六より六まて,昼四十九刻余|夜五十刻余
«1746-0240»,«正月»,二日,つちのえいぬ,なる,木,　,●
«1746-0250»,«正月»,三日,つちのとのい,おさむ,木,　,馬のりそめ ふねのりそめ 弓はしめ|あきなひはしめ すきそめ万よし
«1746-0260»,«暦日2»,四〳,かのえね,ひらく,土,　,神よし ふく日 天火 らうしやく
«1746-0270»,«暦日0»,五〳,かのとのうし,とつ,,　,神よし 五む日 きこ ちいみ  ものたち  つめとりよし
«1746-0280»,«暦日2»,六〳,みつのえとら,たつ,金,　,大みやう  かといて  つめとりよし
«1746-0290»,«暦日0»,七〳,みつのとのう,のそく,,　,神よし  あさまきよし
«1746-0300»,«暦日2»,八〳,きのえたつ,みつ,火,　,大みやう ふく日  かといてよし
«1746-0310»,«暦日0»,九〳,きのとのみ,たいら,,　,神よし 大みやう ちう日 めつもん 地火  けんふくよし
«1746-0320»,«暦日2»,十〳,ひのえむま,さたん,水,　,神よし 大みやう  わたましよし
«1746-0330»,«暦日0»,十一〳,ひのとのひつし,とる,,　,神よし  かといてよし
«1746-0340»,«暦日2»,十二〳,つちのえさる,やふる,土,　,神よし  たねまきよし
«1746-0350»,«暦日0»,十三〳,つちのとのとり,あやふ,,　,十し
«1746-0360»,«暦日2»,十四〳,かのえいぬ,なる,金,　,●
«1746-0370»,«暦日0»,十五〳,かのとのい,おさん,,　,神よし 大みやう 大くわ ちう日
«1746-0380»,«暦日1»,十六〳,みつのえね,おさん,木,八せんのはしめ,めつもん
«1746-0390»,«節中»,啓蟄二月せつとりの五刻ニ入日の出より日入まて,昼四十七刻余|夜五十二刻余,六より六まて,昼五十二刻余|夜四十七刻余
«1746-0400»,«食記»,月そく六分,　
«1746-0410»,«暦日1»,十七〳,みつのとのうし,ひらく,木,ま日, つめとりよし
«1746-0420»,«暦日2»,十八〳,きのえとら,とつ,水,　,きこ  やたて  つめとりよし
«1746-0430»,«暦日0»,十九〳,きのとのう,たつ,,　,くゑ日 ふく日 天火 らうしやく
«1746-0440»,«暦日2»,廿〳,ひのえたつ,のそく,土,ま日,●
«1746-0450»,«暦日0»,廿一〳,ひのとのみ,みつ,,　,十し
«1746-0460»,«暦日2»,廿二〳,つちのえむま,たいら,火,ま日,神よし 大くわ 地火
«1746-0470»,«暦日0»,廿三〳,つちのとのひつし,さたん,,　,神よし 大みやう ちいみ  たねかしよし
«1746-0480»,«暦日2»,廿四〳,かのえさる,とる,木,　,神よし 大みやう
«1746-0490»,«暦日0»,廿五〳,かのとのとり,やふる,,　,大みやう くゑ日 ふく日
«1746-0500»,«暦日2»,廿六〳,みつのえいぬ,あやふ,水,ま日, あさまきよし
«1746-0510»,«暦日0»,廿七〳,みつのとのい,なる,,八せんのおはり,ちう日  たねかしよし
«1746-0520»,«暦日2»,廿八〳,きのえね,おさん,金,　,めつもん
«1746-0530»,«暦日0»,廿九〳,きのとのうし,ひらく,,　,ふく日 わうまう  ものたち  つめとりよし
«1746-0540»,«暦日1»,卅〳,ひのえとら,とつ,火,　,きこ  つめとりよし
«1746-0550»,«月序»,二月,大,建,辛卯,亢宿　尾　火よう
«1746-0560»,«暦日1»,一〳,ひのとのう,たつ,火,　,さい下しき 天火 らうしやく
«1746-0570»,«節中»,春分二月中夜ねの二刻日の出より日入まて,昼五十刻|夜五十刻,六より六まて,昼五十五刻|夜四十五刻
«1746-0580»,«食記»,日そく七分,　
«1746-0590»,«暦日2»,二〳,つちのえたつ,のそく,木,社日,●
«1746-0600»,«暦日0»,三〳,つちのとのみ,みつ,,ひかんニなる,十し
«1746-0610»,«暦日2»,四〳,かのえむま,たいら,土,　,神よし 大くわ 地火
«1746-0620»,«暦日0»,五〳,かのとのひつし,さたん,,　,大みやう ちいみ ふく日  くらたて 井ほりよし
«1746-0630»,«暦日2»,六〳,みつのえさる,とる,金,　,神よし 大みやう  入学よし
«1746-0640»,«暦日0»,七〳,みつのとのとり,やふる,,　,大みやう  やたてよし
«1746-0650»,«暦日2»,八〳,きのえいぬ,あやふ,火,　, かといてよし
«1746-0660»,«暦日0»,九〳,きのとのい,なる,,　,ちう日 ふく日  みそすつくりよし
«1746-0670»,«暦日2»,十〳,ひのえね,おさん,水,　,めつもん  たねかしよし
«1746-0680»,«暦日0»,十一〳,ひのとのうし,ひらく,,　,大みやう  ものたち  つめとりよし
«1746-0690»,«暦日2»,十二〳,つちのえとら,とつ,土,　,天しや よろつよし
«1746-0700»,«暦日0»,十三〳,つちのとのう,たつ,,　,大みやう くゑ日 天火 らうしやく
«1746-0710»,«暦日2»,十四〳,かのえたつ,のそく,金,　,●
«1746-0720»,«暦日0»,十五〳,かのとのみ,みつ,,　,十し
«1746-0730»,«暦日1»,十六〳,みつのえむま,たいら,木,　,神よし 大みやう 大くわ 地火
«1746-0740»,«節中»,清明三月せつ翌とらの七刻ニ入日の出より日入まて,昼五十二刻余|夜四十七刻余,六より六まて,昼五十七刻余|夜四十二刻余
«1746-0750»,«暦日1»,十七〳,みつのとのひつし,たいら,木,　,めつもん 地火
«1746-0760»,«暦日2»,十八〳,きのえさる,さたん,水,十方くれニ入,きしく 大みやう くゑ日
«1746-0770»,«暦日0»,十九〳,きのとのとり,とる,,　,神よし  くさかりよし
«1746-0780»,«暦日2»,廿〳,ひのえいぬ,やふる,土,　,五む日
«1746-0790»,«暦日0»,廿一〳,ひのとのい,あやふ,,　,●
«1746-0800»,«暦日2»,廿二〳,つちのえね,なる,火,　,きこ ふく日
«1746-0810»,«暦日0»,廿三〳,つちのとのうし,おさん,,　,十し
«1746-0820»,«暦日2»,廿四〳,かのえとら,ひらく,木,　,ちいみ  いちたち  つめとりよし
