《1748-0000》,# カンマ区切りテキスト形式です。
《1748-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1748-0020》,# ・表の区画内での改行は“/”で表記します。
《1748-0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《1748-0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《1748-0050》,# 外部リンク
《1748-0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546785/12 ～ 17
《1748-0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1748g　(GitHub上データを表成型)
《1748-0080》,# 　　　　　　 　http://hosi.org:3000/Note/1748h　(翻刻編集データを表成型 - 未実装)
《1748-0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《1748-0100》,《版元》,出版地○○,出版元□□□,　
《1748-0110》,《暦首》,延享五年つちのえたつ乃貞享暦,翼宿/値年,凡三百八十四日
《1748-0120》,《大歳》,大さいたつの方,此方ニむかひて万よし/但木をきらす
《1748-0130》,《大將軍》,大しやうくんねの方,たつのとしまて/三年ふさかり
《1748-0140》,《大陰》,大おんとらの方,此方ニむかひて/さんをせす
《1748-0150》,《歳徳》,としとくあきの方/みむまの間万よし,ねうし/,金神,/さるとり
《1748-0160》,《歳刑》,さいけうたつの方,むかひて/たねまかす,土公,春はかま/秋は井,夏はかと/冬はには
《1748-0170》,《歳破》,さいはいぬの方,むかひてわたましせす/ふねのりはしめす,正月小,二月大,三月大
《1748-0180》,《歳煞》,さいせつひつしの方,此方より/よめとらす,四月小,五月大,六月小
《1748-0190》,《黄幡》,わうはんたつの方,むかひて/弓はしめよし,七月大,八月大,九月小
《1748-0200》,《豹尾》,へうひいぬの方,むかひて大小へんせす/ちくるいもとめす,十月大/閏十月小,十一月大,十二月小
《1748-0210》,《月序》,正月,小,建,甲寅,星宿値月室宿火曜値朔日
《1748-0220》,《正月》,一日,ひのえいぬ,おさむ,土,吉事始,はかため くらひらき ひめはしめ きそはしめ/ゆとのはしめ こしのりそめ万よし
《1748-0230》,《正月》,二日,ひのとのい,ひらく,土,　,馬のりそめ ふねのりそめ 弓はしめ/あきなひはしめ すきそめ万よし
《1748-0240》,《三日》,三日,つちのえね,とつ,火,　,くゑ日 きこ ちいみ ふく日
《1748-0250》,《暦日1》,四／,つちのとのうし,たつ,火,　,十し
《1748-0260》,《暦日2》,五／,かのえとら,のそく,木,　, 井ほり  つめとりよし
《1748-0270》,《暦日0》,六／,かのとのう,みつ,,せつふん,わうまう  よめとりよし
《1748-0280》,《暦日1》,七／,みつのえたつ,みつ,水,　,大みやう 五む日
《1748-0290》,《節中》,立春正月せついぬの一刻ニ入日の出より日入まて,昼四十二刻余/夜五十七刻余,六より六まて,昼四十七刻余/夜五十二刻余
《1748-0300》,《暦日1》,八／,みつのとのみ,たいら,水,天一天上,ちう日 めつもん 地火
