«1749-0000»,【 カンマ区切りテキスト形式です。】
«1749-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1749-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1749-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1749-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1749-0050»,【 外部リンク　】
«1749-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546785/18 ～ 22】
«1749-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1749h　(翻刻編集終了データを表成型して表示します)】
«1749-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1749ht (翻刻編集中データを表成型して表示します)】
«1749-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1749-0100»,«版元»,出版地○○,出版元□□□,　
«1749-0110»,«暦首»,寛延二年つちのとのみ乃貞享暦,軫宿|値年,凡三百五十五日
«1749-0120»,«大歳»,大さいみの方,此方ニむかひて万よし|但木をきらす
«1749-0130»,«大將軍»,大しやうくんうの方,ひつしのとしまて|三年ふさかり
«1749-0140»,«大陰»,大おんうの方,此方ニむかひて|さんをせす
«1749-0150»,«歳徳»,としとくあきの方|とらうの間万よし,むまひつし|,金神,|さるとり
«1749-0160»,«歳刑»,さいけうさるの方,むかひて|たねまかす,土公,春はかま|秋は井,夏はかと|冬はには
«1749-0170»,«歳破»,さいはいの方,むかひてわたましせす|ふねのりはしめす,正月大,二月小,三月小
«1749-0180»,«歳煞»,さいせつたつの方,此方より|よめとらす,四月大,五月小,六月大
«1749-0190»,«黄幡»,わうはんうしの方,むかひて|弓はしめよし,七月大,八月小,九月大
«1749-0200»,«豹尾»,へうひひつしの方,むかひて大小へんせす|ちくるいもとめす,十月大,十一月小,十二月大
«1749-0210»,«月序»,正月,大,建,丙寅,牛宿値月心宿月曜値朔日
«1749-0220»,«正月»,一日,かのえいぬ,なる,金,　,●
«1749-0230»,«正月»,二日,かのとのい,おさむ,金,吉事始,はかため くらひらき ひめはしめ きそはしめ|ゆとのはしめ こしのりそめ万よし
«1749-0240»,«正月»,三日,みつのえね,ひらく,木,八せんのはしめ,馬のりそめ ふねのりそめ 弓はしめ|あきなひはしめ すきそめ万よし
«1749-0250»,«暦日1»,四〳,みつのとのうし,とつ,木,ま日,神よし きこ ちいみ  つめとりよし
«1749-0260»,«節中»,雨水正月中翌うの六刻日の出より日入まて,昼四十四刻余|夜五十五刻余,六より六まて,昼四十九刻余|夜五十刻余
«1749-0270»,«暦日2»,五〳,きのえとら,たつ,水,　,くゑ日 ふく日
«1749-0280»,«暦日0»,六〳,きのとのう,のそく,,　,神よし  ものたちよし
«1749-0290»,«暦日2»,七〳,ひのえたつ,みつ,土,ま日,大みやう
«1749-0300»,«暦日0»,八〳,ひのとのみ,たいら,,　,ちう日 めつもん 地火
«1749-0310»,«暦日2»,九〳,つちのえむま,さたん,火,ま日,神よし  ふねのりよし
«1749-0320»,«暦日0»,十〳,つちのとのひつし,とる,,　,神よし 大みやう  かといて たねまきよし
«1749-0330»,«暦日2»,十一〳,かのえさる,やふる,木,　,神よし 大みやう ふく日
«1749-0340»,«暦日0»,十二〳,かのとのとり,あやふ,,　,十し
«1749-0350»,«暦日2»,十三〳,みつのえいぬ,なる,水,ま日,●
«1749-0360»,«暦日0»,十四〳,みつのとのい,おさん,,八せんのおはり,大くわ ちう日  けんふくよし
«1749-0370»,«暦日2»,十五〳,きのえね,ひらく,金,　,ふく日 天火 らうしやく
«1749-0380»,«暦日0»,十六〳,きのとのうし,とつ,,　,神よし きこ ちいみ  くらたて 井ほり  つめとりよし
«1749-0390»,«暦日2»,十七〳,ひのえとら,たつ,火,　, つめとりよし
«1749-0400»,«暦日0»,十八〳,ひのとのう,のそく,,　,神よし  あさまきよし
