《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《0050》,# 外部リンク
《0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546785/28 ～ 33
《0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1751g　(GitHub上データを表成型)
《0080》,# 　　　　　　 　http://hosi.org:3000/Note/1751h　(翻刻編集データを表成型 - 未実装)
《0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《0100》,《版元》,出版地○○,出版元□□□,　
《0110》,《暦首》,寛延四年かのとのひつし乃貞享暦,亢宿/値年,凡三百八十四日
《0120》,《大歳》,大さいひつしの方,此方ニむかひて万よし/但木をきらす
《0130》,《大將軍》,大しやうくんうの方,ひつしのとしまて/三年ふさかり
《0140》,《大陰》,大おんみの方,此方ニむかひて/さんをせす
《0150》,《歳徳》,　,としとくあきの方/みむまの間万よし,ねうしとら/,金神,/うむまひつし
《0160》,《歳刑》,さいけううしの方,むかひて/たねまかす,土公,春はかま/秋は井,夏はかと/冬はには
《0170》,《歳破》,さいはうしの方,むかひてわたましせす/ふねのりはしめす,正月大,二月小,三月大
《0180》,《歳煞》,さいせついぬの方,此方より/よめとらす,四月小,五月小,六月大/閏六月小
《0190》,《黄幡》,わうはんひつしの方,むかひて/弓はしめよし,七月大,八月小,九月大
《0200》,《豹尾》,へうひうしの方,むかひて大小へんせす/ちくるいもとめす,十月大,十一月小,十二月大
《0210》,《月序》,正月,大,建,庚寅,心宿値月壁宿水曜値朔日
《0220》,《正月》,一日,つちのとのい,ひらく,木,吉事始,はかため くらひらき ひめはしめ きそはしめ/ゆとのはしめ こしのりそめ万よし
《0230》,《正月》,二日,かのえね,とつ,土,　,馬のりそめ ふねのりそめ 弓はしめ/あきなひはしめ すきそめ万よし
《0240》,《三日》,三日,かのとのうし,たつ,土,　,十し
《0250》,《暦日2》,四／,みつのえとら,のそく,金,　,大みやう  けんふく  つめとりよし
《0260》,《暦日0》,五／,みつのとのう,みつ,,　,神よし  わたましよし
《0270》,《暦日2》,六／,きのえたつ,たいら,火,　,大みやう 大くわ 地火
《0280》,《暦日0》,七／,きのとのみ,さたん,,　,大みやう ちう日  いちたちよし
《0290》,《暦日2》,八／,ひのえむま,とる,水,　,神よし 大みやう  かといてよし
《0300》,《暦日0》,九／,ひのとのひつし,やふる,,せつふん,さい下しき くゑ日 わうまう
《0310》,《暦日1》,十／,つちのえさる,やふる,土,　,神よし きしく  たねまきよし
《0320》,《節中》,立春正月せつむまの七刻ニ入日の出より日入まて,昼四十二刻余/夜五十七刻余,六より六まて,昼四十七刻余/夜五十二刻余
《0330》,《暦日1》,十一／,つちのとのとり,あやふ,土,　,十し
《0340》,《暦日2》,十二／,かのえいぬ,なる,金,　,●
《0350》,《暦日0》,十三／,かのとのい,おさん,,　,神よし 大みやう 大くわ ちう日
《0360》,《暦日2》,十四／,みつのえね,ひらく,木,八せんのはしめ,神よし 天火 らうしやく
《0370》,《暦日0》,十五／,みつのとのうし,とつ,,ま日,神よし きこ ちいみ  つめとりよし
《0380》,《暦日2》,十六／,きのえとら,たつ,水,　,くゑ日 ふく日 わうまう
《0390》,《暦日0》,十七／,きのとのう,のそく,,　,神よし  ものたちよし
《0400》,《暦日2》,十八／,ひのえたつ,みつ,土,ま日,大みやう
《0410》,《暦日0》,十九／,ひのとのみ,たいら,,　,ちう日 めつもん 地火
《0420》,《暦日2》,廿／,つちのえむま,さたん,火,ま日,神よし  ふねのりよし
《0430》,《暦日0》,廿一／,つちのとのひつし,とる,,　,神よし 大みやう  かといて たねまきよし
《0440》,《暦日2》,廿二／,かのえさる,やふる,木,　,さい下しき 神よし 大みやう ふく日
《0450》,《暦日0》,廿三／,かのとのとり,あやふ,,　,十し
《0460》,《暦日2》,廿四／,みつのえいぬ,なる,水,ま日,●
《0470》,《暦日0》,廿五／,みつのとのい,おさん,,八せんのおはり,大くわ ちう日  けんふくよし
《0480》,《節中》,雨水正月中とりの四刻日の出より日入まて,昼四十四刻余/夜五十五刻余,六より六まて,昼四十九刻余/夜五十刻余
《0490》,《暦日2》,廿六／,きのえね,ひらく,金,　,ふく日 天火 らうしやく
《0500》,《暦日0》,廿七／,きのとのうし,とつ,,　,神よし きこ ちいみ  くらたて 井ほり  つめとりよし
《0510》,《暦日2》,廿八／,ひのえとら,たつ,火,　, つめとりよし
《0520》,《暦日0》,廿九／,ひのとのう,のそく,,　,神よし  あさまきよし
《0530》,《暦日1》,卅／,つちのえたつ,みつ,木,　,五む日  みそつくりよし
《0540》,《月序》,二月,小,建,辛卯,尾宿　婁　金よう
《0550》,《暦日1》,一／,つちのとのみ,たいら,木,　,神よし ちう日 めつもん 地火  入学よし
《0560》,《暦日2》,二／,かのえむま,さたん,土,　,神よし ふく日
《0570》,《暦日0》,三／,かのとのひつし,とる,,　,大みやう  いちたちよし
《0580》,《暦日2》,四／,みつのえさる,やふる,金,　,神よし 大みやう
《0590》,《暦日0》,五／,みつのとのとり,あやふ,,　,十し
《0600》,《暦日2》,六／,きのえいぬ,なる,火,　,●
《0610》,《暦日0》,七／,きのとのい,おさん,,　,大くわ ちう日
《0620》,《暦日2》,八／,ひのえね,ひらく,水,　,きしく 天火 らうしやく
《0630》,《暦日0》,九／,ひのとのうし,とつ,,　,神よし 大みやう きこ ちいみ  ものたち 木こり  つめとりよし
《0640》,《暦日1》,十／,つちのえとら,とつ,土,　,天しや よろつよし
《0650》,《節中》,啓蟄二月せつ夜ねの一刻ニ入日の出より日入まて,昼四十七刻余/夜五十二刻余,六より六まて,昼五十二刻余/夜四十七刻余
《0660》,《暦日1》,十一／,つちのとのう,たつ,土,　,大みやう くゑ日 天火 らうしやく
《0670》,《暦日2》,十二／,かのえたつ,のそく,金,　,●
《0680》,《暦日0》,十三／,かのとのみ,みつ,,　,十し
《0690》,《暦日2》,十四／,みつのえむま,たいら,木,　,神よし 大みやう 大くわ 地火
