«1753-0000»,【 カンマ区切りテキスト形式です。】
«1753-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1753-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1753-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1753-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1753-0050»,【 外部リンク　】
«1753-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546785/38 ～ 43】
«1753-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1753h　(翻刻編集終了データを表成型して表示します)】
«1753-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1753ht (翻刻編集中データを表成型して表示します)】
«1753-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1753-0100»,«版元»,出版地○○,出版元□□□,　
«1753-0110»,«暦首»,宝暦三年みつのとのとり乃貞享暦,房宿|値年,凡三百五十四日
«1753-0120»,«大歳»,大さいとりの方,此方ニむかひて万よし|但木をきらす
«1753-0130»,«大將軍»,大しやうくんむまの方,いぬのとしまて|三年ふさかり
«1753-0140»,«大陰»,大おんひつしの方,此方ニむかひて|さんをせす
«1753-0150»,«歳徳»,としとくあきの方|みむまの間万よし,ねうし|,金神,|さるとり
«1753-0160»,«歳刑»,さいけうとりの方,むかひて|たねまかす,土公,春はかま|秋は井,夏はかと|冬はには
«1753-0170»,«歳破»,さいはうの方,むかひてわたましせす|ふねのりはしめす,正月大,二月大,三月小
«1753-0180»,«歳煞»,さいせつたつの方,此方より|よめとらす,四月大,五月小,六月小
«1753-0190»,«黄幡»,わうはんうしの方,むかひて|弓はしめよし,七月大,八月小,九月小
«1753-0200»,«豹尾»,へうひひつしの方,むかひて大小へんせす|ちくるいもとめす,十月大,十一月大,十二月小
«1753-0210»,«月序»,正月,大,建,甲寅,角宿値月柳宿土曜値朔日
«1753-0220»,«正月»,一日,ひのとのみ,さたむ,土,吉事始,はかため くらひらき ひめはしめ きそはしめ|ゆとのはしめ こしのりそめ万よし
«1753-0230»,«正月»,二日,つちのえむま,とる,火,せつふん|ま日,馬のりそめ ふねのりそめ 弓はしめ|あきなひはしめ すきそめ万よし
«1753-0240»,«三日»,三日,つちのとのひつし,とる,火,　,神よし 大みやう日
«1753-0250»,«節中»,立春正月せつうの二刻ニ入日の出より日入まて,昼四十二刻余|夜五十七刻余,六より六まて,昼四十七刻余|夜五十二刻余
«1753-0260»,«暦日2»,四〳,かのえさる,やふる,木,　,神よし 大みやう ふく日
«1753-0270»,«暦日0»,五〳,かのとのとり,あやふ,,　,十し
«1753-0280»,«暦日2»,六〳,みつのえいぬ,なる,水,ま日,●
«1753-0290»,«暦日0»,七〳,みつのとのい,おさん,,八せんのおはり,大くわ ちう日  けんふくよし
«1753-0300»,«暦日2»,八〳,きのえね,ひらく,金,　,ふく日 天火 らうしやく
«1753-0310»,«暦日0»,九〳,きのとのうし,とつ,,　,きこ ちいみ わうまう  くらたて 井ほり  つめとりよし
«1753-0320»,«暦日2»,十〳,ひのえとら,たつ,火,　, つめとりよし
«1753-0330»,«暦日0»,十一〳,ひのとのう,のそく,,　,神よし  あさまきよし
«1753-0340»,«暦日2»,十二〳,つちのえたつ,みつ,木,　,五む日  みそつくりよし
«1753-0350»,«暦日0»,十三〳,つちのとのみ,たいら,,　,神よし ちう日 めつもん 地火  入学よし
«1753-0360»,«暦日2»,十四〳,かのえむま,さたん,土,　,神よし ふく日
«1753-0370»,«暦日0»,十五〳,かのとのひつし,とる,,　,大みやう  いちたちよし
«1753-0380»,«暦日2»,十六〳,みつのえさる,やふる,金,　,神よし 大みやう
«1753-0390»,«暦日0»,十七〳,みつのとのとり,あやふ,,　,十し
«1753-0400»,«暦日1»,十八〳,きのえいぬ,なる,火,　,●
«1753-0410»,«節中»,雨水正月中みの七刻日の出より日入まて,昼四十四刻余|夜五十五刻余,六より六まて,昼四十九刻余|夜五十刻余
«1753-0420»,«暦日1»,十九〳,きのとのい,おさん,火,　,大くわ ちう日
«1753-0430»,«暦日2»,廿〳,ひのえね,ひらく,水,　,天火 らうしやく
«1753-0440»,«暦日0»,廿一〳,ひのとのうし,とつ,,　,神よし 大みやう きこ ちいみ  ものたち 木こり  つめとりよし
«1753-0450»,«暦日2»,廿二〳,つちのえとら,たつ,土,　,天しや よろつよし
«1753-0460»,«暦日0»,廿三〳,つちのとのう,のそく,,　,神よし 大みやう  みそさけつくり たねまきよし
«1753-0470»,«暦日2»,廿四〳,かのえたつ,みつ,金,　,ふく日
«1753-0480»,«暦日0»,廿五〳,かのとのみ,たいら,,　,ちう日 めつもん 地火
«1753-0490»,«暦日2»,廿六〳,みつのえむま,さたん,木,　,神よし 大みやう  木こりよし
«1753-0500»,«暦日0»,廿七〳,みつのとのひつし,とる,,　, たねまきよし
«1753-0510»,«暦日2»,廿八〳,きのえさる,やふる,水,十方くれニ入,神よし きしく 大みやう ふく日
«1753-0520»,«暦日0»,廿九〳,きのとのとり,あやふ,,　,十し
«1753-0530»,«暦日1»,卅〳,ひのえいぬ,なる,土,　,●
«1753-0540»,«月序»,二月,大,建,乙卯,亢宿　張　月よう
«1753-0550»,«暦日1»,一〳,ひのとのい,おさん,土,　,大みやう 大くわ ちう日
«1753-0560»,«暦日2»,二〳,つちのえね,ひらく,火,　,天火 らうしやく  けんふく 入学よし
«1753-0570»,«暦日0»,三〳,つちのとのうし,ひらく,,　, 井ほり  つめとりよし
«1753-0580»,«節中»,啓蟄二月せつさるの四刻ニ入日の出より日入まて,昼四十七刻余|夜五十二刻余,六より六まて,昼五十二刻余|夜四十七刻余
«1753-0590»,«暦日2»,四〳,かのえとら,とつ,木,　,きこ  つめとりよし
«1753-0600»,«暦日0»,五〳,かのとのう,たつ,,　,ふく日 天火 らうしやく
«1753-0610»,«暦日2»,六〳,みつのえたつ,のそく,水,　,●
«1753-0620»,«暦日0»,七〳,みつのとのみ,みつ,,天一天上,十し
«1753-0630»,«暦日2»,八〳,きのえむま,たいら,金,　,神よし 大くわ 地火
«1753-0640»,«暦日0»,九〳,きのとのひつし,さたん,,　,大みやう 五む日 ちいみ ふく日  ふねのりよし
«1753-0650»,«暦日2»,十〳,ひのえさる,とる,火,　,神よし
«1753-0660»,«暦日0»,十一〳,ひのとのとり,やふる,,　, あさまき たねかしよし
«1753-0670»,«暦日2»,十二〳,つちのえいぬ,あやふ,木,　, かといてよし
«1753-0680»,«暦日0»,十三〳,つちのとのい,なる,,　,神よし ちう日  みそすつくりよし
«1753-0690»,«暦日2»,十四〳,かのえね,おさん,土,　,神よし めつもん  よめとり たねかしよし
«1753-0700»,«暦日0»,十五〳,かのとのうし,ひらく,,　,五む日 ふく日  ものたち  つめとりよし
«1753-0710»,«暦日2»,十六〳,みつのえとら,とつ,金,　,大みやう きこ わうまう  やたて くらたて  つめとりよし
«1753-0720»,«暦日0»,十七〳,みつのとのう,たつ,,　,天火 らうしやく
«1753-0730»,«暦日1»,十八〳,きのえたつ,のそく,火,　,●
«1753-0740»,«節中»,春分二月中いの一刻日の出より日入まて,昼五十刻|夜五十刻,六より六まて,昼五十五刻|夜四十五刻
«1753-0750»,«暦日1»,十九〳,きのとのみ,みつ,火,　,十し
«1753-0760»,«暦日2»,廿〳,ひのえむま,たいら,水,ひかんニなる,神よし 大みやう 大くわ 地火
«1753-0770»,«暦日0»,廿一〳,ひのとのひつし,さたん,,　,神よし ちいみ
«1753-0780»,«暦日2»,廿二〳,つちのえさる,とる,土,社日,神よし  たねまきよし
«1753-0790»,«暦日0»,廿三〳,つちのとのとり,やふる,,　,大みやう
«1753-0800»,«暦日2»,廿四〳,かのえいぬ,あやふ,金,　,大みやう  けんふくよし
«1753-0810»,«暦日0»,廿五〳,かのとのい,なる,,　,神よし 大みやう ちう日 ふく日
«1753-0820»,«暦日2»,廿六〳,みつのえね,おさん,木,八せんのはしめ,神よし きしく めつもん  あさまきよし
«1753-0830»,«暦日0»,廿七〳,みつのとのうし,ひらく,,ま日, つめとりよし
«1753-0840»,«暦日2»,廿八〳,きのえとら,とつ,水,　,きこ  やたて  つめとりよし
«1753-0850»,«暦日0»,廿九〳,きのとのう,たつ,,　,くゑ日 ふく日 天火 らうしやく
«1753-0860»,«暦日1»,卅〳,ひのえたつ,のそく,土,ま日,●
«1753-0870»,«月序»,三月,小,建,丙辰,氐宿　軫　水よう
«1753-0880»,«暦日1»,一〳,ひのとのみ,みつ,土,　,十し
«1753-0890»,«暦日2»,二〳,つちのえむま,たいら,火,ま日,神よし 大くわ 地火
«1753-0900»,«暦日0»,三〳,つちのとのひつし,さたん,,　,神よし 大みやう ちいみ  たねかしよし
«1753-0910»,«暦日1»,四〳,かのえさる,さたん,木,　,大みやう くゑ日
«1753-0920»,«節中»,清明三月せつうしの六刻ニ入日の出より日入まて,昼五十二刻余|夜四十七刻余,六より六まて,昼五十七刻余|夜四十二刻余
«1753-0930»,«暦日1»,五〳,かのとのとり,とる,木,　,神よし 大みやう  井ほりよし
«1753-0940»,«暦日2»,六〳,みつのえいぬ,やふる,水,ま日
«1753-0950»,«暦日0»,七〳,みつのとのい,あやふ,,八せんのおはり,●
«1753-0960»,«暦日2»,八〳,きのえね,なる,金,　,くゑ日 きこ
«1753-0970»,«暦日0»,九〳,きのとのうし,おさん,,　,十し
«1753-0980»,«暦日2»,十〳,ひのえとら,ひらく,火,　,くゑ日 ちいみ
«1753-0990»,«暦日0»,十一〳,ひのとのう,とつ,,　,くゑ日  たねまきよし
«1753-1000»,«暦日2»,十二〳,つちのえたつ,たつ,木,　,五む日 くゑ日 ふく日
«1753-1010»,«暦日0»,十三〳,つちのとのみ,のそく,,　,神よし ちう日 ふく日  かといてよし
«1753-1020»,«暦日1»,十四〳,かのえむま,みつ,土,　,天火 らうしやく
«1753-1030»,«食記»,月そく四分
«1753-1040»,«暦日1»,十五〳,かのとのひつし,たいら,土,　,大みやう めつもん 地火
