«1755-0000»,【 カンマ区切りテキスト形式です。】
«1755-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1755-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1755-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1755-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1755-0050»,【 外部リンク　】
«1755-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546785/48 ～ 53】
«1755-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1755h　(翻刻編集終了データを表成型して表示します)】
«1755-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1755ht (翻刻編集中データを表成型して表示します)】
«1755-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1755-0100»,«版元»,出版地○○,出版元□□□,　
«1755-0110»,«前書»,　貞享以降距数十年用一暦其推歩与天差矣今立表測景定気朔而治新暦以頒之於天下,　暦面にいむ日は多しといへども吉日は天しや大みやうの二ツのみにて世俗の日取足りかたかるへし仍て今天恩母倉月徳三ツの吉日を記して知しむるものなり,　彼岸の中日ハ昼夜等分にして天地の気均しき時なり前暦の注する所是に違へり故ニ今よりその誤を糺し仍て是を附出す仍て前暦の彼岸と春ハ七日進ミ秋ハ三日すゝむもの也,　昼夜を分ツこと世俗の時取惑多し仍て一たひ翌の字を附出すといへともなを其のまとひ解かたし故ニ夜半より前を今夜と記し夜半より後を今暁と記すもの也,土御門　　　　　従三位陰陽頭安倍泰邦|,門人　天文生源光洪,　　　　　渋川図書　　　　　
«1755-0120»,«暦首»,宝暦五年きのとのい乃新暦,尾宿|値年,凡三百五十四日
«1755-0130»,«大歳»,大さいいの方,此方ニむかひて万よし|但木をきらす
«1755-0140»,«大將軍»,大しやうくんとりの方,うしのとしまて|三年ふさかり
«1755-0150»,«大陰»,大おんとりの方,此方ニむかひて|さんをせす
«1755-0160»,«歳徳»,としとくあきの方|さるとりの間万よし,たつ|,金神,|み
«1755-0170»,«歳刑»,さいけういの方,むかひて|たねまかす,土公,春はかま|秋は井,夏はかと|冬はには
«1755-0180»,«歳破»,さいはみの方,むかひてわたましせす|ふねのりはしめす,正月大,二月大,三月小
«1755-0190»,«歳煞»,さいせついぬの方,此方より|よめとらす,四月大,五月小,六月大
«1755-0200»,«黄幡»,わうはんひつしの方,むかひて|弓はしめよし,七月小,八月大,九月小
«1755-0210»,«豹尾»,へうひうしの方,むかひて大小へんせす|ちくるいもとめす,十月小,十一月大,十二月小
«1755-0220»,«月序»,正月,大,建,戊寅,星宿値月尾宿火曜値朔日
«1755-0230»,«正月»,一日,きのとのい,おさむ,火,吉事始,はかため くらひらき ひめはしめ きそはしめ|ゆとのはしめ こしのりそめ万よし
«1755-0240»,«正月»,二日,ひのえね,ひらく,水,　,馬のりそめ ふねのりそめ 弓はしめ|あきなひはしめ すきそめ万よし
«1755-0250»,«三日»,三日,ひのとのうし,とつ,水,　,神よし 大みやう日 きこ ちいみ
«1755-0260»,«暦日2»,四〳,つちのえとら,たつ,土,　,天しや よろつよし
«1755-0270»,«暦日0»,五〳,つちのとのう,のそく,,　,神よし 大みやう 天おん  みそさけつくり たねまきよし
«1755-0280»,«暦日2»,六〳,かのえたつ,みつ,金,　,天おん ふく日
«1755-0290»,«暦日0»,七〳,かのとのみ,たいら,,　,天おん 母倉 月とく ちう日 めつもん 地火
«1755-0300»,«暦日2»,八〳,みつのえむま,さたん,木,　,神よし 大みやう 天おん  木こりよし
«1755-0310»,«暦日0»,九〳,みつのとのひつし,とる,,　,天おん  たねまきよし
«1755-0320»,«暦日1»,十〳,きのえさる,やふる,水,十方くれニ入,神よし 大みやう ふく日
«1755-0330»,«節中»,雨水正月中さるの三刻日の出より日入まて,昼四十四刻余|夜五十五刻余,六より六まて,昼四十九刻余|夜五十刻余
«1755-0340»,«暦日1»,十一〳,きのとのとり,あやふ,水,　,十し
«1755-0350»,«暦日2»,十二〳,ひのえいぬ,なる,土,　,●
«1755-0360»,«暦日0»,十三〳,ひのとのい,おさん,,　,大みやう 母倉 大くわ ちう日
«1755-0370»,«暦日2»,十四〳,つちのえね,ひらく,火,　,母倉 天火 らうしやく  けんふく 入学よし
«1755-0380»,«暦日0»,十五〳,つちのとのうし,とつ,,　,きこ ちいみ  井ほり  つめとりよし
«1755-0390»,«暦日2»,十六〳,かのえとら,たつ,木,　,ふく日  つめとりよし
«1755-0400»,«暦日0»,十七〳,かのとのう,のそく,,　,くゑ日
«1755-0410»,«暦日2»,十八〳,みつのえたつ,みつ,水,　,きしく 大みやう 五む日
«1755-0420»,«暦日0»,十九〳,みつのとのみ,たいら,,天一天上,ちう日 めつもん 地火
«1755-0430»,«暦日2»,廿〳,きのえむま,さたん,金,　,神よし ふく日  かといて ふねのりよし
«1755-0440»,«暦日0»,廿一〳,きのとのひつし,とる,,　,大みやう 五む日
«1755-0450»,«暦日2»,廿二〳,ひのえさる,やふる,火,　,神よし 月とく
«1755-0460»,«暦日0»,廿三〳,ひのとのとり,あやふ,,　,十し
«1755-0470»,«暦日2»,廿四〳,つちのえいぬ,なる,木,　,●
«1755-0480»,«暦日0»,廿五〳,つちのとのい,なる,,　,神よし 母倉 月とく ちう日  みそすつくりよし
