《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《0050》,# 外部リンク
《0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546785/63 ～ 68
《0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1758g　(GitHub上データを表成型)
《0080》,# 　　　　　　 　http://hosi.org:3000/Note/1758h　(翻刻編集データを表成型 - 未実装)
《0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《0100》,《版元》,出版地○○,出版元□□□,　
《0110》,《暦首》,宝暦八年つちのえとら乃宝暦甲戌元暦,牛宿/値年,凡三百五十五日
《0120》,《大歳》,大さいとらの方,此方ニむかひて万よし/但木をきらす
《0130》,《大將軍》,大しやうくんねの方,たつのとしまて/三年ふさかり
《0140》,《大陰》,大おんねの方,此方ニむかひて/さんをせす
《0150》,《歳徳》,　,としとくあきの方/みむまの間万よし,ねうし/,金神,/さるとり
《0160》,《歳刑》,さいけうみの方,むかひて/たねまかす,土公,春はかま/秋は井,夏はかと/冬はには
《0170》,《歳破》,さいはさるの方,むかひてわたましせす/ふねのりはしめす,正月大,二月小,三月小
《0180》,《歳煞》,さいせつうしの方,此方より/よめとらす,四月大,五月小,六月大
《0190》,《黄幡》,わうはんいぬの方,むかひて/弓はしめよし,七月小,八月大,九月大
《0200》,《豹尾》,へうひたつの方,むかひて大小へんせす/ちくるいもとめす,十月大,十一月小,十二月大
《0210》,《月序》,正月,大,建,甲寅,心宿値月箕宿水曜値朔日
《0220》,《正月》,一日,つちのえね,ひらく,火,吉事始,はかため くらひらき ひめはしめ きそはしめ/ゆとのはしめ こしのりそめ万よし
《0230》,《正月》,二日,つちのとのうし,とつ,火,　,馬のりそめ ふねのりそめ 弓はしめ/あきなひはしめ すきそめ万よし
《0240》,《三日》,三日,かのえとら,たつ,木,　,ふく日
《0250》,《暦日1》,四／,かのとのう,のそく,木,　,くゑ日 わうまう
《0260》,《暦日2》,五／,みつのえたつ,みつ,水,　,大みやう 五む日
《0270》,《暦日0》,六／,みつのとのみ,たいら,,天一天上,ちう日 めつもん 地火
《0280》,《暦日2》,七／,きのえむま,さたん,金,　,神よし ふく日  かといて ふねのりよし
《0290》,《暦日0》,八／,きのとのひつし,とる,,　,大みやう 五む日
《0300》,《暦日2》,九／,ひのえさる,やふる,火,　,神よし 月とく
《0310》,《暦日0》,十／,ひのとのとり,あやふ,,　,十し
《0320》,《暦日2》,十一／,つちのえいぬ,なる,木,　,●
《0330》,《暦日0》,十二／,つちのとのい,おさん,,　,神よし 母倉 大くわ ちう日
《0340》,《暦日1》,十三／,かのえね,ひらく,土,　,神よし 母倉 ふく日 天火 らうしやく
《0350》,《節中》,雨水正月中みの初刻日の出より日入まて,昼四十四刻余/夜五十五刻余,六より六まて,昼四十九刻余/夜五十刻余
《0360》,《暦日1》,十四／,かのとのうし,とつ,土,　,神よし 月とく 五む日 きこ ちいみ  ものたち  つめとりよし
《0370》,《暦日2》,十五／,みつのえとら,たつ,金,　,大みやう  かといて  つめとりよし
《0380》,《暦日0》,十六／,みつのとのう,のそく,,　,神よし  あさまきよし
《0390》,《暦日2》,十七／,きのえたつ,みつ,火,　,きしく 大みやう ふく日  かといてよし
