《1759-0000》,# カンマ区切りテキスト形式です。
《1759-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1759-0020》,# ・表の区画内での改行は“/”で表記します。
《1759-0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《1759-0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《1759-0050》,# 外部リンク
《1759-0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546785/68 ～ 73
《1759-0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1759g　(GitHub上データを表成型)
《1759-0080》,# 　　　　　　 　http://hosi.org:3000/Note/1759h　(翻刻編集データを表成型 - 未実装)
《1759-0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《1759-0100》,《版元》,出版地○○,出版元□□□,　
《1759-0110》,《暦首》,宝暦九年つちのとのう乃宝暦甲戌元暦,女宿/値年,凡三百八十四日
《1759-0120》,《大歳》,大さいうの方,此方ニむかひて万よし/但木をきらす
《1759-0130》,《大將軍》,大しやうくんねの方,たつのとしまて/三年ふさかり
《1759-0140》,《大陰》,大おんうしの方,此方ニむかひて/さんをせす
《1759-0150》,《歳徳》,　,としとくあきの方/とらうの間万よし,むまひつし/,金神,/さるとり
《1759-0160》,《歳刑》,さいけうねの方,むかひて/たねまかす,土公,春はかま/秋は井,夏はかと/冬はには
《1759-0170》,《歳破》,さいはとりの方,むかひてわたましせす/ふねのりはしめす,正月小,二月大,三月小
《1759-0180》,《歳煞》,さいせついぬの方,此方より/よめとらす,四月小,五月大,六月小
《1759-0190》,《黄幡》,わうはんひつしの方,むかひて/弓はしめよし,七月大/閏七月小,八月大,九月大
《1759-0200》,《豹尾》,へうひうしの方,むかひて大小へんせす/ちくるいもとめす,十月小,十一月大,十二月大
《1759-0210》,《月序》,正月,小,建,丙寅,胃宿値月張宿月曜値朔日
《1759-0220》,《正月》,一日,みつのとのひつし,やふる,木,吉事始,はかため くらひらき ひめはしめ きそはしめ/ゆとのはしめ こしのりそめ万よし
《1759-0230》,《正月》,二日,きのえさる,あやふ,水,十方くれニ入,馬のりそめ ふねのりそめ 弓はしめ/あきなひはしめ すきそめ万よし
《1759-0240》,《三日》,三日,きのとのとり,なる,水,　,●
《1759-0250》,《暦日2》,四／,ひのえいぬ,おさん,土,　,五む日 めつもん
《1759-0260》,《暦日0》,五／,ひのとのい,ひらく,,　,大みやう ちう日
《1759-0270》,《暦日2》,六／,つちのえね,とつ,火,　,くゑ日 きこ ちいみ ふく日 わうまう
《1759-0280》,《暦日0》,七／,つちのとのうし,たつ,,せつふん,十し
《1759-0290》,《暦日1》,八／,かのえとら,たつ,木,　,ふく日  つめとりよし
《1759-0300》,《節中》,立春正月せつみの二刻ニ入日の出より日入まて,昼四十二刻余/夜五十七刻余,六より六まて,昼四十七刻余/夜五十二刻余
《1759-0310》,《暦日1》,九／,かのとのう,のそく,木,　,くゑ日
《1759-0320》,《暦日2》,十／,みつのえたつ,みつ,水,　,さい下しき 大みやう 五む日
《1759-0330》,《暦日0》,十一／,みつのとのみ,たいら,,天一天上,ちう日 めつもん 地火
《1759-0340》,《暦日2》,十二／,きのえむま,さたん,金,　,神よし ふく日  かといて ふねのりよし
《1759-0350》,《暦日0》,十三／,きのとのひつし,とる,,　,大みやう 五む日
《1759-0360》,《暦日2》,十四／,ひのえさる,やふる,火,　,月とく わうまう
《1759-0370》,《暦日0》,十五／,ひのとのとり,あやふ,,　,十し
《1759-0380》,《暦日2》,十六／,つちのえいぬ,なる,木,　,●
《1759-0390》,《暦日0》,十七／,つちのとのい,おさん,,　,神よし 母倉 大くわ ちう日
《1759-0400》,《暦日2》,十八／,かのえね,ひらく,土,　,神よし 母倉 ふく日 天火 らうしやく
《1759-0410》,《暦日0》,十九／,かのとのうし,とつ,,　,神よし 月とく 五む日 きこ ちいみ  ものたち  つめとりよし
《1759-0420》,《暦日2》,廿／,みつのえとら,たつ,金,　,大みやう  かといて  つめとりよし
《1759-0430》,《暦日0》,廿一／,みつのとのう,のそく,,　,神よし  あさまきよし
《1759-0440》,《暦日2》,廿二／,きのえたつ,みつ,火,　,大みやう ふく日  かといてよし
《1759-0450》,《暦日0》,廿三／,きのとのみ,たいら,,　,神よし 大みやう ちう日 めつもん 地火  けんふくよし
《1759-0460》,《節中》,雨水正月中ひつしの八刻日の出より日入まて,昼四十四刻余/夜五十五刻余,六より六まて,昼四十九刻余/夜五十刻余
《1759-0470》,《暦日2》,廿四／,ひのえむま,さたん,水,　,神よし 大みやう 月とく  わたましよし
《1759-0480》,《暦日0》,廿五／,ひのとのひつし,とる,,　,神よし  かといてよし
《1759-0490》,《暦日2》,廿六／,つちのえさる,やふる,土,　,神よし きしく  たねまきよし
《1759-0500》,《暦日0》,廿七／,つちのとのとり,あやふ,,　,十し
《1759-0510》,《暦日2》,廿八／,かのえいぬ,なる,金,　,●
《1759-0520》,《暦日0》,廿九／,かのとのい,おさん,,　,神よし 大みやう 天おん 母倉 月とく 大くわ ちう日
《1759-0530》,《月序》,二月,大,建,丁卯,昴宿　翼　火よう
《1759-0540》,《暦日2》,一／,みつのえね,ひらく,木,八せんのはしめ,神よし 天おん 母倉 天火 らうしやく
《1759-0550》,《暦日0》,二／,みつのとのうし,とつ,,ま日,神よし 天おん きこ ちいみ  つめとりよし
《1759-0560》,《暦日2》,三／,きのえとら,たつ,水,　,くゑ日 ふく日
《1759-0570》,《暦日0》,四／,きのとのう,のそく,,　,神よし  ものたちよし
《1759-0580》,《暦日2》,五／,ひのえたつ,みつ,土,ま日,大みやう 月とく
《1759-0590》,《暦日0》,六／,ひのとのみ,たいら,,　,ちう日 めつもん 地火
《1759-0600》,《暦日2》,七／,つちのえむま,さたん,火,ま日,神よし  ふねのりよし
《1759-0610》,《暦日0》,八／,つちのとのひつし,とる,,　,神よし 大みやう  かといて たねまきよし
《1759-0620》,《暦日1》,九／,かのえさる,とる,木,　,神よし 大みやう
《1759-0630》,《節中》,啓蟄二月せついぬの四刻ニ入日の出より日入まて,昼四十七刻余/夜五十二刻余,六より六まて,昼五十二刻余/夜四十七刻余
《1759-0640》,《暦日1》,十／,かのとのとり,やふる,木,　,大みやう くゑ日 ふく日
《1759-0650》,《暦日2》,十一／,みつのえいぬ,あやふ,水,ま日, あさまきよし
《1759-0660》,《暦日0》,十二／,みつのとのい,なる,,八せんのおはり,母倉 ちう日  たねかしよし
《1759-0670》,《暦日2》,十三／,きのえね,おさん,金,　,天おん 母倉 月とく めつもん
《1759-0680》,《暦日0》,十四／,きのとのうし,ひらく,,　,天おん ふく日  ものたち  つめとりよし
《1759-0690》,《暦日2》,十五／,ひのえとら,とつ,火,　,天おん きこ  つめとりよし
《1759-0700》,《暦日0》,十六／,ひのとのう,たつ,,　,天おん 天火 らうしやく 金性の人うけニ入
《1759-0710》,《暦日2》,十七／,つちのえたつ,のそく,木,　,●
《1759-0720》,《暦日0》,十八／,つちのとのみ,みつ,,　,十し
《1759-0730》,《暦日2》,十九／,かのえむま,たいら,土,　,神よし 大くわ 地火
《1759-0740》,《暦日0》,廿／,かのとのひつし,さたん,,ひかんニなる,大みやう ちいみ ふく日  くらたて 井ほりよし
《1759-0750》,《暦日2》,廿一／,みつのえさる,とる,金,　,神よし 大みやう  入学よし
