«1760-0000»,【 カンマ区切りテキスト形式です。】
«1760-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1760-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1760-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1760-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1760-0050»,【 外部リンク　】
«1760-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2535429/22 ～ 27】
«1760-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1760h　(翻刻編集終了データを表成型して表示します)】
«1760-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1760ht (翻刻編集中データを表成型して表示します)】
«1760-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1760-0100»,«版元»,出版地○○,出版元□□□,　
«1760-0110»,«暦首»,宝暦十年かのえたつ乃宝暦甲戌元暦,虛宿|値年,凡三百五十四日
«1760-0120»,«大歳»,大さいたつの方,此方ニむかひて万よし|但木をきらす
«1760-0130»,«大將軍»,大しやうくんねの方,たつのとしまて|三年ふさかり
«1760-0140»,«大陰»,大おんとらの方,此方ニむかひて|さんをせす
«1760-0150»,«歳徳»,としとくあきの方|さるとりの間万よし,たつ|,金神,|み
«1760-0160»,«歳刑»,さいけうたつの方,むかひて|たねまかす,土公,春はかま|秋は井,夏はかと|冬はには
«1760-0170»,«歳破»,さいはいぬの方,むかひてわたましせす|ふねのりはしめす,正月小,二月大,三月小
«1760-0180»,«歳煞»,さいせつひつしの方,此方より|よめとらす,四月小,五月大,六月小
«1760-0190»,«黄幡»,わうはんたつの方,むかひて|弓はしめよし,七月小,八月大,九月大
«1760-0200»,«豹尾»,へうひいぬの方,むかひて大小へんせす|ちくるいもとめす,十月小,十一月大,十二月大
«1760-0210»,«月序»,正月,小,建,戊寅,角宿値月昴宿日曜値朔日
«1760-0220»,«正月»,一日,ひのとのひつし,とる,水,吉事始,はかため くらひらき ひめはしめ きそはしめ|ゆとのはしめ こしのりそめ万よし
«1760-0230»,«正月»,二日,つちのえさる,やふる,土,　,馬のりそめ ふねのりそめ 弓はしめ|あきなひはしめ すきそめ万よし
«1760-0240»,«三日»,三日,つちのとのとり,あやふ,土,　,十し
«1760-0250»,«暦日1»,四〳,かのえいぬ,なる,金,　,●
«1760-0260»,«節中»,雨水正月中いぬの七刻日の出より日入まて,昼四十四刻余|夜五十五刻余,六より六まて,昼四十九刻余|夜五十刻余
«1760-0270»,«暦日1»,五〳,かのとのい,おさん,金,　,神よし 大みやう 天おん 母倉 月とく 大くわ ちう日
«1760-0280»,«暦日2»,六〳,みつのえね,ひらく,木,八せんのはしめ,神よし きしく 天おん 母倉 天火 らうしやく
«1760-0290»,«暦日0»,七〳,みつのとのうし,とつ,,ま日,神よし 天おん きこ ちいみ  つめとりよし
«1760-0300»,«暦日2»,八〳,きのえとら,たつ,水,　,くゑ日 ふく日
«1760-0310»,«暦日0»,九〳,きのとのう,のそく,,　,神よし  ものたちよし
«1760-0320»,«暦日2»,十〳,ひのえたつ,みつ,土,ま日,大みやう 月とく
«1760-0330»,«暦日0»,十一〳,ひのとのみ,たいら,,　,さい下しき ちう日 めつもん 地火
«1760-0340»,«暦日2»,十二〳,つちのえむま,さたん,火,ま日,神よし  ふねのりよし
«1760-0350»,«暦日0»,十三〳,つちのとのひつし,とる,,　,神よし 大みやう  かといて たねまきよし
«1760-0360»,«暦日2»,十四〳,かのえさる,やふる,木,　,神よし 大みやう ふく日
«1760-0370»,«暦日0»,十五〳,かのとのとり,あやふ,,　,十し
«1760-0380»,«暦日2»,十六〳,みつのえいぬ,なる,水,ま日,●
«1760-0390»,«暦日0»,十七〳,みつのとのい,おさん,,八せんのおはり,母倉 大くわ ちう日  けんふくよし
«1760-0400»,«暦日2»,十八〳,きのえね,ひらく,金,　,天おん 母倉 ふく日 天火 らうしやく
«1760-0410»,«暦日0»,十九〳,きのとのうし,とつ,,　,神よし 天おん きこ ちいみ  くらたて 井ほり  つめとりよし
«1760-0420»,«暦日1»,廿〳,ひのえとら,とつ,火,　,天おん きこ  つめとりよし
«1760-0430»,«節中»,啓蟄二月せつ今暁うしの四刻ニ入日の出より日入まて,昼四十七刻余|夜五十二刻余,六より六まて,昼五十二刻余|夜四十七刻余
«1760-0440»,«暦日1»,廿一〳,ひのとのう,たつ,火,　,天おん 天火 らうしやく
«1760-0450»,«暦日2»,廿二〳,つちのえたつ,のそく,木,　,●
