《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《0050》,# 外部リンク
《0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546785/77 ～ 81
《0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1761g　(GitHub上データを表成型)
《0080》,# 　　　　　　 　http://hosi.org:3000/Note/1761h　(翻刻編集データを表成型 - 未実装)
《0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《0100》,《版元》,出版地○○,出版元□□□,　
《0110》,《暦首》,宝暦十一年かのとのみ乃宝暦甲戌元暦,危宿/値年,凡三百五十四日
《0120》,《大歳》,大さいみの方,此方ニむかひて万よし/但木をきらす
《0130》,《大將軍》,大しやうくんうの方,ひつしのとしまて/三年ふさかり
《0140》,《大陰》,大おんうの方,此方ニむかひて/さんをせす
《0150》,《歳徳》,　,としとくあきの方/みむまの間万よし,ねうしとら/,金神,/うむまひつし
《0160》,《歳刑》,さいけうさるの方,むかひて/たねまかす,土公,春はかま/秋は井,夏はかと/冬はには
《0170》,《歳破》,さいはいの方,むかひてわたましせす/ふねのりはしめす,正月大,二月小,三月大
《0180》,《歳煞》,さいせつたつの方,此方より/よめとらす,四月小,五月小,六月大
《0190》,《黄幡》,わうはんうしの方,むかひて/弓はしめよし,七月小,八月小,九月大
《0200》,《豹尾》,へうひひつしの方,むかひて大小へんせす/ちくるいもとめす,十月小,十一月大,十二月大
《0210》,《月序》,正月,大,建,庚寅,室宿値月斗宿木曜値朔日
《0220》,《正月》,一日,かのとのうし,とつ,土,吉事始,はかため くらひらき ひめはしめ きそはしめ/ゆとのはしめ こしのりそめ万よし
《0230》,《正月》,二日,みつのえとら,たつ,金,　,馬のりそめ ふねのりそめ 弓はしめ/あきなひはしめ すきそめ万よし
《0240》,《三日》,三日,みつのとのう,のそく,金,　,神よし
《0250》,《暦日2》,四／,きのえたつ,みつ,火,　,大みやう ふく日  かといてよし
《0260》,《暦日0》,五／,きのとのみ,たいら,,　,神よし 大みやう ちう日 めつもん 地火  けんふくよし
《0270》,《暦日2》,六／,ひのえむま,さたん,水,　,さい下しき 大みやう 月とく わうまう  わたましよし
《0280》,《暦日0》,七／,ひのとのひつし,とる,,　,神よし  かといてよし
《0290》,《暦日2》,八／,つちのえさる,やふる,土,　,神よし  たねまきよし
《0300》,《暦日0》,九／,つちのとのとり,あやふ,,　,十し
《0310》,《暦日2》,十／,かのえいぬ,なる,金,　,●
《0320》,《暦日0》,十一／,かのとのい,おさん,,　,神よし 大みやう 天おん 母倉 月とく 大くわ ちう日
《0330》,《暦日2》,十二／,みつのえね,ひらく,木,八せんのはしめ,神よし 天おん 母倉 天火 らうしやく
《0340》,《暦日0》,十三／,みつのとのうし,とつ,,ま日,神よし 天おん きこ ちいみ  つめとりよし
《0350》,《暦日2》,十四／,きのえとら,たつ,水,　,くゑ日 ふく日
《0360》,《暦日0》,十五／,きのとのう,のそく,,　,神よし  ものたちよし
《0370》,《暦日1》,十六／,ひのえたつ,みつ,土,ま日,きしく 大みやう 月とく
《0380》,《節中》,雨水正月中今暁うしの六刻日の出より日入まて,昼四十四刻余/夜五十五刻余,六より六まて,昼四十九刻余/夜五十刻余
《0390》,《暦日1》,十七／,ひのとのみ,たいら,土,　,ちう日 めつもん 地火
