《1763-0000》,# カンマ区切りテキスト形式です。
《1763-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1763-0020》,# ・表の区画内での改行は“/”で表記します。
《1763-0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《1763-0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《1763-0050》,# 外部リンク
《1763-0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546785/87 ～ 91
《1763-0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1763g　(GitHub上データを表成型)
《1763-0080》,# 　　　　　　 　http://hosi.org:3000/Note/1763h　(翻刻編集データを表成型 - 未実装)
《1763-0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《1763-0100》,《版元》,出版地○○,出版元□□□,　
《1763-0110》,《暦首》,宝暦十三年みつのとのひつし乃宝暦甲戌元暦,壁宿/値年,凡三百五十四日
《1763-0120》,《大歳》,大さいひつしの方,此方ニむかひて万よし/但木をきらす
《1763-0130》,《大將軍》,大しやうくんうの方,ひつしのとしまて/三年ふさかり
《1763-0140》,《大陰》,大おんみの方,此方ニむかひて/さんをせす
《1763-0150》,《歳徳》,　,としとくあきの方/みむまの間万よし,ねうし/,金神,/さるとり
《1763-0160》,《歳刑》,さいけううしの方,むかひて/たねまかす,土公,春はかま/秋は井,夏はかと/冬はには
《1763-0170》,《歳破》,さいはうしの方,むかひてわたましせす/ふねのりはしめす,正月大,二月小,三月大
《1763-0180》,《歳煞》,さいせついぬの方,此方より/よめとらす,四月小,五月大,六月小
《1763-0190》,《黄幡》,わうはんひつしの方,むかひて/弓はしめよし,七月大,八月小,九月小
《1763-0200》,《豹尾》,へうひうしの方,むかひて大小へんせす/ちくるいもとめす,十月大,十一月小,十二月大
《1763-0210》,《月序》,正月,大,建,甲寅,牛宿値月昴宿日曜値朔日
《1763-0220》,《正月》,一日,つちのとのひつし,とる,火,吉事始,はかため くらひらき ひめはしめ きそはしめ/ゆとのはしめ こしのりそめ万よし
《1763-0230》,《正月》,二日,かのえさる,やふる,木,　,馬のりそめ ふねのりそめ 弓はしめ/あきなひはしめ すきそめ万よし
《1763-0240》,《三日》,三日,かのとのとり,あやふ,木,　,十し
《1763-0250》,《暦日2》,四／,みつのえいぬ,なる,水,ま日,●
《1763-0260》,《暦日0》,五／,みつのとのい,おさん,,八せんのおはり,母倉 大くわ ちう日  けんふくよし
《1763-0270》,《暦日2》,六／,きのえね,ひらく,金,　,きしく 天おん 母倉 ふく日 天火 らうしやく
《1763-0280》,《暦日0》,七／,きのとのうし,とつ,,　,神よし 天おん きこ ちいみ  くらたて 井ほり  つめとりよし
《1763-0290》,《暦日1》,八／,ひのえとら,たつ,火,　,天おん 月とく  つめとりよし
《1763-0300》,《節中》,雨水正月中ひつしの四刻日の出より日入まて,昼四十四刻余/夜五十五刻余,六より六まて,昼四十九刻余/夜五十刻余
《1763-0310》,《暦日1》,九／,ひのとのう,のそく,火,　,神よし 天おん  あさまきよし
《1763-0320》,《暦日2》,十／,つちのえたつ,みつ,木,　,天おん 五む日  みそつくりよし
《1763-0330》,《暦日0》,十一／,つちのとのみ,たいら,,　,神よし ちう日 めつもん 地火  入学よし
《1763-0340》,《暦日2》,十二／,かのえむま,さたん,土,　,神よし ふく日
《1763-0350》,《暦日0》,十三／,かのとのひつし,とる,,　,大みやう 月とく  いちたちよし
《1763-0360》,《暦日2》,十四／,みつのえさる,やふる,金,　,神よし 大みやう
《1763-0370》,《暦日0》,十五／,みつのとのとり,あやふ,,　,十し
《1763-0380》,《暦日2》,十六／,きのえいぬ,なる,火,　,●
《1763-0390》,《暦日0》,十七／,きのとのい,おさん,,　,母倉 大くわ ちう日
《1763-0400》,《暦日2》,十八／,ひのえね,ひらく,水,　,母倉 月とく 天火 らうしやく
《1763-0410》,《暦日0》,十九／,ひのとのうし,とつ,,　,神よし 大みやう きこ ちいみ  ものたち 木こり  つめとりよし
《1763-0420》,《暦日2》,廿／,つちのえとら,たつ,土,　,天しや よろつよし
《1763-0430》,《暦日0》,廿一／,つちのとのう,のそく,,　,神よし 大みやう 天おん  みそさけつくり たねまきよし
《1763-0440》,《暦日2》,廿二／,かのえたつ,みつ,金,　,天おん ふく日
《1763-0450》,《暦日0》,廿三／,かのとのみ,みつ,,　,十し
《1763-0460》,《節中》,啓蟄二月せついぬの一刻ニ入日の出より日入まて,昼四十七刻余/夜五十二刻余,六より六まて,昼五十二刻余/夜四十七刻余
《1763-0470》,《暦日2》,廿四／,みつのえむま,たいら,木,　,神よし 大みやう 天おん 大くわ 地火
《1763-0480》,《暦日0》,廿五／,みつのとのひつし,さたん,,　,天おん ちいみ
《1763-0490》,《暦日2》,廿六／,きのえさる,とる,水,十方くれニ入,神よし 大みやう 月とく  入学よし
《1763-0500》,《暦日0》,廿七／,きのとのとり,やふる,,　,ふく日
《1763-0510》,《暦日2》,廿八／,ひのえいぬ,あやふ,土,　,五む日  あさまきよし
《1763-0520》,《暦日0》,廿九／,ひのとのい,なる,,　,大みやう 母倉 ちう日
《1763-0530》,《暦日1》,卅／,つちのえね,おさん,火,　,母倉 めつもん  けんふく たねかしよし
《1763-0540》,《月序》,二月,小,建,乙卯,女宿　觜　火よう
《1763-0550》,《暦日1》,一／,つちのとのうし,ひらく,火,　,月とく  井ほり  つめとりよし
《1763-0560》,《暦日2》,二／,かのえとら,とつ,木,　,きこ  つめとりよし
《1763-0570》,《暦日0》,三／,かのとのう,たつ,,　,ふく日 天火 らうしやく
《1763-0580》,《暦日2》,四／,みつのえたつ,のそく,水,ひかんニなる,●
《1763-0590》,《暦日0》,五／,みつのとのみ,みつ,,天一天上,十し
《1763-0600》,《暦日2》,六／,きのえむま,たいら,金,　,月とく 大くわ 地火 わうまう
《1763-0610》,《暦日0》,七／,きのとのひつし,さたん,,　,大みやう 五む日 ちいみ ふく日  ふねのりよし
《1763-0620》,《暦日2》,八／,ひのえさる,とる,火,　,神よし
《1763-0630》,《暦日0》,九／,ひのとのとり,やふる,,　, あさまき たねかしよし
《1763-0640》,《節中》,春分二月中今暁ねの六刻日の出より日入まて,昼五十刻/夜五十刻,六より六まて,昼五十五刻/夜四十五刻
《1763-0650》,《暦日2》,十／,つちのえいぬ,あやふ,木,社日, かといてよし
《1763-0660》,《暦日0》,十一／,つちのとのい,なる,,　,神よし 母倉 月とく ちう日  みそすつくりよし
《1763-0670》,《暦日2》,十二／,かのえね,おさん,土,　,神よし 母倉 めつもん  よめとり たねかしよし
《1763-0680》,《暦日0》,十三／,かのとのうし,ひらく,,　,五む日 ふく日  ものたち  つめとりよし
《1763-0690》,《暦日2》,十四／,みつのえとら,とつ,金,　,大みやう きこ  やたて くらたて  つめとりよし
