《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《0050》,# 外部リンク
《0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546785/96 ～ 100
《0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1765g　(GitHub上データを表成型)
《0080》,# 　　　　　　 　http://hosi.org:3000/Note/1765h　(翻刻編集データを表成型 - 未実装)
《0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《0100》,《版元》,出版地○○,出版元□□□,　
《0110》,《暦首》,明和二年きのとのとり乃宝暦甲戌元暦,婁宿/値年,凡三百五十四日
《0120》,《大歳》,大さいとりの方,此方ニむかひて万よし/但木をきらす
《0130》,《大將軍》,大しやうくんむまの方,いぬのとしまて/三年ふさかり
《0140》,《大陰》,大おんひつしの方,此方ニむかひて/さんをせす
《0150》,《歳徳》,　,としとくあきの方/さるとりの間万よし,たつ/,金神,/み
《0160》,《歳刑》,さいけうとりの方,むかひて/たねまかす,土公,春はかま/秋は井,夏はかと/冬はには
《0170》,《歳破》,さいはうの方,むかひてわたましせす/ふねのりはしめす,正月小,二月大,三月大
《0180》,《歳煞》,さいせつたつの方,此方より/よめとらす,四月小,五月大,六月大
《0190》,《黄幡》,わうはんうしの方,むかひて/弓はしめよし,七月小,八月大,九月小
《0200》,《豹尾》,へうひひつしの方,むかひて大小へんせす/ちくるいもとめす,十月大,十一月小,十二月小
《0210》,《月序》,正月,小,建,戊寅,心宿値月軫宿水曜値朔日
《0220》,《正月》,一日,ひのとのうし,とつ,水,吉事始,はかため くらひらき ひめはしめ きそはしめ/ゆとのはしめ こしのりそめ万よし
《0230》,《節中》,雨水正月中今暁うしの二刻日の出より日入まて,昼四十四刻余/夜五十五刻余,六より六まて,昼四十九刻余/夜五十刻余
《0240》,《正月》,二日,つちのえとら,たつ,土,　,天しや よろつよし
《0250》,《正月》,三日,つちのとのう,のそく,土,　,馬のりそめ ふねのりそめ 弓はしめ/あきなひはしめ すきそめ万よし
《0260》,《暦日2》,四／,かのえたつ,みつ,金,　,天おん ふく日
《0270》,《暦日0》,五／,かのとのみ,たいら,,　,天おん 母倉 月とく ちう日 めつもん 地火
《0280》,《暦日2》,六／,みつのえむま,さたん,木,　,神よし 大みやう 天おん  木こりよし
《0290》,《暦日0》,七／,みつのとのひつし,とる,,　,天おん  たねまきよし
《0300》,《暦日2》,八／,きのえさる,やふる,水,十方くれニ入,神よし 大みやう ふく日
《0310》,《暦日0》,九／,きのとのとり,あやふ,,　,十し
《0320》,《暦日2》,十／,ひのえいぬ,なる,土,　,●
《0330》,《暦日0》,十一／,ひのとのい,おさん,,　,大みやう 母倉 大くわ ちう日
《0340》,《暦日2》,十二／,つちのえね,ひらく,火,　,母倉 天火 らうしやく  けんふく 入学よし
《0350》,《暦日0》,十三／,つちのとのうし,とつ,,　,きこ ちいみ  井ほり  つめとりよし
《0360》,《暦日2》,十四／,かのえとら,たつ,木,　,ふく日  つめとりよし
《0370》,《暦日0》,十五／,かのとのう,のそく,,　,くゑ日
《0380》,《暦日1》,十六／,みつのえたつ,のそく,水,　,●
《0390》,《節中》,啓蟄二月せつうの八刻ニ入日の出より日入まて,昼四十七刻余/夜五十二刻余,六より六まて,昼五十二刻余/夜四十七刻余
《0400》,《食記》,凡そく皆既
