《1766-0000》,# カンマ区切りテキスト形式です。
《1766-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1766-0020》,# ・表の区画内での改行は“/”で表記します。
《1766-0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《1766-0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《1766-0050》,# 外部リンク
《1766-0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546785/101 ～ 105
《1766-0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1766g　(GitHub上データを表成型)
《1766-0080》,# 　　　　　　 　http://hosi.org:3000/Note/1766h　(翻刻編集データを表成型 - 未実装)
《1766-0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《1766-0100》,《版元》,出版地○○,出版元□□□,　
《1766-0110》,《暦首》,明和三年ひのえいぬ乃宝暦甲戌元暦,胃宿/値年,凡三百五十五日
《1766-0120》,《大歳》,大さいいぬの方,此方ニむかひて万よし/但木をきらす
《1766-0130》,《大將軍》,大しやうくんむまの方,いぬのとしまて/三年ふさかり
《1766-0140》,《大陰》,大おんさるの方,此方ニむかひて/さんをせす
《1766-0150》,《歳徳》,　,としとくあきの方/みむまの間万よし,ねうしとら/,金神,/うむまひつし
《1766-0160》,《歳刑》,さいけうひつしの方,むかひて/たねまかす,土公,春はかま/秋は井,夏はかと/冬はには
《1766-0170》,《歳破》,さいはたつの方,むかひてわたましせす/ふねのりはしめす,正月大,二月小,三月大
《1766-0180》,《歳煞》,さいせつうしの方,此方より/よめとらす,四月小,五月大,六月大
《1766-0190》,《黄幡》,わうはんいぬの方,むかひて/弓はしめよし,七月小,八月大,九月大
《1766-0200》,《豹尾》,へうひたつの方,むかひて大小へんせす/ちくるいもとめす,十月小,十一月大,十二月小
《1766-0210》,《月序》,正月,大,建,庚寅,胃宿値月昴宿日曜値朔日
《1766-0220》,《正月》,一日,かのとのひつし,とる,土,吉事始,はかため くらひらき ひめはしめ きそはしめ/ゆとのはしめ こしのりそめ万よし
《1766-0230》,《正月》,二日,みつのえさる,やふる,金,　,馬のりそめ ふねのりそめ 弓はしめ/あきなひはしめ すきそめ万よし
《1766-0240》,《三日》,三日,みつのとのとり,あやふ,金,　,十し
《1766-0250》,《暦日2》,四／,きのえいぬ,なる,火,　,●
《1766-0260》,《暦日0》,五／,きのとのい,おさん,,　,母倉 大くわ ちう日
《1766-0270》,《暦日2》,六／,ひのえね,ひらく,水,　,きしく 母倉 月とく 天火 らうしやく
《1766-0280》,《暦日0》,七／,ひのとのうし,とつ,,　,神よし 大みやう きこ ちいみ  ものたち 木こり  つめとりよし
《1766-0290》,《暦日2》,八／,つちのえとら,たつ,土,　,天しや よろつよし
《1766-0300》,《暦日0》,九／,つちのとのう,のそく,,　,神よし 大みやう 天おん  みそさけつくり たねまきよし
《1766-0310》,《暦日2》,十／,かのえたつ,みつ,金,　,天おん ふく日
《1766-0320》,《暦日0》,十一／,かのとのみ,たいら,,　,天おん 母倉 月とく ちう日 めつもん 地火
《1766-0330》,《暦日1》,十二／,みつのえむま,さたん,木,　,神よし 大みやう 天おん  木こりよし
《1766-0340》,《節中》,雨水正月中たつの二刻日の出より日入まて,昼四十四刻余/夜五十五刻余,六より六まて,昼四十九刻余/夜五十刻余
《1766-0350》,《暦日1》,十三／,みつのとのひつし,とる,木,　,天おん  たねまきよし
《1766-0360》,《暦日2》,十四／,きのえさる,やふる,水,十方くれニ入,神よし 大みやう ふく日
《1766-0370》,《暦日0》,十五／,きのとのとり,あやふ,,　,十し
《1766-0380》,《暦日1》,十六／,ひのえいぬ,なる,土,　,●
《1766-0390》,《食記》,凡そく五分
《1766-0400》,《暦日1》,十七／,ひのとのい,おさん,土,　,大みやう 母倉 大くわ ちう日
