《1771-0000》,# カンマ区切りテキスト形式です。
《1771-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1771-0020》,# ・表の区画内での改行は“/”で表記します。
《1771-0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《1771-0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《1771-0050》,# 外部リンク
《1771-0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546785/125 ～ 129
《1771-0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1771g　(GitHub上データを表成型)
《1771-0080》,# 　　　　　　 　http://hosi.org:3000/Note/1771h　(翻刻編集データを表成型 - 未実装)
《1771-0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《1771-0100》,《版元》,出版地○○,出版元□□□,　
《1771-0110》,《前書》,宝暦の新暦しらへなり/命をうけたまはりことしより後はしらへたる/法数を用て頒ち行ふものなり
《1771-0120》,《暦首》,明和八年かのとのう乃宝暦甲戌元暦,井宿/値年,凡三百五十四日
《1771-0130》,《大歳》,大さいうの方,此方ニむかひて万よし/但木をきらす
《1771-0140》,《大將軍》,大しやうくんねの方,たつのとしまて/三年ふさかり
《1771-0150》,《大陰》,大おんうしの方,此方ニむかひて/さんをせす
《1771-0160》,《歳徳》,　,としとくあきの方/みむまの間万よし,ねうしとら/,金神,/うむまひつし
《1771-0170》,《歳刑》,さいけうねの方,むかひて/たねまかす,土公,春はかま/秋は井,夏はかと/冬はには
《1771-0180》,《歳破》,さいはとりの方,むかひてわたましせす/ふねのりはしめす,正月小,二月大,三月小
《1771-0190》,《歳煞》,さいせついぬの方,此方より/よめとらす,四月大,五月小,六月大
《1771-0200》,《黄幡》,わうはんひつしの方,むかひて/弓はしめよし,七月小,八月小,九月大
《1771-0210》,《豹尾》,へうひうしの方,むかひて大小へんせす/ちくるいもとめす,十月小,十一月大,十二月大
《1771-0220》,《月序》,正月,小,建,庚寅,參宿値月亢宿金曜値朔日
《1771-0230》,《正月》,一日,みつのとのう,のそく,金,吉事始,はかため くらひらき ひめはしめ きそはしめ/ゆとのはしめ こしのりそめ万よし
《1771-0240》,《正月》,二日,きのえたつ,みつ,火,　,馬のりそめ ふねのりそめ 弓はしめ/あきなひはしめ すきそめ万よし
《1771-0250》,《三日》,三日,きのとのみ,たいら,火,　,神よし 大みやう日 ちう日 めつもん 地火
《1771-0260》,《暦日2》,四／,ひのえむま,さたん,水,　,神よし 大みやう 月とく  わたましよし
《1771-0270》,《暦日0》,五／,ひのとのひつし,とる,,　,神よし  かといてよし
《1771-0280》,《暦日1》,六／,つちのえさる,やふる,土,　,神よし  たねまきよし
《1771-0290》,《節中》,雨水正月中さるの四刻日の出より日入まて,昼四十四刻余/夜五十五刻余,六より六まて,昼四十九刻余/夜五十刻余
《1771-0300》,《暦日1》,七／,つちのとのとり,あやふ,土,　,十し
《1771-0310》,《暦日2》,八／,かのえいぬ,なる,金,　,●
《1771-0320》,《暦日0》,九／,かのとのい,おさん,,　,神よし 大みやう 天おん 母倉 月とく 大くわ ちう日
《1771-0330》,《暦日2》,十／,みつのえね,ひらく,木,八せんのはしめ,神よし 天おん 母倉 天火 らうしやく
《1771-0340》,《暦日0》,十一／,みつのとのうし,とつ,,ま日,神よし 天おん きこ ちいみ  つめとりよし
《1771-0350》,《暦日2》,十二／,きのえとら,たつ,水,　,くゑ日 ふく日
《1771-0360》,《暦日0》,十三／,きのとのう,のそく,,　,神よし  ものたちよし
《1771-0370》,《暦日2》,十四／,ひのえたつ,みつ,土,ま日,大みやう 月とく
《1771-0380》,《暦日0》,十五／,ひのとのみ,たいら,,　,ちう日 めつもん 地火
《1771-0390》,《暦日2》,十六／,つちのえむま,さたん,火,ま日,神よし  ふねのりよし
《1771-0400》,《暦日0》,十七／,つちのとのひつし,とる,,　,神よし 大みやう  かといて たねまきよし
《1771-0410》,《暦日2》,十八／,かのえさる,やふる,木,　,神よし 大みやう ふく日
《1771-0420》,《暦日0》,十九／,かのとのとり,あやふ,,　,十し
《1771-0430》,《暦日2》,廿／,みつのえいぬ,なる,水,ま日,●
《1771-0440》,《暦日0》,廿一／,みつのとのい,なる,,八せんのおはり,母倉 ちう日  たねかしよし
《1771-0450》,《節中》,啓蟄二月せついの一刻ニ入日の出より日入まて,昼四十七刻余/夜五十二刻余,六より六まて,昼五十二刻余/夜四十七刻余
《1771-0460》,《暦日2》,廿二／,きのえね,おさん,金,　,きしく 天おん 母倉 月とく めつもん
《1771-0470》,《暦日0》,廿三／,きのとのうし,ひらく,,　,天おん ふく日  ものたち  つめとりよし
