«1772-0000»,【 カンマ区切りテキスト形式です。】
«1772-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1772-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1772-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1772-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1772-0050»,【 外部リンク　】
«1772-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546785/130 ～ 134】
«1772-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1772h　(翻刻編集終了データを表成型して表示します)】
«1772-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1772ht (翻刻編集中データを表成型して表示します)】
«1772-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1772-0100»,«版元»,出版地○○,出版元□□□,　
«1772-0110»,«暦首»,明和九年みつのえたつ乃宝暦甲戌元暦,鬼宿|値年,凡三百五十四日
«1772-0120»,«大歳»,大さいたつの方,此方ニむかひて万よし|但木をきらす
«1772-0130»,«大將軍»,大しやうくんねの方,たつのとしまて|三年ふさかり
«1772-0140»,«大陰»,大おんとらの方,此方ニむかひて|さんをせす
«1772-0150»,«歳徳»,としとくあきの方|いねの間万よし,とらう|,金神,|いぬい
«1772-0160»,«歳刑»,さいけうたつの方,むかひて|たねまかす,土公,春はかま|秋は井,夏はかと|冬はには
«1772-0170»,«歳破»,さいはいぬの方,むかひてわたましせす|ふねのりはしめす,正月小,二月大,三月大
«1772-0180»,«歳煞»,さいせつひつしの方,此方より|よめとらす,四月小,五月大,六月小
«1772-0190»,«黄幡»,わうはんたつの方,むかひて|弓はしめよし,七月大,八月小,九月小
«1772-0200»,«豹尾»,へうひいぬの方,むかひて大小へんせす|ちくるいもとめす,十月大,十一月小,十二月大
«1772-0210»,«月序»,正月,小,建,壬寅,心宿値月觜宿火曜値朔日
«1772-0220»,«正月»,一日,ひのとのとり,なる,火,せつふん,●
«1772-0230»,«正月»,二日,つちのえいぬ,なる,木,　,●
«1772-0240»,«節中»,立春正月せつさるの六刻ニ入日の出より日入まて,昼四十二刻余|夜五十七刻余,六より六まて,昼四十七刻余|夜五十二刻余
«1772-0250»,«正月»,三日,つちのとのい,おさむ,木,吉事始,はかため くらひらき ひめはしめ きそはしめ|ゆとのはしめ こしのりそめ万よし
«1772-0260»,«暦日2»,四〳,かのえね,ひらく,土,　,馬のりそめ ふねのりそめ 弓はしめ|あきなひはしめ すきそめ万よし
«1772-0270»,«暦日0»,五〳,かのとのうし,とつ,,　,神よし 月とく 五む日 きこ ちいみ  ものたち  つめとりよし
«1772-0280»,«暦日2»,六〳,みつのえとら,たつ,金,　,大みやう  かといて  つめとりよし
«1772-0290»,«暦日0»,七〳,みつのとのう,のそく,,　,神よし  あさまきよし
«1772-0300»,«暦日2»,八〳,きのえたつ,みつ,火,　,大みやう ふく日 わうまう  かといてよし
«1772-0310»,«暦日0»,九〳,きのとのみ,たいら,,　,神よし 大みやう ちう日 めつもん 地火  けんふくよし
«1772-0320»,«暦日2»,十〳,ひのえむま,さたん,水,　,神よし 大みやう 月とく  わたましよし
«1772-0330»,«暦日0»,十一〳,ひのとのひつし,とる,,　,神よし  かといてよし
«1772-0340»,«暦日2»,十二〳,つちのえさる,やふる,土,　,神よし  たねまきよし
«1772-0350»,«暦日0»,十三〳,つちのとのとり,あやふ,,　,十し
«1772-0360»,«暦日2»,十四〳,かのえいぬ,なる,金,　,●
«1772-0370»,«暦日0»,十五〳,かのとのい,おさん,,　,神よし 大みやう 天おん 母倉 月とく 大くわ ちう日
«1772-0380»,«暦日2»,十六〳,みつのえね,ひらく,木,八せんのはしめ,神よし 天おん 母倉 天火 らうしやく
«1772-0390»,«暦日0»,十七〳,みつのとのうし,とつ,,ま日,神よし 天おん きこ ちいみ  つめとりよし
«1772-0400»,«節中»,雨水正月中いの三刻日の出より日入まて,昼四十四刻余|夜五十五刻余,六より六まて,昼四十九刻余|夜五十刻余
«1772-0410»,«暦日2»,十八〳,きのえとら,たつ,水,　,くゑ日 ふく日
«1772-0420»,«暦日0»,十九〳,きのとのう,のそく,,　,神よし  ものたちよし
«1772-0430»,«暦日2»,廿〳,ひのえたつ,みつ,土,ま日,大みやう 月とく
«1772-0440»,«暦日0»,廿一〳,ひのとのみ,たいら,,　,さい下しき ちう日 めつもん 地火
«1772-0450»,«暦日2»,廿二〳,つちのえむま,さたん,火,ま日,神よし  ふねのりよし
«1772-0460»,«暦日0»,廿三〳,つちのとのひつし,とる,,　,神よし 大みやう  かといて たねまきよし
«1772-0470»,«暦日2»,廿四〳,かのえさる,やふる,木,　,神よし 大みやう ふく日
«1772-0480»,«暦日0»,廿五〳,かのとのとり,あやふ,,　,十し
«1772-0490»,«暦日2»,廿六〳,みつのえいぬ,なる,水,ま日,●
«1772-0500»,«暦日0»,廿七〳,みつのとのい,おさん,,八せんのおはり,母倉 大くわ ちう日  けんふくよし
«1772-0510»,«暦日2»,廿八〳,きのえね,ひらく,金,　,天おん 母倉 ふく日 天火 らうしやく
«1772-0520»,«暦日0»,廿九〳,きのとのうし,とつ,,　,神よし 天おん きこ ちいみ  くらたて 井ほり  つめとりよし
«1772-0530»,«月序»,二月,大,建,癸卯,尾宿　參　水よう
«1772-0540»,«暦日2»,一〳,ひのえとら,たつ,火,　,天おん 月とく  つめとりよし
«1772-0550»,«暦日0»,二〳,ひのとのう,のそく,,　,神よし 天おん  あさまきよし
«1772-0560»,«暦日2»,三〳,つちのえたつ,みつ,木,　,きしく 天おん 五む日  みそつくりよし
«1772-0570»,«暦日0»,四〳,つちのとのみ,みつ,,　,十し
«1772-0580»,«節中»,啓蟄二月せつ今暁うしの八刻ニ入日の出より日入まて,昼四十七刻余|夜五十二刻余,六より六まて,昼五十二刻余|夜四十七刻余
«1772-0590»,«暦日2»,五〳,かのえむま,たいら,土,　,神よし 大くわ 地火
«1772-0600»,«暦日0»,六〳,かのとのひつし,さたん,,　,大みやう ちいみ ふく日  くらたて 井ほりよし
«1772-0610»,«暦日2»,七〳,みつのえさる,とる,金,　,神よし 大みやう  入学よし
«1772-0620»,«暦日0»,八〳,みつのとのとり,やふる,,　,大みやう  やたてよし
«1772-0630»,«暦日2»,九〳,きのえいぬ,あやふ,火,　,月とく  かといてよし
«1772-0640»,«暦日0»,十〳,きのとのい,なる,,　,母倉 ちう日 ふく日  みそすつくりよし
«1772-0650»,«暦日2»,十一〳,ひのえね,おさん,水,　,母倉 めつもん  たねかしよし
«1772-0660»,«暦日0»,十二〳,ひのとのうし,ひらく,,　,大みやう  ものたち  つめとりよし
«1772-0670»,«暦日2»,十三〳,つちのえとら,とつ,土,　,天しや よろつよし
«1772-0680»,«暦日0»,十四〳,つちのとのう,たつ,,ひかんニなる,大みやう くゑ日 天火 らうしやく
«1772-0690»,«暦日2»,十五〳,かのえたつ,のそく,金,　,●
«1772-0700»,«暦日0»,十六〳,かのとのみ,みつ,,　,十し
«1772-0710»,«暦日2»,十七〳,みつのえむま,たいら,木,　,大みやう 天おん 大くわ 地火 わうまう
«1772-0720»,«暦日0»,十八〳,みつのとのひつし,さたん,,　,天おん ちいみ
«1772-0730»,«暦日1»,十九〳,きのえさる,とる,水,十方くれニ入,神よし 大みやう 月とく  入学よし
«1772-0740»,«節中»,春分二月中たつの五刻日の出より日入まて,昼五十刻|夜五十刻,六より六まて,昼五十五刻|夜四十五刻
«1772-0750»,«暦日1»,廿〳,きのとのとり,やふる,水,　,ふく日
«1772-0760»,«暦日2»,廿一〳,ひのえいぬ,あやふ,土,　,五む日  あさまきよし
«1772-0770»,«暦日0»,廿二〳,ひのとのい,なる,,　,大みやう 母倉 ちう日
«1772-0780»,«暦日2»,廿三〳,つちのえね,おさん,火,社日,母倉 めつもん  けんふく たねかしよし
«1772-0790»,«暦日0»,廿四〳,つちのとのうし,ひらく,,　,月とく  井ほり  つめとりよし
«1772-0800»,«暦日2»,廿五〳,かのえとら,とつ,木,　,きこ  つめとりよし
«1772-0810»,«暦日0»,廿六〳,かのとのう,たつ,,　,ふく日 天火 らうしやく
«1772-0820»,«暦日2»,廿七〳,みつのえたつ,のそく,水,　,●
«1772-0830»,«暦日0»,廿八〳,みつのとのみ,みつ,,天一天上,十し
«1772-0840»,«暦日2»,廿九〳,きのえむま,たいら,金,　,神よし 月とく 大くわ 地火
«1772-0850»,«暦日0»,卅〳,きのとのひつし,さたん,,　,大みやう 五む日 ちいみ ふく日  ふねのりよし
«1772-0860»,«月序»,三月,大,建,甲辰,箕宿　鬼　金よう
«1772-0870»,«暦日2»,一〳,ひのえさる,とる,火,　,神よし きしく
«1772-0880»,«暦日0»,二〳,ひのとのとり,やふる,,　, あさまき たねかしよし
«1772-0890»,«暦日2»,三〳,つちのえいぬ,あやふ,木,　, かといてよし
«1772-0900»,«暦日0»,四〳,つちのとのい,あやふ,,　,●
