«1774-0000»,【 カンマ区切りテキスト形式です。】
«1774-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1774-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1774-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1774-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1774-0050»,【 外部リンク　】
«1774-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546785/140 ～ 144】
«1774-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1774h　(翻刻編集終了データを表成型して表示します)】
«1774-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1774ht (翻刻編集中データを表成型して表示します)】
«1774-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1774-0100»,«版元»,出版地○○,出版元□□□,　
«1774-0110»,«暦首»,安永三年きのえむま乃宝暦甲戌元暦,星宿|値年,凡三百五十四日
«1774-0120»,«大歳»,大さいむまの方,此方ニむかひて万よし|但木をきらす
«1774-0130»,«大將軍»,大しやうくんうの方,ひつしのとしまて|三年ふさかり
«1774-0140»,«大陰»,大おんたつの方,此方ニむかひて|さんをせす
«1774-0150»,«歳徳»,としとくあきの方|とらうの間万よし,むまひつし|,金神,|さるとり
«1774-0160»,«歳刑»,さいけうむまの方,むかひて|たねまかす,土公,春はかま|秋は井,夏はかと|冬はには
«1774-0170»,«歳破»,さいはねの方,むかひてわたましせす|ふねのりはしめす,正月小,二月大,三月大
«1774-0180»,«歳煞»,さいせつうしの方,此方より|よめとらす,四月小,五月大,六月小
«1774-0190»,«黄幡»,わうはんいぬの方,むかひて|弓はしめよし,七月大,八月小,九月大
«1774-0200»,«豹尾»,へうひたつの方,むかひて大小へんせす|ちくるいもとめす,十月小,十一月大,十二月小
«1774-0210»,«月序»,正月,小,建,丙寅,角宿値月亢宿金曜値朔日
«1774-0220»,«正月»,一日,きのとのう,のそく,水,吉事始,はかため くらひらき ひめはしめ きそはしめ|ゆとのはしめ こしのりそめ万よし
«1774-0230»,«正月»,二日,ひのえたつ,みつ,土,ま日,馬のりそめ ふねのりそめ 弓はしめ|あきなひはしめ すきそめ万よし
«1774-0240»,«三日»,三日,ひのとのみ,たいら,土,　,ちう日 めつもん 地火
«1774-0250»,«暦日2»,四〳,つちのえむま,さたん,火,ま日,神よし  ふねのりよし
«1774-0260»,«暦日0»,五〳,つちのとのひつし,とる,,　,神よし 大みやう  かといて たねまきよし
«1774-0270»,«暦日2»,六〳,かのえさる,やふる,木,　,神よし 大みやう ふく日
«1774-0280»,«暦日0»,七〳,かのとのとり,あやふ,,　,十し
«1774-0290»,«暦日2»,八〳,みつのえいぬ,なる,水,ま日,●
«1774-0300»,«暦日0»,九〳,みつのとのい,おさん,,八せんのおはり,母倉 大くわ ちう日  けんふくよし
«1774-0310»,«暦日1»,十〳,きのえね,ひらく,金,　,天おん 母倉 ふく日 天火 らうしやく
«1774-0320»,«節中»,雨水正月中みの一刻日の出より日入まて,昼四十四刻余|夜五十五刻余,六より六まて,昼四十九刻余|夜五十刻余
«1774-0330»,«暦日1»,十一〳,きのとのうし,とつ,金,　,神よし 天おん きこ ちいみ  くらたて 井ほり  つめとりよし
«1774-0340»,«暦日2»,十二〳,ひのえとら,たつ,火,　,天おん 月とく  つめとりよし
«1774-0350»,«暦日0»,十三〳,ひのとのう,のそく,,　,神よし 天おん  あさまきよし
«1774-0360»,«暦日2»,十四〳,つちのえたつ,みつ,木,　,天おん 五む日  みそつくりよし
«1774-0370»,«暦日0»,十五〳,つちのとのみ,たいら,,　,神よし ちう日 めつもん 地火  入学よし
«1774-0380»,«暦日2»,十六〳,かのえむま,さたん,土,　,神よし ふく日
«1774-0390»,«暦日0»,十七〳,かのとのひつし,とる,,　,大みやう 月とく  いちたちよし
