《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《0050》,# 外部リンク
《0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546785/145 ～ 150
《0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1775g　(GitHub上データを表成型)
《0080》,# 　　　　　　 　http://hosi.org:3000/Note/1775h　(翻刻編集データを表成型 - 未実装)
《0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《0100》,《版元》,出版地○○,出版元□□□,　
《0110》,《暦首》,安永四年きのとのひつし乃宝暦甲戌元暦,張宿/値年,凡三百八十四日
《0120》,《大歳》,大さいひつしの方,此方ニむかひて万よし/但木をきらす
《0130》,《大將軍》,大しやうくんうの方,ひつしのとしまて/三年ふさかり
《0140》,《大陰》,大おんみの方,此方ニむかひて/さんをせす
《0150》,《歳徳》,　,としとくあきの方/さるとりの間万よし,たつ/,金神,/み
《0160》,《歳刑》,さいけううしの方,むかひて/たねまかす,土公,春はかま/秋は井,夏はかと/冬はには
《0170》,《歳破》,さいはうしの方,むかひてわたましせす/ふねのりはしめす,正月大,二月小,三月大
《0180》,《歳煞》,さいせついぬの方,此方より/よめとらす,四月小,五月大,六月小
《0190》,《黄幡》,わうはんひつしの方,むかひて/弓はしめよし,七月大,八月大,九月小
《0200》,《豹尾》,へうひうしの方,むかひて大小へんせす/ちくるいもとめす,十月大,十一月大,十二月小/閏十二月小
《0210》,《月序》,正月,大,建,戊寅,室宿値月觜宿火曜値朔日
《0220》,《正月》,一日,つちのとのとり,なる,土,　,●
《0230》,《正月》,二日,かのえいぬ,おさむ,金,吉事始,はかため くらひらき ひめはしめ きそはしめ/ゆとのはしめ こしのりそめ万よし
《0240》,《正月》,三日,かのとのい,ひらく,金,　,馬のりそめ ふねのりそめ 弓はしめ/あきなひはしめ すきそめ万よし
《0250》,《暦日2》,四／,みつのえね,とつ,木,八せんのはしめ,きしく くゑ日 きこ ちいみ わうまう
《0260》,《暦日0》,五／,みつのとのうし,たつ,,せつふん/ま日,十し
《0270》,《暦日1》,六／,きのえとら,たつ,水,　,くゑ日 ふく日
《0280》,《節中》,立春正月せつみの三刻ニ入日の出より日入まて,昼四十二刻余/夜五十七刻余,六より六まて,昼四十七刻余/夜五十二刻余
《0290》,《暦日1》,七／,きのとのう,のそく,水,　,神よし  ものたちよし
《0300》,《暦日2》,八／,ひのえたつ,みつ,土,ま日,大みやう 月とく
《0310》,《暦日0》,九／,ひのとのみ,たいら,,　,ちう日 めつもん 地火
《0320》,《暦日2》,十／,つちのえむま,さたん,火,ま日,神よし  ふねのりよし
《0330》,《暦日0》,十一／,つちのとのひつし,とる,,　,神よし 大みやう  かといて たねまきよし
《0340》,《暦日2》,十二／,かのえさる,やふる,木,　,さい下しき 大みやう ふく日 わうまう
《0350》,《暦日0》,十三／,かのとのとり,あやふ,,　,十し
《0360》,《暦日2》,十四／,みつのえいぬ,なる,水,ま日,●
《0370》,《暦日0》,十五／,みつのとのい,おさん,,八せんのおはり,母倉 大くわ ちう日  けんふくよし
《0380》,《暦日1》,十六／,きのえね,ひらく,金,　,天おん 母倉 ふく日 天火 らうしやく
《0390》,《食記》,月そく七分
《0400》,《暦日1》,十七／,きのとのうし,とつ,金,　,神よし 天おん きこ ちいみ  くらたて 井ほり  つめとりよし
《0410》,《暦日2》,十八／,ひのえとら,たつ,火,　,天おん 月とく  つめとりよし
《0420》,《暦日0》,十九／,ひのとのう,のそく,,　,神よし 天おん  あさまきよし
《0430》,《暦日2》,廿／,つちのえたつ,みつ,木,　,天おん 五む日  みそつくりよし
