«1777-0000»,【 カンマ区切りテキスト形式です。】
«1777-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1777-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1777-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1777-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1777-0050»,【 外部リンク　】
«1777-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546785/155 ～ 159】
«1777-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1777h　(翻刻編集終了データを表成型して表示します)】
«1777-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1777ht (翻刻編集中データを表成型して表示します)】
«1777-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1777-0100»,«版元»,出版地○○,出版元□□□,　
«1777-0110»,«暦首»,安永六年ひのとのとり乃宝暦甲戌元暦,軫宿|値年,凡三百五十四日
«1777-0120»,«大歳»,大さいとりの方,此方ニむかひて万よし|但木をきらす
«1777-0130»,«大將軍»,大しやうくんむまの方,いぬのとしまて|三年ふさかり
«1777-0140»,«大陰»,大おんひつしの方,此方ニむかひて|さんをせす
«1777-0150»,«歳徳»,としとくあきの方|いねの間万よし,とらう|,金神,|いぬい
«1777-0160»,«歳刑»,さいけうとりの方,むかひて|たねまかす,土公,春はかま|秋は井,夏はかと|冬はには
«1777-0170»,«歳破»,さいはうの方,むかひてわたましせす|ふねのりはしめす,正月大,二月小,三月小
«1777-0180»,«歳煞»,さいせつたつの方,此方より|よめとらす,四月大,五月小,六月小
«1777-0190»,«黄幡»,わうはんうしの方,むかひて|弓はしめよし,七月大,八月小,九月大
«1777-0200»,«豹尾»,へうひひつしの方,むかひて大小へんせす|ちくるいもとめす,十月大,十一月大,十二月小
«1777-0210»,«月序»,正月,大,建,壬寅,牛宿値月氐宿土曜値朔日
«1777-0220»,«正月»,一日,つちのえたつ,みつ,木,吉事始,はかため くらひらき ひめはしめ きそはしめ|ゆとのはしめ こしのりそめ万よし
«1777-0230»,«正月»,二日,つちのとのみ,たいら,木,　,馬のりそめ ふねのりそめ 弓はしめ|あきなひはしめ すきそめ万よし
«1777-0240»,«三日»,三日,かのえむま,さたむ,土,　,ふく日 わうまう
«1777-0250»,«暦日1»,四〳,かのとのひつし,とる,土,　,大みやう 月とく  いちたちよし
«1777-0260»,«暦日2»,五〳,みつのえさる,やふる,金,　,神よし 大みやう
«1777-0270»,«暦日0»,六〳,みつのとのとり,あやふ,,　,十し
«1777-0280»,«暦日2»,七〳,きのえいぬ,なる,火,　,●
«1777-0290»,«暦日0»,八〳,きのとのい,おさん,,　,母倉 大くわ ちう日
«1777-0300»,«暦日2»,九〳,ひのえね,ひらく,水,　,母倉 月とく 天火 らうしやく
«1777-0310»,«暦日0»,十〳,ひのとのうし,とつ,,　,神よし 大みやう きこ ちいみ  ものたち 木こり  つめとりよし
«1777-0320»,«暦日2»,十一〳,つちのえとら,たつ,土,　,天しや よろつよし
«1777-0330»,«暦日0»,十二〳,つちのとのう,のそく,,　,神よし 大みやう 天おん  みそさけつくり たねまきよし
«1777-0340»,«暦日1»,十三〳,かのえたつ,みつ,金,　,天おん ふく日
«1777-0350»,«節中»,雨水正月中今暁うしの七刻日の出より日入まて,昼四十四刻余|夜五十五刻余,六より六まて,昼四十九刻余|夜五十刻余
«1777-0360»,«暦日1»,十四〳,かのとのみ,たいら,金,　,天おん 母倉 月とく ちう日 めつもん 地火
«1777-0370»,«暦日2»,十五〳,みつのえむま,さたん,木,　,神よし 大みやう 天おん  木こりよし
«1777-0380»,«暦日0»,十六〳,みつのとのひつし,とる,,　,天おん  たねまきよし
«1777-0390»,«暦日2»,十七〳,きのえさる,やふる,水,十方くれニ入,神よし 大みやう ふく日
«1777-0400»,«暦日0»,十八〳,きのとのとり,あやふ,,　,十し
