«1779-0000»,【 カンマ区切りテキスト形式です。】
«1779-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1779-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1779-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1779-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1779-0050»,【 外部リンク　】
«1779-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546785/164 ～ 168】
«1779-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1779h　(翻刻編集終了データを表成型して表示します)】
«1779-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1779ht (翻刻編集中データを表成型して表示します)】
«1779-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1779-0100»,«版元»,出版地○○,出版元□□□,　
«1779-0110»,«暦首»,安永八年つちのとのい乃宝暦甲戌元暦,亢宿|値年,凡三百五十四日
«1779-0120»,«大歳»,大さいいの方,此方ニむかひて万よし|但木をきらす
«1779-0130»,«大將軍»,大しやうくんとりの方,うしのとしまて|三年ふさかり
«1779-0140»,«大陰»,大おんとりの方,此方ニむかひて|さんをせす
«1779-0150»,«歳徳»,としとくあきの方|とらうの間万よし,むまひつし|,金神,|さるとり
«1779-0160»,«歳刑»,さいけういの方,むかひて|たねまかす,土公,春はかま|秋は井,夏はかと|冬はには
«1779-0170»,«歳破»,さいはみの方,むかひてわたましせす|ふねのりはしめす,正月大,二月大,三月小
«1779-0180»,«歳煞»,さいせついぬの方,此方より|よめとらす,四月小,五月大,六月小
«1779-0190»,«黄幡»,わうはんひつしの方,むかひて|弓はしめよし,七月小,八月大,九月小
«1779-0200»,«豹尾»,へうひうしの方,むかひて大小へんせす|ちくるいもとめす,十月大,十一月大,十二月小
«1779-0210»,«月序»,正月,大,建,丙寅,心宿値月室宿火曜値朔日
«1779-0220»,«正月»,一日,ひのえいぬ,なる,土,　,●
«1779-0230»,«正月»,二日,ひのとのい,おさむ,土,吉事始,はかため くらひらき ひめはしめ きそはしめ|ゆとのはしめ こしのりそめ万よし
«1779-0240»,«正月»,三日,つちのえね,ひらく,火,　,馬のりそめ ふねのりそめ 弓はしめ|あきなひはしめ すきそめ万よし
«1779-0250»,«暦日1»,四〳,つちのとのうし,とつ,火,　,きこ ちいみ  井ほり  つめとりよし
«1779-0260»,«暦日1»,五〳,かのえとら,たつ,木,　,ふく日  つめとりよし
«1779-0270»,«節中»,雨水正月中ひつしの五刻日の出より日入まて,昼四十四刻余|夜五十五刻余,六より六まて,昼四十九刻余|夜五十刻余
«1779-0280»,«暦日1»,六〳,かのとのう,のそく,木,　,くゑ日
«1779-0290»,«暦日2»,七〳,みつのえたつ,みつ,水,　,大みやう 五む日
«1779-0300»,«暦日0»,八〳,みつのとのみ,たいら,,天一天上,ちう日 めつもん 地火
«1779-0310»,«暦日2»,九〳,きのえむま,さたん,金,　,神よし ふく日  かといて ふねのりよし
«1779-0320»,«暦日0»,十〳,きのとのひつし,とる,,　,大みやう 五む日
«1779-0330»,«暦日2»,十一〳,ひのえさる,やふる,火,　,神よし きしく 月とく
«1779-0340»,«暦日0»,十二〳,ひのとのとり,あやふ,,　,十し
«1779-0350»,«暦日2»,十三〳,つちのえいぬ,なる,木,　,●
«1779-0360»,«暦日0»,十四〳,つちのとのい,おさん,,　,神よし 母倉 大くわ ちう日
«1779-0370»,«暦日2»,十五〳,かのえね,ひらく,土,　,さい下しき 神よし 母倉 ふく日 天火 らうしやく
«1779-0380»,«暦日0»,十六〳,かのとのうし,とつ,,　,神よし 月とく 五む日 きこ ちいみ  ものたち  つめとりよし
«1779-0390»,«暦日2»,十七〳,みつのえとら,たつ,金,　,大みやう  かといて  つめとりよし
«1779-0400»,«暦日0»,十八〳,みつのとのう,のそく,,　,神よし  あさまきよし
