《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《0050》,# 外部リンク
《0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546785/173 ～ 178
《0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1781g　(GitHub上データを表成型)
《0080》,# 　　　　　　 　http://hosi.org:3000/Note/1781h　(翻刻編集データを表成型 - 未実装)
《0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《0100》,《版元》,出版地○○,出版元□□□,　
《0110》,《暦首》,安永十年かのとのうし乃宝暦甲戌元暦,房宿/値年,凡三百八十四日
《0120》,《大歳》,大さいうしの方,此方ニむかひて万よし/但木をきらす
《0130》,《大將軍》,大しやうくんとりの方,うしのとしまて/三年ふさかり
《0140》,《大陰》,大おんいの方,此方ニむかひて/さんをせす
《0150》,《歳徳》,　,としとくあきの方/みむまの間万よし,ねうしとら/,金神,/うむまひつし
《0160》,《歳刑》,さいけういぬの方,むかひて/たねまかす,土公,春はかま/秋は井,夏はかと/冬はには
《0170》,《歳破》,さいはひつしの方,むかひてわたましせす/ふねのりはしめす,正月大,二月大,三月大
《0180》,《歳煞》,さいせつたつの方,此方より/よめとらす,四月小,五月大/閏五月小,六月大
《0190》,《黄幡》,わうはんうしの方,むかひて/弓はしめよし,七月小,八月小,九月大
《0200》,《豹尾》,へうひひつしの方,むかひて大小へんせす/ちくるいもとめす,十月小,十一月大,十二月小
《0210》,《月序》,正月,大,建,庚寅,角宿値月參宿水曜値朔日
《0220》,《正月》,一日,きのえいぬ,おさむ,火,吉事始,はかため くらひらき ひめはしめ きそはしめ/ゆとのはしめ こしのりそめ万よし
《0230》,《正月》,二日,きのとのい,ひらく,火,　,馬のりそめ ふねのりそめ 弓はしめ/あきなひはしめ すきそめ万よし
《0240》,《三日》,三日,ひのえね,とつ,水,　,きしく きこ ちいみ
《0250》,《暦日1》,四／,ひのとのうし,たつ,水,　,十し
《0260》,《暦日2》,五／,つちのえとら,のそく,土,　,ふく日  木こり  つめとりよし
《0270》,《暦日0》,六／,つちのとのう,みつ,,　,神よし 大みやう 天おん ふく日
《0280》,《暦日2》,七／,かのえたつ,たいら,金,　,天おん 月とく 大くわ 地火  よめとりよし
《0290》,《暦日0》,八／,かのとのみ,さたん,,　,天おん 母倉 ちう日
《0300》,《暦日2》,九／,みつのえむま,とる,木,　,神よし 大みやう 天おん 母倉
《0310》,《暦日0》,十／,みつのとのひつし,やふる,,　,天おん  たねまきよし
《0320》,《暦日2》,十一／,きのえさる,あやふ,水,せつふん/十方くれニ入,大みやう わうまう
《0330》,《暦日0》,十二／,きのとのとり,あやふ,,　,十し
《0340》,《節中》,立春正月せついぬの七刻ニ入日の出より日入まて,昼四十二刻余/夜五十七刻余,六より六まて,昼四十七刻余/夜五十二刻余
《0350》,《暦日2》,十三／,ひのえいぬ,なる,土,　,●
《0360》,《暦日0》,十四／,ひのとのい,おさん,,　,大みやう 母倉 大くわ ちう日
《0370》,《暦日2》,十五／,つちのえね,ひらく,火,　,母倉 天火 らうしやく  けんふく 入学よし
《0380》,《暦日0》,十六／,つちのとのうし,とつ,,　,きこ ちいみ  井ほり  つめとりよし
《0390》,《暦日2》,十七／,かのえとら,たつ,木,　,さい下しき ふく日  つめとりよし
《0400》,《暦日0》,十八／,かのとのう,のそく,,　,くゑ日 わうまう
《0410》,《暦日2》,十九／,みつのえたつ,みつ,水,　,大みやう 五む日
《0420》,《暦日0》,廿／,みつのとのみ,たいら,,天一天上,ちう日 めつもん 地火
《0430》,《暦日2》,廿一／,きのえむま,さたん,金,　,神よし ふく日  かといて ふねのりよし
《0440》,《暦日0》,廿二／,きのとのひつし,とる,,　,大みやう 五む日
《0450》,《暦日2》,廿三／,ひのえさる,やふる,火,　,神よし 月とく
《0460》,《暦日0》,廿四／,ひのとのとり,あやふ,,　,十し
《0470》,《暦日2》,廿五／,つちのえいぬ,なる,木,　,●
《0480》,《暦日0》,廿六／,つちのとのい,おさん,,　,神よし 母倉 大くわ ちう日
《0490》,《暦日2》,廿七／,かのえね,ひらく,土,　,神よし 母倉 ふく日 天火 らうしやく
《0500》,《暦日0》,廿八／,かのとのうし,とつ,,　,神よし 月とく 五む日 きこ ちいみ  ものたち  つめとりよし
