«1783-0000»,【 カンマ区切りテキスト形式です。】
«1783-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1783-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1783-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1783-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1783-0050»,【 外部リンク　】
«1783-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546785/183 ～ 187】
«1783-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1783h　(翻刻編集終了データを表成型して表示します)】
«1783-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1783ht (翻刻編集中データを表成型して表示します)】
«1783-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1783-0100»,«版元»,出版地○○,出版元□□□,　
«1783-0110»,«暦首»,天明三年みつのとのう乃宝暦甲戌元暦,尾宿|値年,凡三百五十四日
«1783-0120»,«大歳»,大さいうの方,此方ニむかひて万よし|但木をきらす
«1783-0130»,«大將軍»,大しやうくんねの方,たつのとしまて|三年ふさかり
«1783-0140»,«大陰»,大おんうしの方,此方ニむかひて|さんをせす
«1783-0150»,«歳徳»,としとくあきの方|みむまの間万よし,ねうし|,金神,|さるとり
«1783-0160»,«歳刑»,さいけうねの方,むかひて|たねまかす,土公,春はかま|秋は井,夏はかと|冬はには
«1783-0170»,«歳破»,さいはとりの方,むかひてわたましせす|ふねのりはしめす,正月小,二月大,三月小
«1783-0180»,«歳煞»,さいせついぬの方,此方より|よめとらす,四月大,五月大,六月小
«1783-0190»,«黄幡»,わうはんひつしの方,むかひて|弓はしめよし,七月大,八月小,九月大
«1783-0200»,«豹尾»,へうひうしの方,むかひて大小へんせす|ちくるいもとめす,十月小,十一月大,十二月小
«1783-0210»,«月序»,正月,小,建,甲寅,星宿値月房宿日曜値朔日
«1783-0220»,«正月»,一日,みつのとのみ,さたむ,水,吉事始|天一天上,はかため くらひらき ひめはしめ きそはしめ|ゆとのはしめ こしのりそめ万よし
«1783-0230»,«正月»,二日,きのえむま,とる,金,　,馬のりそめ ふねのりそめ 弓はしめ|あきなひはしめ すきそめ万よし
«1783-0240»,«三日»,三日,きのとのひつし,やふる,金,せつふん,大みやう日 月とく 五む日
«1783-0250»,«暦日1»,四〳,ひのえさる,やふる,火,　,神よし 月とく
«1783-0260»,«節中»,立春正月せつたつの五刻ニ入日の出より日入まて,昼四十二刻余|夜五十七刻余,六より六まて,昼四十七刻余|夜五十二刻余
«1783-0270»,«暦日1»,五〳,ひのとのとり,あやふ,火,　,十し
«1783-0280»,«暦日2»,六〳,つちのえいぬ,なる,木,　,●
«1783-0290»,«暦日0»,七〳,つちのとのい,おさん,,　,神よし 母倉 大くわ ちう日
«1783-0300»,«暦日2»,八〳,かのえね,ひらく,土,　,神よし 母倉 ふく日 天火 らうしやく
«1783-0310»,«暦日0»,九〳,かのとのうし,とつ,,　,神よし 月とく 五む日 きこ ちいみ  ものたち  つめとりよし
«1783-0320»,«暦日2»,十〳,みつのえとら,たつ,金,　,大みやう わうまう  かといて  つめとりよし
«1783-0330»,«暦日0»,十一〳,みつのとのう,のそく,,　,神よし  あさまきよし
«1783-0340»,«暦日2»,十二〳,きのえたつ,みつ,火,　,大みやう ふく日  かといてよし
«1783-0350»,«暦日0»,十三〳,きのとのみ,たいら,,　,神よし 大みやう ちう日 めつもん 地火  けんふくよし
«1783-0360»,«暦日2»,十四〳,ひのえむま,さたん,水,　,神よし 大みやう 月とく  わたましよし
«1783-0370»,«暦日0»,十五〳,ひのとのひつし,とる,,　,神よし  かといてよし
«1783-0380»,«暦日2»,十六〳,つちのえさる,やふる,土,　,神よし  たねまきよし
«1783-0390»,«暦日0»,十七〳,つちのとのとり,あやふ,,　,十し
«1783-0400»,«暦日2»,十八〳,かのえいぬ,なる,金,　,●
