《1784-0000》,# カンマ区切りテキスト形式です。
《1784-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1784-0020》,# ・表の区画内での改行は“/”で表記します。
《1784-0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《1784-0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《1784-0050》,# 外部リンク
《1784-0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546785/188 ～ 192
《1784-0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1784g　(GitHub上データを表成型)
《1784-0080》,# 　　　　　　 　http://hosi.org:3000/Note/1784h　(翻刻編集データを表成型 - 未実装)
《1784-0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《1784-0100》,《版元》,出版地○○,出版元□□□,　
《1784-0110》,《暦首》,天明四年きのえたつ乃宝暦甲戌元暦,箕宿/値年,凡三百八十四日
《1784-0120》,《大歳》,大さいたつの方,此方ニむかひて万よし/但木をきらす
《1784-0130》,《大將軍》,大しやうくんねの方,たつのとしまて/三年ふさかり
《1784-0140》,《大陰》,大おんとらの方,此方ニむかひて/さんをせす
《1784-0150》,《歳徳》,　,としとくあきの方/とらうの間万よし,むまひつし/,金神,/さるとり
《1784-0160》,《歳刑》,さいけうたつの方,むかひて/たねまかす,土公,春はかま/秋は井,夏はかと/冬はには
《1784-0170》,《歳破》,さいはいぬの方,むかひてわたましせす/ふねのりはしめす,正月大/閏正月小,二月大,三月小
《1784-0180》,《歳煞》,さいせつひつしの方,此方より/よめとらす,四月大,五月小,六月大
《1784-0190》,《黄幡》,わうはんたつの方,むかひて/弓はしめよし,七月大,八月小,九月大
《1784-0200》,《豹尾》,へうひいぬの方,むかひて大小へんせす/ちくるいもとめす,十月小,十一月大,十二月小
《1784-0210》,《月序》,正月,大,建,丙寅,牛宿値月井宿木曜値朔日
《1784-0220》,《正月》,一日,ひのとのい,ひらく,土,吉事始,はかため くらひらき ひめはしめ きそはしめ/ゆとのはしめ こしのりそめ万よし
《1784-0230》,《正月》,二日,つちのえね,とつ,火,　,馬のりそめ ふねのりそめ 弓はしめ/あきなひはしめ すきそめ万よし
《1784-0240》,《三日》,三日,つちのとのうし,たつ,火,　,十し
《1784-0250》,《暦日2》,四／,かのえとら,のそく,木,　,月とく  井ほり  つめとりよし
《1784-0260》,《暦日0》,五／,かのとのう,みつ,,　,神よし  よめとりよし
《1784-0270》,《暦日2》,六／,みつのえたつ,たいら,水,　,さい下しき 大みやう 五む日 大くわ 地火
《1784-0280》,《暦日0》,七／,みつのとのみ,さたん,,天一天上,母倉 ちう日
《1784-0290》,《暦日2》,八／,きのえむま,とる,金,　,神よし 母倉  けんふく ふねのりよし
《1784-0300》,《暦日0》,九／,きのとのひつし,やふる,,　,大みやう 月とく 五む日
《1784-0310》,《暦日2》,十／,ひのえさる,あやふ,火,　,神よし 母倉  木こりよし
《1784-0320》,《暦日0》,十一／,ひのとのとり,なる,,　,●
《1784-0330》,《暦日2》,十二／,つちのえいぬ,おさん,木,　,ふく日 めつもん
《1784-0340》,《暦日0》,十三／,つちのとのい,ひらく,,　,ちう日 ふく日
《1784-0350》,《暦日2》,十四／,かのえね,とつ,土,せつふん,月とく きこ ちいみ わうまう
《1784-0360》,《暦日0》,十五／,かのとのうし,とつ,,　,神よし 月とく 五む日 きこ ちいみ  ものたち  つめとりよし
《1784-0370》,《節中》,立春正月せつひつしの四刻ニ入日の出より日入まて,昼四十二刻余/夜五十七刻余,六より六まて,昼四十七刻余/夜五十二刻余
《1784-0380》,《暦日2》,十六／,みつのえとら,たつ,金,　,大みやう  かといて  つめとりよし
《1784-0390》,《暦日0》,十七／,みつのとのう,のそく,,　,神よし  あさまきよし
《1784-0400》,《暦日2》,十八／,きのえたつ,みつ,火,　,大みやう ふく日  かといてよし
《1784-0410》,《暦日0》,十九／,きのとのみ,たいら,,　,神よし 大みやう ちう日 めつもん 地火  けんふくよし
《1784-0420》,《暦日2》,廿／,ひのえむま,さたん,水,　,神よし 大みやう 月とく  わたましよし
《1784-0430》,《暦日0》,廿一／,ひのとのひつし,とる,,　,わうまう  かといてよし
《1784-0440》,《暦日2》,廿二／,つちのえさる,やふる,土,　,神よし  たねまきよし
《1784-0450》,《暦日0》,廿三／,つちのとのとり,あやふ,,　,十し
《1784-0460》,《暦日2》,廿四／,かのえいぬ,なる,金,　,●
《1784-0470》,《暦日0》,廿五／,かのとのい,おさん,,　,神よし 大みやう 天おん 母倉 月とく 大くわ ちう日
《1784-0480》,《暦日2》,廿六／,みつのえね,ひらく,木,八せんのはしめ,神よし 天おん 母倉 天火 らうしやく
《1784-0490》,《暦日0》,廿七／,みつのとのうし,とつ,,ま日,神よし 天おん きこ ちいみ  つめとりよし
《1784-0500》,《暦日2》,廿八／,きのえとら,たつ,水,　,くゑ日 ふく日
《1784-0510》,《暦日0》,廿九／,きのとのう,のそく,,　,神よし  ものたちよし
《1784-0520》,《暦日1》,卅／,ひのえたつ,みつ,土,ま日,きしく 大みやう 月とく
《1784-0530》,《節中》,雨水正月中いぬの一刻日の出より日入まて,昼四十四刻余/夜五十五刻余,六より六まて,昼四十九刻余/夜五十刻余
《1784-0540》,《月序》,閏正月,小,隨節用之,柳　土よう
《1784-0550》,《暦日1》,一／,ひのとのみ,たいら,土,　,さい下しき ちう日 めつもん 地火
《1784-0560》,《暦日2》,二／,つちのえむま,さたん,火,ま日,神よし  ふねのりよし
《1784-0570》,《暦日0》,三／,つちのとのひつし,とる,,　,神よし 大みやう  かといて たねまきよし
《1784-0580》,《暦日2》,四／,かのえさる,やふる,木,　,神よし 大みやう ふく日
《1784-0590》,《暦日0》,五／,かのとのとり,あやふ,,　,十し
《1784-0600》,《暦日2》,六／,みつのえいぬ,なる,水,ま日,●
《1784-0610》,《暦日0》,七／,みつのとのい,おさん,,八せんのおはり,母倉 大くわ ちう日  けんふくよし
《1784-0620》,《暦日2》,八／,きのえね,ひらく,金,　,天おん 母倉 ふく日 天火 らうしやく
《1784-0630》,《暦日0》,九／,きのとのうし,とつ,,　,神よし 天おん きこ ちいみ  くらたて 井ほり  つめとりよし
《1784-0640》,《暦日2》,十／,ひのえとら,たつ,火,　,天おん 月とく  つめとりよし
《1784-0650》,《暦日0》,十一／,ひのとのう,のそく,,　,神よし 天おん  あさまきよし
《1784-0660》,《暦日2》,十二／,つちのえたつ,みつ,木,　,天おん 五む日  みそつくりよし
《1784-0670》,《暦日0》,十三／,つちのとのみ,たいら,,　,神よし ちう日 めつもん 地火  入学よし
《1784-0680》,《暦日2》,十四／,かのえむま,さたん,土,　,神よし ふく日
《1784-0690》,《暦日0》,十五／,かのとのひつし,とる,,　,大みやう 月とく  いちたちよし
《1784-0700》,《暦日1》,十六／,みつのえさる,とる,金,　,神よし 大みやう  入学よし
《1784-0710》,《節中》,啓蟄二月せつ今暁ねの六刻ニ入日の出より日入まて,昼四十七刻余/夜五十二刻余,六より六まて,昼五十二刻余/夜四十七刻余
《1784-0720》,《暦日1》,十七／,みつのとのとり,やふる,金,　,大みやう  やたてよし
《1784-0730》,《暦日2》,十八／,きのえいぬ,あやふ,火,　,月とく  かといてよし
《1784-0740》,《暦日0》,十九／,きのとのい,なる,,　,母倉 ちう日 ふく日  みそすつくりよし
《1784-0750》,《暦日2》,廿／,ひのえね,おさん,水,　,母倉 めつもん  たねかしよし
《1784-0760》,《暦日0》,廿一／,ひのとのうし,ひらく,,　,大みやう  ものたち  つめとりよし
《1784-0770》,《暦日2》,廿二／,つちのえとら,とつ,土,　,天しや よろつよし
《1784-0780》,《暦日0》,廿三／,つちのとのう,たつ,,　,大みやう くゑ日 天火 らうしやく
《1784-0790》,《暦日2》,廿四／,かのえたつ,のそく,金,　,●
《1784-0800》,《暦日0》,廿五／,かのとのみ,みつ,,　,十し
《1784-0810》,《暦日2》,廿六／,みつのえむま,たいら,木,ひかんニなる,神よし 大みやう 天おん 大くわ 地火
《1784-0820》,《暦日0》,廿七／,みつのとのひつし,さたん,,　,天おん ちいみ
《1784-0830》,《暦日2》,廿八／,きのえさる,とる,水,十方くれニ入,神よし きしく 大みやう 月とく  入学よし
《1784-0840》,《暦日0》,廿九／,きのとのとり,やふる,,　,ふく日 わうまう
《1784-0850》,《月序》,二月,大,建,丁卯,女宿　星　日よう
《1784-0860》,《暦日2》,一／,ひのえいぬ,あやふ,土,　,五む日  あさまきよし
《1784-0870》,《暦日0》,二／,ひのとのい,なる,,　,大みやう 母倉 ちう日
《1784-0880》,《節中》,春分二月中うの三刻日の出より日入まて,昼五十刻/夜五十刻,六より六まて,昼五十五刻/夜四十五刻
《1784-0890》,《暦日2》,三／,つちのえね,おさん,火,社日,母倉 めつもん  けんふく たねかしよし
《1784-0900》,《暦日0》,四／,つちのとのうし,ひらく,,　,月とく  井ほり  つめとりよし
《1784-0910》,《暦日2》,五／,かのえとら,とつ,木,　,きこ  つめとりよし
《1784-0920》,《暦日0》,六／,かのとのう,たつ,,　,ふく日 天火 らうしやく
《1784-0930》,《暦日2》,七／,みつのえたつ,のそく,水,　,●
《1784-0940》,《暦日0》,八／,みつのとのみ,みつ,,天一天上,十し
《1784-0950》,《暦日2》,九／,きのえむま,たいら,金,　,神よし 月とく 大くわ 地火
《1784-0960》,《暦日0》,十／,きのとのひつし,さたん,,　,大みやう 五む日 ちいみ ふく日  ふねのりよし
《1784-0970》,《暦日2》,十一／,ひのえさる,とる,火,　,神よし
