«1785-0000»,【 カンマ区切りテキスト形式です。】
«1785-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1785-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1785-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1785-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1785-0050»,【 外部リンク　】
«1785-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546785/193 ～ 197】
«1785-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1785h　(翻刻編集終了データを表成型して表示します)】
«1785-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1785ht (翻刻編集中データを表成型して表示します)】
«1785-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1785-0100»,«版元»,出版地○○,出版元□□□,　
«1785-0110»,«暦首»,天明五年きのとのみ乃宝暦甲戌元暦,斗宿|値年,凡三百五十五日
«1785-0120»,«大歳»,大さいみの方,此方ニむかひて万よし|但木をきらす
«1785-0130»,«大將軍»,大しやうくんうの方,ひつしのとしまて|三年ふさかり
«1785-0140»,«大陰»,大おんうの方,此方ニむかひて|さんをせす
«1785-0150»,«歳徳»,としとくあきの方|さるとりの間万よし,たつ|,金神,|み
«1785-0160»,«歳刑»,さいけうさるの方,むかひて|たねまかす,土公,春はかま|秋は井,夏はかと|冬はには
«1785-0170»,«歳破»,さいはいの方,むかひてわたましせす|ふねのりはしめす,正月大,二月小,三月大
«1785-0180»,«歳煞»,さいせつたつの方,此方より|よめとらす,四月小,五月小,六月大
«1785-0190»,«黄幡»,わうはんうしの方,むかひて|弓はしめよし,七月大,八月小,九月大
«1785-0200»,«豹尾»,へうひひつしの方,むかひて大小へんせす|ちくるいもとめす,十月大,十一月小,十二月大
«1785-0210»,«月序»,正月,大,建,戊寅,參宿値月壁宿水曜値朔日
«1785-0220»,«正月»,一日,かのとのい,おさむ,金,吉事始,はかため くらひらき ひめはしめ きそはしめ|ゆとのはしめ こしのりそめ万よし
«1785-0230»,«正月»,二日,みつのえね,ひらく,木,八せんのはしめ,馬のりそめ ふねのりそめ 弓はしめ|あきなひはしめ すきそめ万よし
«1785-0240»,«三日»,三日,みつのとのうし,とつ,木,ま日,神よし 天おん きこ ちいみ
«1785-0250»,«暦日2»,四〳,きのえとら,たつ,水,　,くゑ日 ふく日
«1785-0260»,«暦日0»,五〳,きのとのう,のそく,,　,神よし  ものたちよし
«1785-0270»,«暦日2»,六〳,ひのえたつ,みつ,土,ま日,大みやう 月とく
«1785-0280»,«暦日0»,七〳,ひのとのみ,たいら,,　,ちう日 めつもん 地火
«1785-0290»,«暦日2»,八〳,つちのえむま,さたん,火,ま日,神よし  ふねのりよし
«1785-0300»,«暦日0»,九〳,つちのとのひつし,とる,,　,神よし 大みやう  かといて たねまきよし
«1785-0310»,«暦日2»,十〳,かのえさる,やふる,木,　,神よし きしく 大みやう ふく日
«1785-0320»,«暦日0»,十一〳,かのとのとり,あやふ,,　,十し
«1785-0330»,«暦日1»,十二〳,みつのえいぬ,なる,水,ま日,●
«1785-0340»,«節中»,雨水正月中今暁うしの初刻日の出より日入まて,昼四十四刻余|夜五十五刻余,六より六まて,昼四十九刻余|夜五十刻余
«1785-0350»,«暦日1»,十三〳,みつのとのい,おさん,水,八せんのおはり,母倉 大くわ ちう日  けんふくよし
«1785-0360»,«暦日2»,十四〳,きのえね,ひらく,金,　,天おん 母倉 ふく日 天火 らうしやく
«1785-0370»,«暦日0»,十五〳,きのとのうし,とつ,,　,神よし 天おん きこ ちいみ  くらたて 井ほり  つめとりよし
«1785-0380»,«暦日2»,十六〳,ひのえとら,たつ,火,　,天おん 月とく  つめとりよし
«1785-0390»,«暦日0»,十七〳,ひのとのう,のそく,,　,神よし 天おん  あさまきよし
