《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《0050》,# 外部リンク
《0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546785/207 ～ 211
《0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1788g　(GitHub上データを表成型)
《0080》,# 　　　　　　 　http://hosi.org:3000/Note/1788h　(翻刻編集データを表成型 - 未実装)
《0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《0100》,《版元》,出版地○○,出版元□□□,　
《0110》,《暦首》,天明八年つちのえさる乃宝暦甲戌元暦,虛宿/値年,凡三百五十四日
《0120》,《大歳》,大さいさるの方,此方ニむかひて万よし/但木をきらす
《0130》,《大將軍》,大しやうくんむまの方,いぬのとしまて/三年ふさかり
《0140》,《大陰》,大おんむまの方,此方ニむかひて/さんをせす
《0150》,《歳徳》,　,としとくあきの方/みむまの間万よし,ねうし/,金神,/さるとり
《0160》,《歳刑》,さいけうとらの方,むかひて/たねまかす,土公,春はかま/秋は井,夏はかと/冬はには
《0170》,《歳破》,さいはとらの方,むかひてわたましせす/ふねのりはしめす,正月大,二月小,三月大
《0180》,《歳煞》,さいせつひつしの方,此方より/よめとらす,四月小,五月大,六月小
《0190》,《黄幡》,わうはんたつの方,むかひて/弓はしめよし,七月小,八月大,九月小
《0200》,《豹尾》,へうひいぬの方,むかひて大小へんせす/ちくるいもとめす,十月大,十一月小,十二月大
《0210》,《月序》,正月,大,建,甲寅,角宿値月奎宿木曜値朔日
《0220》,《正月》,一日,きのえね,ひらく,金,吉事始,はかため くらひらき ひめはしめ きそはしめ/ゆとのはしめ こしのりそめ万よし
《0230》,《正月》,二日,きのとのうし,とつ,金,　,馬のりそめ ふねのりそめ 弓はしめ/あきなひはしめ すきそめ万よし
《0240》,《三日》,三日,ひのえとら,たつ,火,　,天おん 月とく
《0250》,《暦日1》,四／,ひのとのう,のそく,火,　,神よし 天おん  あさまきよし
《0260》,《暦日2》,五／,つちのえたつ,みつ,木,　,天おん 五む日 わうまう  みそつくりよし
《0270》,《暦日0》,六／,つちのとのみ,たいら,,　,神よし ちう日 めつもん 地火  入学よし
《0280》,《暦日2》,七／,かのえむま,さたん,土,　,神よし ふく日
《0290》,《暦日0》,八／,かのとのひつし,とる,,　,大みやう 月とく  いちたちよし
《0300》,《暦日2》,九／,みつのえさる,やふる,金,　,神よし きしく 大みやう
《0310》,《暦日0》,十／,みつのとのとり,あやふ,,　,十し
《0320》,《暦日2》,十一／,きのえいぬ,なる,火,　,●
《0330》,《暦日0》,十二／,きのとのい,おさん,,　,母倉 大くわ ちう日
《0340》,《暦日2》,十三／,ひのえね,ひらく,水,　,母倉 月とく 天火 らうしやく
《0350》,《暦日0》,十四／,ひのとのうし,とつ,,　,神よし 大みやう きこ ちいみ  ものたち 木こり  つめとりよし
《0360》,《節中》,雨水正月中とりの六刻日の出より日入まて,昼四十四刻余/夜五十五刻余,六より六まて,昼四十九刻余/夜五十刻余
《0370》,《暦日2》,十五／,つちのえとら,たつ,土,　,天しや よろつよし
《0380》,《暦日0》,十六／,つちのとのう,のそく,,　,神よし 大みやう 天おん  みそさけつくり たねまきよし
《0390》,《暦日2》,十七／,かのえたつ,みつ,金,　,天おん ふく日
