《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《0050》,# 外部リンク
《0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546785/220 ～ 225
《0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1791g　(GitHub上データを表成型)
《0080》,# 　　　　　　 　http://hosi.org:3000/Note/1791h　(翻刻編集データを表成型 - 未実装)
《0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《0100》,《版元》,出版地○○,出版元□□□,　
《0110》,《暦首》,寛政三年かのとのい乃宝暦甲戌元暦,壁宿/値年,凡三百五十五日
《0120》,《大歳》,大さいいの方,此方ニむかひて万よし/但木をきらす
《0130》,《大將軍》,大しやうくんとりの方,うしのとしまて/三年ふさかり
《0140》,《大陰》,大おんとりの方,此方ニむかひて/さんをせす
《0150》,《歳徳》,　,としとくあきの方/みむまの間万よし,ねうしとら/,金神,/うむまひつし
《0160》,《歳刑》,さいけういの方,むかひて/たねまかす,土公,春はかま/秋は井,夏はかと/冬はには
《0170》,《歳破》,さいはみの方,むかひてわたましせす/ふねのりはしめす,正月大,二月小,三月大
《0180》,《歳煞》,さいせついぬの方,此方より/よめとらす,四月大,五月小,六月大
《0190》,《黄幡》,わうはんひつしの方,むかひて/弓はしめよし,七月小,八月大,九月小
《0200》,《豹尾》,へうひうしの方,むかひて大小へんせす/ちくるいもとめす,十月大,十一月小,十二月大
《0210》,《月序》,正月,大,建,庚寅,牛宿値月奎宿木曜値朔日
《0220》,《正月》,一日,ひのえね,とつ,水,吉事始,はかため くらひらき ひめはしめ きそはしめ/ゆとのはしめ こしのりそめ万よし
《0230》,《正月》,二日,ひのとのうし,たつ,水,せつふん,馬のりそめ ふねのりそめ 弓はしめ/あきなひはしめ すきそめ万よし
《0240》,《三日》,三日,つちのえとら,たつ,土,　,天しや よろつよし
《0250》,《節中》,立春正月せつうの七刻ニ入日の出より日入まて,昼四十二刻余/夜五十七刻余,六より六まて,昼四十七刻余/夜五十二刻余
《0260》,《暦日1》,四／,つちのとのう,のそく,土,　,神よし 大みやう 天おん  みそさけつくり たねまきよし
《0270》,《暦日2》,五／,かのえたつ,みつ,金,　,天おん ふく日
《0280》,《暦日0》,六／,かのとのみ,たいら,,　,天おん 母倉 月とく ちう日 めつもん 地火
《0290》,《暦日2》,七／,みつのえむま,さたん,木,　,神よし 大みやう 天おん  木こりよし
《0300》,《暦日0》,八／,みつのとのひつし,とる,,　,天おん  たねまきよし
《0310》,《暦日2》,九／,きのえさる,やふる,水,十方くれニ入,きしく 大みやう ふく日 わうまう
《0320》,《暦日0》,十／,きのとのとり,あやふ,,　,十し
《0330》,《暦日2》,十一／,ひのえいぬ,なる,土,　,●
《0340》,《暦日0》,十二／,ひのとのい,おさん,,　,大みやう 母倉 大くわ ちう日
《0350》,《暦日2》,十三／,つちのえね,ひらく,火,　,母倉 天火 らうしやく  けんふく 入学よし
《0360》,《暦日0》,十四／,つちのとのうし,とつ,,　,きこ ちいみ  井ほり  つめとりよし
《0370》,《暦日2》,十五／,かのえとら,たつ,木,　,ふく日  つめとりよし
《0380》,《暦日0》,十六／,かのとのう,のそく,,　,くゑ日
《0390》,《暦日2》,十七／,みつのえたつ,みつ,水,　,大みやう 五む日
《0400》,《暦日0》,十八／,みつのとのみ,たいら,,天一天上,ちう日 めつもん 地火
《0410》,《節中》,雨水正月中むまの四刻日の出より日入まて,昼四十四刻余/夜五十五刻余,六より六まて,昼四十九刻余/夜五十刻余
《0420》,《暦日2》,十九／,きのえむま,さたん,金,　,神よし ふく日  かといて ふねのりよし
《0430》,《暦日0》,廿／,きのとのひつし,とる,,　,大みやう 五む日
《0440》,《暦日2》,廿一／,ひのえさる,やふる,火,　,神よし 月とく
《0450》,《暦日0》,廿二／,ひのとのとり,あやふ,,　,十し
《0460》,《暦日2》,廿三／,つちのえいぬ,なる,木,　,●
《0470》,《暦日0》,廿四／,つちのとのい,おさん,,　,神よし 母倉 大くわ ちう日
《0480》,《暦日2》,廿五／,かのえね,ひらく,土,　,さい下しき 神よし 母倉 ふく日 天火 らうしやく
《0490》,《暦日0》,廿六／,かのとのうし,とつ,,　,神よし 月とく 五む日 きこ ちいみ  ものたち  つめとりよし
《0500》,《暦日2》,廿七／,みつのえとら,たつ,金,　,大みやう  かといて  つめとりよし
《0510》,《暦日0》,廿八／,みつのとのう,のそく,,　,神よし  あさまきよし
《0520》,《暦日2》,廿九／,きのえたつ,みつ,火,　,大みやう ふく日  かといてよし
《0530》,《暦日0》,卅／,きのとのみ,たいら,,　,神よし 大みやう ちう日 めつもん 地火  けんふくよし
《0540》,《月序》,二月,小,建,辛卯,女宿　胃　土よう
《0550》,《暦日2》,一／,ひのえむま,さたん,水,　,神よし 大みやう 月とく  わたましよし
《0560》,《暦日0》,二／,ひのとのひつし,とる,,　,神よし  かといてよし
《0570》,《暦日1》,三／,つちのえさる,とる,土,　,神よし  たねまきよし
《0580》,《節中》,啓蟄二月せつとりの初刻ニ入日の出より日入まて,昼四十七刻余/夜五十二刻余,六より六まて,昼五十二刻余/夜四十七刻余
《0590》,《暦日1》,四／,つちのとのとり,やふる,土,　,大みやう 天おん 月とく
《0600》,《暦日2》,五／,かのえいぬ,あやふ,金,　,大みやう 天おん  けんふくよし
《0610》,《暦日0》,六／,かのとのい,なる,,　,神よし 大みやう 天おん 母倉 ちう日 ふく日
《0620》,《暦日2》,七／,みつのえね,おさん,木,八せんのはしめ,神よし きしく 天おん 母倉 めつもん  あさまきよし
《0630》,《暦日0》,八／,みつのとのうし,ひらく,,ま日,天おん  つめとりよし
《0640》,《暦日2》,九／,きのえとら,とつ,水,　,月とく きこ  やたて  つめとりよし
《0650》,《暦日0》,十／,きのとのう,たつ,,　,くゑ日 ふく日 天火 らうしやく
《0660》,《暦日2》,十一／,ひのえたつ,のそく,土,ま日,●
《0670》,《暦日0》,十二／,ひのとのみ,みつ,,　,十し
《0680》,《暦日2》,十三／,つちのえむま,たいら,火,ま日/社日/ひかんニなる,神よし 大くわ 地火
《0690》,《暦日0》,十四／,つちのとのひつし,さたん,,　,神よし 大みやう 月とく ちいみ  たねかしよし
《0700》,《暦日2》,十五／,かのえさる,とる,木,　,神よし 大みやう
《0710》,《暦日0》,十六／,かのとのとり,やふる,,　,大みやう くゑ日 ふく日 わうまう
《0720》,《暦日2》,十七／,みつのえいぬ,あやふ,水,ま日, あさまきよし
《0730》,《暦日0》,十八／,みつのとのい,なる,,八せんのおはり,母倉 ちう日  たねかしよし
《0740》,《節中》,春分二月中いの六刻日の出より日入まて,昼五十刻/夜五十刻,六より六まて,昼五十五刻/夜四十五刻
《0750》,《暦日2》,十九／,きのえね,おさん,金,　,天おん 母倉 月とく めつもん
《0760》,《暦日0》,廿／,きのとのうし,ひらく,,　,天おん ふく日  ものたち  つめとりよし
《0770》,《暦日2》,廿一／,ひのえとら,とつ,火,　,天おん きこ  つめとりよし
《0780》,《暦日0》,廿二／,ひのとのう,たつ,,　,天おん 天火 らうしやく
《0790》,《暦日2》,廿三／,つちのえたつ,のそく,木,　,●
《0800》,《暦日0》,廿四／,つちのとのみ,みつ,,　,十し
《0810》,《暦日2》,廿五／,かのえむま,たいら,土,　,神よし 大くわ 地火
《0820》,《暦日0》,廿六／,かのとのひつし,さたん,,　,大みやう ちいみ ふく日  くらたて 井ほりよし
《0830》,《暦日2》,廿七／,みつのえさる,とる,金,　,神よし 大みやう  入学よし
《0840》,《暦日0》,廿八／,みつのとのとり,やふる,,　,大みやう  やたてよし
《0850》,《暦日1》,廿九／,きのえいぬ,あやふ,火,　,月とく  かといてよし
《0860》,《月序》,三月,大,建,壬辰,虛宿　昴　日よう
《0870》,《暦日1》,一／,きのとのい,なる,火,　,母倉 ちう日 ふく日  みそすつくりよし
《0880》,《暦日2》,二／,ひのえね,おさん,水,　,母倉 めつもん  たねかしよし
《0890》,《暦日0》,三／,ひのとのうし,ひらく,,　,大みやう  ものたち  つめとりよし
《0900》,《暦日2》,四／,つちのえとら,とつ,土,　,天しや よろつよし
《0910》,《暦日0》,五／,つちのとのう,とつ,,　,神よし 大みやう 天おん ふく日
《0920》,《節中》,清明三月せつ今暁とらの二刻ニ入日の出より日入まて,昼五十二刻余/夜四十七刻余,六より六まて,昼五十七刻余/夜四十二刻余
《0930》,《暦日2》,六／,かのえたつ,たつ,金,　,きしく くゑ日
《0940》,《暦日0》,七／,かのとのみ,のそく,,　,天おん 母倉 ちう日
《0950》,《暦日2》,八／,みつのえむま,みつ,木,　,神よし 大みやう 天おん 母倉 月とく 天火 らうしやく
《0960》,《暦日0》,九／,みつのとのひつし,たいら,,　,天おん めつもん 地火
《0970》,《暦日2》,十／,きのえさる,さたん,水,十方くれニ入,大みやう くゑ日
《0980》,《暦日0》,十一／,きのとのとり,とる,,　,神よし  くさかりよし
《0990》,《暦日2》,十二／,ひのえいぬ,やふる,土,　,五む日
《1000》,《暦日0》,十三／,ひのとのい,あやふ,,　,●
《1010》,《暦日2》,十四／,つちのえね,なる,火,　,母倉 きこ ふく日
《1020》,《暦日0》,十五／,つちのとのうし,おさん,,　,十し
《1030》,《暦日1》,十六／,かのえとら,ひらく,木,　,ちいみ  つめとりよし
《1040》,《食記》,月そく七分半
